Year,District,Taluka,Size Class,Irrigated Area,Unirrigated Area,Gross Cropped Area,Share of Cropped Area Irrigated,Share of Total Land Holdings Cropped,Unnamed: 9,Total Holding Number,Total Holding Area
2000,Ahilyanagar,Ahamad Nagar,Marginal (Below 1 ha),3577,14951,18528,19.30591537132988,0.9912,,39639,18692
2000,Ahilyanagar,Akola,Marginal (Below 1 ha),1670,10471,12141,13.75504488921835,0.9609,,25897,12635
2000,Ahilyanagar,Jamkhed,Marginal (Below 1 ha),1406,8435,9841,14.28716593842089,0.9545,,19524,10310
2000,Ahilyanagar,Karjat,Marginal (Below 1 ha),3187,12908,16095,19.80118049083566,0.9376,,30683,17166
2000,Ahilyanagar,Kopargoan,Marginal (Below 1 ha),4926,4200,9126,53.9776462853386,0.9129,,16994,9997
2000,Ahilyanagar,Newasa,Marginal (Below 1 ha),11423,10301,21724,52.5823973485546,0.9674,,38491,22456
2000,Ahilyanagar,Parner,Marginal (Below 1 ha),2066,16236,18303,11.28776703272688,1.1309,,34167,16185
2000,Ahilyanagar,Pathardi,Marginal (Below 1 ha),1570,19855,21425,7.327887981330222,1.003,,45403,21360
2000,Ahilyanagar,Rahata,Marginal (Below 1 ha),5683,4512,10195,55.74301128003923,0.9604,,20854,10615
2000,Ahilyanagar,Rahuri,Marginal (Below 1 ha),11867,3417,15284,77.64328709761843,0.9403,,30383,16255
2000,Ahilyanagar,Sangamner,Marginal (Below 1 ha),7086,17649,24735,28.64766525166768,0.9585,,47560,25806
2000,Ahilyanagar,Shirirampur,Marginal (Below 1 ha),5281,2304,7584,69.6334388185654,0.9724,,14481,7799
2000,Ahilyanagar,Showgoan,Marginal (Below 1 ha),2724,12731,15455,17.62536395988353,0.9775,,30138,15811
2000,Ahilyanagar,Shrigonda,Marginal (Below 1 ha),10838,13606,24444,44.33807887416135,0.9791,,39438,24967
2010,Ahilyanagar,Ahamad Nagar,Marginal (Below 1 ha),1587,27614,29201,5.434745385432006,1.5486,,41446,18856
2010,Ahilyanagar,Akola,Marginal (Below 1 ha),2570,10816,13387,19.19772914021065,0.9603,,31711,13940
2010,Ahilyanagar,Jamkhed,Marginal (Below 1 ha),1084,8301,9384,11.55157715260017,0.9665,,19009,9709
2010,Ahilyanagar,Karjat,Marginal (Below 1 ha),10940,11216,22156,49.37714388878859,1.2628,,33270,17545
2010,Ahilyanagar,Kopargoan,Marginal (Below 1 ha),8314,6227,14541,57.17626022969534,1.1738,,21613,12388
2010,Ahilyanagar,Nevasa,Marginal (Below 1 ha),10623,22495,33118,32.07621233166254,1.402,,41597,23622
2010,Ahilyanagar,Parner,Marginal (Below 1 ha),74,37181,37255,0.1986310562340625,1.6782,,48164,22199
2010,Ahilyanagar,Pathardi,Marginal (Below 1 ha),657,23589,24246,2.709725315515961,1.1561,,45109,20973
2010,Ahilyanagar,Rahata,Marginal (Below 1 ha),7803,10359,18162,42.96333002973241,1.3683,,25414,13273
2010,Ahilyanagar,Rahuri,Marginal (Below 1 ha),14609,18638,33247,43.94080668932535,1.8622,,35900,17854
2010,Ahilyanagar,Sangamner,Marginal (Below 1 ha),10532,19798,30330,34.72469502143093,1.2047,,51073,25177
2010,Ahilyanagar,Shevgoan,Marginal (Below 1 ha),3933,32175,36108,10.89232303090728,1.9271,,35045,18737
2010,Ahilyanagar,Shirirampur,Marginal (Below 1 ha),8967,1662,10628,84.37147158449379,1.0837,,17993,9807
2010,Ahilyanagar,Shrigonda,Marginal (Below 1 ha),23015,12820,35835,64.22491977117343,1.3877,,50312,25824
2015,Ahilyanagar,Akola,Marginal (Below 1 ha),3219,12188,15408,20.8917445482866,1.0101,,36587,15254
2015,Ahilyanagar,Jamkhed,Marginal (Below 1 ha),1709,11636,13345,12.80629449231922,0.986,,30470,13535
2015,Ahilyanagar,Karjat,Marginal (Below 1 ha),10902,11378,22280,48.93177737881508,1.3389,,37484,16641
2015,Ahilyanagar,Kopargaon,Marginal (Below 1 ha),9481,6806,16287,58.2120709768527,1.3394,,26522,12160
2015,Ahilyanagar,Nagar,Marginal (Below 1 ha),1322,22973,24295,5.441448857789669,1.5238,,45126,15944
2015,Ahilyanagar,Nevasa,Marginal (Below 1 ha),12782,26105,38887,32.8695965232597,1.4882,,51150,26130
2015,Ahilyanagar,Parner,Marginal (Below 1 ha),1999,34502,36501,5.476562285964768,1.6232,,57872,22487
2015,Ahilyanagar,Pathardi,Marginal (Below 1 ha),823,25105,25928,3.174174637457575,1.1842,,52253,21895
2015,Ahilyanagar,Rahata,Marginal (Below 1 ha),8284,10482,18766,44.1436640733241,1.4732,,37150,12738
2015,Ahilyanagar,Rahuri,Marginal (Below 1 ha),14945,20610,35555,42.03346927295739,1.8596,,40509,19120
2015,Ahilyanagar,Sangamner,Marginal (Below 1 ha),13648,21391,35039,38.95088330146408,1.2828,,63989,27314
2015,Ahilyanagar,Shevgaon,Marginal (Below 1 ha),4148,34503,38651,10.73193449069882,1.871,,43200,20658
