Year,District,Taluka,Marginal (Below 1 ha),Small (1 to 2 ha),Semimedium (2 to 4 ha),Medium (4 to 10 ha),Large (>10 ha)
1995,Ahilyanagar,Akola,9351.0,18636.0,26425.0,53702.0,9195.0
1995,Ahilyanagar,Jamkhed (P),7689.0,16029.0,25973.0,42184.0,5386.0
1995,Ahilyanagar,Karjat,10931.0,28887.0,42230.0,68328.0,7954.0
1995,Ahilyanagar,Kopargaon,11754.0,26020.0,23211.0,26314.0,5749.0
1995,Ahilyanagar,Nagar,14325.0,27130.0,33711.0,57184.0,9046.0
1995,Ahilyanagar,Nevasa,17290.0,45319.0,34004.0,19614.0,1171.0
1995,Ahilyanagar,Parner,14584.0,31282.0,51761.0,79594.0,12340.0
1995,Ahilyanagar,Pathardi,15441.0,26932.0,30425.0,37154.0,4361.0
1995,Ahilyanagar,Rahuri,14686.0,25758.0,21254.0,14800.0,3780.0
1995,Ahilyanagar,Sangamner,21093.0,33279.0,34344.0,47106.0,7532.0
1995,Ahilyanagar,Shevgaon,12621.0,28781.0,26987.0,23868.0,2579.0
1995,Ahilyanagar,Shrirampur,10220.0,21225.0,20765.0,20648.0,7050.0
1995,Ahilyanagar,Srigonda,15621.0,34949.0,43982.0,51048.0,8044.0
1995,Beed,Ambejogai,8330.0,20777.0,19908.0,15555.0,5069.0
1995,Beed,Ashti,11490.0,28575.0,41555.0,37185.0,9462.0
1995,Beed,Beed,13199.0,30459.0,37652.0,29570.0,7648.0
1995,Beed,Dharur,12237.0,30823.0,34529.0,26624.0,4651.0
1995,Beed,Georai,13255.0,34353.0,40057.0,28374.0,3993.0
1995,Beed,Kaij,12237.0,30823.0,34529.0,26624.0,4651.0
1995,Beed,Manjlegaon,8246.0,20849.0,29031.0,24049.0,3875.0
1995,Beed,Parali,8330.0,20777.0,19908.0,15555.0,5069.0
1995,Beed,Patoda,11356.0,26999.0,33208.0,27949.0,5048.0
1995,Dhule,Akkalkuwa,2663.0,7566.0,12586.0,10910.0,2187.0
1995,Dhule,Akrani (M),893.0,4026.0,6101.0,5864.0,1345.0
1995,Dhule,All Tehsils,52354.0,,,,
1995,Dhule,Dhulia,10360.0,30526.0,37244.0,37609.0,12382.0
1995,Dhule,Nandurbar,3618.0,17296.0,23853.0,23197.0,6479.0
1995,Dhule,Navapur,4357.0,17637.0,19554.0,14887.0,2369.0
1995,Dhule,Sakri,9363.0,30183.0,45538.0,38703.0,12676.0
1995,Dhule,Shahada,4866.0,21063.0,26095.0,20126.0,2559.0
1995,Dhule,Shindkheda,9994.0,24980.0,31017.0,29331.0,6142.0
1995,Dhule,Shirpur,4947.0,15911.0,18691.0,14242.0,2129.0
1995,Dhule,Taloda,1293.0,6681.0,8032.0,5958.0,610.0
1995,Jalna,Ambad,6386.0,22562.0,27563.0,22818.0,4422.0
1995,Jalna,Badnapurr,5283.0,23273.0,23440.0,20472.0,2771.0
1995,Jalna,Bhokardan,23345.0,34373.0,34243.0,23404.0,3560.0
1995,Jalna,Dhansanghavi,6046.0,23005.0,30122.0,21872.0,5148.0
1995,Jalna,Jafferbad,6682.0,21280.0,21151.0,26006.0,3422.0
1995,Jalna,Jalna,7607.0,24301.0,28687.0,26838.0,6071.0
1995,Jalna,Mantha,5068.0,26152.0,22648.0,22474.0,8804.0
1995,Jalna,Partur,4542.0,26728.0,21548.0,22224.0,4740.0
1995,Kolhapur,Ajra (M),7909.0,8848.0,8119.0,5480.0,2127.0
1995,Kolhapur,Bavda (M),1561.0,2802.0,3828.0,3556.0,1109.0
1995,Kolhapur,Bhudargad (P),10554.0,9400.0,7793.0,4188.0,1284.0
