Year,District,Taluka,Marginal (Below 1 ha),Small (1 to 2 ha),Semimedium (2 to 4 ha),Medium (4 to 10 ha),Large (>10 ha)
1995,Ahilyanagar,Akola,19427.0,12869.0,9561.0,9234.0,655.0
1995,Ahilyanagar,Jamkhed (P),14733.0,11052.0,9507.0,7416.0,337.0
1995,Ahilyanagar,Karjat,20104.0,18935.0,15108.0,12036.0,507.0
1995,Ahilyanagar,Kopargaon,20004.0,17456.0,8562.0,4712.0,155.0
1995,Ahilyanagar,Nagar,30399.0,18855.0,12386.0,9944.0,648.0
1995,Ahilyanagar,Nevasa,30739.0,31302.0,13076.0,3604.0,73.0
1995,Ahilyanagar,Parner,30237.0,21272.0,18533.0,13972.0,810.0
1995,Ahilyanagar,Pathardi,30629.0,18752.0,11225.0,6636.0,238.0
1995,Ahilyanagar,Rahuri,26323.0,18285.0,8033.0,2708.0,84.0
1995,Ahilyanagar,Sangamner,40587.0,22972.0,12661.0,8206.0,447.0
1995,Ahilyanagar,Shevgaon,23067.0,20068.0,10086.0,4320.0,174.0
1995,Ahilyanagar,Shrirampur,18421.0,14838.0,7765.0,3796.0,133.0
1995,Ahilyanagar,Srigonda,29194.0,22493.0,15823.0,8998.0,469.0
1995,Beed,Ambejogai,14296.0,14742.0,7372.0,2749.0,338.0
1995,Beed,Ashti,22100.0,20034.0,15209.0,6487.0,625.0
1995,Beed,Beed,27816.0,21369.0,13861.0,5243.0,476.0
1995,Beed,Dharur,21368.0,19940.0,12271.0,4633.0,316.0
1995,Beed,Georai,22552.0,23919.0,14822.0,5129.0,279.0
1995,Beed,Kaij,21368.0,19940.0,12271.0,4633.0,316.0
1995,Beed,Manjlegaon,13968.0,14467.0,10679.0,4289.0,296.0
1995,Beed,Parali,14296.0,14742.0,7372.0,2749.0,338.0
1995,Beed,Patoda,22842.0,18672.0,12185.0,4962.0,352.0
1995,Dhule,Akkalkuwa,4188.0,5332.0,4795.0,1919.0,159.0
1995,Dhule,Akrani (M),1316.0,2769.0,2279.0,1002.0,101.0
1995,Dhule,All Tehsils,83755.0,,,,
1995,Dhule,Dhulia,17781.0,20688.0,13663.0,6546.0,673.0
1995,Dhule,Nandurbar,5444.0,11730.0,8723.0,3943.0,430.0
1995,Dhule,Navapur,6066.0,12430.0,7425.0,2634.0,181.0
1995,Dhule,Sakri,16810.0,20649.0,16874.0,6752.0,806.0
1995,Dhule,Shahada,7280.0,14419.0,9511.0,3675.0,186.0
1995,Dhule,Shindkheda,15830.0,17415.0,11260.0,5097.0,435.0
1995,Dhule,Shirpur,7332.0,11095.0,6908.0,2532.0,145.0
1995,Dhule,Taloda,1708.0,4688.0,2902.0,1096.0,45.0
1995,Jalna,Ambad,20822.0,24113.0,20272.0,3857.0,272.0
1995,Jalna,Badnapurr,1001.0,1332.0,5014.0,2877.0,242.0
1995,Jalna,Bhokardan,24084.0,23131.0,22827.0,4222.0,248.0
1995,Jalna,Dhansanghavi,20345.0,25885.0,22581.0,5244.0,400.0
1995,Jalna,Jafferbad,22241.0,23420.0,7420.0,2781.0,253.0
1995,Jalna,Jalna,23220.0,26712.0,20728.0,4732.0,437.0
1995,Jalna,Mantha,8776.0,22712.0,7182.0,3783.0,321.0
