Year,District,Taluka,Size Class,Total Holdings Number,Total Holdings Area,Area Classified as Cultivated,Area Classified as Uncultivated,Area Not Available For Agriculture,Net Sown Area,Current Fallow,Actually Uncultivated Area,Other Fallow Land,Cultivable Waste Land
2000,Ahilyanagar,Ahamad Nagar,Marginal (Below 1 ha),39639,18692,18177,157,358,16500,1677,22,80,55
2000,Ahilyanagar,Akola,Marginal (Below 1 ha),25897,12635,12103,314,219,12002,101,121,73,120
2000,Ahilyanagar,Jamkhed,Marginal (Below 1 ha),19524,10310,9606,447,256,9148,458,152,160,136
2000,Ahilyanagar,Karjat,Marginal (Below 1 ha),30683,17166,16252,200,715,15945,306,95,80,25
2000,Ahilyanagar,Kopargoan,Marginal (Below 1 ha),16994,9997,9790,65,142,8912,878,4,41,20
2000,Ahilyanagar,Newasa,Marginal (Below 1 ha),38491,22456,21976,393,87,21628,349,3,263,127
2000,Ahilyanagar,Parner,Marginal (Below 1 ha),34167,16185,15881,4,300,15859,21,0,2,2
2000,Ahilyanagar,Pathardi,Marginal (Below 1 ha),45403,21360,21336,14,11,20641,695,0,8,5
2000,Ahilyanagar,Rahata,Marginal (Below 1 ha),20854,10615,10461,69,86,10195,266,5,52,12
2000,Ahilyanagar,Rahuri,Marginal (Below 1 ha),30383,16255,15860,62,333,14687,1173,11,35,15
2000,Ahilyanagar,Sangamner,Marginal (Below 1 ha),47560,25806,24892,253,661,24173,719,121,84,47
2000,Ahilyanagar,Shirirampur,Marginal (Below 1 ha),14481,7799,7712,15,73,7327,385,0,3,12
2000,Ahilyanagar,Showgoan,Marginal (Below 1 ha),30138,15811,15769,11,31,15236,533,0,7,3
2000,Ahilyanagar,Shrigonda,Marginal (Below 1 ha),39438,24967,24383,132,452,24063,320,1,24,107
2010,Ahilyanagar,Ahamad Nagar,Marginal (Below 1 ha),41446,18856,18418,32,407,15563,2855,2,2,27
2010,Ahilyanagar,Akola,Marginal (Below 1 ha),31711,13940,13581,1,357,12828,753,0,1,0
2010,Ahilyanagar,Jamkhed,Marginal (Below 1 ha),19009,9709,9529,6,173,9039,490,0,6,0
2010,Ahilyanagar,Karjat,Marginal (Below 1 ha),33270,17545,17162,2,380,16902,261,0,1,1
2010,Ahilyanagar,Kopargoan,Marginal (Below 1 ha),21613,12388,12292,0,96,11362,930,0,0,0
2010,Ahilyanagar,Nevasa,Marginal (Below 1 ha),41597,23622,23590,0,32,23042,548,0,0,0
2010,Ahilyanagar,Parner,Marginal (Below 1 ha),48164,22199,22186,0,13,20805,1381,0,0,0
2010,Ahilyanagar,Pathardi,Marginal (Below 1 ha),45109,20973,19208,1,1764,19018,190,0,1,0
2010,Ahilyanagar,Rahata,Marginal (Below 1 ha),25414,13273,13136,0,137,12660,476,0,0,0
2010,Ahilyanagar,Rahuri,Marginal (Below 1 ha),35900,17854,17854,0,0,17472,382,0,0,0
2010,Ahilyanagar,Sangamner,Marginal (Below 1 ha),51073,25177,24328,131,718,23875,454,32,97,3
2010,Ahilyanagar,Shevgoan,Marginal (Below 1 ha),35045,18737,18257,0,480,18083,175,0,0,0
2010,Ahilyanagar,Shirirampur,Marginal (Below 1 ha),17993,9807,9772,5,29,9519,253,1,4,0
2010,Ahilyanagar,Shrigonda,Marginal (Below 1 ha),50312,25824,25536,47,241,25073,463,1,8,39
2015,Ahilyanagar,Akola,Marginal (Below 1 ha),36587,15254,14874,379,0,14065,809,379,0,0
2015,Ahilyanagar,Jamkhed,Marginal (Below 1 ha),30470,13535,13245,290,0,12515,730,290,0,0
2015,Ahilyanagar,Karjat,Marginal (Below 1 ha),37484,16641,16303,338,0,16032,271,338,0,0
2015,Ahilyanagar,Kopargaon,Marginal (Below 1 ha),26522,12160,12070,90,0,11183,887,90,0,0
2015,Ahilyanagar,Nagar,Marginal (Below 1 ha),45126,15944,15597,347,0,13325,2272,347,0,0
2015,Ahilyanagar,Nevasa,Marginal (Below 1 ha),51150,26130,26076,54,0,25451,625,54,0,0
2015,Ahilyanagar,Parner,Marginal (Below 1 ha),57872,22487,22475,13,0,21111,1364,13,0,0
2015,Ahilyanagar,Pathardi,Marginal (Below 1 ha),52253,21895,20099,1796,0,19900,199,1796,0,0
2015,Ahilyanagar,Rahata,Marginal (Below 1 ha),37150,12738,12607,132,0,12135,472,132,0,0
2015,Ahilyanagar,Rahuri,Marginal (Below 1 ha),40509,19120,19120,0,0,18636,484,0,0,0
2015,Ahilyanagar,Sangamner,Marginal (Below 1 ha),63989,27314,26411,902,0,25870,541,902,0,0
2015,Ahilyanagar,Shevgaon,Marginal (Below 1 ha),43200,20658,20208,450,0,19993,215,450,0,0
2015,Ahilyanagar,Shrigonda,Marginal (Below 1 ha),55916,28136,27641,495,0,27167,475,495,0,0
2015,Ahilyanagar,Shrirampur,Marginal (Below 1 ha),27911,9070,9047,23,0,8786,261,23,0,0
2000,Ahilyanagar,Ahamad Nagar,Small (1 to 2 ha),21026,30023,29277,262,484,24801,4476,32,155,75
2000,Ahilyanagar,Akola,Small (1 to 2 ha),14683,21061,19238,1324,499,19061,177,767,128,430
2000,Ahilyanagar,Jamkhed,Small (1 to 2 ha),13280,19894,19363,391,140,18923,440,153,191,47
2000,Ahilyanagar,Karjat,Small (1 to 2 ha),23480,35038,33263,247,1529,32695,567,39,165,43
2000,Ahilyanagar,Kopargoan,Small (1 to 2 ha),15125,22212,21823,138,251,19309,2514,10,69,60
2000,Ahilyanagar,Newasa,Small (1 to 2 ha),34288,49282,48468,585,228,47444,1024,15,317,254
2000,Ahilyanagar,Parner,Small (1 to 2 ha),24283,35043,34427,43,573,34396,31,0,12,31
2000,Ahilyanagar,Pathardi,Small (1 to 2 ha),21656,29090,29072,9,9,27191,1881,7,0,2
2000,Ahilyanagar,Rahata,Small (1 to 2 ha),13153,18615,18470,40,104,18234,236,28,12,0
2000,Ahilyanagar,Rahuri,Small (1 to 2 ha),19472,26737,25975,74,688,23926,2049,11,25,38
2000,Ahilyanagar,Sangamner,Small (1 to 2 ha),24536,33507,31606,904,997,30472,1134,196,414,294
2000,Ahilyanagar,Shirirampur,Small (1 to 2 ha),10313,15192,14971,39,181,14214,757,0,17,23
2000,Ahilyanagar,Showgoan,Small (1 to 2 ha),21604,28934,28870,15,50,27178,1691,5,9,0
2000,Ahilyanagar,Shrigonda,Small (1 to 2 ha),26550,38577,37371,283,923,36717,654,26,54,203
2010,Ahilyanagar,Ahamad Nagar,Small (1 to 2 ha),20021,28607,27368,95,1144,23957,3411,21,6,69
2010,Ahilyanagar,Akola,Small (1 to 2 ha),15114,21545,20371,0,1174,19417,954,0,0,0
2010,Ahilyanagar,Jamkhed,Small (1 to 2 ha),12750,18336,17962,40,334,17699,263,0,40,0
2010,Ahilyanagar,Karjat,Small (1 to 2 ha),23474,33692,33008,24,660,32565,443,0,24,0
2010,Ahilyanagar,Kopargoan,Small (1 to 2 ha),15861,22227,21951,1,275,20660,1291,0,1,0
2010,Ahilyanagar,Nevasa,Small (1 to 2 ha),32160,45276,45102,4,169,43968,1134,0,0,4
2010,Ahilyanagar,Parner,Small (1 to 2 ha),24564,35269,35264,0,5,32848,2417,0,0,0
2010,Ahilyanagar,Pathardi,Small (1 to 2 ha),19576,27595,24533,2,3060,24370,163,0,1,1
2010,Ahilyanagar,Rahata,Small (1 to 2 ha),14140,19876,19616,0,261,19193,423,0,0,0
2010,Ahilyanagar,Rahuri,Small (1 to 2 ha),18907,26370,26365,0,5,26012,353,0,0,0
2010,Ahilyanagar,Sangamner,Small (1 to 2 ha),24643,34639,32833,271,1535,32250,583,56,198,18
2010,Ahilyanagar,Shevgoan,Small (1 to 2 ha),21195,29675,28670,0,1005,28630,39,0,0,0
2010,Ahilyanagar,Shirirampur,Small (1 to 2 ha),11624,16246,16139,22,85,15846,293,0,3,19
2010,Ahilyanagar,Shrigonda,Small (1 to 2 ha),28704,40528,39886,48,595,39304,582,2,9,37
2015,Ahilyanagar,Akola,Small (1 to 2 ha),16361,20877,18706,2172,0,17878,828,2172,0,0
2015,Ahilyanagar,Jamkhed,Small (1 to 2 ha),14114,20317,19825,492,0,19545,280,492,0,0
2015,Ahilyanagar,Karjat,Small (1 to 2 ha),22422,25276,24643,633,0,24250,394,633,0,0
2015,Ahilyanagar,Kopargaon,Small (1 to 2 ha),15122,20538,20234,304,0,19107,1127,304,0,0
2015,Ahilyanagar,Nagar,Small (1 to 2 ha),20415,22487,21472,1015,0,19020,2452,1015,0,0
2015,Ahilyanagar,Nevasa,Small (1 to 2 ha),31643,40342,40041,300,0,39051,991,300,0,0
2015,Ahilyanagar,Parner,Small (1 to 2 ha),24913,37332,37261,71,0,34792,2470,71,0,0
2015,Ahilyanagar,Pathardi,Small (1 to 2 ha),20057,26767,23776,2990,0,23630,146,2990,0,0
2015,Ahilyanagar,Rahata,Small (1 to 2 ha),13717,22001,21686,316,0,21254,432,316,0,0
2015,Ahilyanagar,Rahuri,Small (1 to 2 ha),18865,25479,25337,142,0,24955,382,142,0,0
2015,Ahilyanagar,Sangamner,Small (1 to 2 ha),24950,31296,29432,1864,0,28875,558,1864,0,0
2015,Ahilyanagar,Shevgaon,Small (1 to 2 ha),20810,27132,26342,790,0,26292,50,790,0,0
2015,Ahilyanagar,Shrigonda,Small (1 to 2 ha),28001,37870,37131,739,0,36627,505,739,0,0
2015,Ahilyanagar,Shrirampur,Small (1 to 2 ha),12297,13413,13288,125,0,13083,205,125,0,0
2000,Ahilyanagar,Ahamad Nagar,Semimedium (2 to 4 ha),13005,34064,32818,561,686,26130,6687,66,310,185
2000,Ahilyanagar,Akola,Semimedium (2 to 4 ha),9757,28506,24982,2895,629,24858,123,1871,264,760
2000,Ahilyanagar,Jamkhed,Semimedium (2 to 4 ha),9900,27445,26750,554,141,26110,640,278,162,113
2000,Ahilyanagar,Karjat,Semimedium (2 to 4 ha),16859,46856,44067,446,2343,42965,1102,74,291,82
2000,Ahilyanagar,Kopargoan,Semimedium (2 to 4 ha),6698,17817,17236,242,339,14031,3204,1,144,97
2000,Ahilyanagar,Newasa,Semimedium (2 to 4 ha),12734,31850,31016,728,106,30316,700,26,444,258
2000,Ahilyanagar,Parner,Semimedium (2 to 4 ha),17703,48293,47420,94,779,47361,59,0,20,75
2000,Ahilyanagar,Pathardi,Semimedium (2 to 4 ha),11174,28537,28527,1,9,25303,3224,0,1,1
2000,Ahilyanagar,Rahata,Semimedium (2 to 4 ha),5733,15993,15828,83,82,14882,947,0,83,0
2000,Ahilyanagar,Rahuri,Semimedium (2 to 4 ha),7578,19535,18546,89,899,17139,1407,9,19,61
2000,Ahilyanagar,Sangamner,Semimedium (2 to 4 ha),12417,32266,29982,805,1479,28503,1479,317,297,191
2000,Ahilyanagar,Shirirampur,Semimedium (2 to 4 ha),4626,12369,12166,54,149,11400,765,0,20,34
2000,Ahilyanagar,Showgoan,Semimedium (2 to 4 ha),9920,25852,25786,6,59,23476,2311,2,4,0
2000,Ahilyanagar,Shrigonda,Semimedium (2 to 4 ha),16849,45200,43123,651,1426,42183,940,65,279,307
2010,Ahilyanagar,Ahamad Nagar,Semimedium (2 to 4 ha),11492,30879,28769,125,1985,24312,4456,22,41,62
2010,Ahilyanagar,Akola,Semimedium (2 to 4 ha),10081,27649,25237,0,2412,24141,1096,0,0,0
2010,Ahilyanagar,Jamkhed,Semimedium (2 to 4 ha),8556,23205,22629,232,344,21814,815,116,84,32
2010,Ahilyanagar,Karjat,Semimedium (2 to 4 ha),13980,37204,36199,247,758,34785,1415,174,72,0
2010,Ahilyanagar,Kopargoan,Semimedium (2 to 4 ha),5891,15488,15163,0,325,14000,1163,0,0,0
2010,Ahilyanagar,Nevasa,Semimedium (2 to 4 ha),11358,29274,29071,22,181,28219,852,0,13,9
2010,Ahilyanagar,Parner,Semimedium (2 to 4 ha),15275,41123,41001,0,122,37524,3477,0,0,0
2010,Ahilyanagar,Pathardi,Semimedium (2 to 4 ha),9315,24850,21467,14,3369,21346,121,2,2,10
2010,Ahilyanagar,Rahata,Semimedium (2 to 4 ha),5588,14890,14535,0,355,14285,250,0,0,0
2010,Ahilyanagar,Rahuri,Semimedium (2 to 4 ha),6900,17978,17978,0,0,17916,62,0,0,0
2010,Ahilyanagar,Sangamner,Semimedium (2 to 4 ha),12003,32061,29871,485,1704,29216,656,92,365,27
2010,Ahilyanagar,Shevgoan,Semimedium (2 to 4 ha),8712,22746,21660,0,1086,21331,330,0,0,0
2010,Ahilyanagar,Shirirampur,Semimedium (2 to 4 ha),4479,11803,11592,51,160,11360,232,6,5,41
2010,Ahilyanagar,Shrigonda,Semimedium (2 to 4 ha),13848,36303,35277,147,880,34217,1060,1,39,106
2015,Ahilyanagar,Akola,Semimedium (2 to 4 ha),10751,29520,25231,4289,0,24162,1069,4289,0,0
2015,Ahilyanagar,Jamkhed,Semimedium (2 to 4 ha),8338,22574,21792,783,0,21044,747,783,0,0
2015,Ahilyanagar,Karjat,Semimedium (2 to 4 ha),14328,36939,35715,1224,0,34261,1454,1224,0,0
2015,Ahilyanagar,Kopargaon,Semimedium (2 to 4 ha),6729,16699,16317,382,0,15130,1187,382,0,0
2015,Ahilyanagar,Nagar,Semimedium (2 to 4 ha),12890,32005,29935,2070,0,25786,4149,2070,0,0
2015,Ahilyanagar,Nevasa,Semimedium (2 to 4 ha),11541,29368,28911,456,0,27966,946,456,0,0
2015,Ahilyanagar,Parner,Semimedium (2 to 4 ha),15515,39683,39330,353,0,36145,3185,353,0,0
2015,Ahilyanagar,Pathardi,Semimedium (2 to 4 ha),10130,27972,24066,3906,0,23930,136,3906,0,0
2015,Ahilyanagar,Rahata,Semimedium (2 to 4 ha),5537,15541,15121,420,0,14872,248,420,0,0
2015,Ahilyanagar,Rahuri,Semimedium (2 to 4 ha),7712,19289,18966,323,0,18884,82,323,0,0
2015,Ahilyanagar,Sangamner,Semimedium (2 to 4 ha),12365,32275,29860,2415,0,29127,733,2415,0,0
2015,Ahilyanagar,Shevgaon,Semimedium (2 to 4 ha),9262,25297,24197,1100,0,23894,303,1100,0,0
2015,Ahilyanagar,Shrigonda,Semimedium (2 to 4 ha),15265,38225,36951,1274,0,35681,1270,1274,0,0
2015,Ahilyanagar,Shrirampur,Semimedium (2 to 4 ha),5278,14071,13863,207,0,13634,229,207,0,0
2000,Ahilyanagar,Ahamad Nagar,Medium (4 to 10 ha),4081,22496,21758,434,304,15165,6593,49,216,169
2000,Ahilyanagar,Akola,Medium (4 to 10 ha),4519,27448,21507,5401,540,21432,75,4471,331,599
2000,Ahilyanagar,Jamkhed,Medium (4 to 10 ha),3233,17728,17175,361,192,16847,327,142,77,142
2000,Ahilyanagar,Karjat,Medium (4 to 10 ha),4365,24554,21411,838,2305,20489,921,133,592,114
