Year,District,Taluka,Kharif,Rabi
2012,Ahilyanagar,Akole,8073.0,6511.0
2012,Ahilyanagar,Sangamner,16617.0,14934.0
2012,Ahilyanagar,Kopargaon,13206.0,9516.0
2012,Ahilyanagar,Rahata,12989.0,7531.0
2012,Ahilyanagar,Srirampur,12813.0,9183.0
2012,Ahilyanagar,Nevasa,28057.0,15961.0
2012,Ahilyanagar,Shevgaon,18051.0,5059.0
2012,Ahilyanagar,Pathardi,11041.0,1336.0
2012,Ahilyanagar,Nagar,7097.0,9812.0
2012,Ahilyanagar,Rahuri,15919.0,11848.0
2012,Ahilyanagar,Parner,6309.0,6838.0
2012,Ahilyanagar,Srigonda,11942.0,10618.0
2012,Ahilyanagar,Karjat,8588.0,4288.0
2012,Ahilyanagar,Jamkhed,6580.0,1129.0
2013,Ahilyanagar,Akole,10731.0,8771.0
2013,Ahilyanagar,Sangamner,17503.0,18551.0
2013,Ahilyanagar,Kopargaon,15155.0,14232.0
2013,Ahilyanagar,Rahata,10966.0,13598.0
2013,Ahilyanagar,Srirampur,15155.0,13304.0
2013,Ahilyanagar,Nevasa,25952.0,26995.0
2013,Ahilyanagar,Shevgaon,15512.0,12587.0
2013,Ahilyanagar,Pathardi,8398.0,6323.0
2013,Ahilyanagar,Nagar,10608.0,13941.0
2013,Ahilyanagar,Rahuri,14916.0,15188.0
2013,Ahilyanagar,Parner,10100.0,12991.0
2013,Ahilyanagar,Srigonda,16304.0,27524.0
2013,Ahilyanagar,Karjat,11156.0,11770.0
2013,Ahilyanagar,Jamkhed,2390.0,4370.0
2014,Ahilyanagar,Akole,6940.0,6004.0
2014,Ahilyanagar,Sangamner,18169.0,17303.0
2014,Ahilyanagar,Kopargaon,11293.0,12799.0
2014,Ahilyanagar,Rahata,11407.0,12264.0
2014,Ahilyanagar,Srirampur,14728.0,15127.0
2014,Ahilyanagar,Nevasa,25044.0,26969.0
2014,Ahilyanagar,Shevgaon,14191.0,16115.0
2014,Ahilyanagar,Pathardi,11718.0,8438.0
2014,Ahilyanagar,Nagar,13863.0,9059.0
2014,Ahilyanagar,Rahuri,14998.0,15850.0
2014,Ahilyanagar,Parner,8445.0,9402.0
2014,Ahilyanagar,Srigonda,15991.0,22762.0
2014,Ahilyanagar,Karjat,8656.0,8898.0
2014,Ahilyanagar,Jamkhed,7456.0,5211.0
2015,Ahilyanagar,Akole,4749.0,6010.0
2015,Ahilyanagar,Sangamner,12247.0,17320.0
