Year,District,Taluka,Project Size,Irrigation Beneficiary Area,Irrigated Area,Share of Beneficiary Area Irrigated
2009,Nandurbar,Akkalkuva,Big,0.0,0.0,
2009,Nandurbar,Akkalkuva,Medium,4857.0,20.18,
2009,Nandurbar,Akkalkuva,Small,23.56,23.56,
2009,Nandurbar,Akrani,Big,0.0,0.0,
2009,Nandurbar,Akrani,Medium,0.0,0.0,
2009,Nandurbar,Akrani,Small,5.38,5.38,
2009,Nandurbar,Nandurbar,Big,0.0,0.0,
2009,Nandurbar,Nandurbar,Medium,5395.0,11.307,
2009,Nandurbar,Nandurbar,Small,122.91,122.91,
2009,Nandurbar,Navapur,Big,0.0,0.0,
2009,Nandurbar,Navapur,Medium,10810.0,22.85,
2009,Nandurbar,Navapur,Small,16.2,16.2,
2009,Nandurbar,Shahada,Big,0.0,0.0,
2009,Nandurbar,Shahada,Medium,26161.0,52.13,
2009,Nandurbar,Shahada,Small,114.19,114.19,
2009,Nandurbar,Taloda,Big,0.0,0.0,
2009,Nandurbar,Taloda,Medium,0.0,0.0,
2009,Nandurbar,Taloda,Small,13.23,13.23,
2009,Ratnagiri,Chiplun,Big,0.0,0.0,
2009,Ratnagiri,Chiplun,Medium,0.0,0.0,
2009,Ratnagiri,Chiplun,Small,4111.0,23.01,
2009,Ratnagiri,Dapoli,Big,0.0,0.0,
2009,Ratnagiri,Dapoli,Medium,0.0,0.0,
2009,Ratnagiri,Dapoli,Small,2517.0,7.47,
2009,Ratnagiri,Guhagar,Big,0.0,0.0,
2009,Ratnagiri,Guhagar,Medium,0.0,0.0,
2009,Ratnagiri,Guhagar,Small,318.0,4.5,
2009,Ratnagiri,Khed,Big,0.0,0.0,
2009,Ratnagiri,Khed,Medium,2050.0,104.51,
2009,Ratnagiri,Khed,Small,7165.0,10.94,
2009,Ratnagiri,Lanja,Big,0.0,0.0,
2009,Ratnagiri,Lanja,Medium,0.0,0.0,
2009,Ratnagiri,Lanja,Small,5067.0,15.0,
2009,Ratnagiri,Mandangad,Big,0.0,0.0,
2009,Ratnagiri,Mandangad,Medium,0.0,0.0,
2009,Ratnagiri,Mandangad,Small,1519.0,0.0,
2009,Ratnagiri,Rajapur,Big,0.0,0.0,
2009,Ratnagiri,Rajapur,Medium,9204.0,0.0,
2009,Ratnagiri,Rajapur,Small,4389.0,14.0,
2009,Ratnagiri,Ratnagiri,Big,0.0,0.0,
2009,Ratnagiri,Ratnagiri,Medium,0.0,0.0,
2009,Ratnagiri,Ratnagiri,Small,346.0,0.0,
2009,Ratnagiri,Sangameshwar,Big,0.0,0.0,
2009,Ratnagiri,Sangameshwar,Medium,3110.0,0.0,
2009,Ratnagiri,Sangameshwar,Small,4413.0,23.34,
2009,Washim,Karanja,Small,4156.0,2144.0,
2009,Washim,Malegaon,Medium,42.0,,
2009,Washim,Malegaon,Small,9848.0,2985.0,
2009,Washim,Mangrulpir,Medium,3114.0,3156.0,
2009,Washim,Mangrulpir,Small,6020.0,2812.0,
2009,Washim,Manora,Small,10419.0,2909.0,
2009,Washim,Resod,Medium,936.0,936.0,
2009,Washim,Resod,Small,731.0,3523.0,
2009,Washim,Washim,Medium,2429.0,2429.0,
2009,Washim,Washim,Small,9159.0,3122.0,
2010,Nandurbar,Akkalkuva,Big,0.0,0.0,
2010,Nandurbar,Akkalkuva,Medium,4857.0,2171.0,
2010,Nandurbar,Akkalkuva,Small,7.56,7.56,
2010,Nandurbar,Akrani,Big,0.0,0.0,
2010,Nandurbar,Akrani,Medium,0.0,0.0,
2010,Nandurbar,Akrani,Small,167.58,167.58,
2010,Nandurbar,Nandurbar,Big,0.0,0.0,
2010,Nandurbar,Nandurbar,Medium,5395.0,1347.0,
2010,Nandurbar,Nandurbar,Small,78.35,78.35,
2010,Nandurbar,Navapur,Big,0.0,0.0,
2010,Nandurbar,Navapur,Medium,15210.0,4941.0,
2010,Nandurbar,Navapur,Small,133.55,133.55,
2010,Nandurbar,Shahada,Big,0.0,0.0,
2010,Nandurbar,Shahada,Medium,26161.0,6639.0,
2010,Nandurbar,Shahada,Small,137.32,137.32,
2010,Nandurbar,Taloda,Big,0.0,0.0,
2010,Nandurbar,Taloda,Medium,0.0,0.0,
2010,Nandurbar,Taloda,Small,4.7,4.7,
2010,Ratnagiri,Chiplun,Big,0.0,0.0,
2010,Ratnagiri,Chiplun,Medium,0.0,0.0,
2010,Ratnagiri,Chiplun,Small,1334.0,296.0,
2010,Ratnagiri,Dapoli,Big,0.0,0.0,
2010,Ratnagiri,Dapoli,Medium,0.0,0.0,
2010,Ratnagiri,Dapoli,Small,1495.0,997.0,
2010,Ratnagiri,Guhagar,Big,0.0,0.0,
2010,Ratnagiri,Guhagar,Medium,0.0,0.0,
2010,Ratnagiri,Guhagar,Small,207.0,5.0,
2010,Ratnagiri,Khed,Big,0.0,0.0,
2010,Ratnagiri,Khed,Medium,2390.0,126.0,
2010,Ratnagiri,Khed,Small,3068.0,1982.0,
2010,Ratnagiri,Lanja,Big,0.0,0.0,
2010,Ratnagiri,Lanja,Medium,0.0,0.0,
2010,Ratnagiri,Lanja,Small,1961.0,15.0,
2010,Ratnagiri,Mandangad,Big,0.0,0.0,
2010,Ratnagiri,Mandangad,Medium,0.0,0.0,
2010,Ratnagiri,Mandangad,Small,707.0,585.0,
2010,Ratnagiri,Rajapur,Big,0.0,0.0,
2010,Ratnagiri,Rajapur,Medium,12112.0,0.0,
2010,Ratnagiri,Rajapur,Small,1296.0,369.0,
2010,Ratnagiri,Ratnagiri,Big,0.0,0.0,
2010,Ratnagiri,Ratnagiri,Medium,0.0,0.0,
2010,Ratnagiri,Ratnagiri,Small,0.0,0.0,
2010,Ratnagiri,Sangameshwar,Big,0.0,0.0,
2010,Ratnagiri,Sangameshwar,Medium,4296.0,0.0,
2010,Ratnagiri,Sangameshwar,Small,2475.0,1019.0,
2010,Washim,Karanja,Medium,104.0,81.0,
2010,Washim,Karanja,Small,963.0,963.0,
2010,Washim,Malegaon,Medium,1156.0,,
2010,Washim,Malegaon,Small,6017.0,6017.0,
2010,Washim,Mangrulpir,Medium,3114.0,3156.0,
2010,Washim,Mangrulpir,Small,2624.0,2624.0,
2010,Washim,Manora,Small,6722.0,6722.0,
2010,Washim,Resod,Medium,936.0,936.0,
2010,Washim,Resod,Small,4117.0,4016.0,
2010,Washim,Washim,Medium,2095.0,2429.0,
2010,Washim,Washim,Small,7130.0,7130.0,
2011,Nandurbar,Akkalkuva,Big,0.0,0.0,
2011,Nandurbar,Akkalkuva,Medium,4857.0,0.0,
2011,Nandurbar,Akkalkuva,Small,166.2,166.2,
2011,Nandurbar,Akrani,Big,0.0,0.0,
2011,Nandurbar,Akrani,Medium,0.0,0.0,
2011,Nandurbar,Akrani,Small,94.46,94.46,
2011,Nandurbar,Nandurbar,Big,0.0,0.0,
2011,Nandurbar,Nandurbar,Medium,5395.0,482.0,
2011,Nandurbar,Nandurbar,Small,1212.57,1072.57,
2011,Nandurbar,Navapur,Big,0.0,0.0,
2011,Nandurbar,Navapur,Medium,15210.0,3419.0,
2011,Nandurbar,Navapur,Small,1124.7,1124.7,
2011,Nandurbar,Shahada,Big,0.0,0.0,
2011,Nandurbar,Shahada,Medium,24105.0,15073.0,
2011,Nandurbar,Shahada,Small,407.08,407.08,
2011,Nandurbar,Taloda,Big,0.0,0.0,
2011,Nandurbar,Taloda,Medium,0.0,0.0,
2011,Nandurbar,Taloda,Small,219.7,83.7,
2011,Ratnagiri,Chiplun,Big,0.0,0.0,
2011,Ratnagiri,Chiplun,Medium,0.0,0.0,
2011,Ratnagiri,Chiplun,Small,1632.0,1227.0,
2011,Ratnagiri,Dapoli,Big,0.0,0.0,
2011,Ratnagiri,Dapoli,Medium,0.0,0.0,
2011,Ratnagiri,Dapoli,Small,1840.0,1382.0,
2011,Ratnagiri,Guhagar,Big,0.0,0.0,
2011,Ratnagiri,Guhagar,Medium,0.0,0.0,
2011,Ratnagiri,Guhagar,Small,315.0,207.0,
2011,Ratnagiri,Khed,Big,0.0,0.0,
2011,Ratnagiri,Khed,Medium,2050.0,82.0,
2011,Ratnagiri,Khed,Small,3068.0,2174.0,
2011,Ratnagiri,Lanja,Big,0.0,0.0,
2011,Ratnagiri,Lanja,Medium,0.0,0.0,
2011,Ratnagiri,Lanja,Small,1961.0,620.0,
2011,Ratnagiri,Mandangad,Big,0.0,0.0,
2011,Ratnagiri,Mandangad,Medium,0.0,0.0,
2011,Ratnagiri,Mandangad,Small,707.0,585.0,
2011,Ratnagiri,Rajapur,Big,0.0,0.0,
2011,Ratnagiri,Rajapur,Medium,12112.0,0.0,
2011,Ratnagiri,Rajapur,Small,1296.0,472.0,
2011,Ratnagiri,Ratnagiri,Big,0.0,0.0,
