Year,District,Taluka,Ponds or Village Lakes,Storage Dams,Irrigation Wells,Diesel Pumps,Electric Pumps
2012,Ahilyanagar,Akole,115.0,222,725.0,430,2463.0
2012,Ahilyanagar,Sangamner,168.0,136,950.0,150,13330.0
2012,Ahilyanagar,Kopargaon,32.0,60,576.0,0,4190.0
2012,Ahilyanagar,Rahata,0.0,25,104.0,0,8799.0
2012,Ahilyanagar,Srirampur,19.0,53,297.0,0,9987.0
2012,Ahilyanagar,Nevasa,12.0,77,518.0,0,19021.0
2012,Ahilyanagar,Shevgaon,41.0,69,832.0,102,4275.0
2012,Ahilyanagar,Pathardi,144.0,146,782.0,166,9295.0
2012,Ahilyanagar,Nagar,224.0,96,503.0,50,14950.0
2012,Ahilyanagar,Rahuri,45.0,34,377.0,42,14325.0
2012,Ahilyanagar,Parner,346.0,95,545.0,120,8380.0
2012,Ahilyanagar,Srigonda,201.0,71,408.0,340,10005.0
2012,Ahilyanagar,Karjat,141.0,84,745.0,192,11230.0
2012,Ahilyanagar,Jamkhed,99.0,61,758.0,30,2650.0
2013,Ahilyanagar,Akole,115.0,223,3660.0,430,2648.0
2013,Ahilyanagar,Sangamner,168.0,94,14129.0,150,12997.0
2013,Ahilyanagar,Kopargaon,32.0,63,4647.0,0,4400.0
2013,Ahilyanagar,Rahata,0.0,25,16541.0,0,12239.0
2013,Ahilyanagar,Srirampur,19.0,42,10316.0,0,9366.0
2013,Ahilyanagar,Nevasa,12.0,73,11603.0,0,9972.0
2013,Ahilyanagar,Shevgaon,41.0,68,7021.0,102,5814.0
2013,Ahilyanagar,Pathardi,144.0,136,10735.0,166,9676.0
2013,Ahilyanagar,Nagar,224.0,99,19504.0,50,17383.0
2013,Ahilyanagar,Rahuri,45.0,38,22254.0,71,19041.0
2013,Ahilyanagar,Parner,346.0,90,18263.0,92,14511.0
2013,Ahilyanagar,Srigonda,201.0,65,8006.0,288,6205.0
2013,Ahilyanagar,Karjat,141.0,86,14559.0,110,11792.0
2013,Ahilyanagar,Jamkhed,99.0,64,6023.0,51,4783.0
2014,Ahilyanagar,Akole,115.0,223,3745.0,412,2752.0
2014,Ahilyanagar,Sangamner,168.0,94,15234.0,147,12877.0
2014,Ahilyanagar,Kopargaon,32.0,63,4769.0,0,4752.0
2014,Ahilyanagar,Rahata,0.0,25,16743.0,0,12309.0
2014,Ahilyanagar,Srirampur,19.0,42,11417.0,0,9571.0
2014,Ahilyanagar,Nevasa,12.0,73,7928.0,0,9987.0
2014,Ahilyanagar,Shevgaon,41.0,68,12397.0,102,5837.0
2014,Ahilyanagar,Pathardi,144.0,136,8711.0,158,9678.0
2014,Ahilyanagar,Nagar,224.0,99,11913.0,49,17387.0
2014,Ahilyanagar,Rahuri,45.0,38,19785.0,74,19043.0
2014,Ahilyanagar,Parner,346.0,90,23418.0,87,14524.0
2014,Ahilyanagar,Srigonda,201.0,65,18790.0,197,6367.0
2014,Ahilyanagar,Karjat,141.0,86,9437.0,127,11795.0
2014,Ahilyanagar,Jamkhed,99.0,64,14981.0,53,4796.0
2015,Ahilyanagar,Akole,45.0,233,1775.0,0,2193.0
2015,Ahilyanagar,Sangamner,88.0,99,7000.0,0,1570.0
2015,Ahilyanagar,Kopargaon,31.0,64,0.0,0,0.0
2015,Ahilyanagar,Rahata,0.0,27,4942.0,0,35.0
2015,Ahilyanagar,Srirampur,12.0,45,9795.0,0,370.0
2015,Ahilyanagar,Nevasa,10.0,92,2350.0,0,350.0
2015,Ahilyanagar,Shevgaon,36.0,70,0.0,0,0.0
2015,Ahilyanagar,Pathardi,76.0,139,495.0,0,386.0
2015,Ahilyanagar,Nagar,111.0,104,0.0,0,0.0
2015,Ahilyanagar,Rahuri,38.0,41,6270.0,0,114.0
2015,Ahilyanagar,Parner,130.0,103,675.0,0,250.0
