Year,District,Taluka,Small (Local),Small (State),Medium,Big
2012,Ahilyanagar,Akole,2.0,1.0,3.0,4
2012,Ahilyanagar,Jamkhed,1.0,0.0,1.0,0
2012,Ahilyanagar,Karjat,3.0,0.0,0.0,0
2012,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2012,Ahilyanagar,Nagar,3.0,1.0,0.0,0
2012,Ahilyanagar,Nevasa,2.0,0.0,0.0,0
2012,Ahilyanagar,Parner,1.0,0.0,1.0,3
2012,Ahilyanagar,Pathardi,11.0,0.0,3.0,1
2012,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2012,Ahilyanagar,Rahuri,0.0,0.0,0.0,1
2012,Ahilyanagar,Sangamner,46.0,0.0,0.0,0
2012,Ahilyanagar,Shevgaon,1.0,0.0,1.0,0
2012,Ahilyanagar,Srigonda,2.0,0.0,1.0,0
2012,Ahilyanagar,Srirampur,15.0,0.0,1.0,0
2013,Ahilyanagar,Akole,2.0,1.0,3.0,4
2013,Ahilyanagar,Jamkhed,1.0,0.0,1.0,0
2013,Ahilyanagar,Karjat,3.0,0.0,0.0,0
2013,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2013,Ahilyanagar,Nagar,3.0,1.0,0.0,0
2013,Ahilyanagar,Nevasa,2.0,0.0,0.0,0
2013,Ahilyanagar,Parner,1.0,0.0,1.0,3
2013,Ahilyanagar,Pathardi,11.0,0.0,3.0,1
2013,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2013,Ahilyanagar,Rahuri,0.0,0.0,0.0,1
2013,Ahilyanagar,Sangamner,46.0,0.0,0.0,0
2013,Ahilyanagar,Shevgaon,1.0,0.0,1.0,0
2013,Ahilyanagar,Srigonda,2.0,0.0,1.0,0
2013,Ahilyanagar,Srirampur,15.0,0.0,1.0,0
2014,Ahilyanagar,Akole,2.0,1.0,1.0,2
2014,Ahilyanagar,Jamkhed,1.0,0.0,1.0,0
2014,Ahilyanagar,Karjat,3.0,0.0,1.0,0
2014,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2014,Ahilyanagar,Nagar,3.0,1.0,0.0,0
2014,Ahilyanagar,Nevasa,2.0,0.0,0.0,0
2014,Ahilyanagar,Parner,1.0,0.0,1.0,0
2014,Ahilyanagar,Pathardi,11.0,0.0,1.0,0
2014,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2014,Ahilyanagar,Rahuri,0.0,0.0,0.0,1
2014,Ahilyanagar,Sangamner,46.0,0.0,0.0,0
2014,Ahilyanagar,Shevgaon,1.0,0.0,1.0,0
2014,Ahilyanagar,Srigonda,2.0,0.0,1.0,0
2014,Ahilyanagar,Srirampur,15.0,0.0,1.0,0
2015,Ahilyanagar,Akole,0.0,11.0,1.0,2
2015,Ahilyanagar,Jamkhed,0.0,0.0,1.0,0
2015,Ahilyanagar,Karjat,0.0,0.0,2.0,0
2015,Ahilyanagar,Kopargaon,0.0,0.0,0.0,1
2015,Ahilyanagar,Nagar,0.0,0.0,0.0,0
2015,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2015,Ahilyanagar,Parner,0.0,6.0,1.0,2
2015,Ahilyanagar,Pathardi,0.0,6.0,1.0,0
2015,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2015,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2015,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2015,Ahilyanagar,Shevgaon,0.0,0.0,1.0,0
2015,Ahilyanagar,Srigonda,0.0,0.0,1.0,2
2015,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2016,Ahilyanagar,Akole,0.0,11.0,1.0,2
2016,Ahilyanagar,Jamkhed,0.0,0.0,1.0,0
2016,Ahilyanagar,Karjat,0.0,0.0,2.0,0
2016,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2016,Ahilyanagar,Nagar,0.0,0.0,0.0,0
2016,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2016,Ahilyanagar,Parner,0.0,6.0,1.0,2
2016,Ahilyanagar,Pathardi,0.0,6.0,0.0,0
2016,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2016,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2016,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2016,Ahilyanagar,Shevgaon,0.0,0.0,0.0,0
2016,Ahilyanagar,Srigonda,0.0,0.0,1.0,1
2016,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2017,Ahilyanagar,Akole,0.0,12.0,1.0,2
2017,Ahilyanagar,Jamkhed,0.0,11.0,1.0,0
2017,Ahilyanagar,Karjat,0.0,9.0,2.0,0
2017,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2017,Ahilyanagar,Nagar,0.0,10.0,0.0,0
2017,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2017,Ahilyanagar,Parner,0.0,4.0,1.0,2
2017,Ahilyanagar,Pathardi,0.0,6.0,0.0,0
2017,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2017,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2017,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2017,Ahilyanagar,Shevgaon,0.0,0.0,0.0,0
2017,Ahilyanagar,Srigonda,0.0,5.0,1.0,1
2017,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2018,Ahilyanagar,Akole,0.0,12.0,1.0,2
2018,Ahilyanagar,Jamkhed,0.0,11.0,1.0,0
2018,Ahilyanagar,Karjat,0.0,9.0,2.0,0
2018,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2018,Ahilyanagar,Nagar,0.0,9.0,0.0,0
2018,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2018,Ahilyanagar,Parner,0.0,10.0,1.0,2
2018,Ahilyanagar,Pathardi,0.0,6.0,0.0,0
2018,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2018,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2018,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2018,Ahilyanagar,Shevgaon,0.0,0.0,0.0,0
2018,Ahilyanagar,Srigonda,0.0,5.0,1.0,1
2018,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2019,Ahilyanagar,Akole,0.0,12.0,1.0,2
2019,Ahilyanagar,Jamkhed,0.0,11.0,1.0,0
2019,Ahilyanagar,Karjat,0.0,9.0,2.0,0
2019,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2019,Ahilyanagar,Nagar,0.0,10.0,0.0,0
2019,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2019,Ahilyanagar,Parner,0.0,9.0,1.0,2
2019,Ahilyanagar,Pathardi,0.0,6.0,0.0,0
2019,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2019,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2019,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2019,Ahilyanagar,Shevgaon,0.0,0.0,0.0,0
2019,Ahilyanagar,Srigonda,0.0,5.0,1.0,1
2019,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2020,Ahilyanagar,Akole,0.0,12.0,1.0,2
2020,Ahilyanagar,Jamkhed,0.0,11.0,1.0,0
2020,Ahilyanagar,Karjat,0.0,9.0,2.0,0
2020,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2020,Ahilyanagar,Nagar,0.0,10.0,0.0,0
2020,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2020,Ahilyanagar,Parner,0.0,9.0,1.0,2
2020,Ahilyanagar,Pathardi,0.0,6.0,0.0,0
2020,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2020,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2020,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2020,Ahilyanagar,Shevgaon,0.0,0.0,0.0,0
2020,Ahilyanagar,Srigonda,0.0,5.0,1.0,1
2020,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2021,Ahilyanagar,Akole,0.0,12.0,1.0,2
2021,Ahilyanagar,Jamkhed,0.0,11.0,1.0,0
2021,Ahilyanagar,Karjat,0.0,9.0,2.0,0
2021,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0
2021,Ahilyanagar,Nagar,0.0,10.0,0.0,0
2021,Ahilyanagar,Nevasa,0.0,0.0,0.0,0
2021,Ahilyanagar,Parner,0.0,9.0,1.0,2
2021,Ahilyanagar,Pathardi,0.0,6.0,0.0,0
2021,Ahilyanagar,Rahata,0.0,0.0,0.0,0
2021,Ahilyanagar,Rahuri,0.0,1.0,0.0,1
2021,Ahilyanagar,Sangamner,0.0,8.0,1.0,1
2021,Ahilyanagar,Shevgaon,0.0,0.0,0.0,0
2021,Ahilyanagar,Srigonda,0.0,5.0,1.0,1
2021,Ahilyanagar,Srirampur,0.0,1.0,1.0,0
2012,Akola,Akola,0.0,4.0,0.0,0
2012,Akola,Akot,1.0,5.0,0.0,0
2012,Akola,Balapur,0.0,0.0,0.0,0
2012,Akola,Barshitakali,11.0,13.0,0.0,1
2012,Akola,Murtijapur,1.0,3.0,1.0,0
2012,Akola,Patur,6.0,8.0,2.0,0
2012,Akola,Telhara,0.0,0.0,0.0,1
2013,Akola,Akola,0.0,3.0,0.0,0
2013,Akola,Akot,1.0,3.0,0.0,0
2013,Akola,Balapur,0.0,0.0,0.0,0
2013,Akola,Barshitakali,11.0,13.0,0.0,1
2013,Akola,Murtijapur,1.0,2.0,1.0,0
2013,Akola,Patur,6.0,7.0,2.0,0
2013,Akola,Telhara,0.0,0.0,0.0,1
2014,Akola,Akola,1.0,4.0,0.0,0
2014,Akola,Akot,1.0,3.0,0.0,0
2014,Akola,Balapur,0.0,0.0,0.0,0
2014,Akola,Barshitakali,11.0,13.0,0.0,1
2014,Akola,Murtijapur,3.0,1.0,1.0,0
2014,Akola,Patur,6.0,7.0,2.0,0
2014,Akola,Telhara,1.0,0.0,0.0,1
2015,Akola,Akola,1.0,4.0,0.0,0
2015,Akola,Akot,1.0,3.0,0.0,0
2015,Akola,Balapur,0.0,0.0,0.0,0
2015,Akola,Barshitakali,11.0,13.0,0.0,1
2015,Akola,Murtijapur,3.0,1.0,1.0,0
2015,Akola,Patur,6.0,7.0,2.0,0
2015,Akola,Telhara,1.0,0.0,0.0,1
2016,Akola,Akola,1.0,4.0,0.0,0
2016,Akola,Akot,1.0,1.0,0.0,0
2016,Akola,Balapur,0.0,0.0,0.0,0
2016,Akola,Barshitakali,11.0,11.0,0.0,1
2016,Akola,Murtijapur,1.0,1.0,1.0,0
2016,Akola,Patur,6.0,7.0,2.0,0
2016,Akola,Telhara,1.0,0.0,0.0,1
2017,Akola,Akola,1.0,4.0,0.0,0
2017,Akola,Akot,1.0,5.0,0.0,0
2017,Akola,Balapur,0.0,0.0,0.0,0
2017,Akola,Barshitakali,11.0,13.0,0.0,1
2017,Akola,Murtijapur,2.0,2.0,1.0,0
2017,Akola,Patur,6.0,7.0,2.0,0
2017,Akola,Telhara,1.0,0.0,0.0,1
2018,Akola,Akola,4.0,5.0,0.0,0
2018,Akola,Akot,4.0,7.0,0.0,0
2018,Akola,Balapur,0.0,0.0,0.0,0
2018,Akola,Barshitakali,15.0,13.0,0.0,1
2018,Akola,Murtijapur,6.0,4.0,1.0,0
2018,Akola,Patur,7.0,7.0,2.0,0
2018,Akola,Telhara,2.0,0.0,0.0,1
