Year,District,Taluka,Total Irrigation Wells,Wells In Use With Diesel Pump,Wells In Use With Electric Pump,Irrigation Wells Not in Use
2012,Ahilyanagar,Akole,3060,430.0,2463.0,436
2012,Ahilyanagar,Sangamner,12215,150.0,13330.0,313
2012,Ahilyanagar,Kopargaon,4251,0.0,4190.0,61
2012,Ahilyanagar,Rahata,12107,0.0,8799.0,3308
2012,Ahilyanagar,Srirampur,8316,0.0,9987.0,59
2012,Ahilyanagar,Nevasa,10960,0.0,19021.0,0
2012,Ahilyanagar,Shevgaon,6020,102.0,4275.0,815
2012,Ahilyanagar,Pathardi,10735,166.0,9295.0,203
2012,Ahilyanagar,Nagar,22504,50.0,14950.0,400
2012,Ahilyanagar,Rahuri,19241,42.0,14325.0,615
2012,Ahilyanagar,Parner,16067,120.0,8380.0,2544
2012,Ahilyanagar,Srigonda,6725,340.0,10005.0,1005
2012,Ahilyanagar,Karjat,12338,192.0,11230.0,2006
2012,Ahilyanagar,Jamkhed,5926,30.0,2650.0,390
2013,Ahilyanagar,Akole,3660,430.0,2648.0,582
2013,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2013,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2013,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2013,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2013,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2013,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2013,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
2013,Ahilyanagar,Nagar,19504,50.0,17383.0,2071
2013,Ahilyanagar,Rahuri,22254,71.0,19041.0,3142
2013,Ahilyanagar,Parner,18263,92.0,14511.0,3660
2013,Ahilyanagar,Srigonda,8006,288.0,6205.0,1513
2013,Ahilyanagar,Karjat,14559,110.0,11792.0,2657
2013,Ahilyanagar,Jamkhed,6023,51.0,4783.0,1189
2014,Ahilyanagar,Akole,3660,430.0,2648.0,582
2014,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2014,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2014,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2014,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2014,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2014,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2014,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
2014,Ahilyanagar,Nagar,19504,50.0,17383.0,2071
2014,Ahilyanagar,Rahuri,22254,71.0,19041.0,3142
2014,Ahilyanagar,Parner,18263,92.0,14511.0,3660
2014,Ahilyanagar,Srigonda,8006,288.0,6205.0,1513
2014,Ahilyanagar,Karjat,14559,110.0,11792.0,2657
2014,Ahilyanagar,Jamkhed,6023,51.0,4783.0,1189
2015,Ahilyanagar,Akole,3660,430.0,2648.0,582
2015,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2015,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2015,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2015,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2015,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2015,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2015,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
2015,Ahilyanagar,Nagar,19504,50.0,17383.0,2071
2015,Ahilyanagar,Rahuri,22254,71.0,19041.0,3142
2015,Ahilyanagar,Parner,18263,92.0,14511.0,3660
2015,Ahilyanagar,Srigonda,8006,288.0,6205.0,1513
2015,Ahilyanagar,Karjat,14559,110.0,11792.0,2657
2015,Ahilyanagar,Jamkhed,6023,51.0,4783.0,1189
2016,Ahilyanagar,Akole,3660,430.0,2648.0,582
2016,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2016,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2016,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2016,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2016,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2016,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2016,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
2016,Ahilyanagar,Nagar,19504,50.0,17383.0,2071
2016,Ahilyanagar,Rahuri,22254,71.0,19041.0,3142
2016,Ahilyanagar,Parner,18263,92.0,14511.0,3660
2016,Ahilyanagar,Srigonda,8006,288.0,6205.0,1513
2016,Ahilyanagar,Karjat,14559,110.0,11792.0,2657
2016,Ahilyanagar,Jamkhed,6023,51.0,4783.0,1189
2017,Ahilyanagar,Akole,3660,430.0,2648.0,582
2017,Ahilyanagar,Sangamner,14129,150.0,12997.0,982
2017,Ahilyanagar,Kopargaon,4647,0.0,4400.0,247
2017,Ahilyanagar,Rahata,16541,0.0,12239.0,4302
2017,Ahilyanagar,Srirampur,10316,0.0,9366.0,950
2017,Ahilyanagar,Nevasa,11603,0.0,9972.0,1631
2017,Ahilyanagar,Shevgaon,7021,102.0,5814.0,1105
2017,Ahilyanagar,Pathardi,10735,166.0,9676.0,893
