Year,District,Taluka,All Tubewells,High Capacity Tubewells,Successful Tubewells,Hand Pumps,Electric Pumps
2012,Ahilyanagar,Akole,10.0,1.0,9.0,9.0,0.0
2012,Ahilyanagar,Sangamner,19.0,5.0,12.0,12.0,0.0
2012,Ahilyanagar,Kopargaon,5.0,0.0,5.0,5.0,0.0
2012,Ahilyanagar,Rahata,9.0,2.0,6.0,6.0,0.0
2012,Ahilyanagar,Srirampur,27.0,4.0,27.0,27.0,0.0
2012,Ahilyanagar,Nevasa,8.0,6.0,8.0,8.0,0.0
2012,Ahilyanagar,Shevgaon,13.0,4.0,12.0,12.0,0.0
2012,Ahilyanagar,Pathardi,49.0,3.0,38.0,38.0,0.0
2012,Ahilyanagar,Nagar,13.0,0.0,11.0,11.0,0.0
2012,Ahilyanagar,Rahuri,24.0,9.0,21.0,21.0,0.0
2012,Ahilyanagar,Parner,7.0,1.0,7.0,7.0,0.0
2012,Ahilyanagar,Srigonda,13.0,2.0,12.0,12.0,0.0
2012,Ahilyanagar,Karjat,25.0,8.0,25.0,25.0,0.0
2012,Ahilyanagar,Jamkhed,13.0,1.0,13.0,13.0,0.0
2013,Ahilyanagar,Akole,3.0,0.0,3.0,3.0,0.0
2013,Ahilyanagar,Sangamner,14.0,2.0,11.0,11.0,0.0
2013,Ahilyanagar,Kopargaon,6.0,0.0,4.0,4.0,0.0
2013,Ahilyanagar,Rahata,2.0,1.0,1.0,1.0,0.0
2013,Ahilyanagar,Srirampur,3.0,2.0,3.0,3.0,0.0
2013,Ahilyanagar,Nevasa,5.0,3.0,2.0,2.0,0.0
2013,Ahilyanagar,Shevgaon,2.0,1.0,1.0,1.0,0.0
2013,Ahilyanagar,Pathardi,3.0,2.0,1.0,1.0,0.0
2013,Ahilyanagar,Nagar,8.0,0.0,6.0,6.0,0.0
2013,Ahilyanagar,Rahuri,5.0,4.0,1.0,1.0,0.0
2013,Ahilyanagar,Parner,4.0,0.0,3.0,3.0,0.0
2013,Ahilyanagar,Srigonda,0.0,0.0,0.0,0.0,0.0
2013,Ahilyanagar,Karjat,2.0,3.0,3.0,3.0,0.0
2013,Ahilyanagar,Jamkhed,3.0,0.0,3.0,3.0,0.0
2014,Ahilyanagar,Akole,0.0,0.0,0.0,0.0,0.0
2014,Ahilyanagar,Sangamner,16.0,0.0,16.0,16.0,0.0
2014,Ahilyanagar,Kopargaon,10.0,1.0,10.0,10.0,0.0
2014,Ahilyanagar,Rahata,2.0,0.0,2.0,2.0,0.0
2014,Ahilyanagar,Srirampur,12.0,0.0,12.0,12.0,0.0
2014,Ahilyanagar,Nevasa,15.0,0.0,15.0,15.0,0.0
2014,Ahilyanagar,Shevgaon,14.0,1.0,14.0,14.0,0.0
2014,Ahilyanagar,Pathardi,1.0,0.0,1.0,1.0,0.0
2014,Ahilyanagar,Nagar,6.0,0.0,6.0,6.0,0.0
2014,Ahilyanagar,Rahuri,6.0,0.0,6.0,6.0,0.0
2014,Ahilyanagar,Parner,11.0,0.0,11.0,11.0,0.0
2014,Ahilyanagar,Srigonda,43.0,0.0,42.0,42.0,0.0
2014,Ahilyanagar,Karjat,11.0,0.0,11.0,11.0,0.0
2014,Ahilyanagar,Jamkhed,3.0,0.0,3.0,3.0,0.0
2015,Ahilyanagar,Akole,0.0,0.0,0.0,0.0,0.0
2015,Ahilyanagar,Sangamner,16.0,2.0,16.0,16.0,0.0
2015,Ahilyanagar,Kopargaon,10.0,0.0,10.0,10.0,0.0
2015,Ahilyanagar,Rahata,2.0,0.0,2.0,2.0,0.0
2015,Ahilyanagar,Srirampur,12.0,1.0,12.0,12.0,0.0
2015,Ahilyanagar,Nevasa,15.0,3.0,15.0,15.0,0.0
2015,Ahilyanagar,Shevgaon,21.0,4.0,21.0,21.0,0.0
