Year,District,Rural/Urban,Age Group,Population,Male,Female
1991,Ahilyanagar,Rural,0-4,364540.0,185770.0,178770.0
1991,Ahilyanagar,Rural,5-9,324320.0,167830.0,156490.0
1991,Ahilyanagar,Rural,10-14,374800.0,192593.0,182207.0
1991,Ahilyanagar,Rural,15-19,242507.0,138777.0,103730.0
1991,Ahilyanagar,Rural,20-24,234800.0,117890.0,116910.0
1991,Ahilyanagar,Rural,25-29,218405.0,103548.0,114857.0
1991,Ahilyanagar,Rural,30-34,194776.0,96610.0,98166.0
1991,Ahilyanagar,Rural,35-39,177646.0,90737.0,86909.0
1991,Ahilyanagar,Rural,40-44,147539.0,74030.0,73509.0
1991,Ahilyanagar,Rural,45-49,135700.0,68190.0,67510.0
1991,Ahilyanagar,Rural,50-54,111780.0,57810.0,53970.0
1991,Ahilyanagar,Rural,55-59,86941.0,45761.0,41180.0
1991,Ahilyanagar,Rural,60-64,84680.0,42100.0,42580.0
1991,Ahilyanagar,Rural,65-69,53330.0,26320.0,27010.0
1991,Ahilyanagar,Rural,70-74,38340.0,19270.0,19070.0
1991,Ahilyanagar,Rural,75-79,16310.0,7950.0,8360.0
1991,Ahilyanagar,Rural,80+,21250.0,10360.0,10890.0
1991,Ahilyanagar,Urban,0-4,60720.0,31190.0,29530.0
1991,Ahilyanagar,Urban,5-9,61164.0,31944.0,29220.0
1991,Ahilyanagar,Urban,10-14,63716.0,32719.0,30997.0
1991,Ahilyanagar,Urban,15-19,50710.0,28240.0,22470.0
1991,Ahilyanagar,Urban,20-24,53690.0,27550.0,26140.0
1991,Ahilyanagar,Urban,25-29,47597.0,23620.0,23977.0
1991,Ahilyanagar,Urban,30-34,40826.0,21029.0,19797.0
1991,Ahilyanagar,Urban,35-39,36540.0,19250.0,17290.0
1991,Ahilyanagar,Urban,40-44,28441.0,16131.0,12310.0
1991,Ahilyanagar,Urban,45-49,23175.0,12630.0,10545.0
1991,Ahilyanagar,Urban,50-54,17775.0,9041.0,8734.0
1991,Ahilyanagar,Urban,55-59,13430.0,6702.0,6728.0
1991,Ahilyanagar,Urban,60-64,13537.0,6967.0,6570.0
1991,Ahilyanagar,Urban,65-69,8260.0,4410.0,3850.0
1991,Ahilyanagar,Urban,70-74,5420.0,2690.0,2730.0
1991,Ahilyanagar,Urban,75-79,2440.0,1380.0,1060.0
1991,Ahilyanagar,Urban,80+,24230.0,1330.0,1650.0
1991,Akola,Rural,0-4,207320.0,106770.0,100550.0
1991,Akola,Rural,5-9,189110.0,96660.0,92450.0
1991,Akola,Rural,10-14,200359.0,103882.0,96477.0
1991,Akola,Rural,15-19,143694.0,79594.0,64100.0
1991,Akola,Rural,20-24,132520.0,68208.0,64312.0
1991,Akola,Rural,25-29,121070.0,60370.0,60700.0
1991,Akola,Rural,30-34,103970.0,52270.0,51700.0
1991,Akola,Rural,35-39,93957.0,48827.0,45130.0
1991,Akola,Rural,40-44,76630.0,39560.0,37070.0
1991,Akola,Rural,45-49,68816.0,34366.0,34450.0
1991,Akola,Rural,50-54,63547.0,31530.0,32017.0
1991,Akola,Rural,55-59,47610.0,24460.0,23150.0
1991,Akola,Rural,60-64,51288.0,26081.0,25207.0
1991,Akola,Rural,65-69,31619.0,16209.0,15410.0
1991,Akola,Rural,70-74,23160.0,11470.0,11690.0
1991,Akola,Rural,75-79,8680.0,4180.0,4500.0
