Year,District,Rural/Urban,Fire-wood,Crop residue,Cowdung Cake,"Coal, Lignite, Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Other,No cooking
2001,Ahilyanagar,Rural,437713,29586,8917,403,32858,76345,540,6225,410,1449
2001,Ahilyanagar,Urban,21338,2301,1345,87,35621,85070,116,477,178,1086
2011,Ahilyanagar,Rural,494753,18572,7061,1241,17419,167416,526,5599,625,4506
2011,Ahilyanagar,Urban,27219,1604,787,393,17894,132700,63,507,300,2563
2001,Akola,Rural,143413,36525,1888,152,3907,15008,116,679,188,310
2001,Akola,Urban,31526,3790,762,180,21558,52602,36,100,156,509
2011,Akola,Rural,166620,52020,1186,149,937,25499,115,285,178,763
2011,Akola,Urban,48558,3179,1295,182,6806,81964,55,158,139,1047
2001,Amravati,Rural,256080,58812,1819,73,4364,26937,109,1041,710,708
2001,Amravati,Urban,52032,3621,517,358,24129,81280,29,136,108,860
2011,Amravati,Rural,304986,66414,1874,240,1586,46461,227,658,731,1386
2011,Amravati,Urban,66171,4189,532,290,9366,129456,60,279,294,2246
2001,Beed,Rural,274412,47408,15180,134,13836,11324,1477,341,603,530
2001,Beed,Urban,22551,2252,434,55,14902,26765,404,139,20,341
2011,Beed,Rural,308295,90311,9083,752,4937,29298,434,539,576,1889
2011,Beed,Urban,36970,1937,561,188,5247,52800,109,177,101,869
2001,Bhandara,Rural,174751,3514,1587,154,6741,13605,38,3837,83,354
2001,Bhandara,Urban,9048,416,67,38,6060,19315,5,22,50,176
2011,Bhandara,Rural,195148,1811,626,210,1046,20456,100,3123,213,566
2011,Bhandara,Urban,14385,240,65,124,1671,35492,22,61,65,349
2001,Buldhana,Rural,290912,40721,2598,91,4946,17440,307,635,383,507
2001,Buldhana,Urban,31037,4356,443,73,13058,35584,55,95,144,493
2011,Buldhana,Rural,335029,60365,2036,298,1178,43502,271,712,465,1391
2011,Buldhana,Urban,39501,3923,483,78,2426,60396,66,84,76,751
2001,Chandrapur,Rural,249303,15446,4432,3878,10584,20808,198,5180,394,737
2001,Chandrapur,Urban,30380,2147,311,15106,18041,73299,129,165,276,1167
2011,Chandrapur,Rural,282140,11261,2404,2163,2364,46876,127,3024,433,1851
2011,Chandrapur,Urban,33999,1203,449,9606,4066,125785,42,157,420,1242
2001,Chh. Sambhaji Nagar,Rural,248368,36251,6464,240,22751,18428,1094,404,351,472
2001,Chh. Sambhaji Nagar,Urban,17679,2691,635,243,77211,91123,258,165,73,1254
2011,Chh. Sambhaji Nagar,Rural,306372,51967,4346,473,11241,41805,363,655,356,1542
2011,Chh. Sambhaji Nagar,Urban,42903,3229,966,457,61027,204519,228,575,271,3292
2001,Dharashiv,Rural,178583,28997,28858,72,8850,4513,692,479,610,429
2001,Dharashiv,Urban,12261,1514,853,34,14351,11265,249,149,58,292
2011,Dharashiv,Rural,220269,28670,15757,321,4195,22841,196,800,665,1102
2011,Dharashiv,Urban,18199,1641,711,103,6200,26339,35,100,88,528
2001,Dhule,Rural,182445,30799,5829,72,9383,22826,601,505,223,237
2001,Dhule,Urban,12191,1222,166,50,22741,39813,120,98,36,511
2011,Dhule,Rural,213770,26391,3796,139,2354,50892,179,355,307,732
2011,Dhule,Urban,20863,1484,267,148,10504,75246,43,318,127,785
2001,Gadchiroli,Rural,168111,2784,1348,45,8989,7218,58,2010,153,478
2001,Gadchiroli,Urban,5114,275,145,12,2808,6013,4,69,3,114
2011,Gadchiroli,Rural,195882,2207,903,131,1274,15990,154,1391,131,872
2011,Gadchiroli,Urban,10273,265,58,34,783,15024,6,63,14,290
2001,Gondia,Rural,201779,2708,1153,125,4547,6497,83,5313,71,291
2001,Gondia,Urban,8407,361,36,71,4465,13242,15,28,19,165
2011,Gondia,Rural,221265,2278,649,88,879,11571,109,4205,143,615
2011,Gondia,Urban,18334,358,86,192,1813,26473,19,41,32,281
2001,Hingoli,Rural,133039,14801,2624,26,2505,2431,333,106,343,138
2001,Hingoli,Urban,11054,1405,133,19,4328,7509,141,11,7,82
2011,Hingoli,Rural,156150,22657,1876,148,993,12580,126,180,90,343
2011,Hingoli,Urban,14160,706,303,23,1252,15120,86,47,32,169
2001,Jalgaon,Rural,374980,49657,2824,223,13565,90952,460,1600,645,988
2001,Jalgaon,Urban,42328,4812,999,546,28388,115502,157,528,196,713
2011,Jalgaon,Rural,392904,64599,3676,630,5693,145431,431,1362,966,2622
2011,Jalgaon,Urban,53496,3788,757,578,7425,204598,119,275,333,1974
2001,Jalna,Rural,197719,36410,5228,33,7289,5272,688,109,342,335
2001,Jalna,Urban,8895,1659,538,44,17432,20157,107,47,26,219
2011,Jalna,Rural,221026,69967,3405,385,2292,18746,302,397,494,1549
2011,Jalna,Urban,20877,1212,507,99,4584,41473,74,146,45,536
2001,Kolhapur,Rural,223375,21513,123846,174,12093,54161,335,44516,1025,869
2001,Kolhapur,Urban,23393,3532,4742,160,37116,137715,28,567,155,1208
2011,Kolhapur,Rural,237472,15733,97426,331,4932,123108,309,73520,1042,2755
2011,Kolhapur,Urban,23420,1694,4518,196,13396,217210,41,706,303,3371
2001,Latur,Rural,202995,47651,25721,421,6889,7696,953,669,734,386
2001,Latur,Urban,23106,3226,546,63,21497,29799,118,269,36,508
2011,Latur,Rural,240088,70303,13783,279,3136,29095,230,1039,770,1135
2011,Latur,Urban,32095,1818,542,112,11051,66923,82,217,216,1235
2001,Mumbai,Rural,0,0,0,0,0,0,0,0,0,0
2001,Mumbai,Urban,4830,3076,539,542,237823,390803,78,840,194,9865
2011,Mumbai,Rural,0,0,0,0,0,0,0,0,0,0
2011,Mumbai,Urban,11426,2440,829,570,111123,494883,241,1729,1044,13453
2001,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0
2001,Mumbai Suburban,Urban,17774,7901,1305,503,726443,1008048,137,1252,1640,9329
2011,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0
2011,Mumbai Suburban,Urban,43518,7517,2224,918,357625,1586946,822,5928,3762,18483
2001,Nagpur,Rural,230660,6409,2481,3712,11716,37538,267,674,168,692
2001,Nagpur,Urban,86841,6542,1198,17132,82104,298076,141,485,1364,2324
2011,Nagpur,Rural,229878,6255,1426,1676,4563,78374,202,484,356,1354
2011,Nagpur,Urban,88357,3187,1240,14742,35482,521406,261,701,1462,4402
2001,Nanded,Rural,339013,45410,5238,114,7939,11264,639,338,167,423
2001,Nanded,Urban,44652,3517,497,79,25582,37573,300,55,143,596
2011,Nanded,Rural,388011,65304,3789,436,869,26956,309,474,484,992
2011,Nanded,Urban,66582,4339,653,324,5773,89328,200,480,139,861
2001,Nandurbar,Rural,161058,27286,8968,65,2942,13597,142,668,303,426
2001,Nandurbar,Urban,8692,1687,501,41,4695,19117,27,54,51,206
2011,Nandurbar,Rural,206902,31902,6336,200,1062,22775,161,342,358,495
2011,Nandurbar,Urban,13708,1058,574,89,1575,31560,9,65,37,415
2001,Nashik,Rural,362484,19108,27395,230,27989,87518,671,2411,742,1167
2001,Nashik,Urban,24614,4085,1601,201,97728,215992,98,808,192,1724
2011,Nashik,Rural,439222,17442,18405,788,12764,166613,589,1512,881,3761
2011,Nashik,Urban,59443,3922,2223,668,73605,370168,161,888,599,6639
2001,Parbhani,Rural,151486,37778,8179,29,2962,2039,525,153,180,234
2001,Parbhani,Urban,36288,3235,742,99,15432,23068,574,251,32,317
2011,Parbhani,Rural,169909,68464,4028,189,929,11426,189,197,213,519
2011,Parbhani,Urban,48159,3182,506,182,3090,47846,171,218,92,677
2001,Pune,Rural,364268,22433,12943,445,57128,100889,469,5857,220,1908
2001,Pune,Urban,27753,5758,1389,519,250887,578152,153,896,771,6772
2011,Pune,Rural,361798,10732,10320,915,37322,310231,489,5975,793,5539
