Year,District,Rural/Urban,Access to Electricity,No Access to Electricity
2001.0,Ahilyanagar,Total,474834.0,267231
2001.0,Ahilyanagar,Rural,340755.0,253691
2001.0,Ahilyanagar,Urban,134079.0,13540
2001.0,Akola,Total,222288.0,91117
2001.0,Akola,Rural,125729.0,76457
2001.0,Akola,Urban,96559.0,14660
2001.0,Amravati,Total,370178.0,143545
2001.0,Amravati,Rural,227325.0,123328
2001.0,Amravati,Urban,142853.0,20217
2001.0,Beed,Total,288654.0,144454
2001.0,Beed,Rural,225866.0,139379
2001.0,Beed,Urban,62788.0,5075
2001.0,Bhandara,Total,167538.0,72323
2001.0,Bhandara,Rural,135212.0,69452
2001.0,Bhandara,Urban,32326.0,2871
2001.0,Buldhana,Total,276254.0,167624
2001.0,Buldhana,Rural,206572.0,151968
2001.0,Buldhana,Urban,69682.0,15656
2001.0,Chandrapur,Total,280404.0,171577
2001.0,Chandrapur,Rural,160864.0,150096
2001.0,Chandrapur,Urban,119540.0,21481
2001.0,Chhatrapati Sambhaji Nagar,Total,404475.0,121680
2001.0,Chhatrapati Sambhaji Nagar,Rural,222450.0,112373
2001.0,Chhatrapati Sambhaji Nagar,Urban,182025.0,9307
2001.0,Dharashiv,Total,191638.0,101471
2001.0,Dharashiv,Rural,155959.0,96124
2001.0,Dharashiv,Urban,35679.0,5347
2001.0,Dhule,Total,239519.0,90349
2001.0,Dhule,Rural,167069.0,85851
2001.0,Dhule,Urban,72450.0,4498
2001.0,Gadchiroli,Total,89780.0,115971
2001.0,Gadchiroli,Rural,77818.0,113376
2001.0,Gadchiroli,Urban,11962.0,2595
2001.0,Gondia,Total,145709.0,103667
2001.0,Gondia,Rural,122418.0,100149
2001.0,Gondia,Urban,23291.0,3518
2001.0,Hingoli,Total,108881.0,72154
2001.0,Hingoli,Rural,87751.0,68595
2001.0,Hingoli,Urban,21130.0,3559
2001.0,Jalgaon,Total,579129.0,150934
2001.0,Jalgaon,Rural,399964.0,135930
2001.0,Jalgaon,Urban,179165.0,15004
2001.0,Jalna,Total,184985.0,117564
2001.0,Jalna,Rural,140542.0,112883
2001.0,Jalna,Urban,44443.0,4681
2001.0,Kolhapur,Total,617186.0,73337
2001.0,Kolhapur,Rural,420892.0,61015
2001.0,Kolhapur,Urban,196294.0,12322
2001.0,Latur,Total,273393.0,99890
2001.0,Latur,Rural,202237.0,91878
2001.0,Latur,Urban,71156.0,8012
2001.0,Mumbai City,Total,634563.0,14027
2001.0,Mumbai City,Rural,0.0,0
2001.0,Mumbai City,Urban,634563.0,14027
2001.0,Mumbai Suburban,Total,1737197.0,37135
2001.0,Mumbai Suburban,Rural,0.0,0
2001.0,Mumbai Suburban,Urban,1737197.0,37135
2001.0,Nagpur,Total,682019.0,108505
2001.0,Nagpur,Rural,228782.0,65535
2001.0,Nagpur,Urban,453237.0,42970
2001.0,Nanded,Total,320779.0,202760
2001.0,Nanded,Rural,220258.0,190287
2001.0,Nanded,Urban,100521.0,12473
2001.0,Nandurbar,Total,118345.0,132181
2001.0,Nandurbar,Rural,87620.0,127835
2001.0,Nandurbar,Urban,30725.0,4346
2001.0,Nashik,Total,611896.0,264862
2001.0,Nashik,Rural,294502.0,235213
2001.0,Nashik,Urban,317394.0,29649
2001.0,Parbhani,Total,176772.0,106831
2001.0,Parbhani,Rural,108646.0,94919
2001.0,Parbhani,Urban,68126.0,11912
2001.0,Pune,Total,1264643.0,174967
2001.0,Pune,Rural,427384.0,139176
2001.0,Pune,Urban,837259.0,35791
2001.0,Raigad,Total,410822.0,60806
2001.0,Raigad,Rural,303153.0,55592
2001.0,Raigad,Urban,107669.0,5214
2001.0,Ratnagiri,Total,330572.0,36033
2001.0,Ratnagiri,Rural,294524.0,34006
2001.0,Ratnagiri,Urban,36048.0,2027
2001.0,Sangli,Total,380045.0,115144
2001.0,Sangli,Rural,269605.0,102932
2001.0,Sangli,Urban,110440.0,12212
2001.0,Satara,Total,451126.0,95332
2001.0,Satara,Rural,382628.0,89345
2001.0,Satara,Urban,68498.0,5987
2001.0,Sindhudurg,Total,176683.0,13595
2001.0,Sindhudurg,Rural,159237.0,12897
2001.0,Sindhudurg,Urban,17446.0,698
2001.0,Solapur,Total,434638.0,280437
2001.0,Solapur,Rural,240258.0,250729
2001.0,Solapur,Urban,194380.0,29708
2001.0,Thane,Total,1524457.0,175562
2001.0,Thane,Rural,283336.0,144760
2001.0,Thane,Urban,1241121.0,30802
2001.0,Wardha,Total,208008.0,51334
2001.0,Wardha,Rural,148927.0,44919
2001.0,Wardha,Urban,59081.0,6415
2001.0,Washim,Total,115966.0,86668
2001.0,Washim,Rural,91805.0,80859
2001.0,Washim,Urban,24161.0,5809
2001.0,Yavatmal,Total,278714.0,229992
2001.0,Yavatmal,Rural,203969.0,218017
2001.0,Yavatmal,Urban,74745.0,11975
