Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Greater Bombay,Born in the place of enumeration,6222997,3351852,2871145,0,0,0,6222997,3351852,2871145
1991,Greater Bombay,Born elsewhere in the district of enumeration,0,0,0,0,0,0,0,0,0
1991,Greater Bombay,Born in other districts of the state,1523047,834693,688354,0,0,0,1523047,834693,688354
1991,Thane,Born in the place of enumeration,3816009,2083173,1732836,1503911,835957,667954,2312098,1247216,1064882
1991,Thane,Born elsewhere in the district of enumeration,312164,83287,228877,238597,53187,185410,73567,30100,43467
1991,Thane,Born in other districts of the state,556641,281079,275562,61256,29680,31576,495385,251399,243986
1991,Raigad,Born in the place of enumeration,1181881,684396,497485,1021354,590879,430475,160527,93517,67010
1991,Raigad,Born elsewhere in the district of enumeration,399973,104905,295068,342334,80941,261393,57639,23964,33675
1991,Raigad,Born in other districts of the state,167638,73828,93810,94070,40410,53660,73568,33418,40150
1991,Ratnagiri,Born in the place of enumeration,968191,545321,422870,890541,502580,387961,77650,42741,34909
1991,Ratnagiri,Born elsewhere in the district of enumeration,438424,93273,345151,408378,81180,327198,30046,12093,17953
1991,Ratnagiri,Born in other districts of the state,106749,44514,62235,85340,34830,50510,21409,9684,11725
1991,Sindhudurg,Born in the place of enumeration,528080,301797,226283,492434,281751,210683,35646,20046,15600
1991,Sindhudurg,Born elsewhere in the district of enumeration,217172,48807,168365,202928,43602,159326,14244,5205,9039
1991,Sindhudurg,Born in other districts of the state,56310,26040,30270,48070,21840,26230,8240,4200,4040
1991,Nashik,Born in the place of enumeration,2567084,1494318,1072766,1601659,966403,635256,965425,527915,437510
1991,Nashik,Born elsewhere in the district of enumeration,908242,329082,579160,729420,247055,482365,178822,82027,96795
1991,Nashik,Born in other districts of the state,308716,127943,180773,138718,51490,87228,169998,76453,93545
1991,Dhule,Born in the place of enumeration,2091255,1122202,969053,1766106,939120,826986,325149,183082,142067
1991,Dhule,Born elsewhere in the district of enumeration,229721,89406,140315,136956,44226,92730,92765,45180,47585
1991,Dhule,Born in other districts of the state,142019,53320,88699,65720,22020,43700,76299,31300,44999
1991,Jalgaon,Born in the place of enumeration,1840866,1178531,662335,1347945,882290,465655,492921,296241,196680
1991,Jalgaon,Born elsewhere in the district of enumeration,970082,329501,640581,738728,230455,508273,231354,99046,132308
1991,Jalgaon,Born in other districts of the state,286206,98403,187803,180352,58010,122342,105854,40393,65461
1991,Ahilyanagar,Born in the place of enumeration,2306108,1339986,966122,1960960,1143837,817123,345148,196149,148999
1991,Ahilyanagar,Born elsewhere in the district of enumeration,716886,257385,459501,619414,212659,406755,97472,44726,52746
1991,Ahilyanagar,Born in other districts of the state,326771,121388,205383,250510,90720,159790,76261,30668,45593
1991,Pune,Born in the place of enumeration,4153662,2280753,1872909,2049858,1152046,897812,2103804,1128707,975097
1991,Pune,Born elsewhere in the district of enumeration,641992,226085,415907,481252,151895,329357,160740,74190,86550
1991,Pune,Born in other districts of the state,516643,238632,278011,170693,70190,100503,345950,168442,177508
1991,Satara,Born in the place of enumeration,1260042,809934,450108,1106992,717220,389772,153050,92714,60336
1991,Satara,Born elsewhere in the district of enumeration,836243,255998,580245,757620,221821,535799,78623,34177,44446
1991,Satara,Born in other districts of the state,309007,118793,190214,239740,89690,150050,69267,29103,40164
1991,Sangli,Born in the place of enumeration,1478659,870593,608066,1207287,710829,496458,271372,159764,111608
1991,Sangli,Born elsewhere in the district of enumeration,423091,141175,281916,327482,98868,228614,95609,42307,53302
1991,Sangli,Born in other districts of the state,220110,80114,139996,135132,44240,90892,84978,35874,49104
1991,Solapur,Born in the place of enumeration,2099365,1290136,809229,1442765,925881,516884,656600,364255,292345
1991,Solapur,Born elsewhere in the district of enumeration,740715,240557,500158,612157,185420,426737,128558,55137,73421
1991,Solapur,Born in other districts of the state,277744,97935,179809,197092,65924,131168,80652,32011,48641
1991,Kolhapur,Born in the place of enumeration,1749410,1109444,639966,1302983,854140,448843,446427,255304,191123
1991,Kolhapur,Born elsewhere in the district of enumeration,777877,233875,544002,637545,170455,467090,140332,63420,76912
1991,Kolhapur,Born in other districts of the state,249856,96665,153191,145107,50373,94734,104749,46292,58457
1991,Chhatrapati Sambhaji Nagar,Born in the place of enumeration,1621273,972990,648283,1087153,676497,410656,534120,296493,237627
1991,Chhatrapati Sambhaji Nagar,Born elsewhere in the district of enumeration,355780,91319,264461,283064,57340,225724,72716,33979,38737
1991,Chhatrapati Sambhaji Nagar,Born in other districts of the state,217636,78004,139632,114679,31099,83580,102957,46905,56052
1991,Jalna,Born in the place of enumeration,1049882,626391,423491,887102,536334,350768,162780,90057,72723
1991,Jalna,Born elsewhere in the district of enumeration,179277,35387,143890,155731,24230,131501,23546,11157,12389
1991,Jalna,Born in other districts of the state,128938,32050,96888,89656,16316,73340,39282,15734,23548
1991,Parbhani,Born in the place of enumeration,1409349,908572,500777,1132972,748506,384466,276377,160066,116311
1991,Parbhani,Born elsewhere in the district of enumeration,492541,114443,378098,377774,60780,316994,114767,53663,61104
1991,Parbhani,Born in other districts of the state,202105,55239,146866,126320,25660,100660,75785,29579,46206
1991,Beed,Born in the place of enumeration,1341448,814910,526538,1129616,694174,435442,211832,120736,91096
1991,Beed,Born elsewhere in the district of enumeration,325733,79697,246036,261858,48305,213553,63875,31392,32483
1991,Beed,Born in other districts of the state,149081,40153,108928,101990,22670,79320,47091,17483,29608
1991,Nanded,Born in the place of enumeration,1635963,1016599,619364,1312395,834748,477647,323568,181851,141717
1991,Nanded,Born elsewhere in the district of enumeration,476465,116117,360348,377777,68723,309054,98688,47394,51294
1991,Nanded,Born in other districts of the state,161628,50432,111196,102352,24630,77722,59276,25802,33474
1991,Dharashiv,Born in the place of enumeration,873092,558109,314983,761072,491655,269417,112020,66454,45566
1991,Dharashiv,Born elsewhere in the district of enumeration,242031,57625,184406,201175,38679,162496,40856,18946,21910
1991,Dharashiv,Born in other districts of the state,144304,38392,105912,109700,24840,84860,34604,13552,21052
1991,Latur,Born in the place of enumeration,1187592,749885,437707,983348,633222,350126,204244,116663,87581
1991,Latur,Born elsewhere in the district of enumeration,334432,71002,263430,256041,33305,222736,78391,37697,40694
1991,Latur,Born in other districts of the state,116107,32696,83411,72015,13270,58745,44092,19426,24666
1991,Buldana,Born in the place of enumeration,1147713,737025,410688,929051,606829,322222,218662,130196,88466
1991,Buldana,Born elsewhere in the district of enumeration,507231,155538,351693,412968,112734,300234,94263,42804,51459
1991,Buldana,Born in other districts of the state,209325,63824,145501,143905,40104,103801,65420,23720,41700
1991,Akola,Born in the place of enumeration,1398138,879880,518258,1008540,653697,354843,389598,226183,163415
1991,Akola,Born elsewhere in the district of enumeration,510461,162888,347573,395156,111200,283956,115305,51688,63617
1991,Akola,Born in other districts of the state,277291,86560,190731,169064,44780,124284,108227,41780,66447
1991,Amravati,Born in the place of enumeration,1580622,933689,646933,1051181,639504,411677,529441,294185,235256
1991,Amravati,Born elsewhere in the district of enumeration,401354,127798,273556,301187,83960,217227,100167,43838,56329
1991,Amravati,Born in other districts of the state,168071,54067,114004,98620,27360,71260,69451,26707,42744
1991,Yavatmal,Born in the place of enumeration,1370716,811444,559272,1152361,687877,464484,218355,123567,94788
1991,Yavatmal,Born elsewhere in the district of enumeration,486541,177887,308654,412604,141990,270614,73937,35897,38040
1991,Yavatmal,Born in other districts of the state,194247,63731,130516,140028,42660,97368,54219,21071,33148
1991,Wardha,Born in the place of enumeration,635261,399333,235928,476699,304696,172003,158562,94637,63925
1991,Wardha,Born elsewhere in the district of enumeration,238268,84401,153867,184185,58860,125325,54083,25541,28542
1991,Wardha,Born in other districts of the state,171878,56026,115852,113195,34807,78388,58683,21219,37464
1991,Nagpur,Born in the place of enumeration,2665414,1470691,1194723,964092,562174,401918,1701322,908517,792805
1991,Nagpur,Born elsewhere in the district of enumeration,246662,71299,175363,174665,42629,132036,71997,28670,43327
1991,Nagpur,Born in other districts of the state,195877,81517,114360,67290,22190,45100,128587,59327,69260
1991,Bhandara,Born in the place of enumeration,1675268,946508,728760,1491413,843383,648030,183855,103125,80730
1991,Bhandara,Born elsewhere in the district of enumeration,323770,78548,245222,279291,59320,219971,44479,19228,25251
1991,Bhandara,Born in other districts of the state,59159,17630,41529,36448,9110,27338,22711,8520,14191
1991,Chandrapur,Born in the place of enumeration,1277853,746571,531282,869377,523387,345990,408476,223184,185292
1991,Chandrapur,Born elsewhere in the district of enumeration,319784,94617,225167,290694,81887,208807,29090,12730,16360
1991,Chandrapur,Born in other districts of the state,131522,47400,84122,93190,31200,61990,38332,16200,22132
1991,Gadchiroli,Born in the place of enumeration,609605,332897,276708,575794,313817,261977,33811,19080,14731
1991,Gadchiroli,Born elsewhere in the district of enumeration,90511,28680,61831,79728,23590,56138,10783,5090,5693
1991,Gadchiroli,Born in other districts of the state,57437,23377,34060,36603,13077,23526,20834,10300,10534
2001,Nandurbar,Born in the place of enumeration,867246,511750,355496,748287,442672,305615,118959,69078,49881
2001,Nandurbar,Born elsewhere in the district of enumeration,278327,89464,188863,250048,75928,174120,28279,13536,14743
2001,Nandurbar,Born in other districts of the state,111561,43660,67901,71459,27640,43819,40102,16020,24082
2001,Dhule,Born in the place of enumeration,945688,594565,351123,691341,446703,244638,254347,147862,106485
2001,Dhule,Born elsewhere in the district of enumeration,470035,175605,294430,395553,140174,255379,74482,35431,39051
2001,Dhule,Born in other districts of the state,245012,88393,156619,147466,48688,98778,97546,39705,57841
2001,Jalgaon,Born in the place of enumeration,2094297,1341085,753212,1499467,985865,513602,594830,355220,239610
2001,Jalgaon,Born elsewhere in the district of enumeration,1276070,451289,824781,945617,308575,637042,330453,142714,187739
2001,Jalgaon,Born in other districts of the state,226885,77127,149758,138252,43540,94712,88633,33587,55046
2001,Buldhana,Born in the place of enumeration,1381596,901498,480098,1106741,734327,372414,274855,167171,107684
2001,Buldhana,Born elsewhere in the district of enumeration,594279,169500,424779,481041,120867,360174,113238,48633,64605
2001,Buldhana,Born in other districts of the state,231580,65015,166565,156808,40355,116453,74772,24660,50112
2001,Akola,Born in the place of enumeration,1025536,638774,386762,622197,407891,214306,403339,230883,172456
2001,Akola,Born elsewhere in the district of enumeration,358973,120433,238540,256019,75229,180790,102954,45204,57750
2001,Akola,Born in other districts of the state,221796,70964,150832,117516,30824,86692,104280,40140,64140
2001,Washim,Born in the place of enumeration,674409,439631,234778,555966,368193,187773,118443,71438,47005
2001,Washim,Born elsewhere in the district of enumeration,193250,47841,145409,170944,38679,132265,22306,9162,13144
2001,Washim,Born in other districts of the state,147651,36443,111208,112572,25769,86803,35079,10674,24405
2001,Amravati,Born in the place of enumeration,1618669,1018040,600629,1060690,691298,369392,557979,326742,231237
2001,Amravati,Born elsewhere in the district of enumeration,652274,213999,438275,468933,136147,332786,183341,77852,105489
2001,Amravati,Born in other districts of the state,249965,78246,171719,125627,31939,93688,124338,46307,78031
2001,Wardha,Born in the place of enumeration,681163,440973,240190,509583,335481,174102,171580,105492,66088
2001,Wardha,Born elsewhere in the district of enumeration,313432,112168,201264,242538,80325,162213,70894,31843,39051
2001,Wardha,Born in other districts of the state,203270,66363,136907,133826,41466,92360,69444,24897,44547
