Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female,Unnamed: 12
1991,Greater Bombay,Andhra Pradesh,84930,45610,39320,0,0,0,84930,45610,39320,unpivot rural urban
1991,Greater Bombay,Arunachal Pradesh,370,190,180,0,0,0,370,190,180,maharashtra goes
1991,Greater Bombay,Assam,3160,1800,1360,0,0,0,3160,1800,1360,
1991,Greater Bombay,Bihar,51900,35000,16900,0,0,0,51900,35000,16900,
1991,Greater Bombay,Goa,38360,17450,20910,0,0,0,38360,17450,20910,
1991,Greater Bombay,Gujarat,439260,218790,220470,0,0,0,439260,218790,220470,
1991,Greater Bombay,Haryana,11820,6500,5320,0,0,0,11820,6500,5320,
1991,Greater Bombay,Himachal Pradesh,5020,3010,2010,0,0,0,5020,3010,2010,
1991,Greater Bombay,Jammu & Kashmir,3280,1850,1430,0,0,0,3280,1850,1430,
1991,Greater Bombay,Karnataka,242137,128110,114027,0,0,0,242137,128110,114027,
1991,Greater Bombay,Kerala,108290,65190,43100,0,0,0,108290,65190,43100,
1991,Greater Bombay,Madhya Pradesh,36570,17740,18830,0,0,0,36570,17740,18830,
1991,Greater Bombay,Maharashtra,0,0,0,0,0,0,0,0,0,
1991,Greater Bombay,Manipur,840,450,390,0,0,0,840,450,390,
1991,Greater Bombay,Meghalaya,570,270,300,0,0,0,570,270,300,
1991,Greater Bombay,Mizoram,1600,790,810,0,0,0,1600,790,810,
1991,Greater Bombay,Nagaland,290,200,90,0,0,0,290,200,90,
1991,Greater Bombay,Odisha,13800,9000,4800,0,0,0,13800,9000,4800,
1991,Greater Bombay,Punjab,28460,14510,13950,0,0,0,28460,14510,13950,
1991,Greater Bombay,Rajasthan,120500,72580,47920,0,0,0,120500,72580,47920,
1991,Greater Bombay,Sikkim,560,350,210,0,0,0,560,350,210,
1991,Greater Bombay,Tamil Nadu,128210,72840,55370,0,0,0,128210,72840,55370,
1991,Greater Bombay,Tripura,820,440,380,0,0,0,820,440,380,
1991,Greater Bombay,Uttar Pradesh,712570,481960,230610,0,0,0,712570,481960,230610,
1991,Greater Bombay,West Bengal,40230,23080,17150,0,0,0,40230,23080,17150,
1991,Greater Bombay,Andaman & Nicobar Islands,760,380,380,0,0,0,760,380,380,
1991,Greater Bombay,Chandigarh,1060,620,440,0,0,0,1060,620,440,
1991,Greater Bombay,Dadra & Nagar Haveli,470,220,250,0,0,0,470,220,250,
1991,Greater Bombay,Daman & Diu,820,290,530,0,0,0,820,290,530,
1991,Greater Bombay,NCT of Delhi,18290,8980,9310,0,0,0,18290,8980,9310,
1991,Greater Bombay,Lakshadweep,100,50,50,0,0,0,100,50,50,
1991,Greater Bombay,Puducherry,650,360,290,0,0,0,650,360,290,
1991,Thane,Andhra Pradesh,46300,27730,18570,2750,1910,840,43550,25820,17730,
1991,Thane,Arunachal Pradesh,160,90,70,10,10,0,150,80,70,
1991,Thane,Assam,870,530,340,100,60,40,770,470,300,
1991,Thane,Bihar,21580,16240,5340,2280,1790,490,19300,14450,4850,
1991,Thane,Goa,3310,1560,1750,300,160,140,3010,1400,1610,
1991,Thane,Gujarat,72628,35130,37498,11600,4800,6800,61028,30330,30698,
1991,Thane,Haryana,1630,860,770,250,150,100,1380,710,670,
1991,Thane,Himachal Pradesh,1370,740,630,110,90,20,1260,650,610,
1991,Thane,Jammu & Kashmir,960,560,400,140,120,20,820,440,380,
1991,Thane,Karnataka,62020,32240,29780,5460,3120,2340,56560,29120,27440,
1991,Thane,Kerala,37020,21310,15710,3230,2040,1190,33790,19270,14520,
1991,Thane,Madhya Pradesh,13730,6980,6750,1110,670,440,12620,6310,6310,
1991,Thane,Maharashtra,0,0,0,0,0,0,0,0,0,
1991,Thane,Manipur,170,110,60,10,0,10,160,110,50,
1991,Thane,Meghalaya,160,80,80,20,10,10,140,70,70,
1991,Thane,Mizoram,360,170,190,20,10,10,340,160,180,
