Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Greater Bombay,Born in India,9841741,5415155,4426586,0,0,0,9841741,5415155,4426586
1991,Greater Bombay,Born Abroad,78020,41470,36550,0,0,0,78020,41470,36550
1991,Greater Bombay,Unclassifiable,6130,3520,2610,0,0,0,6130,3520,2610
1991,Thane,Born in India,5225116,2780474,2444642,1853309,948409,904900,3371807,1832065,1539742
1991,Thane,Born Abroad,19010,10180,8830,1060,680,380,17950,9500,8450
1991,Thane,Unclassifiable,5000,2220,2780,1550,530,1020,3450,1690,1760
1991,Raigad,Born in India,1821516,906097,915419,1494166,734358,759808,327350,171739,155611
1991,Raigad,Born Abroad,2900,1610,1290,1740,900,840,1160,710,450
1991,Raigad,Unclassifiable,400,200,200,270,130,140,130,70,60
1991,Ratnagiri,Born in India,1542697,699480,843217,1405051,630032,775019,137646,69448,68198
1991,Ratnagiri,Born Abroad,1280,680,600,870,440,430,410,240,170
1991,Ratnagiri,Unclassifiable,80,30,50,80,30,50,0,0,0
1991,Sindhudurg,Born in India,831672,389124,442548,768562,357543,411019,63110,31581,31529
1991,Sindhudurg,Born Abroad,420,240,180,380,210,170,40,30,10
1991,Sindhudurg,Unclassifiable,60,20,40,60,20,40,0,0,0
1991,Nashik,Born in India,3848322,1983333,1864989,2482017,1269758,1212259,1366305,713575,652730
1991,Nashik,Born Abroad,2800,1520,1280,160,100,60,2640,1420,1220
1991,Nashik,Unclassifiable,230,120,110,90,50,40,140,70,70
1991,Dhule,Born in India,2517313,1286028,1231285,1999612,1015816,983796,517701,270212,247489
1991,Dhule,Born Abroad,2290,1040,1250,160,40,120,2130,1000,1130
1991,Dhule,Unclassifiable,60,20,40,50,20,30,10,0,10
1991,Jalgaon,Born in India,3183394,1640773,1542621,2312825,1187515,1125310,870569,453258,417311
1991,Jalgaon,Born Abroad,4160,2040,2120,140,110,30,4020,1930,2090
1991,Jalgaon,Unclassifiable,80,60,20,0,0,0,80,60,20
1991,Ahilyanagar,Born in India,3369185,1728889,1640296,2837894,1451306,1386588,531291,277583,253708
1991,Ahilyanagar,Born Abroad,2040,1000,1040,350,180,170,1690,820,870
1991,Ahilyanagar,Unclassifiable,1710,720,990,1210,520,690,500,200,300
1991,Pune,Born in India,5519302,2854680,2664622,2724773,1386991,1337782,2794529,1467689,1326840
1991,Pune,Born Abroad,11780,6020,5760,520,330,190,11260,5690,5570
1991,Pune,Unclassifiable,1450,760,690,210,140,70,1240,620,620
1991,Satara,Born in India,2447412,1206215,1241197,2132392,1042731,1089661,315020,163484,151536
