Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female
1991,Greater Bombay,Within the state of enumeration,7746044,4186545,3559499,0,0,0,7746044,4186545,3559499
1991,Greater Bombay,States in India beyond the state of enumeration,2095697,1228610,867087,0,0,0,2095697,1228610,867087
1991,Thane,Within the state of enumeration,4684814,2447539,2237275,1803764,918824,884940,2881050,1528715,1352335
1991,Thane,States in India beyond the state of enumeration,540302,332935,207367,49545,29585,19960,490757,303350,187407
1991,Raigad,Within the state of enumeration,1749492,863129,886363,1457758,712230,745528,291734,150899,140835
1991,Raigad,States in India beyond the state of enumeration,72024,42968,29056,36408,22128,14280,35616,20840,14776
1991,Ratnagiri,Within the state of enumeration,1513364,683108,830256,1384259,618590,765669,129105,64518,64587
1991,Ratnagiri,States in India beyond the state of enumeration,29333,16372,12961,20792,11442,9350,8541,4930,3611
1991,Sindhudurg,Within the state of enumeration,801562,376644,424918,743432,347193,396239,58130,29451,28679
1991,Sindhudurg,States in India beyond the state of enumeration,30110,12480,17630,25130,10350,14780,4980,2130,2850
1991,Nashik,Within the state of enumeration,3784042,1951343,1832699,2469797,1264948,1204849,1314245,686395,627850
1991,Nashik,States in India beyond the state of enumeration,64280,31990,32290,12220,4810,7410,52060,27180,24880
1991,Dhule,Within the state of enumeration,2462995,1264928,1198067,1968782,1005366,963416,494213,259562,234651
1991,Dhule,States in India beyond the state of enumeration,54318,21100,33218,30830,10450,20380,23488,10650,12838
1991,Jalgaon,Within the state of enumeration,3097154,1606435,1490719,2267025,1170755,1096270,830129,435680,394449
1991,Jalgaon,States in India beyond the state of enumeration,86240,34338,51902,45800,16760,29040,40440,17578,22862
1991,Ahilyanagar,Within the state of enumeration,3349765,1718759,1631006,2830884,1447216,1383668,518881,271543,247338
1991,Ahilyanagar,States in India beyond the state of enumeration,19420,10130,9290,7010,4090,2920,12410,6040,6370
1991,Pune,Within the state of enumeration,5312297,2745470,2566827,2701803,1374131,1327672,2610494,1371339,1239155
1991,Pune,States in India beyond the state of enumeration,207005,109210,97795,22970,12860,10110,184035,96350,87685
1991,Satara,Within the state of enumeration,2405292,1184725,1220567,2104352,1028731,1075621,300940,155994,144946
1991,Satara,States in India beyond the state of enumeration,42120,21490,20630,28040,14000,14040,14080,7490,6590
1991,Sangli,Within the state of enumeration,2121860,1091882,1029978,1669901,853937,815964,451959,237945,214014
1991,Sangli,States in India beyond the state of enumeration,86648,36339,50309,36620,14390,22230,50028,21949,28079
1991,Solapur,Within the state of enumeration,3117824,1628628,1489196,2252014,1177225,1074789,865810,451403,414407
1991,Solapur,States in India beyond the state of enumeration,112533,41538,70995,49420,15300,34120,63113,26238,36875
1991,Kolhapur,Within the state of enumeration,2777143,1439984,1337159,2085635,1074968,1010667,691508,365016,326492
1991,Kolhapur,States in India beyond the state of enumeration,209914,83468,126446,116750,38530,78220,93164,44938,48226
1991,Chhatrapati Sambhaji Nagar,Within the state of enumeration,2194689,1142313,1052376,1484896,764936,719960,709793,377377,332416
