Year,District,Birth Place,Population,Male,Female,Rural Population,Rural Male,Rural Female,Urban Population,Urban Male,Urban Female,Unnamed: 12,Unnamed: 13
1991,Mumbai,Countries in Asia beyond India,72100,38850,33250,0,0,0,72100,38850,33250,,
1991,Mumbai,Countries in Europe,1560,750,810,0,0,0,1560,750,810,,"Note: In 1991, Countries in Asia included the USSR, while countries in Europe excluded it."
1991,Mumbai,Countries in Africa,3200,1220,1980,0,0,0,3200,1220,1980,,
1991,Mumbai,Countries in the Americas,930,550,380,0,0,0,930,550,380,,
1991,Mumbai,Countries in Oceania,230,100,130,0,0,0,230,100,130,,
1991,Thane,Countries in Asia beyond India,17650,9540,8110,770,570,200,16880,8970,7910,,
1991,Thane,Countries in Europe,660,320,340,100,40,60,560,280,280,,
1991,Thane,Countries in Africa,250,80,170,30,0,30,220,80,140,,
1991,Thane,Countries in the Americas,380,210,170,150,70,80,230,140,90,,
1991,Thane,Countries in Oceania,70,30,40,10,0,10,60,30,30,,
1991,Raigad,Countries in Asia beyond India,2470,1450,1020,1440,800,640,1030,650,380,,
1991,Raigad,Countries in Europe,70,20,50,50,10,40,20,10,10,,
1991,Raigad,Countries in Africa,280,100,180,200,70,130,80,30,50,,
1991,Raigad,Countries in the Americas,60,30,30,40,10,30,20,20,0,,
1991,Raigad,Countries in Oceania,20,10,10,10,10,0,10,0,10,,
1991,Ratnagiri,Countries in Asia beyond India,1110,590,520,750,390,360,360,200,160,,
1991,Ratnagiri,Countries in Europe,0,0,0,0,0,0,0,0,0,,
1991,Ratnagiri,Countries in Africa,60,30,30,50,30,20,10,0,10,,
1991,Ratnagiri,Countries in the Americas,70,20,50,60,10,50,10,10,0,,
1991,Ratnagiri,Countries in Oceania,40,40,0,10,10,0,30,30,0,,
1991,Sindhudurg,Countries in Asia beyond India,320,190,130,310,180,130,10,10,0,,
1991,Sindhudurg,Countries in Europe,80,40,40,50,20,30,30,20,10,,
1991,Sindhudurg,Countries in Africa,20,10,10,20,10,10,0,0,0,,
1991,Sindhudurg,Countries in the Americas,0,0,0,0,0,0,0,0,0,,
1991,Sindhudurg,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Nashik,Countries in Asia beyond India,2680,1490,1190,130,90,40,2550,1400,1150,,
1991,Nashik,Countries in Europe,40,10,30,10,0,10,30,10,20,,
1991,Nashik,Countries in Africa,40,10,30,0,0,0,40,10,30,,
1991,Nashik,Countries in the Americas,40,10,30,20,10,10,20,0,20,,
1991,Nashik,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Dhule,Countries in Asia beyond India,2110,990,1120,30,20,10,2080,970,1110,,
1991,Dhule,Countries in Europe,50,20,30,40,10,30,10,10,0,,
1991,Dhule,Countries in Africa,20,0,20,0,0,0,20,0,20,,
1991,Dhule,Countries in the Americas,110,30,80,90,10,80,20,20,0,,
1991,Dhule,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Jalgaon,Countries in Asia beyond India,4120,2010,2110,140,110,30,3980,1900,2080,,
1991,Jalgaon,Countries in Europe,0,0,0,0,0,0,0,0,0,,
1991,Jalgaon,Countries in Africa,20,10,10,0,0,0,20,10,10,,
1991,Jalgaon,Countries in the Americas,10,10,0,0,0,0,10,10,0,,
1991,Jalgaon,Countries in Oceania,10,10,0,0,0,0,10,10,0,,
1991,Ahilyanagar,Countries in Asia beyond India,1650,910,740,260,170,90,1390,740,650,,
1991,Ahilyanagar,Countries in Europe,140,40,100,50,10,40,90,30,60,,
1991,Ahilyanagar,Countries in Africa,20,10,10,0,0,0,20,10,10,,
1991,Ahilyanagar,Countries in the Americas,210,40,170,30,0,30,180,40,140,,
1991,Ahilyanagar,Countries in Oceania,20,0,20,10,0,10,10,0,10,,
1991,Pune,Countries in Asia beyond India,10510,5440,5070,410,300,110,10100,5140,4960,,
1991,Pune,Countries in Europe,310,150,160,30,20,10,280,130,150,,
1991,Pune,Countries in Africa,670,360,310,20,10,10,650,350,300,,
1991,Pune,Countries in the Americas,270,70,200,50,0,50,220,70,150,,
1991,Pune,Countries in Oceania,20,0,20,10,0,10,10,0,10,,
1991,Satara,Countries in Asia beyond India,3450,1920,1530,2790,1540,1250,660,380,280,,
1991,Satara,Countries in Europe,250,140,110,170,80,90,80,60,20,,
1991,Satara,Countries in Africa,60,30,30,40,20,20,20,10,10,,
1991,Satara,Countries in the Americas,120,50,70,90,30,60,30,20,10,,
1991,Satara,Countries in Oceania,20,20,0,20,20,0,0,0,0,,
1991,Sangli,Countries in Asia beyond India,620,250,370,190,70,120,430,180,250,,
1991,Sangli,Countries in Europe,70,30,40,70,30,40,0,0,0,,
1991,Sangli,Countries in Africa,0,0,0,0,0,0,0,0,0,,
1991,Sangli,Countries in the Americas,210,10,200,210,10,200,0,0,0,,
1991,Sangli,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Solapur,Countries in Asia beyond India,550,310,240,80,40,40,470,270,200,,
1991,Solapur,Countries in Europe,20,0,20,10,0,10,10,0,10,,
1991,Solapur,Countries in Africa,10,0,10,10,0,10,0,0,0,,
1991,Solapur,Countries in the Americas,20,0,20,20,0,20,0,0,0,,
1991,Solapur,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Kolhapur,Countries in Asia beyond India,2330,1210,1120,100,80,20,2230,1130,1100,,
1991,Kolhapur,Countries in Europe,0,0,0,0,0,0,0,0,0,,
1991,Kolhapur,Countries in Africa,10,10,0,0,0,0,10,10,0,,
1991,Kolhapur,Countries in the Americas,10,10,0,0,0,0,10,10,0,,
1991,Kolhapur,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Chh. Sambhaji Nagar,Countries in Asia beyond India,610,330,280,90,60,30,520,270,250,,
1991,Chh. Sambhaji Nagar,Countries in Europe,100,30,70,40,0,40,60,30,30,,
1991,Chh. Sambhaji Nagar,Countries in Africa,110,80,30,10,0,10,100,80,20,,
1991,Chh. Sambhaji Nagar,Countries in the Americas,30,30,0,0,0,0,30,30,0,,
1991,Chh. Sambhaji Nagar,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Jalna,Countries in Asia beyond India,210,110,100,30,10,20,180,100,80,,
1991,Jalna,Countries in Europe,20,10,10,20,10,10,0,0,0,,
1991,Jalna,Countries in Africa,0,0,0,0,0,0,0,0,0,,
1991,Jalna,Countries in the Americas,38,0,38,38,0,38,0,0,0,,
1991,Jalna,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Parbhani,Countries in Asia beyond India,230,150,80,0,0,0,230,150,80,,
1991,Parbhani,Countries in Europe,0,0,0,0,0,0,0,0,0,,
1991,Parbhani,Countries in Africa,0,0,0,0,0,0,0,0,0,,
1991,Parbhani,Countries in the Americas,0,0,0,0,0,0,0,0,0,,
1991,Parbhani,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
1991,Beed,Countries in Asia beyond India,130,60,70,50,30,20,80,30,50,,
1991,Beed,Countries in Europe,20,10,10,20,10,10,0,0,0,,
1991,Beed,Countries in Africa,0,0,0,0,0,0,0,0,0,,
1991,Beed,Countries in the Americas,0,0,0,0,0,0,0,0,0,,
1991,Beed,Countries in Oceania,0,0,0,0,0,0,0,0,0,,
