Year,District,Rural/Urban,Literate Population,Male,Female
1991,Ahilyanagar,Rural,1336114,861172,474942
1991,Akola,Rural,789158,495916,293242
1991,Amravati,Rural,801325,473016,328309
1991,Chhatrapati Sambhaji Nagar,Rural,564570,402394,162176
1991,Beed,Rural,533958,378050,155908
1991,Bhandara,Rural,951595,590102,361493
1991,Buldhana,Rural,700610,456038,244572
1991,Chandrapur,Rural,563324,356767,206557
1991,Dhule,Rural,736260,478299,257961
1991,Gadchiroli,Rural,236109,160246,75863
1991,Jalgaon,Rural,1136626,723184,413442
1991,Jalna,Rural,372861,277438,95423
1991,Kolhapur,Rural,1161652,725529,436123
1991,Latur,Rural,549326,365656,183670
1991,Nanded,Rural,607905,438288,169617
1991,Nashik,Rural,1065699,685618,380081
1991,Dharashiv,Rural,447977,296097,151880
1991,Parbhani,Rural,544317,399980,144337
1991,Pune,Rural,1367991,855174,512817
1991,Raigad,Rural,749779,443775,306004
1991,Ratnagiri,Rural,718483,389035,329448
1991,Sangli,Rural,848442,525457,322985
1991,Satara,Rural,1150353,683789,466564
1991,Sindhudurg,Rural,499249,261936,237313
1991,Solapur,Rural,957665,636648,321017
1991,Thane,Rural,760878,482519,278359
1991,Yavatmal,Rural,756444,483023,273421
1991,Nagpur,Rural,644506,391068,253438
1991,Wardha,Rural,433366,254615,178751
1991,Ahilyanagar,Urban,347051,204389,142662
1991,Akola,Urban,404784,229911,174873
1991,Amravati,Urban,488400,273468,214932
1991,Chhatrapati Sambhaji Nagar,Urban,440882,267974,172908
1991,Beed,Urban,185554,114530,71024
1991,Bhandara,Urban,192320,109844,82476
1991,Buldhana,Urban,239499,140727,98772
1991,Chandrapur,Urban,356252,210340,145912
1991,Dhule,Urban,327470,191576,135894
1991,Jalgaon,Urban,558173,327412,230761
1991,Jalna,Urban,122777,74887,47890
1991,Kolhapur,Urban,533072,308793,224279
1991,Latur,Urban,194230,120106,74124
1991,Mumbai City,Urban,7114311,4212469,2901842
1991,Nanded,Urban,278531,171884,106647
1991,Nashik,Urban,882739,508266,374473
1991,Dharashiv,Urban,112353,68888,43465
1991,Parbhani,Urban,250923,155444,95479
1991,Pune,Urban,1927237,1102995,824242
1991,Raigad,Urban,221511,127210,94301
1991,Ratnagiri,Urban,100318,54492,45826
1991,Sangli,Urban,315650,182778,132872
1991,Satara,Urban,219126,125333,93793
1991,Sindhudurg,Urban,49027,25978,23049
1991,Solapur,Urban,536797,323697,213100
1991,Thane,Urban,2273796,1331799,941997
1991,Yavatmal,Urban,233899,134447,99452
1991,Nagpur,Urban,1392230,789369,602861
1991,Wardha,Urban,201068,112098,88970
2001,Ahilyanagar,Rural,2007279,1183490,823789
2001,Ahilyanagar,Urban,573495,322973,250522
2001,Akola,Rural,672694,387166,285528
2001,Akola,Urban,463158,252750,210408
2001,Amravati,Rural,1156625,653768,502857
2001,Amravati,Urban,698985,378142,320843
2001,Chhatrapati Sambhaji Nagar,Rural,1017413,637181,380232
2001,Chhatrapati Sambhaji Nagar,Urban,759047,433803,325244
2001,Beed,Rural,976591,605611,370980
2001,Beed,Urban,264148,151949,112199
2001,Bhandara,Rural,632659,364572,268087
2001,Bhandara,Urban,138003,75550,62453
2001,Buldhana,Rural,1095393,652222,443171
2001,Buldhana,Urban,338496,190188,148308
2001,Chandrapur,Rural,819037,486135,332902
2001,Chandrapur,Urban,491971,276002,215969
2001,Dhule,Rural,716937,425631,291306
2001,Dhule,Urban,323900,180405,143495
2001,Gadchiroli,Rural,441924,269343,172581
2001,Gadchiroli,Urban,48197,26971,21226
2001,Gondia,Rural,696043,397216,298827
2001,Gondia,Urban,112371,61050,51321
2001,Hingoli,Rural,443956,280462,163494
2001,Hingoli,Urban,96243,55404,40839
2001,Jalgaon,Rural,1609045,962605,646440
2001,Jalgaon,Urban,763614,429268,334346
2001,Jalna,Rural,665607,427480,238127
2001,Jalna,Urban,200686,115535,85151
2001,Kolhapur,Rural,1568827,923167,645660
2001,Kolhapur,Urban,795480,443854,351626
2001,Latur,Rural,921899,558811,363088
2001,Latur,Urban,332635,191644,140991
2001,Mumbai City,Urban,6617264,3853376,2763888
2001,Nanded,Rural,1162061,724664,437397
2001,Nanded,Urban,452082,261356,190726
2001,Nandurbar,Rural,462988,282498,180490
2001,Nandurbar,Urban,137457,77241,60216
2001,Nashik,Rural,1726216,1033907,692309
2001,Nashik,Urban,1398385,788464,609921
2001,Dharashiv,Rural,713762,433079,280683
2001,Dharashiv,Urban,158260,90851,67409
2001,Palghar,Rural,616068,376552,239516
2001,Palghar,Urban,286224,161553,124671
2001,Parbhani,Rural,532161,337569,194592
2001,Parbhani,Urban,310375,179145,131230
2001,Pune,Rural,1876820,1108545,768275
2001,Pune,Urban,3158182,1768550,1389632
2001,Raigad,Rural,1055120,596315,458805
2001,Raigad,Urban,403204,226598,176606
2001,Ratnagiri,Rural,946656,498807,447849
2001,Ratnagiri,Urban,146548,78107,68441
2001,Sangli,Rural,1250494,720526,529968
2001,Sangli,Urban,465003,257612,207391
2001,Satara,Rural,1605421,902117,703304
2001,Satara,Urban,291971,160526,131445
2001,Sindhudurg,Rural,547278,293504,253774
2001,Sindhudurg,Urban,65641,34695,30946
2001,Solapur,Rural,1516322,915006,601316
2001,Solapur,Urban,820503,469740,350763
2001,Thane,Rural,465661,280854,184807
2001,Thane,Urban,3893027,2264675,1628352
2001,Washim,Rural,506111,307882,198229
2001,Washim,Urban,124984,70299,54685
2001,Yavatmal,Rural,1188142,710470,477672
2001,Yavatmal,Urban,340784,188151,152633
2011,Ahilyanagar,Rural,2445147,1392891,1052256
2011,Ahilyanagar,Urban,706743,380464,326279
2011,Akola,Rural,830838,454015,376823
2011,Akola,Urban,581926,305833,276093
2011,Amravati,Rural,1399212,760794,638418
2011,Amravati,Urban,851180,445439,405741
2011,Chhatrapati Sambhaji Nagar,Rural,1296601,770398,526203
2011,Chhatrapati Sambhaji Nagar,Urban,1210507,662525,547982
2011,Beed,Rural,1334586,777246,557340
2011,Beed,Urban,382918,209348,173570
2011,Bhandara,Rural,708328,388442,319886
2011,Bhandara,Urban,191532,100267,91265
2011,Buldhana,Rural,1450758,818571,632187
2011,Buldhana,Urban,429116,230321,198795
2011,Chandrapur,Rural,962394,541613,420781
2011,Chandrapur,Urban,616221,330952,285269
2011,Dhule,Rural,857440,489478,367962
2011,Dhule,Urban,436476,233910,202566
2011,Gadchiroli,Rural,613771,344593,269178
2011,Gadchiroli,Urban,94594,50517,44077
2011,Gondia,Rural,818421,445490,372931
2011,Gondia,Urban,185822,97347,88475
2011,Hingoli,Rural,658152,378697,279455
2011,Hingoli,Urban,132591,71854,60737
2011,Jalgaon,Rural,1877562,1080250,797312
2011,Jalgaon,Urban,1014320,548973,465347
2011,Jalna,Rural,929246,553274,375972
2011,Jalna,Urban,264009,144758,119251
2011,Kolhapur,Rural,1853869,1039715,814154
2011,Kolhapur,Urban,971976,520045,451931
2011,Latur,Rural,1194845,683249,511596
2011,Latur,Urban,455827,249183,206644
2011,Mumbai,Urban,7575485,4223029,3352456
2011,Nagpur,Rural,1072979,589827,483152
2011,Nagpur,Urban,2600829,1369393,1231436
2011,Nanded,Rural,1529317,892050,637267
2011,Nanded,Urban,660108,363172,296936
2011,Nandurbar,Rural,696260,395314,300946
2011,Nandurbar,Urban,210249,116785,93464
2011,Nashik,Rural,2326432,1306464,1019968
2011,Nashik,Urban,2018934,1091074,927860
2011,Dharashiv,Rural,926022,528743,397279
2011,Dharashiv,Urban,211788,115561,96227
2011,Palghar,Rural,780195,446703,333492
2011,Palghar,Urban,1212580,669853,542727
2011,Parbhani,Rural,763448,450696,312752
2011,Parbhani,Urban,394366,215595,178771
2011,Pune,Rural,2622222,1472191,1150031
2011,Pune,Urban,4549501,2468019,2081482
2011,Raigad,Rural,1162891,639701,523190
2011,Raigad,Urban,777103,419991,357112
2011,Ratnagiri,Rural,979357,507199,472158
2011,Ratnagiri,Urban,220035,111813,108222
2011,Sangli,Rural,1495094,827806,667288
2011,Sangli,Urban,554373,293744,260629
2011,Satara,Rural,1770750,960799,809951
2011,Satara,Urban,454944,240235,214709
2011,Sindhudurg,Rural,576273,302111,274162
2011,Sindhudurg,Urban,89794,46178,43616
2011,Solapur,Rural,1882788,1091085,791703
2011,Solapur,Urban,1027888,560181,467707
2011,Thane,Rural,759690,436707,322983
2011,Thane,Urban,5474696,3038133,2436563
2011,Wardha,Rural,665082,365198,299884
2011,Wardha,Urban,354376,187419,166957
2011,Washim,Rural,706756,400484,306272
2011,Washim,Urban,163161,87219,75942
2011,Yavatmal,Rural,1536035,859681,676354
2011,Yavatmal,Urban,486539,256299,230240
