Year,District,Mother Tongue,Male,Female,Unnamed: 5,Unnamed: 6
2001,Ahilyanagar,Adi,3.0,0.0,,
2001,Ahilyanagar,Arabic/Arbi,46.0,59.0,,Add note
2001,Ahilyanagar,Assamese,152.0,27.0,,
2001,Ahilyanagar,Bengali,1372.0,469.0,,
2001,Ahilyanagar,Bhili/Bhilodi,2150.0,2127.0,,
2001,Ahilyanagar,Bhotia,4.0,0.0,,
2001,Ahilyanagar,Bhumij,1.0,0.0,,
2001,Ahilyanagar,Bodo,12.0,0.0,,
2001,Ahilyanagar,Coorgi/Kodagu,11.0,4.0,,
2001,Ahilyanagar,Dimasa,5.0,0.0,,
2001,Ahilyanagar,Dogri,204.0,47.0,,
2001,Ahilyanagar,English,131.0,106.0,,
2001,Ahilyanagar,Garo,5.0,0.0,,
2001,Ahilyanagar,Gondi,189.0,159.0,,
2001,Ahilyanagar,Gujarati,6906.0,6314.0,,
2001,Ahilyanagar,Halabi,30.0,26.0,,
2001,Ahilyanagar,Hindi,136425.0,118586.0,,
2001,Ahilyanagar,Kannada,2166.0,1644.0,,
2001,Ahilyanagar,Kashmiri,42.0,31.0,,
2001,Ahilyanagar,Khandeshi,1012.0,885.0,,
2001,Ahilyanagar,Khasi,3.0,2.0,,
2001,Ahilyanagar,Kom,1.0,0.0,,
2001,Ahilyanagar,Konda,1.0,0.0,,
2001,Ahilyanagar,Konkani,260.0,259.0,,
2001,Ahilyanagar,Korku,1.0,1.0,,
2001,Ahilyanagar,Korwa,0.0,1.0,,
2001,Ahilyanagar,Kuki,1.0,0.0,,
2001,Ahilyanagar,Kurukh/Oraon,8.0,5.0,,
2001,Ahilyanagar,Limbu,1.0,0.0,,
2001,Ahilyanagar,Lotha,2.0,0.0,,
2001,Ahilyanagar,Lushai/Mizo,73.0,37.0,,
2001,Ahilyanagar,Maithili,75.0,22.0,,
2001,Ahilyanagar,Malayalam,1604.0,1046.0,,
2001,Ahilyanagar,Manipuri,76.0,22.0,,
2001,Ahilyanagar,Marathi,1832766.0,1736139.0,,
2001,Ahilyanagar,Mogh,1.0,0.0,,
2001,Ahilyanagar,Munda,5.0,8.0,,
2001,Ahilyanagar,Mundari,6.0,4.0,,
2001,Ahilyanagar,Nepali,690.0,381.0,,
2001,Ahilyanagar,Nicobarese,4.0,0.0,,
2001,Ahilyanagar,Nissi/Dafla,3.0,1.0,,
2001,Ahilyanagar,Oriya,567.0,131.0,,
2001,Ahilyanagar,Others,1530.0,1470.0,,
2001,Ahilyanagar,Paite,1.0,0.0,,
2001,Ahilyanagar,Persian,10.0,20.0,,
2001,Ahilyanagar,Punjabi,4717.0,3619.0,,
2001,Ahilyanagar,Santali,1.0,0.0,,
2001,Ahilyanagar,Sindhi,,,,
