Year,District,Rural/Urban,Owned,Rented,Other
2001,Ahilyanagar,Rural,513751,42535,38160
2001,Ahilyanagar,Urban,93594,41543,12482
2011,Ahilyanagar,Rural,639433,43383,34902
2011,Ahilyanagar,Urban,125640,46042,12348
2001,Akola,Rural,187317,7567,7302
2001,Akola,Urban,80103,26557,4559
2011,Akola,Rural,230302,8462,8988
2011,Akola,Urban,109446,28803,5134
2001,Amravati,Rural,326626,11172,12855
2001,Amravati,Urban,126937,28728,7405
2011,Amravati,Rural,395812,10719,18032
2011,Amravati,Urban,173664,32277,6942
2001,Beed,Rural,342206,14403,8636
2001,Beed,Urban,42475,22604,2784
2011,Beed,Rural,421181,14953,9980
2011,Beed,Urban,71123,24370,3466
2001,Bhandara,Rural,183452,16256,4956
2001,Bhandara,Urban,22627,11588,982
2011,Bhandara,Rural,206419,12384,4496
2011,Bhandara,Urban,37417,13986,1071
2001,Buldhana,Rural,332543,10462,15535
2001,Buldhana,Urban,63332,16045,5961
2011,Buldhana,Rural,412313,14286,18648
2011,Buldhana,Urban,84317,16981,6486
2001,Chandrapur,Rural,276416,21512,13032
2001,Chandrapur,Urban,82416,38538,20067
2011,Chandrapur,Rural,321197,19675,11771
2011,Chandrapur,Urban,119170,48019,9780
2001,Chhatrapati Sambhaji Nagar,Rural,302425,24814,7584
2001,Chhatrapati Sambhaji Nagar,Urban,123051,62736,5545
2011,Chhatrapati Sambhaji Nagar,Rural,380417,28349,10354
2011,Chhatrapati Sambhaji Nagar,Urban,200274,109861,7332
2001,Dharashiv,Rural,237003,7969,7111
2001,Dharashiv,Urban,28058,11131,1837
2011,Dharashiv,Rural,276695,10335,7786
2011,Dharashiv,Urban,39542,12629,1773
2001,Dhule,Rural,227986,20812,4122
2001,Dhule,Urban,52723,19767,4458
2011,Dhule,Rural,265122,27696,6097
2011,Dhule,Urban,79360,27264,3161
2001,Gadchiroli,Rural,171058,15524,4612
2001,Gadchiroli,Urban,8946,4478,1133
2011,Gadchiroli,Rural,201544,11816,5575
2011,Gadchiroli,Urban,17935,7940,935
2001,Gondia,Rural,207059,10840,4668
2001,Gondia,Urban,18949,7252,608
2011,Gondia,Rural,229784,7732,4286
2011,Gondia,Urban,36370,10213,1046
2001,Hingoli,Rural,149319,4439,2588
2001,Hingoli,Urban,17551,6359,779
2011,Hingoli,Rural,186175,5285,3683
2011,Hingoli,Urban,23488,7749,661
2001,Jalgaon,Rural,465139,48655,22100
2001,Jalgaon,Urban,132250,48758,13161
2011,Jalgaon,Rural,531960,57371,28983
2011,Jalgaon,Urban,192944,68004,12395
2001,Jalna,Rural,238429,8745,6251
2001,Jalna,Urban,32938,14376,1810
2011,Jalna,Rural,299893,11149,7521
2011,Jalna,Urban,48858,18778,1917
2001,Kolhapur,Rural,441442,32184,8281
2001,Kolhapur,Urban,144283,57626,6707
2011,Kolhapur,Rural,510037,36855,9736
2011,Kolhapur,Urban,189551,69436,5868
2001,Latur,Rural,279088,9814,5213
2001,Latur,Urban,54487,22658,2023
2011,Latur,Rural,340992,12116,6750
2011,Latur,Urban,80148,31958,2185
2001,Mumbai City,Rural,0,0,0
2001,Mumbai City,Urban,329687,287323,31580
2011,Mumbai City,Rural,0,0,0
2011,Mumbai City,Urban,428162,185170,24406
2001,Mumbai Suburban,Rural,0,0,0
2001,Mumbai Suburban,Urban,1333364,382578,58390
2011,Mumbai Suburban,Rural,0,0,0
2011,Mumbai Suburban,Urban,1537690,442768,47285
2001,Nagpur,Rural,247411,27949,18957
2001,Nagpur,Urban,346107,130668,19432
2011,Nagpur,Rural,280521,26535,17512
2011,Nagpur,Urban,489959,160879,20402
2001,Nanded,Rural,385617,17795,7133
2001,Nanded,Urban,72573,36849,3572
2011,Nanded,Rural,464270,14674,8680
2011,Nanded,Urban,115480,46560,6639
2001,Nandurbar,Rural,202215,10072,3168
2001,Nandurbar,Urban,24834,9161,1076
2011,Nandurbar,Rural,256745,10629,3159
2011,Nandurbar,Urban,35738,11216,2136
2001,Nashik,Rural,460597,48050,21068
2001,Nashik,Urban,230374,95491,21178
2011,Nashik,Rural,581974,51624,28379
2011,Nashik,Urban,352307,144890,21119
2001,Parbhani,Rural,194458,5013,4094
2001,Parbhani,Urban,56833,20419,2786
2011,Parbhani,Rural,245930,4823,5310
2011,Parbhani,Urban,80054,21017,3052
2001,Pune,Rural,471075,64660,30825
2001,Pune,Urban,534922,286540,51588
2011,Pune,Rural,589087,119455,35572
2011,Pune,Urban,793409,493129,45955
2001,Raigad,Rural,305683,45494,7568
2001,Raigad,Urban,64155,43524,5204
2011,Raigad,Rural,326795,41030,8695
2011,Raigad,Urban,136314,78483,5197
2001,Ratnagiri,Rural,299078,23726,5726
2001,Ratnagiri,Urban,23489,12825,1761
2011,Ratnagiri,Rural,304587,21489,7569
2011,Ratnagiri,Urban,41680,15785,2269
