Year,District,Rural/Urban,Total,Male,Female
1991,Mumbai,Urban,9925891,5460145,4465746
1991,Thane,Rural,1855919,949619,906300
1991,Thane,Urban,3393207,1843255,1549952
1991,Raigad,Rural,1496176,735388,760788
1991,Raigad,Urban,328640,172519,156121
1991,Ratnagiri,Rural,1406001,630502,775499
1991,Ratnagiri,Urban,138056,69688,68368
1991,Sindhudurg,Rural,769002,357773,411229
1991,Sindhudurg,Urban,63150,31611,31539
1991,Nashik,Rural,2482267,1269908,1212359
1991,Nashik,Urban,1369085,715065,654020
1991,Dhule,Rural,1999822,1015876,983946
1991,Dhule,Urban,519841,271212,248629
1991,Jalgaon,Rural,2312965,1187625,1125340
1991,Jalgaon,Urban,874669,455248,419421
1991,Ahilyanagar,Rural,2839454,1452006,1387448
1991,Ahilyanagar,Urban,533481,278603,254878
1991,Pune,Rural,2725503,1387461,1338042
1991,Pune,Urban,2807029,1473999,1333030
1991,Satara,Rural,2135532,1044421,1091111
1991,Satara,Urban,315840,163954,151886
1991,Sangli,Rural,1707041,868447,838594
1991,Sangli,Urban,502447,260074,242373
1991,Solapur,Rural,2301574,1192575,1108999
1991,Solapur,Urban,929483,477941,451542
1991,Kolhapur,Rural,2202505,1113588,1088917
1991,Kolhapur,Urban,787002,411144,375858
1991,Chh. Sambhaji Nagar,Rural,1488636,766816,721820
1991,Chh. Sambhaji Nagar,Urban,725143,384877,340266
1991,Jalna,Rural,1133697,577290,556407
1991,Jalna,Urban,230728,119508,111220
1991,Parbhani,Rural,1640436,835976,804460
1991,Parbhani,Urban,476599,247818,228781
1991,Beed,Rural,1495104,765849,729255
1991,Beed,Urban,326968,171561,155407
1991,Nanded,Rural,1824234,933311,890923
1991,Nanded,Urban,506140,264565,241575
1991,Dharashiv,Rural,1082447,557064,525383
1991,Dharashiv,Urban,193880,101832,92048
1991,Latur,Rural,1334773,683066,651707
1991,Latur,Urban,341868,180137,161731
1991,Buldhana,Rural,1497964,765107,732857
1991,Buldhana,Urban,388335,200910,187425
1991,Akola,Rural,1579940,812857,767083
1991,Akola,Urban,634331,329291,305040
1991,Amravati,Rural,1482928,763514,719414
1991,Amravati,Urban,717129,372800,344329
1991,Yavatmal,Rural,1720213,879017,841196
1991,Yavatmal,Urban,356931,185405,171526
1991,Wardha,Rural,783840,403503,380337
1991,Wardha,Urban,283517,146867,136650
1991,Nagpur,Rural,1256225,649900,606325
1991,Nagpur,Urban,2030914,1060504,970410
1991,Bhandara,Rural,1831735,918913,912822
1991,Bhandara,Urban,275894,141362,134532
1991,Chandrapur,Rural,1275171,648234,626937
1991,Chandrapur,Urban,496823,261553,235270
1991,Gadchiroli,Rural,718445,362474,355971
1991,Gadchiroli,Urban,68565,35890,32675
2001,Ahilyanagar,Rural,3236945,1661811,1575134
2001,Ahilyanagar,Urban,777711,407432,370279
2001,Akola,Rural,1004702,518475,486227
2001,Akola,Urban,627497,323788,303709
2001,Amravati,Rural,1705015,879073,825942
2001,Amravati,Urban,899579,465227,434352
2001,Chh. Sambhaji Nagar,Rural,1820218,940080,880138
2001,Chh. Sambhaji Nagar,Urban,1087150,570550,516600
2001,Beed,Rural,1772681,914315,858366
2001,Beed,Urban,387070,201285,185785
2001,Bhandara,Rural,960418,483768,476650
2001,Bhandara,Urban,175728,89677,86051
2001,Buldhana,Rural,1759097,902445,856652
2001,Buldhana,Urban,473383,244958,228425
2001,Chandrapur,Rural,1406034,716461,689573
2001,Chandrapur,Urban,665067,346532,318535
2001,Dhule,Rural,1262062,646364,615698
2001,Dhule,Urban,445885,232008,213877
2001,Gadchiroli,Rural,903033,456647,446386
2001,Gadchiroli,Urban,67261,34454,32807
2001,Gondia,Rural,1057276,526022,531254
2001,Gondia,Urban,143431,72812,70619
2001,Hingoli,Rural,833130,425840,407290
2001,Hingoli,Urban,147429,76077,71352
2001,Jalgaon,Rural,2616196,1349924,1266272
2001,Jalgaon,Urban,1052794,548462,504332
2001,Jalna,Rural,1296259,662930,633329
2001,Jalna,Urban,307865,159462,148403
2001,Kolhapur,Rural,2472809,1260239,1212570
