Year,District,Rural/Urban,Gender,Buddhist,Christian,Hindu,Jain,Muslim,Sikh,Other,Not Stated,Unnamed: 12,Unnamed: 13
1991,Ahilyanagar,Rural,Male,12978,7106,1352179,8076,70556,306,252,553,,whole thing becomes a section. one graph each
1991,Ahilyanagar,Urban,Male,3708,6318,218400,8729,39494,1620,186,148,,add note for other
1991,Akola,Rural,Male,157183,226,584647,2478,67994,85,143,101,,
1991,Akola,Urban,Male,33178,1237,192356,5665,96288,540,24,3,,
1991,Amravati,Rural,Male,121703,1074,578698,1480,58984,167,576,832,,
1991,Amravati,Urban,Male,33544,1333,251540,3394,81043,406,91,1449,,
1991,Chh. Sambhaji Nagar,Rural,Male,50302,1550,1293273,3398,158518,112,91,995,,
1991,Chh. Sambhaji Nagar,Urban,Male,50256,5060,258154,5845,126076,1415,276,410,,
1991,Bhandara,Rural,Male,112205,426,789743,290,9275,432,4584,1958,,
1991,Bhandara,Urban,Male,15016,521,113277,496,11210,508,58,276,,
1991,Beed,Rural,Male,28772,111,679917,1729,54885,34,85,316,,
1991,Beed,Urban,Male,11713,232,109931,1740,47703,117,33,92,,
1991,Buldhana,Rural,Male,114825,210,583745,1805,64069,130,248,75,,
1991,Buldhana,Urban,Male,15603,446,132125,3336,49041,266,88,5,,
1991,Chandrapur,Rural,Male,82677,1134,551002,434,9502,454,691,2340,,
1991,Chandrapur,Urban,Male,39866,2983,193994,1052,20969,1629,223,837,,
1991,Dhule,Rural,Male,6724,5543,973459,3674,24556,37,1135,748,,
1991,Dhule,Urban,Male,2206,636,220831,4231,43094,96,65,53,,
1991,Gadchiroli,Rural,Male,28253,668,328567,58,3653,62,189,1024,,
1991,Gadchiroli,Urban,Male,4125,105,28117,53,3266,73,56,95,,
1991,Mumbai,Rural,Male,0,0,0,0,0,0,0,0,,
1991,Mumbai,Urban,Male,292037,224769,3749737,182196,929708,41684,29385,10629,,
1991,Jalgaon,Rural,Male,42535,205,1044767,4971,93503,88,240,1316,,
1991,Jalgaon,Urban,Male,16331,1647,343020,6661,85934,709,268,678,,
1991,Jalna,Rural,Male,53984,2636,464451,1528,53599,49,42,1001,,
1991,Jalna,Urban,Male,7154,2989,74450,1841,32582,242,95,155,,
1991,Kolhapur,Rural,Male,18616,3872,994974,48385,47278,68,37,358,,
1991,Kolhapur,Urban,Male,2232,3047,341327,16091,48130,164,141,12,,
1991,Latur,Rural,Male,24821,76,590840,1187,66113,3,21,5,,
