Year,District,Rural/Urban,Population,Male,Female
1991,Ahilyanagar,Rural,347061,181568,165493
1991,Akola,Rural,202194,103485,98709
1991,Amravati,Rural,287339,147744,139595
1991,Chh. Sambhaji Nagar,Rural,179800,92619,87181
1991,Beed,Rural,203237,104142,99095
1991,Bhandara,Rural,304173,151570,152603
1991,Buldhana,Rural,179232,91465,87767
1991,Chandrapur,Rural,194193,98594,95599
1991,Dhule,Rural,97429,49760,47669
1991,Gadchiroli,Rural,85077,42919,42158
1991,Jalgaon,Rural,213332,108974,104358
1991,Jalna,Rural,151612,77318,74294
1991,Kolhapur,Rural,294524,149815,144709
1991,Latur,Rural,262683,134858,127825
1991,Nanded,Rural,350870,179661,171209
1991,Nashik,Rural,178933,91556,87377
1991,Dharashiv,Rural,179594,92367,87227
1991,Parbhani,Rural,185137,94177,90960
1991,Pune,Rural,224051,114974,109077
1991,Raigad,Rural,35681,17650,18031
1991,Ratnagiri,Rural,24118,11483,12635
1991,Sangli,Rural,210429,106856,103573
1991,Satara,Rural,197345,98667,98678
1991,Sindhudurg,Rural,39333,18613,20720
1991,Solapur,Rural,365694,189013,176681
1991,Thane,Rural,48752,25163,23589
1991,Yavatmal,Rural,182468,92887,89581
1991,Nagpur,Rural,220230,113748,106482
1991,Wardha,Rural,107483,55333,52150
1991,Ahilyanagar,Urban,71418,36421,34997
1991,Akola,Urban,62360,32172,30188
1991,Amravati,Urban,97160,50447,46713
1991,Chh. Sambhaji Nagar,Urban,125446,66079,59367
1991,Beed,Urban,41044,21493,19551
1991,Bhandara,Urban,51311,25882,25429
1991,Buldhana,Urban,37455,19328,18127
1991,Chandrapur,Urban,116259,60819,55440
1991,Dhule,Urban,36930,19257,17673
1991,Jalgaon,Urban,81715,42139,39576
1991,Jalna,Urban,24840,12788,12052
1991,Kolhapur,Urban,86505,44404,42101
1991,Latur,Urban,56885,29894,26991
1991,Mumbai,Urban,646914,344085,302829
1991,Nanded,Urban,72072,37673,34399
1991,Nashik,Urban,147822,75924,71898
1991,Dharashiv,Urban,29015,15031,13984
1991,Parbhani,Urban,48186,24818,23368
1991,Pune,Urban,407012,210202,196810
1991,Raigad,Urban,15318,7863,7455
1991,Ratnagiri,Urban,3267,1735,1532
1991,Sangli,Urban,67029,34244,32785
1991,Satara,Urban,35669,18247,17422
1991,Sindhudurg,Urban,3102,1570,1532
1991,Solapur,Urban,132219,67986,64233
1991,Thane,Urban,223045,117158,105887
1991,Yavatmal,Urban,44352,22662,21690
1991,Nagpur,Urban,398996,206192,192804
1991,Wardha,Urban,42492,21883,20609
2001,Ahilyanagar,Rural,379262,193948,185314
2001,Ahilyanagar,Urban,98161,49857,48304
2001,Akola,Rural,114664,58815,55849
2001,Akola,Urban,53818,27572,26246
2001,Amravati,Rural,318101,164423,153678
2001,Amravati,Urban,128471,66189,62282
2001,Chh. Sambhaji Nagar,Rural,203741,104611,99130
2001,Chh. Sambhaji Nagar,Urban,173278,89734,83544
2001,Beed,Rural,233805,119622,114183
2001,Beed,Urban,47376,24373,23003
2001,Bhandara,Rural,169944,85151,84793
2001,Bhandara,Urban,32005,16109,15896
2001,Buldhana,Rural,195765,99903,95862
2001,Buldhana,Urban,45858,23515,22343
2001,Chandrapur,Rural,174504,88748,85756
2001,Chandrapur,Urban,122423,63393,59030
2001,Dhule,Rural,75587,38634,36953
2001,Dhule,Urban,33515,17122,16393
2001,Gadchiroli,Rural,97747,49321,48426
2001,Gadchiroli,Urban,11077,5561,5516
2001,Gondia,Rural,139337,69147,70190
2001,Gondia,Urban,28362,14170,14192
2001,Hingoli,Rural,86789,43992,42797
