Year,District,Rural/Urban,Population,Male,Female
1991,Ahilyanagar,Rural,230465,116108,114357
1991,Akola,Rural,138055,70689,67366
1991,Amravati,Rural,285469,146370,139099
1991,Chh. Sambhaji Nagar,Rural,73401,37452,35949
1991,Beed,Rural,18012,9374,8638
1991,Bhandara,Rural,288475,143898,144577
1991,Buldhana,Rural,89423,45921,43502
1991,Chandrapur,Rural,303045,152530,150515
1991,Dhule,Rural,995180,498804,496376
1991,Gadchiroli,Rural,294452,147576,146876
1991,Jalgaon,Rural,279843,143297,136546
1991,Jalna,Rural,25132,12746,12386
1991,Kolhapur,Rural,12832,6543,6289
1991,Latur,Rural,33282,17130,16152
1991,Nanded,Rural,249970,128103,121867
1991,Nashik,Rural,857093,432409,424684
1991,Dharashiv,Rural,19608,10122,9486
1991,Parbhani,Rural,103564,53018,50546
1991,Pune,Rural,177677,90763,86914
1991,Raigad,Rural,212762,107495,105267
1991,Ratnagiri,Rural,13968,6854,7114
1991,Sangli,Rural,9262,4868,4394
1991,Satara,Rural,15990,8117,7873
1991,Sindhudurg,Rural,3656,1833,1823
1991,Solapur,Rural,30898,16113,14785
1991,Thane,Rural,848042,427240,420802
1991,Yavatmal,Rural,417965,211962,206003
1991,Nagpur,Rural,235616,121289,114327
1991,Wardha,Rural,142677,73158,69519
1991,Ahilyanagar,Urban,9676,5036,4640
1991,Akola,Urban,17640,9174,8466
1991,Amravati,Urban,30979,16192,14787
1991,Chh. Sambhaji Nagar,Urban,10101,5418,4683
1991,Beed,Urban,2503,1310,1193
1991,Bhandara,Urban,21347,10848,10499
1991,Buldhana,Urban,5966,3152,2814
1991,Chandrapur,Urban,56207,29365,26842
1991,Dhule,Urban,41311,21426,19885
1991,Jalgaon,Urban,33708,17484,16224
1991,Jalna,Urban,3168,1628,1540
1991,Kolhapur,Urban,1957,1021,936
1991,Latur,Urban,4245,2289,1956
1991,Mumbai,Urban,103775,56140,47635
1991,Nanded,Urban,26002,13488,12514
1991,Nashik,Urban,73976,38062,35914
1991,Dharashiv,Urban,2855,1495,1360
1991,Parbhani,Urban,7906,4228,3678
1991,Pune,Urban,38659,20690,17969
1991,Raigad,Urban,21191,10743,10448
1991,Ratnagiri,Urban,879,493,386
1991,Sangli,Urban,1522,779,743
1991,Satara,Urban,2352,1221,1131
1991,Sindhudurg,Urban,237,122,115
1991,Solapur,Urban,17454,8962,8492
1991,Thane,Urban,103163,53969,49194
1991,Yavatmal,Urban,27875,14539,13336
1991,Nagpur,Urban,222099,114608,107491
1991,Wardha,Urban,23714,12119,11595
2001,Ahilyanagar,Rural,288632,146051,142581
2001,Ahilyanagar,Urban,13917,7186,6731
2001,Akola,Rural,87583,45043,42540
2001,Akola,Urban,14548,7590,6958
2001,Amravati,Rural,320579,163624,156955
2001,Amravati,Urban,33911,17561,16350
2001,Chh. Sambhaji Nagar,Rural,86250,43940,42310
2001,Chh. Sambhaji Nagar,Urban,14200,7371,6829
2001,Beed,Rural,19069,9902,9167
2001,Beed,Urban,5111,2644,2467
2001,Bhandara,Rural,84740,42395,42345
2001,Bhandara,Urban,12978,6664,6314
2001,Buldhana,Rural,105935,54128,51807
2001,Buldhana,Urban,9221,5040,4181
2001,Chandrapur,Rural,318967,161301,157666
2001,Chandrapur,Urban,56289,29257,27032
2001,Dhule,Rural,420139,212344,207795
2001,Dhule,Urban,23425,12383,11042
2001,Gadchiroli,Rural,364546,183334,181212
2001,Gadchiroli,Urban,7150,3683,3467
2001,Gondia,Rural,190358,94127,96231
2001,Gondia,Urban,6097,3122,2975
2001,Hingoli,Rural,82053,42166,39887
2001,Hingoli,Urban,4740,2506,2234
2001,Jalgaon,Rural,390461,200468,189996
2001,Jalgaon,Urban,44262,22927,21335
2001,Jalna,Rural,26562,13513,13049
2001,Jalna,Urban,5520,2855,2665
2001,Kolhapur,Rural,16384,8393,7991
2001,Kolhapur,Urban,5003,2578,2425
2001,Latur,Rural,40654,21060,19594
2001,Latur,Urban,7182,3729,3453
2001,Mumbai,Urban,70454,37335,33119
2001,Nanded,Rural,222513,113609,108904
2001,Nanded,Urban,30750,15721,15029
2001,Nandurbar,Rural,828565,412027,416538
2001,Nandurbar,Urban,30372,15506,14866
2001,Nashik,Rural,1085640,548249,537391
2001,Nashik,Urban,108212,55816,52396
2001,Dharashiv,Rural,23440,12156,11284
2001,Dharashiv,Urban,4417,2312,2105
2001,Palghar,Rural,810100,402432,407668
2001,Palghar,Urban,35374,17750,17624
2001,Parbhani,Rural,26961,13676,13285
2001,Parbhani,Urban,8249,4241,4008
2001,Pune,Rural,203838,103410,100428
2001,Pune,Urban,57380,30170,27210
2001,Raigad,Rural,244269,123184,121085
2001,Raigad,Urban,24855,12696,12159
2001,Ratnagiri,Rural,18839,9601,9238
2001,Ratnagiri,Urban,1207,776,431
2001,Sangli,Rural,13854,7119,6735
2001,Sangli,Urban,3981,2048,1933
2001,Satara,Rural,18673,9487,9186
2001,Satara,Urban,2996,1607,1389
2001,Sindhudurg,Rural,4596,2333,2263
2001,Sindhudurg,Urban,356,182,174
2001,Solapur,Rural,43033,22434,20599
2001,Solapur,Urban,25956,13277,12679
2001,Thane,Rural,209695,106285,103410
2001,Thane,Urban,105746,55015,50731
2001,Washim,Rural,67797,34729,33068
2001,Washim,Urban,3190,1710,1480
2001,Yavatmal,Rural,441159,224968,216194
2001,Yavatmal,Urban,31568,16188,15380
2011,Ahilyanagar,Rural,354975,179133,175842
2011,Ahilyanagar,Urban,23255,12032,11223
2011,Akola,Rural,87897,44933,42964
2011,Akola,Urban,14619,7562,7057
2011,Amravati,Rural,366394,186329,180065
2011,Amravati,Urban,35498,18369,17129
2011,Chh. Sambhaji Nagar,Rural,118149,60578,57571
2011,Chh. Sambhaji Nagar,Urban,25296,13339,11957
2011,Beed,Rural,26661,13650,13011
2011,Beed,Urban,6041,3147,2894
2011,Bhandara,Rural,78943,39532,39411
2011,Bhandara,Urban,9943,4983,4960
2011,Buldhana,Rural,116176,59525,56651
2011,Buldhana,Urban,8661,4628,4033
2011,Chandrapur,Rural,323796,163363,160433
2011,Chandrapur,Urban,65645,33390,32255
2011,Dhule,Rural,607824,306730,301094
2011,Dhule,Urban,39491,20304,19187
2011,Gadchiroli,Rural,398266,198753,199513
2011,Gadchiroli,Urban,17040,8624,8416
2011,Gondia,Rural,201913,99729,102184
2011,Gondia,Urban,12340,6215,6125
2011,Hingoli,Rural,106739,54901,51838
2011,Hingoli,Urban,5215,2773,2442
2011,Jalgaon,Rural,537071,275373,261698
2011,Jalgaon,Urban,67296,34777,32519
2011,Jalna,Rural,35817,18511,17306
2011,Jalna,Urban,6387,3445,2942
2011,Kolhapur,Rural,22318,11408,10910
2011,Kolhapur,Urban,7888,4070,3818
2011,Latur,Rural,48147,24970,23177
