Year,District,Sex Ratio
1901,Ahilyanagar,1005
1911,Ahilyanagar,983
1921,Ahilyanagar,978
1931,Ahilyanagar,971
1941,Ahilyanagar,969
1951,Ahilyanagar,971
1961,Ahilyanagar,962
1971,Ahilyanagar,956
1981,Ahilyanagar,959
1991,Ahilyanagar,949
2011,Ahilyanagar,934
2001,Ahilyanagar,940
1901,Akola,968
1911,Akola,968
1921,Akola,958
1931,Akola,952
1941,Akola,957
1951,Akola,953
1961,Akola,926
1971,Akola,931
1981,Akola,939
1991,Akola,934
2011,Akola,942
2001,Akola,938
1901,Amravati,960
1911,Amravati,959
1921,Amravati,953
1931,Amravati,939
1941,Amravati,946
1951,Amravati,958
1961,Amravati,933
1971,Amravati,931
1981,Amravati,936
1991,Amravati,936
2011,Amravati,947
2001,Amravati,938
1901,Chhatrapati Sambhaji Nagar,998
1911,Chhatrapati Sambhaji Nagar,988
1921,Chhatrapati Sambhaji Nagar,991
1931,Chhatrapati Sambhaji Nagar,967
1941,Chhatrapati Sambhaji Nagar,957
1951,Chhatrapati Sambhaji Nagar,974
1961,Chhatrapati Sambhaji Nagar,955
1971,Chhatrapati Sambhaji Nagar,935
1981,Chhatrapati Sambhaji Nagar,936
1991,Chhatrapati Sambhaji Nagar,922
2011,Chhatrapati Sambhaji Nagar,917
2001,Chhatrapati Sambhaji Nagar,925
1901,Beed,985
1911,Beed,980
1921,Beed,963
1931,Beed,949
1941,Beed,941
1951,Beed,957
1961,Beed,969
1971,Beed,954
1981,Beed,965
1991,Beed,944
2011,Beed,912
2001,Beed,936
1901,Bhandara,1071
1911,Bhandara,1038
1921,Bhandara,1024
1931,Bhandara,1017
1941,Bhandara,1010
1951,Bhandara,1005
1961,Bhandara,993
1971,Bhandara,984
1981,Bhandara,989
1991,Bhandara,980
2011,Bhandara,984
2001,Bhandara,981
1901,Buldana,992
1911,Buldana,985
1921,Buldana,979
1931,Buldana,971
1941,Buldana,972
1951,Buldana,981
1961,Buldana,959
1971,Buldana,954
1981,Buldana,957
1991,Buldana,953
2011,Buldana,928
2001,Buldana,946
1901,Chandrapur,1023
1911,Chandrapur,1005
1921,Chandrapur,1004
1931,Chandrapur,990
1941,Chandrapur,989
1951,Chandrapur,994
1961,Chandrapur,979
1971,Chandrapur,963
1981,Chandrapur,959
1991,Chandrapur,948
2011,Chandrapur,959
2001,Chandrapur,948
1901,Dhule,980
1911,Dhule,978
1921,Dhule,976
1931,Dhule,969
1941,Dhule,969
1951,Dhule,968
1961,Dhule,961
1971,Dhule,948
1981,Dhule,954
1991,Dhule,945
2011,Dhule,941
2001,Dhule,944
1901,Gadchiroli,1023
1911,Gadchiroli,1005
1921,Gadchiroli,1004
1931,Gadchiroli,990
1941,Gadchiroli,989
1951,Gadchiroli,1000
1961,Gadchiroli,998
1971,Gadchiroli,986
1981,Gadchiroli,981
1991,Gadchiroli,976
2011,Gadchiroli,975
2001,Gadchiroli,976
1901,Gondia,1071
1911,Gondia,1038
1921,Gondia,1024
1931,Gondia,1017
1941,Gondia,1010
1951,Gondia,1004
1961,Gondia,1000
1971,Gondia,989
1981,Gondia,1004
1991,Gondia,995
2011,Gondia,996
2001,Gondia,1005
1901,Hingoli,996
1911,Hingoli,992
1921,Hingoli,978
1931,Hingoli,963
1941,Hingoli,960
1951,Hingoli,989
1961,Hingoli,975
1971,Hingoli,968
1981,Hingoli,966
1991,Hingoli,952
2011,Hingoli,935
2001,Hingoli,953
2011,India,943
1901,Jalgaon,975
1911,Jalgaon,983
1921,Jalgaon,971
1931,Jalgaon,968
1941,Jalgaon,970
1951,Jalgaon,971
1961,Jalgaon,957
1971,Jalgaon,948
1981,Jalgaon,950
1991,Jalgaon,940
2011,Jalgaon,922
2001,Jalgaon,933
1901,Jalna,998
1911,Jalna,989
1921,Jalna,988
1931,Jalna,966
