Year,District,Rural/Urban,Banking Services,Radio/Transistor,Television,Computer/Laptop,Computer/Laptop With Internet,Computer/Laptop  Without Internet,Telephone,Households with Landline,Households with Mobile ,Bicycle,Scooter/Motorcycle/Moped,Car/Jeep/Van,Access to Any Asset,None of the Specified Assets
2001,Ahilyanagar,Rural,277504,178458,186612,0,0,0,0,0,0,281522,83705,14976,0,210464
2001,Ahilyanagar,Urban,85324,63399,103797,0,0,0,0,0,0,86338,46383,7398,0,23513
2011,Ahilyanagar,Rural,502678,92063,327387,38707,7588,31119,"4,50,662",30100,420562,346490,233839,24838,14768,0
2011,Ahilyanagar,Urban,132214,45992,146622,30195,10782,19413,"1,31,596",11844,119752,96903,86522,16585,22676,0
2001,Akola,Rural,84561,40007,54262,0,0,0,0,0,0,46986,10500,2216,0,110493
2001,Akola,Urban,54291,26800,69232,0,0,0,0,0,0,60990,28048,3076,0,25722
2011,Akola,Rural,141258,24954,80733,8714,1264,7450,92244,7370,84874,55736,26026,2510,1378,0
2011,Akola,Urban,79871,26996,95941,15518,4899,10619,86349,6990,79359,71120,46434,6527,10518,0
2001,Amravati,Rural,128123,68600,88448,0,0,0,0,0,0,73842,17513,2955,0,198692
2001,Amravati,Urban,81312,45643,102003,0,0,0,0,0,0,86870,43995,4371,0,37283
2011,Amravati,Rural,222836,36381,151555,12783,2078,10705,"1,37,360",17636,119724,105836,45430,4182,2165,0
2011,Amravati,Urban,123088,18333,150633,23402,7360,16042,"1,26,980",10929,116051,105548,78831,11103,16827,0
2001,Beed,Rural,127224,68952,70405,0,0,0,0,0,0,59096,16381,4850,0,228698
2001,Beed,Urban,33011,19141,42020,0,0,0,0,0,0,22292,12587,2157,0,19720
2011,Beed,Rural,295153,41099,139651,18831,2389,16442,"2,55,632",12170,243462,88901,61851,8195,2689,0
2011,Beed,Urban,61918,13616,65701,10367,3225,7142,67861,5182,62679,31090,30058,4641,5795,0
2001,Bhandara,Rural,58378,60350,42999,0,0,0,0,0,0,119093,14774,1687,0,68151
2001,Bhandara,Urban,21709,15516,23142,0,0,0,0,0,0,22439,9783,861,0,6505
2011,Bhandara,Rural,129164,15467,78512,8029,1110,6919,88179,7148,81031,150913,33628,2446,1700,0
2011,Bhandara,Urban,37736,5033,38787,5136,1822,3314,32677,3537,29140,31979,21346,2738,3836,0
2001,Buldhana,Rural,159591,71778,80093,0,0,0,0,0,0,66525,15321,3234,0,212890
2001,Buldhana,Urban,42803,22790,47759,0,0,0,0,0,0,37518,15216,2212,0,25634
2011,Buldhana,Rural,274607,33942,154967,15278,1946,13332,"2,06,913",12500,194413,80929,53446,5777,3135,0
2011,Buldhana,Urban,64628,9637,70315,9599,2821,6778,66436,3740,62696,40855,31100,4257,5858,0
2001,Chandrapur,Rural,112290,64568,51451,0,0,0,0,0,0,133890,17981,2060,0,146886
2001,Chandrapur,Urban,88009,37598,89876,0,0,0,0,0,0,84196,35833,3364,0,28896
2011,Chandrapur,Rural,230429,22236,97084,11442,1522,9920,"1,11,743",7670,104073,153764,39836,3152,2213,0
2011,Chandrapur,Urban,128396,17372,132551,19977,6717,13260,"1,17,466",9372,108094,94821,73203,9594,14736,0
2001,Chh. Sambhaji Nagar,Rural,126966,81831,100794,0,0,0,0,0,0,74807,25639,5080,0,171153
2001,Chh. Sambhaji Nagar,Urban,97047,63037,135082,0,0,0,0,0,0,60975,58481,8763,0,39365
2011,Chh. Sambhaji Nagar,Rural,261218,40658,162484,15804,2243,13561,"2,48,270",12293,235977,96948,92566,7685,3227,0
2011,Chh. Sambhaji Nagar,Urban,209188,54214,241110,54133,21015,33118,"2,40,947",22277,218670,95079,137622,25637,40287,0
2001,Dharashiv,Rural,108833,45578,45445,0,0,0,0,0,0,48254,10435,3700,0,154855
2001,Dharashiv,Urban,20720,11822,22809,0,0,0,0,0,0,13725,6066,1309,0,13079
2011,Dharashiv,Rural,203093,29017,82963,12686,1589,11097,"1,48,941",10989,137952,75342,36016,5444,1415,0
2011,Dharashiv,Urban,37759,8059,34778,5497,1620,3877,36476,3002,33474,17719,15561,2530,2767,0
2001,Dhule,Rural,57156,57447,55356,0,0,0,0,0,0,43117,13146,2233,0,152893
2001,Dhule,Urban,36211,27150,51294,0,0,0,0,0,0,41626,18736,2757,0,15630
2011,Dhule,Rural,114517,27134,93373,12450,1564,10886,"1,16,020",10311,105709,48132,33787,4525,2006,0
2011,Dhule,Urban,63750,24432,81151,14689,4501,10188,76194,6730,69464,59484,41072,6387,10016,0
2001,Gadchiroli,Rural,46765,40138,24749,0,0,0,0,0,0,98792,8194,889,0,76901
2001,Gadchiroli,Urban,8001,4556,8215,0,0,0,0,0,0,8359,3213,276,0,3298
2011,Gadchiroli,Rural,167377,18115,45628,8850,1013,7837,51950,4127,47823,116925,19656,1944,1124,0
2011,Gadchiroli,Urban,18761,1911,17985,2214,650,1564,16712,1150,15562,13667,10171,1154,1519,0
2001,Gondia,Rural,51006,49680,34146,0,0,0,0,0,0,130573,12150,1551,0,77252
2001,Gondia,Urban,13439,9195,17355,0,0,0,0,0,0,17646,7005,825,0,4939
2011,Gondia,Rural,170714,25996,71143,8224,1149,7075,86016,6607,79409,171113,30753,2619,1521,0
2011,Gondia,Urban,32191,5291,33854,5371,1717,3654,28803,2510,26293,29805,18332,2455,3836,0
2001,Hingoli,Rural,67610,24180,22246,0,0,0,0,0,0,21330,4387,1127,0,107856
2001,Hingoli,Urban,10275,5665,12955,0,0,0,0,0,0,8610,3321,441,0,8925
2011,Hingoli,Rural,132159,26611,53829,6862,541,6321,"1,07,892",4062,103830,36917,21429,2863,868,0
2011,Hingoli,Urban,18137,3187,19811,2814,680,2134,22123,1706,20417,11329,8386,970,1262,0
2001,Jalgaon,Rural,185935,125530,160687,0,0,0,0,0,0,102552,36868,5890,0,290342
2001,Jalgaon,Urban,93512,70998,128937,0,0,0,0,0,0,93485,44761,5973,0,43875
2011,Jalgaon,Rural,286659,47617,230545,25009,3287,21722,"2,31,200",32595,198605,107505,76724,7661,4432,0
2011,Jalgaon,Urban,163120,44762,200676,31766,11010,20756,"1,69,822",17702,152120,122450,93827,11899,21953,0
2001,Jalna,Rural,105000,47894,45423,0,0,0,0,0,0,37175,10112,2516,0,162530
2001,Jalna,Urban,22341,14393,33034,0,0,0,0,0,0,21829,10678,1504,0,11088
2011,Jalna,Rural,217707,36543,107847,9812,1343,8469,"1,75,074",24483,150591,56371,51424,5074,1362,0
2011,Jalna,Urban,40657,7267,50335,7424,2448,4976,48079,4136,43943,27651,24231,3326,4749,0
2001,Kolhapur,Rural,282342,213833,160314,0,0,0,0,0,0,175355,66547,12550,0,165389
2001,Kolhapur,Urban,124403,96546,139232,0,0,0,0,0,0,101121,64799,12184,0,36435
2011,Kolhapur,Rural,430480,143801,296524,29385,6901,22484,"3,23,621",43003,280618,253548,159963,21108,11986,0
2011,Kolhapur,Urban,187753,113720,211049,42494,15368,27126,"1,82,488",19015,163473,130398,123602,27973,33075,0
2001,Latur,Rural,86833,42401,59715,0,0,0,0,0,0,34696,12951,4244,0,194033
2001,Latur,Urban,33699,19216,45436,0,0,0,0,0,0,23860,14754,2638,0,25406
2011,Latur,Rural,232021,24400,114575,16357,2074,14283,"1,97,623",15091,182532,73193,43297,6680,2084,0
2011,Latur,Urban,73393,9008,76164,13401,4143,9258,81957,6612,75345,35433,37755,6470,7976,0
2001,Mumbai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Mumbai,Urban,424945,352042,492338,0,0,0,0,0,0,54428,56077,60935,0,110976
2011,Mumbai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Mumbai,Urban,559957,221503,543699,204234,121344,82890,"4,51,249",61038,390211,56086,105842,80168,100244,0
2001,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Mumbai Suburban,Urban,1122043,991604,1311525,0,0,0,0,0,0,181876,151326,134956,0,327823
2011,Mumbai Suburban,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Mumbai Suburban,Urban,1745173,739957,1725154,652946,404757,248189,"14,68,968",178939,1290029,233596,310929,259702,322194,0
2001,Nagpur,Rural,135850,97568,97282,0,0,0,0,0,0,130954,25675,3226,0,112162
2001,Nagpur,Urban,285748,251829,355457,0,0,0,0,0,0,336120,181443,25129,0,59358
2011,Nagpur,Rural,215130,47388,164970,12768,2856,9912,"1,50,283",47632,102651,154055,70654,5751,4254,0
2011,Nagpur,Urban,489913,221014,563744,122982,55108,67874,"4,78,068",62648,415420,423159,355353,65841,102161,0
2001,Nanded,Rural,141142,54102,51416,0,0,0,0,0,0,35680,12284,3926,0,305699
2001,Nanded,Urban,43948,25804,62983,0,0,0,0,0,0,29420,16644,2855,0,40051
2011,Nanded,Rural,217195,60042,110059,23362,2073,21289,"2,44,007",10746,233261,58932,38332,5123,2121,0
2011,Nanded,Urban,92862,28332,106305,19693,5475,14218,"1,19,503",8237,111266,50439,44774,7218,10468,0
2001,Nandurbar,Rural,36566,34187,28458,0,0,0,0,0,0,27581,9515,1651,0,151430
2001,Nandurbar,Urban,18223,10637,21590,0,0,0,0,0,0,13226,7429,1121,0,9638
2011,Nandurbar,Rural,80058,19479,50593,11664,1005,10659,60810,4741,56069,27531,22724,3459,1436,0
2011,Nandurbar,Urban,27705,3693,32551,5383,1574,3809,31599,2217,29382,12998,16626,2676,3151,0
2001,Nashik,Rural,181180,129444,148317,0,0,0,0,0,0,162555,64998,14566,0,250589
2001,Nashik,Urban,194052,124850,233739,0,0,0,0,0,0,162254,102726,19848,0,67531
2011,Nashik,Rural,389891,66554,247168,31827,6151,25676,"3,57,725",23486,334239,174873,175136,25618,9685,0
2011,Nashik,Urban,344963,118888,383471,107060,38888,68172,"3,67,170",33202,333968,225613,220904,53972,79516,0
2001,Parbhani,Rural,84256,24623,30387,0,0,0,0,0,0,21201,4907,1499,0,146848
2001,Parbhani,Urban,33949,21678,44824,0,0,0,0,0,0,32216,12797,1598,0,25558
2011,Parbhani,Rural,160482,34186,69720,11088,946,10142,"1,41,413",6144,135269,37926,22909,3357,866,0
2011,Parbhani,Urban,57482,14980,66213,10108,3036,7072,69945,5410,64535,44424,27288,3616,5191,0
2001,Pune,Rural,274049,240037,228517,0,0,0,0,0,0,241577,92451,18423,0,176262
2001,Pune,Urban,598146,548132,683341,0,0,0,0,0,0,415964,337875,75818,0,97389
2011,Pune,Rural,561412,126951,431066,58771,15134,43637,"5,45,051",29682,515369,295431,288049,44333,31675,0
2011,Pune,Urban,1117417,548670,1124206,431489,219884,211605,"10,36,889",101172,935717,440159,725009,228993,350852,0
2001,Raigad,Rural,103028,122018,111321,0,0,0,0,0,0,69890,31139,6776,0,176330
2001,Raigad,Urban,74398,60888,77180,0,0,0,0,0,0,37672,23962,6467,0,21049
2011,Raigad,Rural,209015,42080,190901,28685,6872,21813,"2,00,097",63369,136728,74106,74901,13655,10596,0
2011,Raigad,Urban,182588,44059,183120,67616,31698,35918,"1,65,824",21718,144106,62141,83218,29881,42801,0
2001,Ratnagiri,Rural,128936,105309,52089,0,0,0,0,0,0,28775,16750,6013,0,194715
2001,Ratnagiri,Urban,27205,18296,24268,0,0,0,0,0,0,11191,10719,2369,0,8372
2011,Ratnagiri,Rural,183321,31894,117120,19402,3788,15614,"1,71,642",69339,102303,31782,36715,9063,5140,0
2011,Ratnagiri,Urban,48972,8590,46350,11660,3964,7696,39879,4730,35149,17395,24844,6128,8164,0
2001,Sangli,Rural,202168,159999,106945,0,0,0,0,0,0,173766,52500,10086,0,121016
2001,Sangli,Urban,66694,62628,76478,0,0,0,0,0,0,69730,34824,6487,0,22052
2011,Sangli,Rural,352277,108159,197659,25624,4809,20815,"2,59,227",32826,226401,242257,126697,16198,9500,0
2011,Sangli,Urban,108097,58946,112571,23432,8403,15029,"1,03,425",10201,93224,93595,64063,13317,16691,0
2001,Satara,Rural,260766,191216,173957,0,0,0,0,0,0,167114,61703,14549,0,170317
2001,Satara,Urban,53397,38567,52251,0,0,0,0,0,0,30543,22732,5236,0,12869
2011,Satara,Rural,412711,93414,277324,33555,6358,27197,"3,28,224",27631,300593,196505,139579,21936,13529,0
2011,Satara,Urban,98107,39348,96761,23868,7735,16133,84758,7051,77707,50444,56003,14110,17822,0
2001,Sindhudurg,Rural,62711,57129,46007,0,0,0,0,0,0,30704,13457,3126,0,84684
2001,Sindhudurg,Urban,11590,6746,11787,0,0,0,0,0,0,7409,4729,866,0,3669
2011,Sindhudurg,Rural,110744,14301,79260,11852,2248,9604,95377,16574,78803,31359,27235,6716,3424,0
2011,Sindhudurg,Urban,19586,2112,19215,3869,1269,2600,16328,1746,14582,8310,9924,2548,2677,0
2001,Solapur,Rural,211462,158211,87514,0,0,0,0,0,0,212449,44270,9310,0,198370
2001,Solapur,Urban,91692,74029,129384,0,0,0,0,0,0,115642,46999,6419,0,56287
2011,Solapur,Rural,422756,103023,181480,24451,3820,20631,"3,51,329",19091,332238,275099,139009,14660,5507,0
2011,Solapur,Urban,176279,60753,194520,34845,11325,23520,"1,84,890",16033,168857,144389,90231,13559,22227,0
2001,Thane,Rural,127143,125126,106152,0,0,0,0,0,0,73387,32647,6628,0,241353
2001,Thane,Urban,831880,700664,930816,0,0,0,0,0,0,228662,158372,49944,0,221910
2011,Thane,Rural,294692,59990,199479,37117,9652,27465,"2,41,719",47819,193900,85195,79685,15421,12698,0
2011,Thane,Urban,1511684,506778,1541765,514526,246518,268008,"14,39,161",148472,1290689,318741,419501,156789,243289,0
2001,Wardha,Rural,97687,59273,60058,0,0,0,0,0,0,67680,14144,1411,0,85913
2001,Wardha,Urban,38644,23439,43854,0,0,0,0,0,0,39591,15498,1273,0,12270
2011,Wardha,Rural,141254,26305,99194,7357,1366,5991,91612,9144,82468,77030,33916,2604,1917,0
2011,Wardha,Urban,65494,12654,71426,8903,2947,5956,57984,5443,52541,52030,36933,4366,6334,0
2001,Washim,Rural,73277,32395,31664,0,0,0,0,0,0,35803,6923,1462,0,105302
2001,Washim,Urban,12015,6786,15041,0,0,0,0,0,0,13822,5238,636,0,9889
2011,Washim,Rural,138285,18153,72890,7845,980,6865,94598,5882,88716,48536,26224,2345,1145,0
2011,Washim,Urban,21678,3395,24132,2912,895,2017,24099,1624,22475,18139,11505,1278,1723,0
2001,Yavatmal,Rural,147268,74539,74577,0,0,0,0,0,0,86095,18558,3087,0,268444
2001,Yavatmal,Urban,47543,24878,53357,0,0,0,0,0,0,47340,22379,2501,0,21718
2011,Yavatmal,Rural,292330,43116,156724,17323,1889,15434,"1,81,310",10643,170667,107705,51863,5450,2517,0
2011,Yavatmal,Urban,80752,16085,88537,12594,4205,8389,77883,6092,71791,60956,47483,6682,8997,0
