Year,District,Rural/Urban,Pit Latrine,Water Closet,Other,No Latrine,Unnamed: 7,% stacked
2001,Ahilyanagar,Rural,20048,52357,12444,62770,,
2001,Ahilyanagar,Urban,1757,2992,680,41504,,
2001,Akola,Rural,18568,44912,7411,40328,,
2001,Akola,Urban,4914,4047,1117,19993,,
2001,Amravati,Rural,23604,81252,5778,52436,,
2001,Amravati,Urban,1821,1008,1023,22136,,
2001,Beed,Rural,7147,27730,6676,26310,,
2001,Beed,Urban,1230,1898,191,41454,,
2001,Bhandara,Rural,14591,8659,2997,8950,,
2001,Bhandara,Urban,10319,2910,1855,28531,,
2001,Buldhana,Rural,10102,28487,2982,43767,,
2001,Buldhana,Urban,4373,2385,691,19118,,
2001,Chandrapur,Rural,25571,51006,6716,57728,,
2001,Chandrapur,Urban,3670,4730,1200,25960,,
2001,Chh. Sambhaji Nagar,Rural,15203,116878,25321,33930,,
2001,Chh. Sambhaji Nagar,Urban,2222,2803,1568,48218,,
2001,Dharashiv,Rural,6438,9532,3174,21882,,
2001,Dharashiv,Urban,3433,670,353,20612,,
2001,Dhule,Rural,8004,28104,2057,38783,,
2001,Dhule,Urban,7555,1845,934,51958,,
2001,Gadchiroli,Rural,3920,3734,232,6671,,
2001,Gadchiroli,Urban,2426,1625,543,11963,,
2001,Gondia,Rural,2181,16809,664,7155,,
2001,Gondia,Urban,5471,1435,1275,26207,,
2001,Hingoli,Rural,4774,5694,3776,10445,,
2001,Hingoli,Urban,1538,530,571,30929,,
2001,Jalgaon,Rural,10997,82498,11141,89533,,
2001,Jalgaon,Urban,3343,4239,1267,43236,,
2001,Jalna,Rural,8202,17056,6407,17459,,
2001,Jalna,Urban,2877,969,556,44390,,
2001,Kolhapur,Rural,15027,93923,8609,91057,,
2001,Kolhapur,Urban,2885,2113,983,29413,,
2001,Latur,Rural,13352,27159,8768,29889,,
2001,Latur,Urban,11267,20667,6773,56130,,
2001,Mumbai Suburban,Rural,26282,667501,78938,1001611,,
2001,Mumbai Suburban,Urban,26282,667501,78938,1001611,,
2001,Mumbai,Rural,7034,241704,34183,365669,,
2001,Mumbai,Urban,7034,241704,34183,365669,,
2001,Nagpur,Rural,73950,262125,66524,93608,,
2001,Nagpur,Urban,5514,1176,988,22284,,
2001,Nanded,Rural,24240,41044,9396,38314,,
2001,Nanded,Urban,1917,208,249,14905,,
2001,Nandurbar,Rural,2774,14872,1051,16374,,
2001,Nandurbar,Urban,1156,1083,764,29391,,
2001,Nashik,Rural,24366,156579,20577,145521,,
2001,Nashik,Urban,1595,193,329,24210,,
2001,Parbhani,Rural,10644,26965,9418,33011,,
2001,Parbhani,Urban,2230,2937,891,20653,,
2001,Pune,Rural,47008,457387,58464,310191,,
2001,Pune,Urban,5165,7797,3442,51171,,
2001,Raigad,Rural,12569,49995,12134,38185,,
2001,Raigad,Urban,2654,7281,1519,18841,,
2001,Ratnagiri,Rural,6489,18518,2354,10714,,
2001,Ratnagiri,Urban,2147,521,755,12717,,
2001,Sangli,Rural,14272,45920,12500,49960,,
2001,Sangli,Urban,4284,3469,1561,22493,,
2001,Satara,Rural,2571,36112,4221,31581,,
2001,Satara,Urban,1880,2274,400,4696,,
2001,Sindhudurg,Rural,5279,6965,998,4902,,
2001,Sindhudurg,Urban,3017,2977,1024,18436,,
2001,Solapur,Rural,24536,69104,13320,117128,,
2001,Solapur,Urban,2079,1703,903,41223,,
2001,Thane,Rural,41567,725654,88994,415708,,
2001,Thane,Urban,899,377,399,19691,,
2001,Wardha,Rural,15015,26804,1616,22061,,
2001,Wardha,Urban,3090,1099,1025,10638,,
2001,Washim,Rural,6937,8914,1987,12132,,
2001,Washim,Urban,1739,1378,575,27148,,
2001,Yavatmal,Rural,17774,28213,3502,37231,,
2001,Yavatmal,Urban,3375,1600,651,17943,,
2011,Ahilyanagar,Rural,112243,166492,1802,437181,,
2011,Ahilyanagar,Urban,8384,123364,3617,48665,,
2011,Akola,Rural,26768,49088,777,171119,,
