Year,District,Rural/Urban,Working Population,Male,Female,Main Worker Population,Male Main Workers,Female Main Workers,Marginal Worker Population,Male Marginal Workers,Female Marginal Workers,Unnamed: 12,Unnamed: 13,Unnamed: 14
1991,Mumbai City,Urban,129220,3007332,492010,64610,2966082,468650,64610,41250,23360,,,
1991,Mumbai Suburban,Urban,129220,3007332,492010,64610,2966082,468650,64610,41250,23360,,,
1991,Thane,Rural,920994,523974,397020,814447,513067,301380,106547,10907,95640,,Note:,"2011 Census Marginal Worker Population adds up marginal workers who have worked less than 3 months and 3-6 months, while for 1991 and 2001, it is reported as a single column."
1991,Thane,Urban,1170565,1009391,161174,1147257,999621,147636,23308,9770,13538,,Census Definitions,
1991,Raigad,Rural,692003,378301,313702,614618,367629,246989,77385,10672,66713,,Main Worker,Worked more than 6 months in the previous year
1991,Raigad,Urban,108545,89900,18645,105485,88986,16499,3060,914,2146,,Working Population,Main + Marginal Workers
1991,Ratnagiri,Rural,653572,301008,352564,535806,287016,248790,117766,13992,103774,,,
1991,Ratnagiri,Urban,41238,33124,8114,39950,32583,7367,1288,541,747,,maybe unpivot gender,
1991,Sindhudurg,Rural,375120,183934,191186,300190,171695,128495,74930,12239,62691,,,
1991,Sindhudurg,Urban,20109,15370,4739,18301,14595,3706,1808,775,1033,,,
1991,Nashik,Rural,1270010,673711,596299,1183798,662384,521414,86212,11327,74885,,,
1991,Nashik,Urban,408725,337843,70882,400204,335238,64966,8521,2605,5916,,,
1991,Dhule,Rural,1006543,543835,462708,866441,535606,330835,140102,8229,131873,,,
1991,Dhule,Urban,141949,119192,22757,138443,118161,20282,3506,1031,2475,,,
1991,Jalgaon,Rural,1113714,616679,497035,1032732,610049,422683,80982,6630,74352,,,
1991,Jalgaon,Urban,253575,209639,43936,247145,208196,38949,6430,1443,4987,,,
1991,Ahilyanagar,Rural,1376727,749220,627507,1262944,740976,521968,113783,8244,105539,,,
1991,Ahilyanagar,Urban,173047,135479,37568,169467,134545,34922,3580,934,2646,,,
1991,Pune,Rural,1336282,738178,598104,1179727,722451,457276,156555,15727,140828,,,
1991,Pune,Urban,894473,729923,164550,871952,720337,151615,22521,9586,12935,,,
1991,Satara,Rural,996668,522813,473855,805126,513116,292010,191542,9697,181845,,,
1991,Satara,Urban,94569,75802,18767,91269,75133,16136,3300,669,2631,,,
1991,Sangli,Rural,809657,469836,339821,659190,463103,196087,150467,6733,143734,,,
1991,Sangli,Urban,165185,130184,35001,155536,128433,27103,9649,1751,7898,,,
