Year,District,Rural/Urban,Location,Tap,Handpump,Tubewell,Well,All Others
2001,Nandurbar,Total,Total,131370,71240,7591,21477,18848
2001,Nandurbar,Total,Within Premises,74842,12897,1738,3560,212
2001,Nandurbar,Total,Near Premises,49690,48868,4303,12720,10989
2001,Nandurbar,Total,Away,6838,9475,1550,5197,7647
2001,Nandurbar,Rural,Total,101158,69094,5788,21278,18137
2001,Nandurbar,Rural,Within Premises,51282,12618,872,3501,100
2001,Nandurbar,Rural,Near Premises,44692,47522,3888,12686,10604
2001,Nandurbar,Rural,Away,5184,8954,1028,5091,7433
2001,Nandurbar,Urban,Total,30212,2146,1803,199,711
2001,Nandurbar,Urban,Within Premises,23560,279,866,59,112
2001,Nandurbar,Urban,Near Premises,4998,1346,415,34,385
2001,Nandurbar,Urban,Away,1654,521,522,106,214
2001,Dhule,Total,Total,247681,37143,3991,34154,6899
2001,Dhule,Total,Within Premises,177428,6892,1026,9606,674
2001,Dhule,Total,Near Premises,61145,25081,2212,14129,3006
2001,Dhule,Total,Away,9108,5170,753,10419,3219
2001,Dhule,Rural,Total,181637,35350,3494,27649,4790
2001,Dhule,Rural,Within Premises,125035,6560,761,5215,506
2001,Dhule,Rural,Near Premises,50907,24157,2070,12795,2022
2001,Dhule,Rural,Away,5695,4633,663,9639,2262
2001,Dhule,Urban,Total,66044,1793,497,6505,2109
2001,Dhule,Urban,Within Premises,52393,332,265,4391,168
2001,Dhule,Urban,Near Premises,10238,924,142,1334,984
2001,Dhule,Urban,Away,3413,537,90,780,957
2001,Jalgaon,Total,Total,623627,47221,9064,37448,12703
2001,Jalgaon,Total,Within Premises,446390,10775,3689,7550,1870
2001,Jalgaon,Total,Near Premises,147185,28048,3592,16160,5879
2001,Jalgaon,Total,Away,30052,8398,1783,13738,4954
2001,Jalgaon,Rural,Total,447978,38218,6640,34098,8960
2001,Jalgaon,Rural,Within Premises,305382,8678,2111,6497,1429
2001,Jalgaon,Rural,Near Premises,120826,22956,3063,14944,4289
2001,Jalgaon,Rural,Away,21770,6584,1466,12657,3242
2001,Jalgaon,Urban,Total,175649,9003,2424,3350,3743
2001,Jalgaon,Urban,Within Premises,141008,2097,1578,1053,441
2001,Jalgaon,Urban,Near Premises,26359,5092,529,1216,1590
2001,Jalgaon,Urban,Away,8282,1814,317,1081,1712
2001,Buldhana,Total,Total,226446,72172,12437,123018,9805
2001,Buldhana,Total,Within Premises,145066,8930,2746,31161,641
2001,Buldhana,Total,Near Premises,66276,47802,5587,56658,4312
2001,Buldhana,Total,Away,15104,15440,4104,35199,4852
2001,Buldhana,Rural,Total,162517,63735,10367,114146,7775
2001,Buldhana,Rural,Within Premises,98193,7631,1664,27362,523
2001,Buldhana,Rural,Near Premises,53673,43102,5155,53801,3815
2001,Buldhana,Rural,Away,10651,13002,3548,32983,3437
2001,Buldhana,Urban,Total,63929,8437,2070,8872,2030
2001,Buldhana,Urban,Within Premises,46873,1299,1082,3799,118
2001,Buldhana,Urban,Near Premises,12603,4700,432,2857,497
2001,Buldhana,Urban,Away,4453,2438,556,2216,1415
2001,Akola,Total,Total,189064,55751,12024,47770,8796
2001,Akola,Total,Within Premises,100784,11622,8695,17641,375
2001,Akola,Total,Near Premises,67048,32422,2326,20590,3153
2001,Akola,Total,Away,21232,11707,1003,9539,5268
2001,Akola,Rural,Total,111241,37670,4729,42074,6472
2001,Akola,Rural,Within Premises,49727,5143,2281,14647,224
2001,Akola,Rural,Near Premises,49388,24982,1793,18644,2364
2001,Akola,Rural,Away,12126,7545,655,8783,3884
2001,Akola,Urban,Total,77823,18081,7295,5696,2324
2001,Akola,Urban,Within Premises,51057,6479,6414,2994,151
2001,Akola,Urban,Near Premises,17660,7440,533,1946,789
2001,Akola,Urban,Away,9106,4162,348,756,1384
2001,Washim,Total,Total,74961,39823,3861,82190,1799
2001,Washim,Total,Within Premises,46706,4945,1993,9696,60
2001,Washim,Total,Near Premises,23501,26650,1325,43983,439
2001,Washim,Total,Away,4754,8228,543,28511,1300
2001,Washim,Rural,Total,53002,35209,3174,79622,1657
2001,Washim,Rural,Within Premises,31807,4105,1496,9076,40
2001,Washim,Rural,Near Premises,18677,24459,1199,42912,391
2001,Washim,Rural,Away,2518,6645,479,27634,1226
2001,Washim,Urban,Total,21959,4614,687,2568,142
2001,Washim,Urban,Within Premises,14899,840,497,620,20
2001,Washim,Urban,Near Premises,4824,2191,126,1071,48
2001,Washim,Urban,Away,2236,1583,64,877,74
2001,Amravati,Total,Total,361403,66419,6308,72782,6811
2001,Amravati,Total,Within Premises,191253,6158,1919,29570,312
2001,Amravati,Total,Near Premises,139140,43804,3227,26935,3742
2001,Amravati,Total,Away,31010,16457,1162,16277,2757
2001,Amravati,Rural,Total,232149,55798,4502,53434,4770
2001,Amravati,Rural,Within Premises,100245,4772,1063,17197,204
2001,Amravati,Rural,Near Premises,109616,37543,2529,21954,2789
2001,Amravati,Rural,Away,22288,13483,910,14283,1777
2001,Amravati,Urban,Total,129254,10621,1806,19348,2041
2001,Amravati,Urban,Within Premises,91008,1386,856,12373,108
2001,Amravati,Urban,Near Premises,29524,6261,698,4981,953
2001,Amravati,Urban,Away,8722,2974,252,1994,980
2001,Wardha,Total,Total,131388,41284,4701,79666,2303
2001,Wardha,Total,Within Premises,85773,6052,2011,24308,86
2001,Wardha,Total,Near Premises,36671,26804,1836,38001,1079
2001,Wardha,Total,Away,8944,8428,854,17357,1138
2001,Wardha,Rural,Total,82854,38045,3506,67697,1744
2001,Wardha,Rural,Within Premises,46970,5546,1080,16653,32
2001,Wardha,Rural,Near Premises,29315,24938,1663,35213,711
2001,Wardha,Rural,Away,6569,7561,763,15831,1001
2001,Wardha,Urban,Total,48534,3239,1195,11969,559
2001,Wardha,Urban,Within Premises,38803,506,931,7655,54
2001,Wardha,Urban,Near Premises,7356,1866,173,2788,368
2001,Wardha,Urban,Away,2375,867,91,1526,137
2001,Nagpur,Total,Total,559189,82510,6668,136044,6113
2001,Nagpur,Total,Within Premises,415246,10665,3116,53894,297
2001,Nagpur,Total,Near Premises,115944,55767,2118,55486,2993
2001,Nagpur,Total,Away,27999,16078,1434,26664,2823
2001,Nagpur,Rural,Total,163457,52271,2862,73565,2162
2001,Nagpur,Rural,Within Premises,91459,6329,766,16455,145
2001,Nagpur,Rural,Near Premises,60555,36529,1149,37724,1436
2001,Nagpur,Rural,Away,11443,9413,947,19386,581
2001,Nagpur,Urban,Total,395732,30239,3806,62479,3951
2001,Nagpur,Urban,Within Premises,323787,4336,2350,37439,152
2001,Nagpur,Urban,Near Premises,55389,19238,969,17762,1557
2001,Nagpur,Urban,Away,16556,6665,487,7278,2242
2001,Bhandara,Total,Total,85372,66546,4680,82171,1092
2001,Bhandara,Total,Within Premises,48331,6562,1093,24164,42
2001,Bhandara,Total,Near Premises,28570,45267,2295,39190,484
2001,Bhandara,Total,Away,8471,14717,1292,18817,566
2001,Bhandara,Rural,Total,57913,65032,4332,76499,888
2001,Bhandara,Rural,Within Premises,28394,6359,968,20313,31
2001,Bhandara,Rural,Near Premises,23585,44428,2242,37975,390
2001,Bhandara,Rural,Away,5934,14245,1122,18211,467
2001,Bhandara,Urban,Total,27459,1514,348,5672,204
2001,Bhandara,Urban,Within Premises,19937,203,125,3851,11
2001,Bhandara,Urban,Near Premises,4985,839,53,1215,94
2001,Bhandara,Urban,Away,2537,472,170,606,99
2001,Gondia,Total,Total,39091,89366,3786,116267,866
2001,Gondia,Total,Within Premises,24111,9507,758,42012,51
2001,Gondia,Total,Near Premises,11980,58802,2139,53309,415
2001,Gondia,Total,Away,3000,21057,889,20946,400
2001,Gondia,Rural,Total,20991,85697,3129,112002,748
2001,Gondia,Rural,Within Premises,9197,9179,628,39911,47
2001,Gondia,Rural,Near Premises,9512,56398,1771,51863,385
2001,Gondia,Rural,Away,2282,20120,730,20228,316
2001,Gondia,Urban,Total,18100,3669,657,4265,118
2001,Gondia,Urban,Within Premises,14914,328,130,2101,4
2001,Gondia,Urban,Near Premises,2468,2404,368,1446,30
2001,Gondia,Urban,Away,718,937,159,718,84
2001,Gadchiroli,Total,Total,35310,81479,3470,83301,2191
2001,Gadchiroli,Total,Within Premises,20431,7661,653,18377,16
2001,Gadchiroli,Total,Near Premises,11724,53239,1937,44426,945
2001,Gadchiroli,Total,Away,3155,20579,880,20498,1230
2001,Gadchiroli,Rural,Total,26983,78251,3307,80467,2186
2001,Gadchiroli,Rural,Within Premises,13645,7372,586,16820,15
2001,Gadchiroli,Rural,Near Premises,10561,51072,1873,43826,942
2001,Gadchiroli,Rural,Away,2777,19807,848,19821,1229
2001,Gadchiroli,Urban,Total,8327,3228,163,2834,5
2001,Gadchiroli,Urban,Within Premises,6786,289,67,1557,1
2001,Gadchiroli,Urban,Near Premises,1163,2167,64,600,3
2001,Gadchiroli,Urban,Away,378,772,32,677,1
2001,Chandrapur,Total,Total,163899,128741,10751,142130,6460
2001,Chandrapur,Total,Within Premises,107728,20806,5658,25883,416
2001,Chandrapur,Total,Near Premises,41335,76090,2966,70610,2462
2001,Chandrapur,Total,Away,14836,31845,2127,45637,3582
2001,Chandrapur,Rural,Total,65753,108465,5798,127515,3429
2001,Chandrapur,Rural,Within Premises,34485,12991,1586,18382,329
2001,Chandrapur,Rural,Near Premises,25007,67619,2462,66253,1324
2001,Chandrapur,Rural,Away,6261,27855,1750,42880,1776
2001,Chandrapur,Urban,Total,98146,20276,4953,14615,3031
2001,Chandrapur,Urban,Within Premises,73243,7815,4072,7501,87
2001,Chandrapur,Urban,Near Premises,16328,8471,504,4357,1138
2001,Chandrapur,Urban,Away,8575,3990,377,2757,1806
2001,Yavatmal,Total,Total,207227,102132,10436,177786,11125
2001,Yavatmal,Total,Within Premises,113217,14613,3876,24349,591
2001,Yavatmal,Total,Near Premises,77222,65163,4845,91542,5671
2001,Yavatmal,Total,Away,16788,22356,1715,61895,4863
2001,Yavatmal,Rural,Total,138641,94870,8852,169273,10350
2001,Yavatmal,Rural,Within Premises,64632,12998,2657,20780,379
2001,Yavatmal,Rural,Near Premises,61712,61180,4685,89007,5338
2001,Yavatmal,Rural,Away,12297,20692,1510,59486,4633
2001,Yavatmal,Urban,Total,68586,7262,1584,8513,775
2001,Yavatmal,Urban,Within Premises,48585,1615,1219,3569,212
2001,Yavatmal,Urban,Near Premises,15510,3983,160,2535,333
2001,Yavatmal,Urban,Away,4491,1664,205,2409,230
2001,Nanded,Total,Total,261067,117895,26005,100752,17820
2001,Nanded,Total,Within Premises,160022,23609,11989,12880,589
2001,Nanded,Total,Near Premises,78188,64401,8728,47625,5604
2001,Nanded,Total,Away,22857,29885,5288,40247,11627
