Year,District,Select Schooling Level,Social Category,Overall,Boys,Girls
2013,Ahilyanagar,Primary (I-V),Overall,1.34,1.26,1.44
2013,Ahilyanagar,Primary (I-V),General,2.0,2.39,1.5
2013,Ahilyanagar,Primary (I-V),OBC,0.0,0.0,0.31
2013,Ahilyanagar,Primary (I-V),SC,1.43,0.83,2.09
2013,Ahilyanagar,Primary (I-V),ST,2.85,2.64,3.07
2013,Ahilyanagar,Upper Primary (VI-VIII),Overall,1.12,0.07,2.42
2013,Ahilyanagar,Upper Primary (VI-VIII),General,0.0,0.0,0.5
2013,Ahilyanagar,Upper Primary (VI-VIII),OBC,0.95,0.0,2.76
2013,Ahilyanagar,Upper Primary (VI-VIII),SC,1.6,0.0,3.54
2013,Ahilyanagar,Upper Primary (VI-VIII),ST,6.89,5.59,8.42
2013,Ahilyanagar,Secondary (IX-X),Overall,13.5,12.63,14.62
2013,Ahilyanagar,Secondary (IX-X),General,13.43,13.12,13.81
2013,Ahilyanagar,Secondary (IX-X),OBC,10.82,9.08,13.11
2013,Ahilyanagar,Secondary (IX-X),SC,17.0,16.06,18.17
2013,Ahilyanagar,Secondary (IX-X),ST,18.88,18.27,19.64
2013,Akola,Primary (I-V),Overall,0.0,0.0,0.0
2013,Akola,Primary (I-V),General,0.0,0.0,0.0
2013,Akola,Primary (I-V),OBC,0.0,0.0,0.0
2013,Akola,Primary (I-V),SC,1.22,1.4,1.02
2013,Akola,Primary (I-V),ST,9.61,9.01,10.25
2013,Akola,Upper Primary (VI-VIII),Overall,0.23,0.0,0.76
2013,Akola,Upper Primary (VI-VIII),General,0.75,0.36,1.14
2013,Akola,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Akola,Upper Primary (VI-VIII),SC,0.84,0.06,1.67
2013,Akola,Upper Primary (VI-VIII),ST,11.78,10.24,13.65
2013,Akola,Secondary (IX-X),Overall,14.82,14.81,14.83
2013,Akola,Secondary (IX-X),General,19.51,18.41,20.62
2013,Akola,Secondary (IX-X),OBC,9.53,9.73,9.32
2013,Akola,Secondary (IX-X),SC,18.81,19.27,18.29
2013,Akola,Secondary (IX-X),ST,26.25,26.8,25.62
2013,Amravati,Primary (I-V),Overall,1.43,1.45,1.4
2013,Amravati,Primary (I-V),General,4.04,4.5,3.52
2013,Amravati,Primary (I-V),OBC,0.0,0.0,0.0
2013,Amravati,Primary (I-V),SC,1.94,1.82,2.06
2013,Amravati,Primary (I-V),ST,3.84,3.26,4.44
2013,Amravati,Upper Primary (VI-VIII),Overall,1.7,1.3,2.13
2013,Amravati,Upper Primary (VI-VIII),General,1.66,2.29,0.96
2013,Amravati,Upper Primary (VI-VIII),OBC,0.0,0.0,0.51
2013,Amravati,Upper Primary (VI-VIII),SC,0.75,0.68,0.84
2013,Amravati,Upper Primary (VI-VIII),ST,7.37,6.14,8.67
2013,Amravati,Secondary (IX-X),Overall,17.45,19.29,15.51
2013,Amravati,Secondary (IX-X),General,20.9,22.74,19.11
2013,Amravati,Secondary (IX-X),OBC,14.95,17.49,12.29
2013,Amravati,Secondary (IX-X),SC,15.84,17.29,14.29
2013,Amravati,Secondary (IX-X),ST,24.78,24.6,25.0
2013,Beed,Primary (I-V),Overall,2.96,3.08,2.82
2013,Beed,Primary (I-V),General,3.84,3.89,3.8
2013,Beed,Primary (I-V),OBC,1.78,2.14,1.36
2013,Beed,Primary (I-V),SC,2.71,2.82,2.58
2013,Beed,Primary (I-V),ST,6.97,4.55,9.72
2013,Beed,Upper Primary (VI-VIII),Overall,1.95,0.77,3.3
2013,Beed,Upper Primary (VI-VIII),General,2.91,1.82,4.16
2013,Beed,Upper Primary (VI-VIII),OBC,0.3,0.0,2.1
2013,Beed,Upper Primary (VI-VIII),SC,2.83,2.49,3.22
2013,Beed,Upper Primary (VI-VIII),ST,4.42,2.22,7.28
2013,Beed,Secondary (IX-X),Overall,10.77,7.9,14.53
2013,Beed,Secondary (IX-X),General,10.33,7.24,14.17
2013,Beed,Secondary (IX-X),OBC,10.87,8.24,14.45
2013,Beed,Secondary (IX-X),SC,11.56,8.56,15.6
2013,Beed,Secondary (IX-X),ST,14.96,12.18,19.35
2013,Bhandara,Primary (I-V),Overall,0.95,1.0,0.9
2013,Bhandara,Primary (I-V),General,5.91,5.23,6.67
2013,Bhandara,Primary (I-V),OBC,0.41,0.57,0.25
2013,Bhandara,Primary (I-V),SC,0.57,0.22,0.94
2013,Bhandara,Primary (I-V),ST,4.11,4.2,4.0
2013,Bhandara,Upper Primary (VI-VIII),Overall,0.58,0.85,0.3
2013,Bhandara,Upper Primary (VI-VIII),General,9.46,9.54,9.37
2013,Bhandara,Upper Primary (VI-VIII),OBC,0.0,0.06,0.0
2013,Bhandara,Upper Primary (VI-VIII),SC,0.41,0.52,0.3
2013,Bhandara,Upper Primary (VI-VIII),ST,4.92,4.91,4.94
2013,Bhandara,Secondary (IX-X),Overall,16.14,19.02,13.16
2013,Bhandara,Secondary (IX-X),General,15.23,16.93,13.41
2013,Bhandara,Secondary (IX-X),OBC,16.37,19.64,13.01
2013,Bhandara,Secondary (IX-X),SC,13.0,15.17,10.69
2013,Bhandara,Secondary (IX-X),ST,21.98,23.25,20.65
2013,Buldhana,Primary (I-V),Overall,1.43,1.42,1.44
2013,Buldhana,Primary (I-V),General,2.66,2.59,2.73
2013,Buldhana,Primary (I-V),OBC,0.44,0.35,0.56
2013,Buldhana,Primary (I-V),SC,1.8,2.05,1.54
2013,Buldhana,Primary (I-V),ST,5.38,5.64,5.08
2013,Buldhana,Upper Primary (VI-VIII),Overall,3.46,2.37,4.73
2013,Buldhana,Upper Primary (VI-VIII),General,6.94,5.92,8.07
2013,Buldhana,Upper Primary (VI-VIII),OBC,1.54,0.49,2.78
2013,Buldhana,Upper Primary (VI-VIII),SC,3.98,3.33,4.69
2013,Buldhana,Upper Primary (VI-VIII),ST,10.59,6.81,14.84
2013,Buldhana,Secondary (IX-X),Overall,19.08,17.81,20.6
2013,Buldhana,Secondary (IX-X),General,24.84,22.94,26.95
2013,Buldhana,Secondary (IX-X),OBC,16.47,16.09,16.93
2013,Buldhana,Secondary (IX-X),SC,20.34,17.53,23.61
2013,Buldhana,Secondary (IX-X),ST,24.11,21.05,28.62
2013,Chandrapur,Primary (I-V),Overall,0.12,0.11,0.13
2013,Chandrapur,Primary (I-V),General,0.68,0.6,0.77
2013,Chandrapur,Primary (I-V),OBC,0.16,0.25,0.06
2013,Chandrapur,Primary (I-V),SC,0.64,0.58,0.7
2013,Chandrapur,Primary (I-V),ST,0.0,0.0,0.0
2013,Chandrapur,Upper Primary (VI-VIII),Overall,0.0,0.0,0.0
2013,Chandrapur,Upper Primary (VI-VIII),General,0.0,0.0,0.0
2013,Chandrapur,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Chandrapur,Upper Primary (VI-VIII),SC,0.24,0.0,1.2
2013,Chandrapur,Upper Primary (VI-VIII),ST,0.32,0.06,0.58
2013,Chandrapur,Secondary (IX-X),Overall,15.57,17.74,13.24
2013,Chandrapur,Secondary (IX-X),General,14.69,15.66,13.65
2013,Chandrapur,Secondary (IX-X),OBC,15.06,17.73,12.21
2013,Chandrapur,Secondary (IX-X),SC,12.38,14.75,9.77
2013,Chandrapur,Secondary (IX-X),ST,20.6,21.6,19.51
2013,Chh. Sambhaji Nagar,Primary (I-V),Overall,1.21,1.29,1.13
2013,Chh. Sambhaji Nagar,Primary (I-V),General,1.91,2.0,1.8
2013,Chh. Sambhaji Nagar,Primary (I-V),OBC,0.0,0.03,0.0
2013,Chh. Sambhaji Nagar,Primary (I-V),SC,0.5,0.47,0.53
2013,Chh. Sambhaji Nagar,Primary (I-V),ST,3.48,3.26,3.73
2013,Chh. Sambhaji Nagar,Upper Primary (VI-VIII),Overall,2.35,1.3,3.59
2013,Chh. Sambhaji Nagar,Upper Primary (VI-VIII),General,3.29,2.41,4.3
2013,Chh. Sambhaji Nagar,Upper Primary (VI-VIII),OBC,0.0,0.0,1.26
2013,Chh. Sambhaji Nagar,Upper Primary (VI-VIII),SC,2.26,1.01,3.69
2013,Chh. Sambhaji Nagar,Upper Primary (VI-VIII),ST,7.32,5.38,9.81
2013,Chh. Sambhaji Nagar,Secondary (IX-X),Overall,13.83,11.8,16.43
2013,Chh. Sambhaji Nagar,Secondary (IX-X),General,14.35,12.89,16.11
2013,Chh. Sambhaji Nagar,Secondary (IX-X),OBC,11.37,8.13,15.83
2013,Chh. Sambhaji Nagar,Secondary (IX-X),SC,16.35,15.24,17.76
2013,Chh. Sambhaji Nagar,Secondary (IX-X),ST,15.72,12.83,20.3
2013,Dharashiv,Primary (I-V),Overall,3.02,3.05,2.97
2013,Dharashiv,Primary (I-V),General,5.32,5.64,4.95
2013,Dharashiv,Primary (I-V),OBC,0.0,0.0,0.0
2013,Dharashiv,Primary (I-V),SC,4.3,4.02,4.58
2013,Dharashiv,Primary (I-V),ST,10.91,10.16,11.78
2013,Dharashiv,Upper Primary (VI-VIII),Overall,2.77,2.5,3.06
2013,Dharashiv,Upper Primary (VI-VIII),General,5.92,6.3,5.52
2013,Dharashiv,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Dharashiv,Upper Primary (VI-VIII),SC,4.23,3.48,5.08
2013,Dharashiv,Upper Primary (VI-VIII),ST,12.67,10.09,16.14
2013,Dharashiv,Secondary (IX-X),Overall,19.46,19.16,19.81
2013,Dharashiv,Secondary (IX-X),General,22.35,22.77,21.87
2013,Dharashiv,Secondary (IX-X),OBC,10.33,8.85,12.08
2013,Dharashiv,Secondary (IX-X),SC,21.64,20.45,23.06
2013,Dharashiv,Secondary (IX-X),ST,30.14,31.69,27.85
2013,Dhule,Primary (I-V),Overall,2.16,1.7,2.7
2013,Dhule,Primary (I-V),General,0.76,0.81,0.7
2013,Dhule,Primary (I-V),OBC,0.62,0.76,0.46
2013,Dhule,Primary (I-V),SC,4.69,3.18,6.3
2013,Dhule,Primary (I-V),ST,3.65,2.64,4.77
2013,Dhule,Upper Primary (VI-VIII),Overall,2.57,1.78,3.51
2013,Dhule,Upper Primary (VI-VIII),General,5.98,2.0,10.08
2013,Dhule,Upper Primary (VI-VIII),OBC,0.0,0.11,0.0
2013,Dhule,Upper Primary (VI-VIII),SC,5.12,3.54,6.86
2013,Dhule,Upper Primary (VI-VIII),ST,5.21,3.84,6.96
2013,Dhule,Secondary (IX-X),Overall,16.18,15.9,16.53
2013,Dhule,Secondary (IX-X),General,19.44,18.65,20.3
2013,Dhule,Secondary (IX-X),OBC,9.95,10.15,9.68
2013,Dhule,Secondary (IX-X),SC,20.63,19.67,21.85
2013,Dhule,Secondary (IX-X),ST,26.8,25.53,28.6
2013,Gadchiroli,Primary (I-V),Overall,3.56,3.54,3.59
2013,Gadchiroli,Primary (I-V),General,0.0,0.0,0.0
2013,Gadchiroli,Primary (I-V),OBC,1.61,1.76,1.46
2013,Gadchiroli,Primary (I-V),SC,4.71,5.28,4.08
2013,Gadchiroli,Primary (I-V),ST,5.67,5.53,5.83
2013,Gadchiroli,Upper Primary (VI-VIII),Overall,2.76,2.68,2.86
2013,Gadchiroli,Upper Primary (VI-VIII),General,0.0,0.0,0.0
2013,Gadchiroli,Upper Primary (VI-VIII),OBC,2.19,2.25,2.13
2013,Gadchiroli,Upper Primary (VI-VIII),SC,4.69,5.5,3.81
2013,Gadchiroli,Upper Primary (VI-VIII),ST,3.73,3.42,4.1
2013,Gadchiroli,Secondary (IX-X),Overall,12.42,12.71,12.1
2013,Gadchiroli,Secondary (IX-X),General,7.34,9.39,5.24
2013,Gadchiroli,Secondary (IX-X),OBC,11.37,11.23,11.52
2013,Gadchiroli,Secondary (IX-X),SC,10.13,9.72,10.57
2013,Gadchiroli,Secondary (IX-X),ST,15.86,16.28,15.37
2013,Gondia,Primary (I-V),Overall,1.03,1.09,0.97
2013,Gondia,Primary (I-V),General,0.0,0.0,0.0
2013,Gondia,Primary (I-V),OBC,0.47,0.4,0.52
2013,Gondia,Primary (I-V),SC,2.25,2.26,2.24
2013,Gondia,Primary (I-V),ST,2.89,3.15,2.62
2013,Gondia,Upper Primary (VI-VIII),Overall,1.09,1.23,0.93
2013,Gondia,Upper Primary (VI-VIII),General,0.0,0.0,0.0
2013,Gondia,Upper Primary (VI-VIII),OBC,0.9,1.32,0.46
2013,Gondia,Upper Primary (VI-VIII),SC,1.76,2.35,1.11
2013,Gondia,Upper Primary (VI-VIII),ST,2.6,2.38,2.81
2013,Gondia,Secondary (IX-X),Overall,8.67,10.24,7.07
2013,Gondia,Secondary (IX-X),General,3.5,6.7,0.0
2013,Gondia,Secondary (IX-X),OBC,8.44,10.29,6.53
2013,Gondia,Secondary (IX-X),SC,6.36,6.67,6.07
2013,Gondia,Secondary (IX-X),ST,13.01,14.07,11.97
2013,Hingoli,Primary (I-V),Overall,2.76,2.83,2.69
2013,Hingoli,Primary (I-V),General,2.83,3.16,2.45
2013,Hingoli,Primary (I-V),OBC,1.67,1.22,2.13
2013,Hingoli,Primary (I-V),SC,2.03,2.35,1.7
2013,Hingoli,Primary (I-V),ST,6.58,6.7,6.47
2013,Hingoli,Upper Primary (VI-VIII),Overall,5.47,4.19,6.84
2013,Hingoli,Upper Primary (VI-VIII),General,3.94,2.98,4.93
2013,Hingoli,Upper Primary (VI-VIII),OBC,7.51,5.77,9.44
2013,Hingoli,Upper Primary (VI-VIII),SC,2.24,1.8,2.71
2013,Hingoli,Upper Primary (VI-VIII),ST,11.21,8.25,14.48
2013,Hingoli,Secondary (IX-X),Overall,19.36,17.04,22.29
2013,Hingoli,Secondary (IX-X),General,18.22,16.76,19.99
2013,Hingoli,Secondary (IX-X),OBC,22.82,21.2,24.93
2013,Hingoli,Secondary (IX-X),SC,15.76,11.12,21.24
2013,Hingoli,Secondary (IX-X),ST,20.59,16.87,26.52
2013,Jalgaon,Primary (I-V),Overall,2.68,2.26,3.2
2013,Jalgaon,Primary (I-V),General,1.5,0.63,2.5
2013,Jalgaon,Primary (I-V),OBC,1.94,1.37,2.66
2013,Jalgaon,Primary (I-V),SC,3.2,3.36,3.04
2013,Jalgaon,Primary (I-V),ST,4.96,4.97,4.94
2013,Jalgaon,Upper Primary (VI-VIII),Overall,2.95,1.68,4.51
2013,Jalgaon,Upper Primary (VI-VIII),General,3.29,2.56,4.14
2013,Jalgaon,Upper Primary (VI-VIII),OBC,1.02,0.0,3.05
2013,Jalgaon,Upper Primary (VI-VIII),SC,2.81,2.4,3.27
2013,Jalgaon,Upper Primary (VI-VIII),ST,8.88,7.46,10.72
2013,Jalgaon,Secondary (IX-X),Overall,21.65,21.57,21.73
2013,Jalgaon,Secondary (IX-X),General,26.33,26.33,26.35
2013,Jalgaon,Secondary (IX-X),OBC,17.57,17.78,17.31
2013,Jalgaon,Secondary (IX-X),SC,23.55,23.53,23.57
