Year,District,Social Category,Gender,Primary (I-V),Upper Primary (VI-VIII),Secondary (IX-X)
2013,Ahilyanagar,Overall,Overall,1.34,1.12,13.5
2013,Ahilyanagar,Overall,Boys,1.26,0.07,12.63
2013,Ahilyanagar,Overall,Girls,1.44,2.42,14.62
2013,Ahilyanagar,General,Overall,2.0,0.0,13.43
2013,Ahilyanagar,General,Boys,2.39,0.0,13.12
2013,Ahilyanagar,General,Girls,1.5,0.5,13.81
2013,Ahilyanagar,OBC,Overall,0.0,0.95,10.82
2013,Ahilyanagar,OBC,Boys,0.0,0.0,9.08
2013,Ahilyanagar,OBC,Girls,0.31,2.76,13.11
2013,Ahilyanagar,SC,Overall,1.43,1.6,17.0
2013,Ahilyanagar,SC,Boys,0.83,0.0,16.06
2013,Ahilyanagar,SC,Girls,2.09,3.54,18.17
2013,Ahilyanagar,ST,Overall,2.85,6.89,18.88
2013,Ahilyanagar,ST,Boys,2.64,5.59,18.27
2013,Ahilyanagar,ST,Girls,3.07,8.42,19.64
2013,Akola,Overall,Overall,0.0,0.23,14.82
2013,Akola,Overall,Boys,0.0,0.0,14.81
2013,Akola,Overall,Girls,0.0,0.76,14.83
2013,Akola,General,Overall,0.0,0.75,19.51
2013,Akola,General,Boys,0.0,0.36,18.41
2013,Akola,General,Girls,0.0,1.14,20.62
2013,Akola,OBC,Overall,0.0,0.0,9.53
2013,Akola,OBC,Boys,0.0,0.0,9.73
2013,Akola,OBC,Girls,0.0,0.0,9.32
2013,Akola,SC,Overall,1.22,0.84,18.81
2013,Akola,SC,Boys,1.4,0.06,19.27
2013,Akola,SC,Girls,1.02,1.67,18.29
2013,Akola,ST,Overall,9.61,11.78,26.25
2013,Akola,ST,Boys,9.01,10.24,26.8
2013,Akola,ST,Girls,10.25,13.65,25.62
2013,Amravati,Overall,Overall,1.43,1.7,17.45
2013,Amravati,Overall,Boys,1.45,1.3,19.29
2013,Amravati,Overall,Girls,1.4,2.13,15.51
2013,Amravati,General,Overall,4.04,1.66,20.9
2013,Amravati,General,Boys,4.5,2.29,22.74
2013,Amravati,General,Girls,3.52,0.96,19.11
2013,Amravati,OBC,Overall,0.0,0.0,14.95
2013,Amravati,OBC,Boys,0.0,0.0,17.49
2013,Amravati,OBC,Girls,0.0,0.51,12.29
2013,Amravati,SC,Overall,1.94,0.75,15.84
2013,Amravati,SC,Boys,1.82,0.68,17.29
2013,Amravati,SC,Girls,2.06,0.84,14.29
2013,Amravati,ST,Overall,3.84,7.37,24.78
2013,Amravati,ST,Boys,3.26,6.14,24.6
2013,Amravati,ST,Girls,4.44,8.67,25.0
2013,Beed,Overall,Overall,2.96,1.95,10.77
2013,Beed,Overall,Boys,3.08,0.77,7.9
2013,Beed,Overall,Girls,2.82,3.3,14.53
2013,Beed,General,Overall,3.84,2.91,10.33
2013,Beed,General,Boys,3.89,1.82,7.24
2013,Beed,General,Girls,3.8,4.16,14.17
2013,Beed,OBC,Overall,1.78,0.3,10.87
2013,Beed,OBC,Boys,2.14,0.0,8.24
2013,Beed,OBC,Girls,1.36,2.1,14.45
2013,Beed,SC,Overall,2.71,2.83,11.56
2013,Beed,SC,Boys,2.82,2.49,8.56
2013,Beed,SC,Girls,2.58,3.22,15.6
2013,Beed,ST,Overall,6.97,4.42,14.96
2013,Beed,ST,Boys,4.55,2.22,12.18
2013,Beed,ST,Girls,9.72,7.28,19.35
2013,Bhandara,Overall,Overall,0.95,0.58,16.14
2013,Bhandara,Overall,Boys,1.0,0.85,19.02
2013,Bhandara,Overall,Girls,0.9,0.3,13.16
2013,Bhandara,General,Overall,5.91,9.46,15.23
2013,Bhandara,General,Boys,5.23,9.54,16.93
2013,Bhandara,General,Girls,6.67,9.37,13.41
2013,Bhandara,OBC,Overall,0.41,0.0,16.37
2013,Bhandara,OBC,Boys,0.57,0.06,19.64
2013,Bhandara,OBC,Girls,0.25,0.0,13.01
2013,Bhandara,SC,Overall,0.57,0.41,13.0
2013,Bhandara,SC,Boys,0.22,0.52,15.17
2013,Bhandara,SC,Girls,0.94,0.3,10.69
2013,Bhandara,ST,Overall,4.11,4.92,21.98
2013,Bhandara,ST,Boys,4.2,4.91,23.25
2013,Bhandara,ST,Girls,4.0,4.94,20.65
2013,Buldhana,Overall,Overall,1.43,3.46,19.08
2013,Buldhana,Overall,Boys,1.42,2.37,17.81
2013,Buldhana,Overall,Girls,1.44,4.73,20.6
2013,Buldhana,General,Overall,2.66,6.94,24.84
2013,Buldhana,General,Boys,2.59,5.92,22.94
2013,Buldhana,General,Girls,2.73,8.07,26.95
2013,Buldhana,OBC,Overall,0.44,1.54,16.47
2013,Buldhana,OBC,Boys,0.35,0.49,16.09
2013,Buldhana,OBC,Girls,0.56,2.78,16.93
2013,Buldhana,SC,Overall,1.8,3.98,20.34
2013,Buldhana,SC,Boys,2.05,3.33,17.53
2013,Buldhana,SC,Girls,1.54,4.69,23.61
2013,Buldhana,ST,Overall,5.38,10.59,24.11
2013,Buldhana,ST,Boys,5.64,6.81,21.05
2013,Buldhana,ST,Girls,5.08,14.84,28.62
2013,Chandrapur,Overall,Overall,0.12,0.0,15.57
2013,Chandrapur,Overall,Boys,0.11,0.0,17.74
2013,Chandrapur,Overall,Girls,0.13,0.0,13.24
2013,Chandrapur,General,Overall,0.68,0.0,14.69
2013,Chandrapur,General,Boys,0.6,0.0,15.66
2013,Chandrapur,General,Girls,0.77,0.0,13.65
2013,Chandrapur,OBC,Overall,0.16,0.0,15.06
2013,Chandrapur,OBC,Boys,0.25,0.0,17.73
2013,Chandrapur,OBC,Girls,0.06,0.0,12.21
2013,Chandrapur,SC,Overall,0.64,0.24,12.38
2013,Chandrapur,SC,Boys,0.58,0.0,14.75
2013,Chandrapur,SC,Girls,0.7,1.2,9.77
2013,Chandrapur,ST,Overall,0.0,0.32,20.6
2013,Chandrapur,ST,Boys,0.0,0.06,21.6
2013,Chandrapur,ST,Girls,0.0,0.58,19.51
2013,Chh. Sambhaji Nagar,Overall,Overall,1.21,2.35,13.83
2013,Chh. Sambhaji Nagar,Overall,Boys,1.29,1.3,11.8
2013,Chh. Sambhaji Nagar,Overall,Girls,1.13,3.59,16.43
2013,Chh. Sambhaji Nagar,General,Overall,1.91,3.29,14.35
2013,Chh. Sambhaji Nagar,General,Boys,2.0,2.41,12.89
2013,Chh. Sambhaji Nagar,General,Girls,1.8,4.3,16.11
2013,Chh. Sambhaji Nagar,OBC,Overall,0.0,0.0,11.37
2013,Chh. Sambhaji Nagar,OBC,Boys,0.03,0.0,8.13
2013,Chh. Sambhaji Nagar,OBC,Girls,0.0,1.26,15.83
2013,Chh. Sambhaji Nagar,SC,Overall,0.5,2.26,16.35
2013,Chh. Sambhaji Nagar,SC,Boys,0.47,1.01,15.24
2013,Chh. Sambhaji Nagar,SC,Girls,0.53,3.69,17.76
2013,Chh. Sambhaji Nagar,ST,Overall,3.48,7.32,15.72
2013,Chh. Sambhaji Nagar,ST,Boys,3.26,5.38,12.83
2013,Chh. Sambhaji Nagar,ST,Girls,3.73,9.81,20.3
2013,Dharashiv,Overall,Overall,3.02,2.77,19.46
2013,Dharashiv,Overall,Boys,3.05,2.5,19.16
2013,Dharashiv,Overall,Girls,2.97,3.06,19.81
2013,Dharashiv,General,Overall,5.32,5.92,22.35
2013,Dharashiv,General,Boys,5.64,6.3,22.77
2013,Dharashiv,General,Girls,4.95,5.52,21.87
2013,Dharashiv,OBC,Overall,0.0,0.0,10.33
2013,Dharashiv,OBC,Boys,0.0,0.0,8.85
2013,Dharashiv,OBC,Girls,0.0,0.0,12.08
2013,Dharashiv,SC,Overall,4.3,4.23,21.64
2013,Dharashiv,SC,Boys,4.02,3.48,20.45
2013,Dharashiv,SC,Girls,4.58,5.08,23.06
2013,Dharashiv,ST,Overall,10.91,12.67,30.14
2013,Dharashiv,ST,Boys,10.16,10.09,31.69
2013,Dharashiv,ST,Girls,11.78,16.14,27.85
2013,Dhule,Overall,Overall,2.16,2.57,16.18
2013,Dhule,Overall,Boys,1.7,1.78,15.9
2013,Dhule,Overall,Girls,2.7,3.51,16.53
2013,Dhule,General,Overall,0.76,5.98,19.44
2013,Dhule,General,Boys,0.81,2.0,18.65
2013,Dhule,General,Girls,0.7,10.08,20.3
2013,Dhule,OBC,Overall,0.62,0.0,9.95
2013,Dhule,OBC,Boys,0.76,0.11,10.15
2013,Dhule,OBC,Girls,0.46,0.0,9.68
2013,Dhule,SC,Overall,4.69,5.12,20.63
2013,Dhule,SC,Boys,3.18,3.54,19.67
2013,Dhule,SC,Girls,6.3,6.86,21.85
2013,Dhule,ST,Overall,3.65,5.21,26.8
2013,Dhule,ST,Boys,2.64,3.84,25.53
2013,Dhule,ST,Girls,4.77,6.96,28.6
2013,Gadchiroli,Overall,Overall,3.56,2.76,12.42
2013,Gadchiroli,Overall,Boys,3.54,2.68,12.71
2013,Gadchiroli,Overall,Girls,3.59,2.86,12.1
2013,Gadchiroli,General,Overall,0.0,0.0,7.34
2013,Gadchiroli,General,Boys,0.0,0.0,9.39
2013,Gadchiroli,General,Girls,0.0,0.0,5.24
2013,Gadchiroli,OBC,Overall,1.61,2.19,11.37
2013,Gadchiroli,OBC,Boys,1.76,2.25,11.23
2013,Gadchiroli,OBC,Girls,1.46,2.13,11.52
2013,Gadchiroli,SC,Overall,4.71,4.69,10.13
2013,Gadchiroli,SC,Boys,5.28,5.5,9.72
2013,Gadchiroli,SC,Girls,4.08,3.81,10.57
2013,Gadchiroli,ST,Overall,5.67,3.73,15.86
2013,Gadchiroli,ST,Boys,5.53,3.42,16.28
2013,Gadchiroli,ST,Girls,5.83,4.1,15.37
