Year,District,Age Group,Gender,Primary,Middle,Matriculation/Secondary,Higher Secondary/ Intermediate/ Pre University/ Senior Secondary,Non technical diploma or certificate not equal to degree,Technical diploma or certificate not equal to degree,Graduate and above
1991,Ahilyanagar,All ages,Male,292608,266271,157843,48190,3078,9743,63308
1991,Amravati,All ages,Male,210577,196035,100418,41058,100,8330,35407
1991,Beed,All ages,Male,134278,125094,66935,19536,380,5760,22460
1991,Buldhana,All ages,Male,170218,156578,72100,21070,180,7600,16995
1991,Chandrapur,All ages,Male,152111,131279,68120,31025,320,7810,22330
1991,Chhatrapati Sambhaji Nagar,All ages,Male,178076,163262,101325,35790,240,9622,42483
1991,Dharashiv,All ages,Male,101320,101459,50750,16890,380,2390,17476
1991,Gadchiroli,All ages,Male,55732,40304,16234,6760,40,2210,4828
1991,Jalgaon,All ages,Male,287132,258997,163889,50436,1840,19166,51435
1991,Jalna,All ages,Male,111648,85310,36984,10320,70,2950,10090
1991,Kolhapur,All ages,Male,254427,275609,172572,49402,580,17330,62660
1991,Latur,All ages,Male,127492,125764,72917,23714,130,9200,20640
1991,Nagpur,All ages,Male,295643,288369,185475,85049,830,16220,100931
1991,Nashik,All ages,Male,311183,295752,191150,55208,600,23780,67352
1991,Parbhani,All ages,Male,166540,138499,59840,17980,1910,4110,22040
1991,Pune,All ages,Male,436912,506311,355502,102840,1100,43392,172813
1991,Raigad,All ages,Male,159100,155894,78492,20210,600,5970,22690
1991,Ratnagiri,All ages,Male,138334,124227,49245,11160,340,3530,14454
1991,Sangli,All ages,Male,180836,191508,111876,34900,1180,7856,46090
1991,Satara,All ages,Male,211835,230962,131799,39761,970,9310,40925
1991,Sindhudurg,All ages,Male,85375,86325,38162,8472,150,1410,10820
1991,Solapur,All ages,Male,269241,259015,131089,39340,290,11030,49280
1991,Thane,All ages,Male,404412,419674,391472,107772,2920,27560,147598
1991,Wardha,All ages,Male,99910,93877,51985,20255,160,4820,18890
1991,Yavatmal,All ages,Male,177224,154566,74060,25250,200,7330,21509
2001,Ahilyanagar,All ages,Male,377935,212737,268731,116308,347,18083,112427
2001,Akola,All ages,Male,142735,103321,105751,58323,84,2789,43893
2001,Amravati,All ages,Male,226511,170300,157055,87409,126,7030,75564
2001,Beed,All ages,Male,179267,96268,116938,62955,87,4066,57852
2001,Bhandara,All ages,Male,84885,83418,67532,36981,35,2222,28472
2001,Buldhana,All ages,Male,200849,132126,132070,57831,88,4385,44193
2001,Chandrapur,All ages,Male,163053,134414,117450,69992,130,4803,48898
2001,Chhatrapati Sambhaji Nagar,All ages,Male,244128,146526,187934,93054,211,11256,93325
2001,Dharashiv,All ages,Male,129124,79950,89124,42741,64,3141,38448
2001,Dhule,All ages,Male,143688,75537,102719,59867,134,8343,45038
2001,Gadchiroli,All ages,Male,68401,47505,36328,21913,17,962,12693
2001,Gondia,All ages,Male,99040,80313,65654,34552,26,1915,22280
2001,Hingoli,All ages,Male,87898,47422,38731,20368,27,990,16353
2001,Jalgaon,All ages,Male,346196,198865,244300,113591,236,19480,87489
2001,Jalna,All ages,Male,145813,74645,70079,29712,44,1225,23925
2001,Kolhapur,All ages,Male,318291,193230,280927,122969,353,16115,121779
2001,Latur,All ages,Male,169925,111269,125825,69971,100,5671,57747
2001,Mumbai City,All ages,Male,332234,262176,337243,163849,608,11602,170582
2001,Mumbai Suburban,All ages,Male,820860,628610,843708,407404,2095,44378,495142
2001,Nagpur,All ages,Male,315470,300559,268021,170971,490,19796,175378
2001,Nanded,All ages,Male,229237,121398,136975,91340,95,4624,75231
2001,Nandurbar,All ages,Male,84362,40990,50130,32987,79,3662,22315
2001,Nashik,All ages,Male,428827,266600,331133,148622,540,30612,142359
2001,Parbhani,All ages,Male,129505,72550,66344,34630,49,1884,33049
2001,Pune,All ages,Male,624222,436889,570202,267737,1631,71839,329704
2001,Raigad,All ages,Male,201056,148818,134866,54948,203,9788,54295
2001,Ratnagiri,All ages,Male,165042,100670,83567,27241,76,3911,25669
2001,Sangli,All ages,Male,252839,135087,189894,81059,311,11367,80112
2001,Satara,All ages,Male,269729,168090,216684,84352,244,9666,80333
2001,Sindhudurg,All ages,Male,85678,63487,57332,21410,44,1768,17180
2001,Solapur,All ages,Male,382002,209003,217660,95142,188,8885,86992
2001,Thane,All ages,Male,715830,493868,701888,319175,1402,48560,352273
2001,Wardha,All ages,Male,96680,83195,79988,50383,55,3254,35259
2001,Washim,All ages,Male,92413,52353,56279,33256,17,1169,19446
2001,Yavatmal,All ages,Male,210195,141532,125256,67789,89,4418,50263
2011,Ahilyanagar,All ages,Male,345266,269865,314509,202245,1409,27599,173643
2011,Akola,All ages,Male,133357,124158,123192,103168,210,6096,62871
2011,Amravati,All ages,Male,228024,218510,190260,160699,375,12322,112331
2011,Beed,All ages,Male,183477,135802,150781,120187,292,8461,99545
2011,Bhandara,All ages,Male,76228,99354,80381,66979,150,5113,40311
2011,Buldhana,All ages,Male,198450,169247,160975,114003,265,7686,71735
2011,Chandrapur,All ages,Male,151322,174025,141853,116900,308,10551,72839
2011,Chhatrapati Sambhaji Nagar,All ages,Male,270007,211329,262314,188486,1062,18871,162377
2011,Dharashiv,All ages,Male,120652,106218,116619,76522,224,6539,62708
2011,Dhule,All ages,Male,137821,93503,116301,91536,862,12288,65745
2011,Gadchiroli,All ages,Male,73387,69380,52519,44767,56,1766,21243
2011,Gondia,All ages,Male,90242,100195,83954,64957,121,4143,34080
2011,Hingoli,All ages,Male,95656,68114,57737,40380,42,1965,26269
2011,Jalgaon,All ages,Male,328174,237707,277761,195575,2429,32619,140004
2011,Jalna,All ages,Male,158301,108698,99809,66843,178,3523,46248
2011,Kolhapur,All ages,Male,277521,224973,325928,203198,2236,29875,183449
2011,Latur,All ages,Male,168092,143134,159784,121170,336,11354,93817
2011,Mumbai City,All ages,Male,249086,221861,284103,207303,2035,16784,228615
2011,Mumbai Suburban,All ages,Male,730649,649018,850307,609223,7726,64782,736349
2011,Nagpur,All ages,Male,301524,357956,327002,277674,1188,32547,268252
2011,Nanded,All ages,Male,256301,188491,171330,149519,345,9833,109445
2011,Nandurbar,All ages,Male,98987,59412,64026,58010,426,6389,34288
2011,Nashik,All ages,Male,458622,362693,397837,258709,2931,48050,232649
2011,Parbhani,All ages,Male,149019,108823,93882,67244,174,4229,53869
2011,Pune,All ages,Male,628486,550386,724219,496686,15071,110982,662927
2011,Raigad,All ages,Male,197575,190783,184518,117393,2219,18759,114988
2011,Ratnagiri,All ages,Male,152331,114045,107594,47911,353,8668,38463
2011,Sangli,All ages,Male,223560,172856,220589,129090,2035,18951,123803
2011,Satara,All ages,Male,227530,199569,239283,141129,1813,19134,126483
2011,Sindhudurg,All ages,Male,72562,66260,68160,36434,138,3463,23882
2011,Solapur,All ages,Male,361307,281874,274026,175160,2341,21739,160962
2011,Thane,All ages,Male,791347,690173,869458,608045,8700,77686,629170
2011,Wardha,All ages,Male,90162,112499,91124,73837,175,6918,51737
2011,Washim,All ages,Male,97360,69448,75278,65810,104,3091,31937
2011,Yavatmal,All ages,Male,223758,182171,156689,112219,232,7594,70637
1991,Ahilyanagar,All ages,Female,200990,150911,57780,13760,910,1550,16790
1991,Amravati,All ages,Female,172470,154592,60740,18890,80,3099,12810
1991,Beed,All ages,Female,72533,53090,17435,3770,80,1348,3401
1991,Buldhana,All ages,Female,119406,75232,22596,5160,30,1300,3950
1991,Chandrapur,All ages,Female,107868,85995,28438,10610,80,1870,7600
1991,Chhatrapati Sambhaji Nagar,All ages,Female,100907,78386,34580,10280,90,930,13960
1991,Dharashiv,All ages,Female,65684,52438,15590,2810,30,170,2553
1991,Gadchiroli,All ages,Female,29115,19238,5780,1950,30,520,810
1991,Jalgaon,All ages,Female,201235,162826,68430,18560,630,3600,13191
1991,Jalna,All ages,Female,48123,28117,9610,2190,50,520,2080
1991,Kolhapur,All ages,Female,193288,184863,69319,15070,310,3770,17410
1991,Latur,All ages,Female,84238,65953,22980,4730,10,1840,3130
1991,Nagpur,All ages,Female,243060,226093,113098,43880,510,8490,50138
1991,Nashik,All ages,Female,223640,199576,84492,21221,160,5590,24563
1991,Parbhani,All ages,Female,80716,50070,16480,3758,530,652,3490
1991,Pune,All ages,Female,351778,355847,185784,53360,410,8760,96810
1991,Raigad,All ages,Female,125700,115090,37591,9626,150,1650,11168
1991,Ratnagiri,All ages,Female,137957,105973,25900,5240,180,900,6757
1991,Sangli,All ages,Female,138311,128032,49914,11550,200,940,15620
1991,Satara,All ages,Female,173581,172771,59470,12710,530,2670,12980
1991,Sindhudurg,All ages,Female,88391,79251,21910,4524,80,520,4820
1991,Solapur,All ages,Female,176914,133556,48460,11670,120,3540,12200
1991,Thane,All ages,Female,299382,300786,216445,57363,3200,8000,86360
1991,Wardha,All ages,Female,81907,73401,30334,9810,80,1599,6890
1991,Yavatmal,All ages,Female,121190,92858,31090,8430,20,2013,5810
2001,Ahilyanagar,All ages,Female,340428,142503,136812,50946,78,2288,37382
2001,Akola,All ages,Female,137304,74669,70304,30676,15,367,19842
2001,Amravati,All ages,Female,206773,135348,122035,56348,43,1058,38972
2001,Beed,All ages,Female,143922,54749,51748,23093,13,382,12571
2001,Bhandara,All ages,Female,73297,72665,45487,19549,8,369,11212
2001,Buldhana,All ages,Female,181014,71738,59343,21432,15,436,12010
2001,Chandrapur,All ages,Female,142949,107491,74791,34017,22,409,21120
2001,Chhatrapati Sambhaji Nagar,All ages,Female,210986,87471,91686,39230,61,1150,37477
2001,Dharashiv,All ages,Female,119002,48536,42123,15185,21,286,7790
2001,Dhule,All ages,Female,128971,54699,57454,27365,26,767,15324
2001,Gadchiroli,All ages,Female,52308,33490,21219,9264,3,132,3886
2001,Gondia,All ages,Female,86673,63125,43561,16526,9,271,8378
2001,Hingoli,All ages,Female,66762,20139,13598,5997,4,72,2767
2001,Jalgaon,All ages,Female,304753,130795,131161,53258,47,1602,31573
2001,Jalna,All ages,Female,103509,32224,25020,9198,7,101,5226
2001,Kolhapur,All ages,Female,327719,140388,158004,54182,100,1848,47100
2001,Latur,All ages,Female,157044,69678,62197,27658,66,541,13116
2001,Mumbai City,All ages,Female,267801,153434,191976,101737,447,3951,134938
2001,Mumbai Suburban,All ages,Female,735723,382067,483021,248740,1251,10970,373769
2001,Nagpur,All ages,Female,278189,254561,204795,113092,210,3161,117168
2001,Nanded,All ages,Female,186909,69671,64007,32634,25,394,16677
2001,Nandurbar,All ages,Female,63633,27685,29526,15186,8,321,6184
2001,Nashik,All ages,Female,385354,186624,185571,76846,269,3375,68023
2001,Parbhani,All ages,Female,100911,34851,29040,13126,5,140,7759
2001,Pune,All ages,Female,610014,300358,346467,161518,1027,11081,221517
2001,Raigad,All ages,Female,197321,100692,75114,31497,62,1214,32173
2001,Ratnagiri,All ages,Female,202612,63693,46948,16488,22,604,15281
2001,Sangli,All ages,Female,248315,101656,110758,38537,58,1658,34143
2001,Satara,All ages,Female,278504,122808,125985,41260,45,1133,34169
2001,Sindhudurg,All ages,Female,101710,44692,36207,14260,14,377,10458
2001,Solapur,All ages,Female,329631,123695,103482,39906,47,1169,28291
2001,Thane,All ages,Female,606641,325018,413037,198805,662,7620,242961
2001,Wardha,All ages,Female,87459,69146,61730,31496,18,736,16910
2001,Washim,All ages,Female,76964,30357,27152,11729,4,147,4810
2001,Yavatmal,All ages,Female,173036,91458,72029,32905,13,590,19412
2011,Ahilyanagar,All ages,Female,343759,215554,218023,116437,535,7136,79332
2011,Akola,All ages,Female,138900,98701,101039,70932,70,1452,38313
2011,Amravati,All ages,Female,217005,184194,171630,128331,188,3120,78746
2011,Beed,All ages,Female,172685,96388,92533,58528,119,2326,32385
2011,Bhandara,All ages,Female,66757,90223,70727,50063,37,1328,24332
2011,Buldhana,All ages,Female,200868,116815,101098,60007,101,1610,27195
2011,Chandrapur,All ages,Female,136089,152580,120842,81502,139,2211,44865
2011,Chhatrapati Sambhaji Nagar,All ages,Female,269415,155288,177287,105571,434,4135,83775
2011,Dharashiv,All ages,Female,125408,77799,77854,40109,93,1493,20819
2011,Dhule,All ages,Female,134684,75228,83618,54390,225,2606,31813
