Year,District ,Gender Mix,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2012,Ahilyanagar,Co-Ed,3346,705,208,440,246
2012,Ahilyanagar,Boys,20,5,8,4,0
2012,Ahilyanagar,Girls,25,8,7,18,0
2012,Akola,Co-Ed,734,482,116,137,124
2012,Akola,Boys,18,6,2,2,0
2012,Akola,Girls,29,10,7,10,1
2012,Amravati,Co-Ed,1179,804,182,231,155
2012,Amravati,Boys,34,12,4,3,1
2012,Amravati,Girls,52,14,14,30,4
2012,Beed,Co-Ed,1878,666,156,316,108
2012,Beed,Boys,13,4,1,1,0
2012,Beed,Girls,19,19,4,13,2
2012,Bhandara,Co-Ed,663,330,93,121,51
2012,Bhandara,Boys,4,1,1,0,0
2012,Bhandara,Girls,4,2,4,7,1
2012,Buldhana,Co-Ed,1006,680,157,196,97
2012,Buldhana,Boys,28,9,1,1,0
2012,Buldhana,Girls,34,15,4,9,1
2012,Chandrapur,Co-Ed,1207,729,120,163,140
2012,Chandrapur,Boys,13,1,4,0,0
2012,Chandrapur,Girls,15,2,7,10,0
2012,Chhatrapati Sambhaji Nagar,Co-Ed,1830,1137,164,250,236
2012,Chhatrapati Sambhaji Nagar,Boys,8,5,1,4,5
2012,Chhatrapati Sambhaji Nagar,Girls,12,7,8,14,3
2012,Dharashiv,Co-Ed,700,529,65,169,143
2012,Dharashiv,Boys,13,7,1,2,1
2012,Dharashiv,Girls,8,18,1,10,4
2012,Dhule,Co-Ed,1174,171,113,232,43
2012,Dhule,Boys,35,7,12,5,0
2012,Dhule,Girls,40,9,12,14,1
2012,Gadchiroli,Co-Ed,1211,471,101,112,81
2012,Gadchiroli,Boys,6,6,1,0,0
2012,Gadchiroli,Girls,13,4,2,6,1
2012,Gondia,Co-Ed,743,530,106,80,76
2012,Gondia,Boys,0,8,1,0,0
2012,Gondia,Girls,5,9,3,4,0
2012,Hingoli,Co-Ed,580,370,50,73,37
2012,Hingoli,Boys,0,0,1,0,0
2012,Hingoli,Girls,10,7,1,4,0
2012,Jalgaon,Co-Ed,1569,587,156,428,113
2012,Jalgaon,Boys,75,44,5,4,1
2012,Jalgaon,Girls,66,54,11,23,1
2012,Jalna,Co-Ed,1133,596,88,142,56
2012,Jalna,Boys,6,3,1,2,0
2012,Jalna,Girls,3,7,3,11,0
2012,Kolhapur,Co-Ed,1414,1023,135,298,359
2012,Kolhapur,Boys,33,64,3,8,2
2012,Kolhapur,Girls,43,64,11,15,11
2012,Latur,Co-Ed,971,825,145,254,154
2012,Latur,Boys,4,4,1,4,1
2012,Latur,Girls,9,17,4,19,3
2012,Mumbai City,Co-Ed,0,16,242,780,184
2012,Mumbai City,Boys,0,1,10,42,2
2012,Mumbai City,Girls,0,2,7,72,10
2012,Mumbai Suburban,Co-Ed,1257,925,0,39,105
2012,Mumbai Suburban,Boys,34,0,0,0,0
2012,Mumbai Suburban,Girls,59,0,0,0,0
2012,Nagpur,Co-Ed,1817,1065,244,372,224
2012,Nagpur,Boys,4,4,6,4,1
2012,Nagpur,Girls,18,4,20,25,2
2012,Nanded,Co-Ed,1778,968,127,309,146
2012,Nanded,Boys,9,3,2,2,0
2012,Nanded,Girls,13,14,11,22,3
2012,Nandurbar,Co-Ed,1343,214,66,260,27
2012,Nandurbar,Boys,17,0,3,0,0
2012,Nandurbar,Girls,16,1,8,12,0
2012,Nashik,Co-Ed,2977,1039,190,401,339
2012,Nashik,Boys,22,53,8,6,0
2012,Nashik,Girls,26,63,9,23,4
2012,Parbhani,Co-Ed,820,616,58,161,127
2012,Parbhani,Boys,4,4,1,1,0
2012,Parbhani,Girls,3,11,2,11,0
2012,Pune,Co-Ed,3487,1589,281,539,481
2012,Pune,Boys,27,104,10,10,1
2012,Pune,Girls,34,102,17,31,6
2012,Raigad,Co-Ed,2352,832,110,213,198
2012,Raigad,Boys,4,10,4,2,0
2012,Raigad,Girls,6,11,2,2,1
2012,Ratnagiri,Co-Ed,1829,1044,77,109,185
2012,Ratnagiri,Boys,5,7,2,0,1
2012,Ratnagiri,Girls,7,5,0,1,2
2012,Sangli,Co-Ed,1391,632,121,245,165
2012,Sangli,Boys,27,47,7,6,1
2012,Sangli,Girls,31,43,14,29,7
2012,Satara,Co-Ed,2151,900,128,294,231
2012,Satara,Boys,18,13,1,3,0
2012,Satara,Girls,17,10,9,13,4
2012,Sindhudurg,Co-Ed,1013,519,44,96,77
2012,Sindhudurg,Boys,2,1,1,0,0
2012,Sindhudurg,Girls,1,1,0,0,0
2012,Solapur,Co-Ed,2479,1042,228,386,222
2012,Solapur,Boys,18,25,2,2,0
2012,Solapur,Girls,23,25,6,14,1
2012,Wardha,Co-Ed,773,371,82,122,58
2012,Wardha,Boys,6,2,1,0,0
2012,Wardha,Girls,11,1,2,5,2
2012,Washim,Co-Ed,573,390,106,91,58
2012,Washim,Boys,8,2,2,0,0
2012,Washim,Girls,9,1,4,5,0
2012,Yavatmal,Co-Ed,1533,988,157,209,156
2012,Yavatmal,Boys,16,14,5,1,0
2012,Yavatmal,Girls,19,19,8,9,5
2013,Ahilyanagar,Co-Ed,3418,709,204,442,243
2013,Ahilyanagar,Boys,19,5,10,4,0
2013,Ahilyanagar,Girls,21,8,9,16,0
2013,Akola,Co-Ed,743,481,116,138,121
2013,Akola,Boys,16,5,2,2,0
2013,Akola,Girls,28,10,7,10,0
2013,Amravati,Co-Ed,1191,789,179,231,153
2013,Amravati,Boys,36,12,6,3,1
2013,Amravati,Girls,52,16,14,30,4
2013,Beed,Co-Ed,1900,690,157,322,108
2013,Beed,Boys,13,5,1,3,0
2013,Beed,Girls,21,19,3,13,2
2013,Bhandara,Co-Ed,659,331,93,120,49
2013,Bhandara,Boys,4,1,1,0,0
2013,Bhandara,Girls,4,2,4,7,0
2013,Buldhana,Co-Ed,1049,680,156,193,93
2013,Buldhana,Boys,28,7,1,1,0
2013,Buldhana,Girls,33,15,5,9,0
2013,Chandrapur,Co-Ed,1215,721,121,165,133
2013,Chandrapur,Boys,14,2,4,0,0
2013,Chandrapur,Girls,14,2,6,10,0
2013,Chhatrapati Sambhaji Nagar,Co-Ed,1847,1147,162,253,241
2013,Chhatrapati Sambhaji Nagar,Boys,8,5,2,4,1
2013,Chhatrapati Sambhaji Nagar,Girls,12,6,8,11,2
2013,Dharashiv,Co-Ed,710,527,65,169,137
2013,Dharashiv,Boys,14,7,1,3,0
2013,Dharashiv,Girls,8,18,1,10,2
2013,Dhule,Co-Ed,1201,172,113,235,61
2013,Dhule,Boys,36,7,13,6,0
2013,Dhule,Girls,37,9,11,15,1
2013,Gadchiroli,Co-Ed,1219,466,101,112,74
2013,Gadchiroli,Boys,6,6,1,0,0
2013,Gadchiroli,Girls,13,5,2,6,1
2013,Gondia,Co-Ed,740,529,107,80,72
2013,Gondia,Boys,0,9,1,0,0
2013,Gondia,Girls,5,10,3,4,0
2013,Hingoli,Co-Ed,586,376,48,72,43
2013,Hingoli,Boys,0,0,1,0,0
2013,Hingoli,Girls,9,7,1,4,0
2013,Jalgaon,Co-Ed,1592,600,157,429,116
2013,Jalgaon,Boys,72,39,5,5,1
2013,Jalgaon,Girls,64,46,10,21,2
2013,Jalna,Co-Ed,1139,601,89,142,60
2013,Jalna,Boys,6,2,1,1,1
2013,Jalna,Girls,3,7,3,11,0
2013,Kolhapur,Co-Ed,1440,1031,135,300,357
2013,Kolhapur,Boys,33,60,4,8,0
2013,Kolhapur,Girls,43,62,11,15,6
2013,Latur,Co-Ed,974,820,146,253,156
2013,Latur,Boys,4,6,1,4,0
2013,Latur,Girls,9,17,4,18,2
2013,Mumbai City,Co-Ed,5,22,243,787,167
2013,Mumbai City,Boys,0,1,9,42,2
2013,Mumbai City,Girls,0,2,8,73,8
2013,Mumbai Suburban,Co-Ed,1325,911,0,38,105
2013,Mumbai Suburban,Boys,34,0,0,0,0
2013,Mumbai Suburban,Girls,56,1,0,1,0
2013,Nagpur,Co-Ed,1837,1063,246,371,215
2013,Nagpur,Boys,4,4,6,4,1
2013,Nagpur,Girls,19,2,18,25,1
2013,Nanded,Co-Ed,1809,973,130,310,138
2013,Nanded,Boys,9,4,2,1,0
2013,Nanded,Girls,14,16,10,20,2
2013,Nandurbar,Co-Ed,1358,213,68,263,41
2013,Nandurbar,Boys,19,0,3,1,0
2013,Nandurbar,Girls,14,1,7,13,0
2013,Nashik,Co-Ed,3042,1048,190,402,343
2013,Nashik,Boys,22,53,9,8,0
2013,Nashik,Girls,25,62,9,23,3
2013,Parbhani,Co-Ed,822,620,58,161,128
2013,Parbhani,Boys,4,3,1,1,0
2013,Parbhani,Girls,3,10,2,10,0
2013,Pune,Co-Ed,3569,1626,281,552,476
2013,Pune,Boys,24,94,14,11,0
2013,Pune,Girls,34,91,17,31,5
2013,Raigad,Co-Ed,2363,837,110,215,182
2013,Raigad,Boys,3,10,4,2,0
2013,Raigad,Girls,6,11,2,2,2
2013,Ratnagiri,Co-Ed,1845,1046,77,109,182
2013,Ratnagiri,Boys,5,6,2,0,0
2013,Ratnagiri,Girls,7,5,0,1,2
2013,Sangli,Co-Ed,1408,634,122,247,158
2013,Sangli,Boys,22,47,6,6,0
2013,Sangli,Girls,29,44,14,27,4
2013,Satara,Co-Ed,2156,903,128,295,219
2013,Satara,Boys,19,13,2,4,0
2013,Satara,Girls,17,10,8,12,4
2013,Sindhudurg,Co-Ed,1011,521,44,96,75
2013,Sindhudurg,Boys,2,1,1,0,0
2013,Sindhudurg,Girls,1,1,0,0,0
2013,Solapur,Co-Ed,2509,1046,229,385,219
2013,Solapur,Boys,24,27,2,2,0
