Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2012,Ahilyanagar,Rural,Primary School (I-V),,29.0,3098.0,33.0,71.0
2012,Ahilyanagar,Rural,Upper Primary School (I-VIII),,15.0,496.0,44.0,36.0
2012,Ahilyanagar,Rural,Secondary School (VI-X),,92.0,0.0,13.0,87.0
2012,Ahilyanagar,Rural,Secondary School (I-X),,340.0,0.0,21.0,46.0
2012,Ahilyanagar,Rural,Higher Secondary School (I-XII),,184.0,0.0,8.0,8.0
2012,Ahilyanagar,Urban,Primary School (I-V),,42.0,72.0,11.0,35.0
2012,Ahilyanagar,Urban,Upper Primary School (I-VIII),,45.0,41.0,10.0,31.0
2012,Ahilyanagar,Urban,Secondary School (VI-X),,22.0,1.0,2.0,29.0
2012,Ahilyanagar,Urban,Secondary School (I-X),,51.0,1.0,0.0,3.0
2012,Ahilyanagar,Urban,Higher Secondary School (I-XII),,22.0,0.0,0.0,1.0
2013,Ahilyanagar,Rural,Primary School (I-V),0.0,37.0,3093.0,8.0,148.0
2013,Ahilyanagar,Rural,Upper Primary School (I-VIII),0.0,44.0,495.0,14.0,41.0
2013,Ahilyanagar,Rural,Secondary School (VI-X),0.0,6.0,0.0,185.0,4.0
2013,Ahilyanagar,Rural,Secondary School (I-X),0.0,340.0,0.0,17.0,50.0
2013,Ahilyanagar,Rural,Higher Secondary School (I-XII),3.0,185.0,0.0,4.0,8.0
2013,Ahilyanagar,Urban,Primary School (I-V),,45.0,82.0,1.0,44.0
2013,Ahilyanagar,Urban,Upper Primary School (I-VIII),,53.0,45.0,0.0,30.0
2013,Ahilyanagar,Urban,Secondary School (VI-X),,2.0,0.0,47.0,8.0
2013,Ahilyanagar,Urban,Secondary School (I-X),,51.0,1.0,0.0,3.0
2013,Ahilyanagar,Urban,Higher Secondary School (I-XII),,22.0,0.0,0.0,1.0
2014,Ahilyanagar,Rural,Primary School (I-V),0.0,38.0,3076.0,4.0,183.0
2014,Ahilyanagar,Rural,Upper Primary School (I-VIII),0.0,44.0,494.0,13.0,47.0
2014,Ahilyanagar,Rural,Secondary School (VI-X),0.0,101.0,0.0,2.0,98.0
2014,Ahilyanagar,Rural,Secondary School (I-X),0.0,341.0,0.0,14.0,55.0
2014,Ahilyanagar,Rural,Higher Secondary School (I-XII),3.0,184.0,0.0,4.0,9.0
2014,Ahilyanagar,Urban,Primary School (I-V),,45.0,84.0,0.0,51.0
2014,Ahilyanagar,Urban,Upper Primary School (I-VIII),,54.0,45.0,1.0,27.0
2014,Ahilyanagar,Urban,Secondary School (VI-X),,24.0,2.0,0.0,29.0
2014,Ahilyanagar,Urban,Secondary School (I-X),,50.0,1.0,0.0,4.0
2014,Ahilyanagar,Urban,Higher Secondary School (I-XII),,22.0,0.0,0.0,1.0
2015,Ahilyanagar,Rural,Primary School (I-V),0.0,38.0,3037.0,0.0,206.0
2015,Ahilyanagar,Rural,Upper Primary School (I-VIII),0.0,46.0,493.0,13.0,62.0
2015,Ahilyanagar,Rural,Secondary School (VI-X),0.0,106.0,0.0,1.0,97.0
2015,Ahilyanagar,Rural,Secondary School (I-X),0.0,345.0,0.0,14.0,52.0
2015,Ahilyanagar,Rural,Higher Secondary School (I-XII),3.0,184.0,0.0,4.0,10.0
2015,Ahilyanagar,Urban,Primary School (I-V),,45.0,82.0,0.0,46.0
2015,Ahilyanagar,Urban,Upper Primary School (I-VIII),,56.0,45.0,1.0,32.0
2015,Ahilyanagar,Urban,Secondary School (VI-X),,24.0,2.0,0.0,30.0
2015,Ahilyanagar,Urban,Secondary School (I-X),,50.0,1.0,0.0,4.0
2015,Ahilyanagar,Urban,Higher Secondary School (I-XII),,22.0,0.0,0.0,1.0
2016,Ahilyanagar,Rural,Primary School (I-V),0.0,34.0,3008.0,0.0,221.0
2016,Ahilyanagar,Rural,Upper Primary School (I-VIII),0.0,47.0,491.0,12.0,75.0
2016,Ahilyanagar,Rural,Secondary School (VI-X),0.0,105.0,0.0,1.0,93.0
2016,Ahilyanagar,Rural,Secondary School (I-X),0.0,345.0,0.0,13.0,51.0
2016,Ahilyanagar,Rural,Higher Secondary School (I-XII),3.0,178.0,0.0,4.0,18.0
2016,Ahilyanagar,Urban,Primary School (I-V),,49.0,104.0,0.0,52.0
2016,Ahilyanagar,Urban,Upper Primary School (I-VIII),,56.0,47.0,1.0,39.0
2016,Ahilyanagar,Urban,Secondary School (VI-X),,25.0,2.0,0.0,25.0
2016,Ahilyanagar,Urban,Secondary School (I-X),,52.0,1.0,1.0,5.0
2016,Ahilyanagar,Urban,Higher Secondary School (I-XII),,28.0,0.0,0.0,3.0
2017,Ahilyanagar,Rural,Primary School (I-V),,32.0,2931.0,3.0,177.0
2017,Ahilyanagar,Rural,Upper Primary School (I-VIII),,48.0,512.0,6.0,104.0
2017,Ahilyanagar,Rural,Secondary School (VI-X),,95.0,0.0,2.0,60.0
2017,Ahilyanagar,Rural,Secondary School (I-X),,357.0,0.0,14.0,76.0
2017,Ahilyanagar,Rural,Higher Secondary School (I-XII),,193.0,0.0,8.0,43.0
2017,Ahilyanagar,Urban,Primary School (I-V),,48.0,128.0,2.0,44.0
2017,Ahilyanagar,Urban,Upper Primary School (I-VIII),,58.0,55.0,1.0,44.0
2017,Ahilyanagar,Urban,Secondary School (VI-X),,22.0,2.0,1.0,12.0
2017,Ahilyanagar,Urban,Secondary School (I-X),,43.0,1.0,1.0,23.0
2017,Ahilyanagar,Urban,Higher Secondary School (I-XII),,51.0,0.0,0.0,7.0
