Year,District,Rural/Urban,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2012,Ahilyanagar,Rural,Government Aided,29,15,184,340,92
2012,Ahilyanagar,Rural,Local Body,3098,496,0,0,0
2012,Ahilyanagar,Rural,Others,33,44,8,21,13
2012,Ahilyanagar,Rural,Private Unaided (Recognized),71,36,8,46,87
2012,Ahilyanagar,Urban,Government Aided,42,45,22,51,22
2012,Ahilyanagar,Urban,Local Body,72,41,0,1,1
2012,Ahilyanagar,Urban,Others,11,10,0,0,2
2012,Ahilyanagar,Urban,Private Unaided (Recognized),35,31,1,3,29
2013,Ahilyanagar,Rural,Government Aided,37,44,185,340,6
2013,Ahilyanagar,Rural,Central Govt,0,0,3,0,0
2013,Ahilyanagar,Rural,Local Body,3093,495,0,0,0
2013,Ahilyanagar,Rural,Others,8,14,4,17,185
2013,Ahilyanagar,Rural,Private Unaided (Recognized),148,41,8,50,4
2013,Ahilyanagar,Urban,Government Aided,45,53,22,51,2
2013,Ahilyanagar,Urban,Local Body,82,45,0,1,0
2013,Ahilyanagar,Urban,Others,1,0,0,0,47
2013,Ahilyanagar,Urban,Private Unaided (Recognized),44,30,1,3,8
2014,Ahilyanagar,Rural,Government Aided,38,44,184,341,101
2014,Ahilyanagar,Rural,Central Govt,0,0,3,0,0
2014,Ahilyanagar,Rural,Local Body,3076,494,0,0,0
2014,Ahilyanagar,Rural,Others,4,13,4,14,2
2014,Ahilyanagar,Rural,Private Unaided (Recognized),183,47,9,55,98
2014,Ahilyanagar,Urban,Government Aided,45,54,22,50,24
2014,Ahilyanagar,Urban,Local Body,84,45,0,1,2
2014,Ahilyanagar,Urban,Others,0,1,0,0,0
2014,Ahilyanagar,Urban,Private Unaided (Recognized),51,27,1,4,29
2015,Ahilyanagar,Rural,Government Aided,38,46,184,345,106
2015,Ahilyanagar,Rural,Central Govt,0,0,3,0,0
2015,Ahilyanagar,Rural,Local Body,3037,493,0,0,0
2015,Ahilyanagar,Rural,Others,0,13,4,14,1
2015,Ahilyanagar,Rural,Private Unaided (Recognized),206,62,10,52,97
2015,Ahilyanagar,Urban,Government Aided,45,56,22,50,24
2015,Ahilyanagar,Urban,Local Body,82,45,0,1,2
2015,Ahilyanagar,Urban,Others,0,1,0,0,0
2015,Ahilyanagar,Urban,Private Unaided (Recognized),46,32,1,4,30
2016,Ahilyanagar,Rural,Government Aided,34,47,178,345,105
2016,Ahilyanagar,Rural,Central Govt,0,0,3,0,0
2016,Ahilyanagar,Rural,Local Body,3008,491,0,0,0
2016,Ahilyanagar,Rural,Others,0,12,4,13,1
2016,Ahilyanagar,Rural,Private Unaided (Recognized),221,75,18,51,93
2016,Ahilyanagar,Urban,Government Aided,49,56,28,52,25
2016,Ahilyanagar,Urban,Local Body,104,47,0,1,2
2016,Ahilyanagar,Urban,Others,0,1,0,1,0
2016,Ahilyanagar,Urban,Private Unaided (Recognized),52,39,3,5,25
2017,Ahilyanagar,Rural,Government Aided,32,48,193,357,95
2017,Ahilyanagar,Rural,Local Body,2931,512,0,0,0
2017,Ahilyanagar,Rural,Others,3,6,8,14,2
2017,Ahilyanagar,Rural,Private Unaided (Recognized),177,104,43,76,60
2017,Ahilyanagar,Urban,Government Aided,48,58,51,43,22
2017,Ahilyanagar,Urban,Local Body,128,55,0,1,2
2017,Ahilyanagar,Urban,Others,2,1,0,1,1
2017,Ahilyanagar,Urban,Private Unaided (Recognized),44,44,7,23,12
2018,Ahilyanagar,Rural,Government Aided,31,48,187,339,125
2018,Ahilyanagar,Rural,Local Body,2923,517,0,0,0
2018,Ahilyanagar,Rural,Others,1,2,7,15,2
2018,Ahilyanagar,Rural,Private Unaided (Recognized),175,104,37,68,67
2018,Ahilyanagar,Urban,Government Aided,49,57,51,41,24
2018,Ahilyanagar,Urban,Local Body,128,55,0,1,2
2018,Ahilyanagar,Urban,Others,1,1,0,1,1
2018,Ahilyanagar,Urban,Private Unaided (Recognized),44,47,8,23,14
2019,Ahilyanagar,Rural,Government Aided,31,47,183,338,132
2019,Ahilyanagar,Rural,Local Body,2904,525,0,0,0
2019,Ahilyanagar,Rural,Others,0,2,8,14,1
2019,Ahilyanagar,Rural,Private Unaided (Recognized),153,97,49,78,58
