Year,District,Type of School,Central Govt,Government Aided,Local body,Others,Private Unaided
2012,Ahilyanagar,Primary School (I-V),,566.0,8128.0,,490.0
2012,Ahilyanagar,Upper Primary School (I-VIII),,619.0,3945.0,,644.0
2012,Ahilyanagar,Secondary School (VI-X),,582.0,6.0,,555.0
2012,Ahilyanagar,Secondary School (I-X),,4868.0,12.0,,540.0
2012,Ahilyanagar,Higher Secondary School (I-XII),,5406.0,,,220.0
2012,Ahilyanagar,Higher Secondary School (XI-XII),,819.0,,,296.0
2012,Akola,Primary School (I-V),,104.0,1527.0,219.0,486.0
2012,Akola,Upper Primary School (I-VIII),,346.0,2709.0,281.0,693.0
2012,Akola,Secondary School (VI-X),,327.0,,22.0,252.0
2012,Akola,Secondary School (I-X),,1226.0,115.0,33.0,416.0
2012,Akola,Higher Secondary School (I-XII),,2369.0,120.0,32.0,693.0
2012,Akola,Higher Secondary School (XI-XII),,203.0,,,103.0
2012,Amravati,Primary School (I-V),,457.0,2507.0,316.0,516.0
2012,Amravati,Upper Primary School (I-VIII),,479.0,4422.0,604.0,291.0
2012,Amravati,Secondary School (VI-X),,475.0,19.0,39.0,228.0
2012,Amravati,Secondary School (I-X),,2179.0,175.0,273.0,638.0
2012,Amravati,Higher Secondary School (I-XII),,3481.0,317.0,174.0,122.0
2012,Amravati,Higher Secondary School (XI-XII),,436.0,,33.0,
2012,Beed,Primary School (I-V),,456.0,4290.0,264.0,456.0
2012,Beed,Upper Primary School (I-VIII),,1083.0,4242.0,372.0,305.0
2012,Beed,Secondary School (VI-X),,263.0,32.0,38.0,232.0
2012,Beed,Secondary School (I-X),,2597.0,946.0,166.0,729.0
2012,Beed,Higher Secondary School (I-XII),,3067.0,28.0,142.0,161.0
2012,Beed,Higher Secondary School (XI-XII),,504.0,,105.0,82.0
2012,Bhandara,Primary School (I-V),,256.0,1250.0,138.0,152.0
2012,Bhandara,Upper Primary School (I-VIII),,290.0,1799.0,125.0,181.0
2012,Bhandara,Secondary School (VI-X),,173.0,4.0,18.0,53.0
2012,Bhandara,Secondary School (I-X),,1112.0,106.0,96.0,217.0
2012,Bhandara,Higher Secondary School (I-XII),,1644.0,454.0,94.0,183.0
2012,Bhandara,Higher Secondary School (XI-XII),,109.0,,,96.0
2012,Buldhana,Primary School (I-V),,197.0,2648.0,195.0,307.0
2012,Buldhana,Upper Primary School (I-VIII),,251.0,4679.0,204.0,554.0
2012,Buldhana,Secondary School (VI-X),,174.0,25.0,43.0,212.0
2012,Buldhana,Secondary School (I-X),,1534.0,348.0,88.0,436.0
2012,Buldhana,Higher Secondary School (I-XII),,3188.0,320.0,32.0,212.0
2012,Buldhana,Higher Secondary School (XI-XII),,107.0,,,182.0
2012,Chandrapur,Primary School (I-V),,232.0,2337.0,310.0,348.0
2012,Chandrapur,Upper Primary School (I-VIII),,233.0,3877.0,408.0,524.0
2012,Chandrapur,Secondary School (VI-X),,387.0,42.0,64.0,205.0
2012,Chandrapur,Secondary School (I-X),,1347.0,119.0,237.0,665.0
2012,Chandrapur,Higher Secondary School (I-XII),,2504.0,77.0,176.0,472.0
2012,Chandrapur,Higher Secondary School (XI-XII),,262.0,,11.0,174.0
