Year,District,Select Class,Social Category,Boys,Girls
2012,Ahilyanagar,Pre-Primary,Overall,17527,13151
2012,Ahilyanagar,Pre-Primary,General,9139,6292
2012,Ahilyanagar,Pre-Primary,OBC,3644,2809
2012,Ahilyanagar,Pre-Primary,SC,1364,1071
2012,Ahilyanagar,Pre-Primary,ST,3380,2979
2012,Ahilyanagar,Class 1,Overall,43848,36734
2012,Ahilyanagar,Class 1,General,20283,16059
2012,Ahilyanagar,Class 1,OBC,13193,10779
2012,Ahilyanagar,Class 1,SC,5690,5330
2012,Ahilyanagar,Class 1,ST,4682,4566
2012,Ahilyanagar,Class 2,Overall,44754,36988
2012,Ahilyanagar,Class 2,General,20270,15736
2012,Ahilyanagar,Class 2,OBC,13541,10917
2012,Ahilyanagar,Class 2,SC,5929,5412
2012,Ahilyanagar,Class 2,ST,5014,4923
2012,Ahilyanagar,Class 3,Overall,45666,38584
2012,Ahilyanagar,Class 3,General,20219,16299
2012,Ahilyanagar,Class 3,OBC,13766,11321
2012,Ahilyanagar,Class 3,SC,6164,5787
2012,Ahilyanagar,Class 3,ST,5517,5177
2012,Ahilyanagar,Class 4,Overall,49770,41780
2012,Ahilyanagar,Class 4,General,22034,17848
2012,Ahilyanagar,Class 4,OBC,15037,12238
2012,Ahilyanagar,Class 4,SC,6966,6302
2012,Ahilyanagar,Class 4,ST,5733,5392
2012,Ahilyanagar,Class 5,Overall,47504,38828
2012,Ahilyanagar,Class 5,General,21192,16687
2012,Ahilyanagar,Class 5,OBC,14696,11718
2012,Ahilyanagar,Class 5,SC,6583,5819
2012,Ahilyanagar,Class 5,ST,5033,4604
2012,Ahilyanagar,Class 6,Overall,47351,37642
2012,Ahilyanagar,Class 6,General,21182,16505
2012,Ahilyanagar,Class 6,OBC,14626,11191
2012,Ahilyanagar,Class 6,SC,6740,5782
2012,Ahilyanagar,Class 6,ST,4803,4164
2012,Ahilyanagar,Class 7,Overall,46624,37874
2012,Ahilyanagar,Class 7,General,21577,17137
2012,Ahilyanagar,Class 7,OBC,14311,11271
2012,Ahilyanagar,Class 7,SC,6421,5729
2012,Ahilyanagar,Class 7,ST,4315,3737
2012,Ahilyanagar,Class 8,Overall,45667,37124
2012,Ahilyanagar,Class 8,General,21557,17382
2012,Ahilyanagar,Class 8,OBC,13828,11081
2012,Ahilyanagar,Class 8,SC,6169,5298
2012,Ahilyanagar,Class 8,ST,4113,3363
2012,Ahilyanagar,Class 9,Overall,44686,34267
2012,Ahilyanagar,Class 9,General,21302,16351
2012,Ahilyanagar,Class 9,OBC,13765,10271
2012,Ahilyanagar,Class 9,SC,6047,4847
2012,Ahilyanagar,Class 9,ST,3572,2798
2012,Ahilyanagar,Class 10,Overall,38676,31012
2012,Ahilyanagar,Class 10,General,19363,15758
2012,Ahilyanagar,Class 10,OBC,11981,9301
2012,Ahilyanagar,Class 10,SC,4802,3930
2012,Ahilyanagar,Class 10,ST,2530,2023
2012,Ahilyanagar,Class 11,Overall,31827,24306
2012,Ahilyanagar,Class 11,General,15950,12623
2012,Ahilyanagar,Class 11,OBC,10158,7487
2012,Ahilyanagar,Class 11,SC,3705,2819
2012,Ahilyanagar,Class 11,ST,2014,1377
2012,Ahilyanagar,Class 12,Overall,28263,21897
2012,Ahilyanagar,Class 12,General,14008,11572
2012,Ahilyanagar,Class 12,OBC,9224,6717
2012,Ahilyanagar,Class 12,SC,3105,2432
2012,Ahilyanagar,Class 12,ST,1926,1176
2012,Akola,Pre-Primary,Overall,5184,4052
2012,Akola,Pre-Primary,General,1508,1146
2012,Akola,Pre-Primary,OBC,2386,1867
2012,Akola,Pre-Primary,SC,1020,775
2012,Akola,Pre-Primary,ST,270,264
2012,Akola,Class 1,Overall,15066,13807
2012,Akola,Class 1,General,3967,3667
2012,Akola,Class 1,OBC,6570,5871
2012,Akola,Class 1,SC,3445,3287
2012,Akola,Class 1,ST,1084,982
2012,Akola,Class 2,Overall,15463,14171
2012,Akola,Class 2,General,4031,3622
2012,Akola,Class 2,OBC,6790,6143
2012,Akola,Class 2,SC,3557,3397
2012,Akola,Class 2,ST,1085,1009
2012,Akola,Class 3,Overall,16565,15162
2012,Akola,Class 3,General,4350,3975
2012,Akola,Class 3,OBC,7219,6488
2012,Akola,Class 3,SC,3771,3604
