Year,District,Social Category,Gender,Pre-Primary,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12
2012,Ahilyanagar,Overall,Total,30678,80582,81742,84250,91550,86332,84993,84498,82791,78953,69688,56133,50160
2012,Ahilyanagar,Overall,Boys,17527,43848,44754,45666,49770,47504,47351,46624,45667,44686,38676,31827,28263
2012,Ahilyanagar,Overall,Girls,13151,36734,36988,38584,41780,38828,37642,37874,37124,34267,31012,24306,21897
2012,Ahilyanagar,General,Total,15431,36342,36006,36518,39882,37879,37687,38714,38939,37653,35121,28573,25580
2012,Ahilyanagar,General,Boys,9139,20283,20270,20219,22034,21192,21182,21577,21557,21302,19363,15950,14008
2012,Ahilyanagar,General,Girls,6292,16059,15736,16299,17848,16687,16505,17137,17382,16351,15758,12623,11572
2012,Ahilyanagar,OBC,Total,6453,23972,24458,25087,27275,26414,25817,25582,24909,24036,21282,17645,15941
2012,Ahilyanagar,OBC,Boys,3644,13193,13541,13766,15037,14696,14626,14311,13828,13765,11981,10158,9224
2012,Ahilyanagar,OBC,Girls,2809,10779,10917,11321,12238,11718,11191,11271,11081,10271,9301,7487,6717
2012,Ahilyanagar,SC,Total,2435,11020,11341,11951,13268,12402,12522,12150,11467,10894,8732,6524,5537
2012,Ahilyanagar,SC,Boys,1364,5690,5929,6164,6966,6583,6740,6421,6169,6047,4802,3705,3105
2012,Ahilyanagar,SC,Girls,1071,5330,5412,5787,6302,5819,5782,5729,5298,4847,3930,2819,2432
2012,Ahilyanagar,ST,Total,6359,9248,9937,10694,11125,9637,8967,8052,7476,6370,4553,3391,3102
2012,Ahilyanagar,ST,Boys,3380,4682,5014,5517,5733,5033,4803,4315,4113,3572,2530,2014,1926
2012,Ahilyanagar,ST,Girls,2979,4566,4923,5177,5392,4604,4164,3737,3363,2798,2023,1377,1176
2012,Akola,Overall,Total,9236,28873,29634,31727,32898,33056,33438,34468,33336,31342,27824,20254,16140
2012,Akola,Overall,Boys,5184,15066,15463,16565,17217,17234,17320,17794,17422,16605,14081,10311,8764
2012,Akola,Overall,Girls,4052,13807,14171,15162,15681,15822,16118,16674,15914,14737,13743,9943,7376
2012,Akola,General,Total,2654,7634,7653,8325,8272,8042,7940,8054,7533,7020,6145,4716,3946
2012,Akola,General,Boys,1508,3967,4031,4350,4306,4181,4036,4017,3916,3634,2972,2423,2046
2012,Akola,General,Girls,1146,3667,3622,3975,3966,3861,3904,4037,3617,3386,3173,2293,1900
2012,Akola,OBC,Total,4253,12441,12933,13707,14290,14743,14854,15837,15656,14837,13646,10317,8291
2012,Akola,OBC,Boys,2386,6570,6790,7219,7551,7697,7791,8222,8200,7811,7013,5294,4512
2012,Akola,OBC,Girls,1867,5871,6143,6488,6739,7046,7063,7615,7456,7026,6633,5023,3779
2012,Akola,SC,Total,1795,6732,6954,7375,7981,8149,8586,8633,8385,8008,6943,4485,3336
2012,Akola,SC,Boys,1020,3445,3557,3771,4177,4222,4372,4499,4328,4351,3517,2208,1865
2012,Akola,SC,Girls,775,3287,3397,3604,3804,3927,4214,4134,4057,3657,3426,2277,1471
2012,Akola,ST,Total,534,2066,2094,2320,2355,2122,2058,1944,1762,1477,1090,736,567
2012,Akola,ST,Boys,270,1084,1085,1225,1183,1134,1121,1056,978,809,579,386,341
2012,Akola,ST,Girls,264,982,1009,1095,1172,988,937,888,784,668,511,350,226
2012,Amravati,Overall,Total,15158,46849,46161,48958,49899,50856,51291,52916,52309,50424,44475,30623,24208
2012,Amravati,Overall,Boys,8265,24204,24105,25362,26095,26546,26943,27412,27093,26303,22244,14539,11784
2012,Amravati,Overall,Girls,6893,22645,22056,23596,23804,24310,24348,25504,25216,24121,22231,16084,12424
2012,Amravati,General,Total,3660,9609,9668,9882,9956,9646,9512,9243,8994,8521,7447,5580,4692
2012,Amravati,General,Boys,1933,4983,5042,5228,5320,5054,5008,4761,4611,4312,3553,2581,2150
2012,Amravati,General,Girls,1727,4626,4626,4654,4636,4592,4504,4482,4383,4209,3894,2999,2542
2012,Amravati,OBC,Total,8302,19905,19784,21146,21462,22293,22698,23993,25116,24629,22623,15541,12666
2012,Amravati,OBC,Boys,4604,10466,10426,10974,11225,11713,12031,12511,13009,12828,11323,7185,6094
2012,Amravati,OBC,Girls,3698,9439,9358,10172,10237,10580,10667,11482,12107,11801,11300,8356,6572
2012,Amravati,SC,Total,2236,7719,7552,8158,8325,8949,9157,9728,9982,9974,8954,6050,4452
2012,Amravati,SC,Boys,1233,3896,3848,4190,4341,4681,4811,5022,5184,5234,4495,2937,2185
2012,Amravati,SC,Girls,1003,3823,3704,3968,3984,4268,4346,4706,4798,4740,4459,3113,2267
2012,Amravati,ST,Total,960,9616,9157,9772,10156,9968,9924,9952,8217,7300,5451,3452,2398
2012,Amravati,ST,Boys,495,4859,4789,4970,5209,5098,5093,5118,4289,3929,2873,1836,1355
2012,Amravati,ST,Girls,465,4757,4368,4802,4947,4870,4831,4834,3928,3371,2578,1616,1043
2012,Beed,Overall,Total,8496,57886,54791,55620,57273,54155,51605,49409,44701,41734,38722,29444,30118
2012,Beed,Overall,Boys,4761,31816,29532,29814,30224,28623,27714,26285,23862,23375,22213,17077,18232
2012,Beed,Overall,Girls,3735,26070,25259,25806,27049,25532,23891,23124,20839,18359,16509,12367,11886
2012,Beed,General,Total,3971,25685,24700,24997,25317,24031,23168,22720,20621,19178,18573,14501,14893
2012,Beed,General,Boys,2184,14266,13443,13491,13410,12807,12442,12127,10952,10587,10370,8125,8820
2012,Beed,General,Girls,1787,11419,11257,11506,11907,11224,10726,10593,9669,8591,8203,6376,6073
2012,Beed,OBC,Total,3383,22033,20456,20966,21532,20550,19235,18406,16826,16060,14290,10719,10827
2012,Beed,OBC,Boys,2005,12212,11092,11360,11365,10810,10343,9744,9025,9080,8418,6432,6677
2012,Beed,OBC,Girls,1378,9821,9364,9606,10167,9740,8892,8662,7801,6980,5872,4287,4150
2012,Beed,SC,Total,1005,8833,8374,8449,9136,8491,8168,7429,6517,5844,5315,3819,3999
2012,Beed,SC,Boys,504,4639,4339,4307,4770,4424,4349,3924,3470,3314,3088,2271,2482
2012,Beed,SC,Girls,501,4194,4035,4142,4366,4067,3819,3505,3047,2530,2227,1548,1517
2012,Beed,ST,Total,137,1335,1261,1208,1288,1083,1034,854,737,652,544,405,399
2012,Beed,ST,Boys,68,699,658,656,679,582,580,490,415,394,337,249,253
2012,Beed,ST,Girls,69,636,603,552,609,501,454,364,322,258,207,156,146
2012,Bhandara,Overall,Total,5850,19250,18421,18894,19542,20591,20968,22137,21752,21597,21605,17504,16221
2012,Bhandara,Overall,Boys,3165,9802,9532,9628,10151,10756,10757,11380,11148,11091,10898,8294,7715
2012,Bhandara,Overall,Girls,2685,9448,8889,9266,9391,9835,10211,10757,10604,10506,10707,9210,8506
2012,Bhandara,General,Total,679,724,728,749,788,665,766,657,754,698,786,652,614
2012,Bhandara,General,Boys,340,377,398,381,429,346,400,347,385,361,407,327,295
2012,Bhandara,General,Girls,339,347,330,368,359,319,366,310,369,337,379,325,319
2012,Bhandara,OBC,Total,3960,13972,13224,13672,14059,15033,15181,16043,15541,15651,15608,12655,11639
2012,Bhandara,OBC,Boys,2190,7167,6757,6982,7292,7859,7733,8206,7930,8029,7811,5974,5450
2012,Bhandara,OBC,Girls,1770,6805,6467,6690,6767,7174,7448,7837,7611,7622,7797,6681,6189
2012,Bhandara,SC,Total,1000,2991,2927,2919,3100,3284,3393,3734,3747,3656,3805,3180,3068
2012,Bhandara,SC,Boys,526,1474,1518,1478,1600,1695,1758,1947,1929,1904,1946,1527,1533
2012,Bhandara,SC,Girls,474,1517,1409,1441,1500,1589,1635,1787,1818,1752,1859,1653,1535
2012,Bhandara,ST,Total,211,1563,1542,1554,1595,1609,1628,1703,1710,1592,1406,1017,900
2012,Bhandara,ST,Boys,109,784,859,787,830,856,866,880,904,797,734,466,437
2012,Bhandara,ST,Girls,102,779,683,767,765,753,762,823,806,795,672,551,463
2012,Buldhana,Overall,Total,17440,47615,48090,49705,51149,50019,50778,52061,49170,45301,39115,25801,19114
2012,Buldhana,Overall,Boys,10792,25774,25966,26661,27289,26869,27437,27631,26177,24712,21240,14205,10957
2012,Buldhana,Overall,Girls,6648,21841,22124,23044,23860,23150,23341,24430,22993,20589,17875,11596,8157
2012,Buldhana,General,Total,4130,8431,8474,8924,9115,9216,9346,9370,9090,8560,7341,4602,3733
2012,Buldhana,General,Boys,2507,4438,4513,4733,4883,4964,5028,4957,4776,4622,3765,2396,2016
2012,Buldhana,General,Girls,1623,3993,3961,4191,4232,4252,4318,4413,4314,3938,3576,2206,1717
2012,Buldhana,OBC,Total,10833,26602,26683,27571,28174,27120,27699,28899,27865,25663,22988,15579,11556
2012,Buldhana,OBC,Boys,6723,14656,14774,14912,15247,14746,15177,15449,14872,14044,12657,8529,6555
2012,Buldhana,OBC,Girls,4110,11946,11909,12659,12927,12374,12522,13450,12993,11619,10331,7050,5001
2012,Buldhana,SC,Total,2021,9510,9756,9968,10662,10902,11157,11371,10361,9515,7599,4886,3288
2012,Buldhana,SC,Boys,1282,5046,4982,5271,5478,5692,5898,5955,5509,5122,4103,2826,2014
2012,Buldhana,SC,Girls,739,4464,4774,4697,5184,5210,5259,5416,4852,4393,3496,2060,1274
2012,Buldhana,ST,Total,456,3072,3177,3242,3198,2781,2576,2421,1854,1563,1187,734,537
2012,Buldhana,ST,Boys,280,1634,1697,1745,1681,1467,1334,1270,1020,924,715,454,372
2012,Buldhana,ST,Girls,176,1438,1480,1497,1517,1314,1242,1151,834,639,472,280,165
2012,Chandrapur,Overall,Total,19317,34591,34198,35201,36427,36891,36967,38495,37229,37293,35237,26935,23312
2012,Chandrapur,Overall,Boys,10572,17727,17688,18298,18850,19324,19473,20364,19490,19764,17859,12960,11721
2012,Chandrapur,Overall,Girls,8745,16864,16510,16903,17577,17567,17494,18131,17739,17529,17378,13975,11591
2012,Chandrapur,General,Total,4246,3104,3274,3188,3290,3129,3121,3054,2900,2876,2781,2160,2044
2012,Chandrapur,General,Boys,2287,1621,1782,1721,1748,1697,1707,1637,1580,1497,1435,1048,1026
2012,Chandrapur,General,Girls,1959,1483,1492,1467,1542,1432,1414,1417,1320,1379,1346,1112,1018
2012,Chandrapur,OBC,Total,9516,19068,18659,19328,20040,20458,20613,21706,20641,20893,19901,15281,13123
2012,Chandrapur,OBC,Boys,5321,9757,9628,9926,10388,10806,10834,11511,10835,11020,10077,7302,6548
2012,Chandrapur,OBC,Girls,4195,9311,9031,9402,9652,9652,9779,10195,9806,9873,9824,7979,6575
2012,Chandrapur,SC,Total,3973,5618,5721,5869,5991,6182,6203,6430,6638,6575,6210,5324,4682
2012,Chandrapur,SC,Boys,2113,2905,2943,3073,3093,3144,3229,3380,3460,3570,3129,2566,2328
2012,Chandrapur,SC,Girls,1860,2713,2778,2796,2898,3038,2974,3050,3178,3005,3081,2758,2354
2012,Chandrapur,ST,Total,1582,6801,6544,6816,7106,7122,7030,7305,7050,6949,6345,4170,3463
2012,Chandrapur,ST,Boys,851,3444,3335,3578,3621,3677,3703,3836,3615,3677,3218,2044,1819
2012,Chandrapur,ST,Girls,731,3357,3209,3238,3485,3445,3327,3469,3435,3272,3127,2126,1644
2012,Chh. Sambhaji Nagar,Overall,Total,20062,84922,81623,82945,83634,80221,77811,74782,67061,61026,54834,36511,32868
2012,Chh. Sambhaji Nagar,Overall,Boys,11370,45599,43862,44289,44378,42891,42035,40324,36991,34106,30887,20555,19828
2012,Chh. Sambhaji Nagar,Overall,Girls,8692,39323,37761,38656,39256,37330,35776,34458,30070,26920,23947,15956,13040
