Year,District,Gender,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2012,Ahilyanagar,Boys,,293487,148378.0,15850,56921
2012,Ahilyanagar,Girls,,234679,134804.0,12379,35174
2012,Akola,Boys,,86094,50180.0,9620,37948
2012,Akola,Girls,,80505,52542.0,7105,28996
2012,Amravati,Boys,,138893,88810.0,23111,31816
2012,Amravati,Girls,,137380,86271.0,18759,23929
2012,Beed,Boys,,155769,103908.0,16504,32586
2012,Beed,Girls,,125106,103739.0,8777,19069
2012,Bhandara,Boys,,59269,44744.0,4658,12481
2012,Bhandara,Girls,,59661,44574.0,3309,9786
2012,Buldhana,Boys,,123662,112897.0,9242,39117
2012,Buldhana,Girls,,103206,109689.0,4854,25251
2012,Chandrapur,Boys,,91476,64828.0,17225,39989
2012,Chandrapur,Girls,,90631,64414.0,12944,31269
2012,Chh. Sambhaji Nagar,Boys,,186150,130015.0,22963,106617
2012,Chh. Sambhaji Nagar,Girls,,162980,124423.0,16538,68552
2012,Dharashiv,Boys,,79545,65311.0,7827,12076
2012,Dharashiv,Girls,,66881,65762.0,3803,8043
2012,Dhule,Boys,,138490,54226.0,19156,15565
2012,Dhule,Girls,,118095,51710.0,12841,9158
2012,Gadchiroli,Boys,,35301,41956.0,22027,11837
2012,Gadchiroli,Girls,,34887,42116.0,16835,9351
2012,Gondia,Boys,,54834,54094.0,9735,18348
2012,Gondia,Girls,,55802,53865.0,8768,15245
2012,Hingoli,Boys,,43786,63307.0,6908,11025
2012,Hingoli,Girls,,36766,63057.0,4042,7680
2012,Jalgaon,Boys,,260055,126479.0,41177,48021
2012,Jalgaon,Girls,,214018,121836.0,22164,29315
2012,Jalna,Boys,,84592,94202.0,5973,29069
2012,Jalna,Girls,,67826,95016.0,2146,18650
2012,Kolhapur,Boys,,214005,115676.0,13293,46300
2012,Kolhapur,Girls,,173760,108303.0,9824,27037
2012,Latur,Boys,,183755,74198.0,19647,26077
2012,Latur,Girls,,147296,79264.0,8444,17741
2012,Mumbai,Boys,,411514,,11533,249688
2012,Mumbai,Girls,,393474,,8962,175697
2012,Mumbai Suburban,Boys,,82490,,212917,173828
2012,Mumbai Suburban,Girls,,83918,,215197,139471
2012,Nagpur,Boys,,245554,60779.0,37704,127459
2012,Nagpur,Girls,,250171,59005.0,34641,97846
2012,Nanded,Boys,,161446,125578.0,29232,33846
2012,Nanded,Girls,,146751,130036.0,17371,22408
2012,Nandurbar,Boys,,75218,55447.0,24761,16889
2012,Nandurbar,Girls,,64372,54727.0,20393,12282
2012,Nashik,Boys,,328257,155378.0,77369,90534
2012,Nashik,Girls,,285208,150530.0,71688,63791
2012,Parbhani,Boys,,91526,74478.0,12608,34555
2012,Parbhani,Girls,,75387,77350.0,6738,22310
2012,Pune,Boys,,418637,137130.0,106310,268846
2012,Pune,Girls,,376069,129824.0,103306,194488
2012,Raigad,Boys,,107559,71236.0,10924,78851
2012,Raigad,Girls,,101689,73374.0,8423,58936
2012,Ratnagiri,Boys,,79560,63330.0,3823,18570
2012,Ratnagiri,Girls,,72753,64292.0,2729,13347
2012,Sangli,Boys,,175390,76841.0,7141,29603
2012,Sangli,Girls,,144737,72922.0,5590,19587
2012,Satara,Boys,,161285,87973.0,8415,36712
2012,Satara,Girls,,138140,85853.0,4126,22006
2012,Sindhudurg,Boys,,42097,28295.0,1281,6474
2012,Sindhudurg,Girls,,39241,27860.0,788,4495
2012,Solapur,Boys,,274749,127568.0,28413,48785
2012,Solapur,Girls,,234018,124193.0,15852,33287
2012,Wardha,Boys,,61097,34040.0,4552,21836
2012,Wardha,Girls,,61431,33520.0,3134,17027
2012,Washim,Boys,,56281,49908.0,8826,20557
2012,Washim,Girls,,49399,50308.0,4761,13770
2012,Yavatmal,Boys,,105109,115630.0,29123,35482
2012,Yavatmal,Girls,,96515,116303.0,19877,25682
2013,Ahilyanagar,Boys,1436.0,276049,141043.0,47803,49210
2013,Ahilyanagar,Girls,1019.0,221217,129211.0,34609,28698
2013,Akola,Boys,201.0,79414,50405.0,20605,35104
2013,Akola,Girls,151.0,73913,52884.0,17484,26037
2013,Amravati,Boys,450.0,126245,90584.0,31206,33184
2013,Amravati,Girls,369.0,124023,87897.0,28036,24620
2013,Beed,Boys,274.0,156787,101978.0,27368,30319
2013,Beed,Girls,189.0,123351,101289.0,18230,17270
2013,Bhandara,Boys,565.0,52087,43028.0,9624,12422
2013,Bhandara,Girls,486.0,52291,42755.0,8694,9760
2013,Buldhana,Boys,285.0,123304,107237.0,19259,38350
2013,Buldhana,Girls,181.0,101446,104569.0,14308,23154
2013,Chandrapur,Boys,1535.0,83518,62744.0,27917,36963
2013,Chandrapur,Girls,1112.0,82405,62644.0,23928,28534
2013,Chh. Sambhaji Nagar,Boys,1880.0,169087,133778.0,64156,94819
2013,Chh. Sambhaji Nagar,Girls,1021.0,148259,130025.0,44801,61330
2013,Dharashiv,Boys,219.0,71353,63182.0,19451,10876
2013,Dharashiv,Girls,177.0,59039,63915.0,15949,5325
2013,Dhule,Boys,375.0,149848,54528.0,9754,18337
2013,Dhule,Girls,166.0,124973,52100.0,6952,10695
2013,Gadchiroli,Boys,238.0,41706,40372.0,18371,9732
2013,Gadchiroli,Girls,232.0,38264,40561.0,15769,7676
2013,Gondia,Boys,284.0,47481,51728.0,19227,16252
2013,Gondia,Girls,237.0,46580,51554.0,19916,12985
2013,Hingoli,Boys,286.0,44554,61536.0,12936,9957
2013,Hingoli,Girls,182.0,36677,61389.0,8761,6808
2013,Jalgaon,Boys,2673.0,269992,122575.0,36195,47193
2013,Jalgaon,Girls,1909.0,213366,119722.0,23981,26682
2013,Jalna,Boys,270.0,79928,91262.0,20390,26881
2013,Jalna,Girls,197.0,66229,92325.0,12697,16698
2013,Kolhapur,Boys,731.0,200576,115658.0,49249,23481
2013,Kolhapur,Girls,194.0,158825,109820.0,38941,11613
2013,Latur,Boys,834.0,177651,73077.0,31823,24775
2013,Latur,Girls,165.0,137104,77529.0,23574,15470
2013,Mumbai,Boys,10003.0,332098,,119416,220103
2013,Mumbai,Girls,8437.0,310658,,108327,161449
2013,Mumbai Suburban,Boys,131.0,77220,186665.0,28335,173839
2013,Mumbai Suburban,Girls,127.0,81024,187406.0,23114,141092
2013,Nagpur,Boys,4530.0,216298,75637.0,49934,122175
2013,Nagpur,Girls,3773.0,222193,74844.0,42216,94758
2013,Nanded,Boys,1031.0,166397,122652.0,31953,32406
2013,Nanded,Girls,603.0,146367,129100.0,23843,20870
2013,Nandurbar,Boys,227.0,85050,54293.0,18650,18914
2013,Nandurbar,Girls,181.0,71895,54486.0,15823,12887
2013,Nashik,Boys,4248.0,312609,182240.0,81036,85606
2013,Nashik,Girls,2990.0,271047,178389.0,70119,59330
2013,Parbhani,Boys,327.0,92088,73727.0,27314,27939
2013,Parbhani,Girls,182.0,75449,77113.0,16992,18491
2013,Pune,Boys,10263.0,375911,204292.0,114335,263605
2013,Pune,Girls,7967.0,340491,200479.0,91109,187818
2013,Raigad,Boys,2081.0,101938,65730.0,25919,75198
2013,Raigad,Girls,1688.0,97275,68638.0,20980,55816
2013,Ratnagiri,Boys,321.0,63288,57780.0,24339,15085
2013,Ratnagiri,Girls,198.0,57202,58881.0,22070,10659
2013,Sangli,Boys,282.0,159236,76557.0,28356,22189
2013,Sangli,Girls,166.0,132701,73778.0,21785,13318
2013,Satara,Boys,928.0,138351,83968.0,34340,34041
2013,Satara,Girls,226.0,121000,82414.0,24602,20106
2013,Sindhudurg,Boys,229.0,35061,26099.0,7954,6634
2013,Sindhudurg,Girls,139.0,32346,25806.0,7199,4526
2013,Solapur,Boys,934.0,258185,125970.0,36592,47944
2013,Solapur,Girls,658.0,219654,124037.0,24925,31032
2013,Wardha,Boys,742.0,56182,31856.0,11645,20810
2013,Wardha,Girls,566.0,55684,31393.0,9184,16623
2013,Washim,Boys,295.0,61547,46834.0,8497,19755
2013,Washim,Girls,190.0,51714,47862.0,6727,12639
2013,Yavatmal,Boys,449.0,105175,109587.0,35360,34157
2013,Yavatmal,Girls,345.0,92095,110041.0,30096,25174
2014,Ahilyanagar,Boys,1679.0,307870,135891.0,3707,71220
2014,Ahilyanagar,Girls,1188.0,241724,126305.0,4249,44272
