Year,District,Social Category,Primary School (I-V),Upper Primary School (VI-VIII),Secondary School (IX-X),Higher Secondary School (XI-XII)
2012,Ahilyanagar,Overall,424456,252282,148641,106293
2012,Ahilyanagar,General,186627,115340,72774,54153
2012,Ahilyanagar,OBC,127206,76308,45318,33586
2012,Ahilyanagar,SC,59982,36139,19626,12061
2012,Ahilyanagar,ST,50641,24495,10923,6493
2012,Akola,Overall,156188,101242,59166,36394
2012,Akola,General,39926,23527,13165,8662
2012,Akola,OBC,68114,46347,28483,18608
2012,Akola,SC,37191,25604,14951,7821
2012,Akola,ST,10957,5764,2567,1303
2012,Amravati,Overall,242723,156516,94899,54831
2012,Amravati,General,48761,27749,15968,10272
2012,Amravati,OBC,104590,71807,47252,28207
2012,Amravati,SC,40703,28867,18928,10502
2012,Amravati,ST,48669,28093,12751,5850
2012,Beed,Overall,279725,145715,80456,59562
2012,Beed,General,124730,66509,37751,29394
2012,Beed,OBC,105537,54467,30350,21546
2012,Beed,SC,43283,22114,11159,7818
2012,Beed,ST,6175,2625,1196,804
2012,Bhandara,Overall,96698,64857,43202,33725
2012,Bhandara,General,3654,2177,1484,1266
2012,Bhandara,OBC,69960,46765,31259,24294
2012,Bhandara,SC,15221,10874,7461,6248
2012,Bhandara,ST,7863,5041,2998,1917
2012,Buldhana,Overall,246578,152009,84416,44915
2012,Buldhana,General,44160,27806,15901,8335
2012,Buldhana,OBC,136150,84463,48651,27135
2012,Buldhana,SC,50798,32889,17114,8174
2012,Buldhana,ST,15470,6851,2750,1271
2012,Chandrapur,Overall,177308,112691,72530,50247
2012,Chandrapur,General,15985,9075,5657,4204
2012,Chandrapur,OBC,97553,62960,40794,28404
2012,Chandrapur,SC,29381,19271,12785,10006
2012,Chandrapur,ST,34389,21385,13294,7633
2012,Chh. Sambhaji Nagar,Overall,413345,219654,115860,69379
2012,Chh. Sambhaji Nagar,General,210905,111067,58874,36806
2012,Chh. Sambhaji Nagar,OBC,112467,62508,34414,20387
2012,Chh. Sambhaji Nagar,SC,65820,36263,18616,10106
2012,Chh. Sambhaji Nagar,ST,24153,9816,3956,2080
2012,Dharashiv,Overall,148494,85017,47589,28148
2012,Dharashiv,General,75851,45383,26866,16534
2012,Dharashiv,OBC,42115,22265,11678,6972
2012,Dharashiv,SC,25237,14946,7957,4000
2012,Dharashiv,ST,5291,2423,1088,642
2012,Dhule,Overall,211243,109098,61743,37157
2012,Dhule,General,23644,14846,9285,5434
2012,Dhule,OBC,85823,52116,33033,22224
2012,Dhule,SC,13686,8195,4963,3007
2012,Dhule,ST,88090,33941,14462,6492
2012,Gadchiroli,Overall,98403,57185,34996,23726
2012,Gadchiroli,General,7939,4893,3295,2234
2012,Gadchiroli,OBC,34828,23188,14671,10618
2012,Gadchiroli,SC,10426,6970,4621,3518
2012,Gadchiroli,ST,45210,22134,12409,7356
2012,Gondia,Overall,111967,73462,47927,37335
2012,Gondia,General,6786,4087,2746,2292
2012,Gondia,OBC,70622,46256,30366,24029
2012,Gondia,SC,14372,9716,6438,5353
2012,Gondia,ST,20187,13403,8377,5661
2012,Hingoli,Overall,126882,65036,30118,14535
2012,Hingoli,General,46324,24367,11612,5779
2012,Hingoli,OBC,40444,20825,9468,4509
2012,Hingoli,SC,24749,13243,6353,2901
2012,Hingoli,ST,15365,6601,2685,1346
2012,Jalgaon,Overall,424262,236659,131550,70594
2012,Jalgaon,General,72295,46067,27121,14012
2012,Jalgaon,OBC,212237,125809,73815,43193
2012,Jalgaon,SC,42935,25865,14604,7104
2012,Jalgaon,ST,96795,38918,16010,6285
2012,Jalna,Overall,211706,107542,49073,29153
2012,Jalna,General,94485,49598,23231,15006
2012,Jalna,OBC,75056,37026,16983,9564
2012,Jalna,SC,35601,17899,7403,3921
2012,Jalna,ST,6564,3019,1456,662
2012,Kolhapur,Overall,309721,193276,124475,80726
2012,Kolhapur,General,192599,122104,80451,54600
2012,Kolhapur,OBC,70783,42758,26650,16633
2012,Kolhapur,SC,44358,27512,16845,9267
2012,Kolhapur,ST,1981,902,529,226
2012,Latur,Overall,264771,149602,84190,57859
2012,Latur,General,120699,69628,40766,30593
2012,Latur,OBC,77578,43927,24543,15891
2012,Latur,SC,57315,30876,16225,9722
2012,Latur,ST,9179,5171,2656,1653
2012,Mumbai,Overall,194862,454882,316233,284891
2012,Mumbai,General,171945,371702,247264,229561
2012,Mumbai,OBC,11599,43076,35613,30367
2012,Mumbai,SC,10334,36842,30729,22444
2012,Mumbai,ST,984,3262,2627,2519
2012,Mumbai Suburban,Overall,759027,118658,30136,0
2012,Mumbai Suburban,General,610967,80220,20875,0
2012,Mumbai Suburban,OBC,68694,15329,4230,0
2012,Mumbai Suburban,SC,70934,20795,4582,0
2012,Mumbai Suburban,ST,8432,2314,449,0
2012,Nagpur,Overall,401822,245270,155411,110656
2012,Nagpur,General,76838,44675,27211,22666
2012,Nagpur,OBC,204038,128885,83381,58574
2012,Nagpur,SC,76978,48201,31188,22089
2012,Nagpur,ST,43968,23509,13631,7327
2012,Nanded,Overall,349008,176741,90418,50501
2012,Nanded,General,117231,60368,31539,20398
2012,Nanded,OBC,124902,61333,30341,16592
2012,Nanded,SC,74102,38988,20689,9247
2012,Nanded,ST,32773,16052,7849,4264
2012,Nandurbar,Overall,174796,81177,41841,26275
2012,Nandurbar,General,12895,7884,4594,3412
2012,Nandurbar,OBC,25715,15477,9822,7810
2012,Nandurbar,SC,5544,3942,2101,1216
2012,Nandurbar,ST,130642,53874,25324,13837
2012,Nashik,Overall,598088,332238,184484,107945
2012,Nashik,General,165315,105742,65057,43245
2012,Nashik,OBC,183161,100773,58501,34058
2012,Nashik,SC,56824,34628,20157,10307
2012,Nashik,ST,192788,91095,40769,20335
2012,Parbhani,Overall,204608,105029,53130,32185
2012,Parbhani,General,91431,47989,24874,14753
2012,Parbhani,OBC,73051,36366,18185,11372
2012,Parbhani,SC,33596,17136,8277,5105
2012,Parbhani,ST,6530,3538,1794,955
2012,Pune,Overall,816508,470541,273796,173765
2012,Pune,General,431502,254384,153341,101116
2012,Pune,OBC,209980,117620,67350,43626
2012,Pune,SC,136222,78351,42615,22917
2012,Pune,ST,38804,20186,10490,6106
2012,Raigad,Overall,234780,139452,84988,51772
2012,Raigad,General,83791,48911,30301,20013
2012,Raigad,OBC,93290,63343,41854,25925
2012,Raigad,SC,16424,10784,6601,3680
2012,Raigad,ST,41275,16414,6232,2154
2012,Ratnagiri,Overall,129278,92415,59145,37566
2012,Ratnagiri,General,37515,25707,16475,11439
2012,Ratnagiri,OBC,78982,57399,36961,22351
2012,Ratnagiri,SC,10220,8021,5183,3494
2012,Ratnagiri,ST,2561,1288,526,282
2012,Sangli,Overall,231621,148189,88323,63678
2012,Sangli,General,113218,74719,47031,36674
2012,Sangli,OBC,83328,51956,28986,19428
2012,Sangli,SC,33518,20787,12005,7296
2012,Sangli,ST,1557,727,301,280
2012,Satara,Overall,232522,147220,95101,69667
2012,Satara,General,125964,81851,55110,42472
2012,Satara,OBC,73993,45135,27342,19176
2012,Satara,SC,28992,18646,11668,7485
2012,Satara,ST,3573,1588,981,534
2012,Sindhudurg,Overall,58502,41443,28785,21801
2012,Sindhudurg,General,31991,23253,16489,13167
2012,Sindhudurg,OBC,21765,14833,9962,7016
2012,Sindhudurg,SC,4157,3043,2118,1495
2012,Sindhudurg,ST,589,314,216,123
2012,Solapur,Overall,417199,243391,138584,87691
2012,Solapur,General,173621,103886,62500,41104
2012,Solapur,OBC,162818,94209,52106,33167
2012,Solapur,SC,70359,40418,21635,12483
2012,Solapur,ST,10401,4878,2343,937
2012,Wardha,Overall,99532,65217,42149,29739
2012,Wardha,General,9739,6508,4147,2789
