Year,District,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X),Higher Secondary School (XI-XII),Total
2012,Ahilyanagar,Government Aided,566.0,619.0,5406.0,4868.0,582.0,819.0,12911
2012,Ahilyanagar,Local body,8128.0,3945.0,,12.0,6.0,,12091
2012,Ahilyanagar,Private Unaided,490.0,644.0,220.0,540.0,555.0,296.0,2798
2012,Akola,Government Aided,104.0,346.0,2369.0,1226.0,327.0,203.0,4657
2012,Akola,Others,219.0,281.0,32.0,33.0,22.0,,587
2012,Akola,Local body,1527.0,2709.0,120.0,115.0,,,4471
2012,Akola,Private Unaided,486.0,693.0,693.0,416.0,252.0,103.0,2093
2012,Amravati,Government Aided,457.0,479.0,3481.0,2179.0,475.0,436.0,7641
2012,Amravati,Others,316.0,604.0,174.0,273.0,39.0,33.0,1439
2012,Amravati,Local body,2507.0,4422.0,317.0,175.0,19.0,,7444
2012,Amravati,Private Unaided,516.0,291.0,122.0,638.0,228.0,,1842
2012,Beed,Government Aided,456.0,1083.0,3067.0,2597.0,263.0,504.0,8120
2012,Beed,Others,264.0,372.0,142.0,166.0,38.0,105.0,1087
2012,Beed,Local body,4290.0,4242.0,28.0,946.0,32.0,,9543
2012,Beed,Private Unaided,456.0,305.0,161.0,729.0,232.0,82.0,2036
2012,Bhandara,Government Aided,256.0,290.0,1644.0,1112.0,173.0,109.0,3744
2012,Bhandara,Others,138.0,125.0,94.0,96.0,18.0,,471
2012,Bhandara,Local body,1250.0,1799.0,454.0,106.0,4.0,,3620
2012,Bhandara,Private Unaided,152.0,181.0,183.0,217.0,53.0,96.0,897
2012,Buldhana,Government Aided,197.0,251.0,3188.0,1534.0,174.0,107.0,5506
2012,Buldhana,Others,195.0,204.0,32.0,88.0,43.0,,562
2012,Buldhana,Local body,2648.0,4679.0,320.0,348.0,25.0,,8020
2012,Buldhana,Private Unaided,307.0,554.0,212.0,436.0,212.0,182.0,1988
2012,Chandrapur,Government Aided,232.0,233.0,2504.0,1347.0,387.0,262.0,5148
2012,Chandrapur,Others,310.0,408.0,176.0,237.0,64.0,11.0,1206
2012,Chandrapur,Local body,2337.0,3877.0,77.0,119.0,42.0,,6452
2012,Chandrapur,Private Unaided,348.0,524.0,472.0,665.0,205.0,174.0,2457
2012,Chhatrapati Sambhaji Nagar,Government Aided,541.0,1924.0,2818.0,2013.0,540.0,524.0,8550
2012,Chhatrapati Sambhaji Nagar,Others,239.0,701.0,111.0,102.0,63.0,10.0,1226
2012,Chhatrapati Sambhaji Nagar,Local body,3327.0,5425.0,247.0,658.0,10.0,,9667
2012,Chhatrapati Sambhaji Nagar,Private Unaided,1231.0,1755.0,287.0,1002.0,693.0,228.0,5293
2012,Dharashiv,Government Aided,334.0,500.0,1521.0,1276.0,434.0,305.0,4404
2012,Dharashiv,Others,59.0,252.0,,120.0,27.0,,458
2012,Dharashiv,Local body,1718.0,3450.0,85.0,555.0,6.0,,5818
2012,Dharashiv,Private Unaided,174.0,133.0,9.0,73.0,229.0,70.0,710
2012,Dhule,Government Aided,624.0,613.0,3033.0,2245.0,59.0,69.0,6702
2012,Dhule,Others,157.0,473.0,139.0,211.0,69.0,,1049
2012,Dhule,Local body,3466.0,377.0,81.0,,,,3924
2012,Dhule,Private Unaided,214.0,191.0,50.0,302.0,119.0,,876
2012,Gadchiroli,Government Aided,53.0,117.0,1582.0,409.0,115.0,40.0,2401
2012,Gadchiroli,Others,50.0,296.0,323.0,544.0,48.0,25.0,1286
2012,Gadchiroli,Local body,2329.0,2348.0,108.0,73.0,6.0,,4883
2012,Gadchiroli,Private Unaided,158.0,191.0,39.0,258.0,203.0,104.0,1006
2012,Gondia,Government Aided,129.0,241.0,1795.0,518.0,245.0,126.0,3299
2012,Gondia,Others,70.0,286.0,123.0,101.0,76.0,7.0,663
2012,Gondia,Local body,1387.0,3209.0,307.0,177.0,,,5089
2012,Gondia,Private Unaided,199.0,437.0,160.0,171.0,96.0,138.0,1227
2012,Hingoli,Government Aided,123.0,264.0,722.0,372.0,86.0,51.0,1654
2012,Hingoli,Others,76.0,115.0,68.0,67.0,7.0,6.0,339
2012,Hingoli,Local body,1469.0,2557.0,24.0,348.0,7.0,,4405
2012,Hingoli,Private Unaided,111.0,127.0,35.0,45.0,96.0,106.0,541
2012,Jalgaon,Government Aided,855.0,786.0,3555.0,4426.0,207.0,366.0,10238
2012,Jalgaon,Others,299.0,748.0,254.0,359.0,102.0,,1762
2012,Jalgaon,Local body,4689.0,3765.0,162.0,99.0,4.0,,8719
2012,Jalgaon,Private Unaided,595.0,597.0,124.0,441.0,254.0,33.0,2055
2012,Jalna,Government Aided,222.0,472.0,1427.0,972.0,77.0,182.0,3426
2012,Jalna,Others,66.0,150.0,11.0,79.0,12.0,,318
2012,Jalna,Local body,2554.0,3527.0,20.0,474.0,,,6593
2012,Jalna,Private Unaided,358.0,272.0,120.0,322.0,179.0,151.0,1431
2012,Kolhapur,Government Aided,609.0,595.0,3414.0,3518.0,1361.0,471.0,10143
2012,Kolhapur,Others,290.0,562.0,18.0,115.0,73.0,23.0,1081
2012,Kolhapur,Local body,2982.0,7205.0,51.0,40.0,,,10281
2012,Kolhapur,Private Unaided,601.0,766.0,59.0,495.0,499.0,29.0,2528
2012,Latur,Government Aided,847.0,2206.0,2948.0,2294.0,506.0,457.0,9417
2012,Latur,Others,281.0,516.0,202.0,163.0,72.0,,1234
2012,Latur,Local body,1842.0,4004.0,,707.0,4.0,,6557
2012,Latur,Private Unaided,331.0,659.0,24.0,207.0,194.0,75.0,1518
2012,Mumbai City,Government Aided,,28.0,6503.0,10881.0,807.0,2445.0,21167
2012,Mumbai City,Others,,17.0,444.0,228.0,8.0,31.0,728
