Year,District,Select School Management Type,Social Category,Female,Male
2012,Ahilyanagar,Government Aided,General,1885.0,4562.0
2012,Ahilyanagar,Government Aided,OBC,1045.0,2877.0
2012,Ahilyanagar,Government Aided,SC,485.0,1123.0
2012,Ahilyanagar,Government Aided,ST,196.0,519.0
2012,Ahilyanagar,Government Aided,ORC,5.0,15.0
2012,Ahilyanagar,Government Aided,Others,62.0,137.0
2012,Ahilyanagar,Private Unaided,General,950.0,679.0
2012,Ahilyanagar,Private Unaided,OBC,346.0,456.0
2012,Ahilyanagar,Private Unaided,SC,130.0,126.0
2012,Ahilyanagar,Private Unaided,ST,24.0,44.0
2012,Ahilyanagar,Private Unaided,ORC,,1.0
2012,Ahilyanagar,Private Unaided,Others,23.0,19.0
2012,Ahilyanagar,Local body,General,2258.0,2915.0
2012,Ahilyanagar,Local body,OBC,1863.0,2427.0
2012,Ahilyanagar,Local body,SC,649.0,903.0
2012,Ahilyanagar,Local body,ST,208.0,724.0
2012,Ahilyanagar,Local body,ORC,2.0,6.0
2012,Ahilyanagar,Local body,Others,72.0,64.0
2012,Ahilyanagar,Others,General,182.0,315.0
2012,Ahilyanagar,Others,OBC,90.0,243.0
2012,Ahilyanagar,Others,SC,55.0,79.0
2012,Ahilyanagar,Others,ST,19.0,61.0
2012,Ahilyanagar,Others,ORC,2.0,2.0
2012,Ahilyanagar,Others,Others,85.0,23.0
2012,Akola,Government Aided,General,419.0,1054.0
2012,Akola,Government Aided,OBC,548.0,1601.0
2012,Akola,Government Aided,SC,163.0,442.0
2012,Akola,Government Aided,ST,85.0,208.0
2012,Akola,Government Aided,ORC,2.0,3.0
2012,Akola,Government Aided,Others,35.0,97.0
2012,Akola,Private Unaided,General,493.0,320.0
2012,Akola,Private Unaided,OBC,610.0,300.0
2012,Akola,Private Unaided,SC,124.0,105.0
2012,Akola,Private Unaided,ST,45.0,18.0
2012,Akola,Private Unaided,ORC,,
2012,Akola,Private Unaided,Others,51.0,27.0
2012,Akola,Local body,General,420.0,701.0
2012,Akola,Local body,OBC,973.0,1427.0
2012,Akola,Local body,SC,203.0,340.0
2012,Akola,Local body,ST,96.0,206.0
2012,Akola,Local body,ORC,,2.0
2012,Akola,Local body,Others,48.0,55.0
2012,Akola,Others,General,85.0,100.0
2012,Akola,Others,OBC,98.0,213.0
2012,Akola,Others,SC,32.0,55.0
2012,Akola,Others,ST,17.0,26.0
2012,Akola,Others,ORC,,
2012,Akola,Others,Others,11.0,5.0
2012,Amravati,Government Aided,General,759.0,1024.0
2012,Amravati,Government Aided,OBC,1382.0,2834.0
2012,Amravati,Government Aided,SC,385.0,648.0
2012,Amravati,Government Aided,ST,173.0,283.0
2012,Amravati,Government Aided,ORC,,
2012,Amravati,Government Aided,Others,67.0,86.0
2012,Amravati,Private Unaided,General,344.0,130.0
2012,Amravati,Private Unaided,OBC,731.0,287.0
2012,Amravati,Private Unaided,SC,135.0,87.0
2012,Amravati,Private Unaided,ST,24.0,15.0
2012,Amravati,Private Unaided,ORC,,
2012,Amravati,Private Unaided,Others,61.0,28.0
2012,Amravati,Local body,General,444.0,704.0
2012,Amravati,Local body,OBC,1990.0,2562.0
2012,Amravati,Local body,SC,413.0,575.0
2012,Amravati,Local body,ST,206.0,428.0
2012,Amravati,Local body,ORC,,
2012,Amravati,Local body,Others,73.0,49.0
2012,Amravati,Others,General,175.0,181.0
2012,Amravati,Others,OBC,318.0,493.0
2012,Amravati,Others,SC,94.0,154.0
2012,Amravati,Others,ST,41.0,67.0
2012,Amravati,Others,ORC,,
2012,Amravati,Others,Others,5.0,11.0
2012,Beed,Government Aided,General,995.0,3262.0
2012,Beed,Government Aided,OBC,417.0,2279.0
2012,Beed,Government Aided,SC,150.0,711.0
2012,Beed,Government Aided,ST,56.0,194.0
2012,Beed,Government Aided,ORC,6.0,20.0
2012,Beed,Government Aided,Others,7.0,23.0
2012,Beed,Private Unaided,General,408.0,599.0
2012,Beed,Private Unaided,OBC,260.0,433.0
2012,Beed,Private Unaided,SC,92.0,143.0
2012,Beed,Private Unaided,ST,20.0,40.0
2012,Beed,Private Unaided,ORC,2.0,
2012,Beed,Private Unaided,Others,22.0,17.0
2012,Beed,Local body,General,1347.0,2326.0
2012,Beed,Local body,OBC,1163.0,2741.0
2012,Beed,Local body,SC,385.0,843.0
2012,Beed,Local body,ST,155.0,490.0
2012,Beed,Local body,ORC,3.0,9.0
2012,Beed,Local body,Others,30.0,51.0
2012,Beed,Others,General,68.0,427.0
2012,Beed,Others,OBC,56.0,397.0
2012,Beed,Others,SC,28.0,106.0
2012,Beed,Others,ST,4.0,20.0
2012,Beed,Others,ORC,,3.0
2012,Beed,Others,Others,1.0,12.0
2012,Bhandara,Government Aided,General,67.0,84.0
2012,Bhandara,Government Aided,OBC,651.0,1908.0
2012,Bhandara,Government Aided,SC,195.0,553.0
2012,Bhandara,Government Aided,ST,64.0,147.0
2012,Bhandara,Government Aided,ORC,,
2012,Bhandara,Government Aided,Others,38.0,37.0
2012,Bhandara,Private Unaided,General,96.0,27.0
2012,Bhandara,Private Unaided,OBC,363.0,172.0
2012,Bhandara,Private Unaided,SC,104.0,62.0
2012,Bhandara,Private Unaided,ST,33.0,12.0
2012,Bhandara,Private Unaided,ORC,,
2012,Bhandara,Private Unaided,Others,24.0,4.0
2012,Bhandara,Local body,General,53.0,54.0
2012,Bhandara,Local body,OBC,861.0,1689.0
2012,Bhandara,Local body,SC,253.0,417.0
2012,Bhandara,Local body,ST,81.0,151.0
2012,Bhandara,Local body,ORC,,
2012,Bhandara,Local body,Others,31.0,30.0
2012,Bhandara,Others,General,22.0,21.0
2012,Bhandara,Others,OBC,90.0,159.0
2012,Bhandara,Others,SC,50.0,71.0
2012,Bhandara,Others,ST,16.0,29.0
2012,Bhandara,Others,ORC,,
2012,Bhandara,Others,Others,11.0,6.0
2012,Buldhana,Government Aided,General,368.0,1599.0
2012,Buldhana,Government Aided,OBC,330.0,2142.0
2012,Buldhana,Government Aided,SC,119.0,596.0
2012,Buldhana,Government Aided,ST,43.0,309.0
2012,Buldhana,Government Aided,ORC,,
2012,Buldhana,Government Aided,Others,,
2012,Buldhana,Private Unaided,General,364.0,390.0
2012,Buldhana,Private Unaided,OBC,372.0,579.0
2012,Buldhana,Private Unaided,SC,70.0,141.0
2012,Buldhana,Private Unaided,ST,21.0,51.0
2012,Buldhana,Private Unaided,ORC,,
2012,Buldhana,Private Unaided,Others,,
2012,Buldhana,Local body,General,537.0,1747.0
2012,Buldhana,Local body,OBC,1024.0,3266.0
2012,Buldhana,Local body,SC,268.0,744.0
2012,Buldhana,Local body,ST,87.0,347.0
2012,Buldhana,Local body,ORC,,
2012,Buldhana,Local body,Others,,
2012,Buldhana,Others,General,41.0,130.0
2012,Buldhana,Others,OBC,54.0,246.0
2012,Buldhana,Others,SC,19.0,84.0
2012,Buldhana,Others,ST,10.0,31.0
2012,Buldhana,Others,ORC,,
2012,Buldhana,Others,Others,,
2012,Chandrapur,Government Aided,General,253.0,306.0
2012,Chandrapur,Government Aided,OBC,741.0,2335.0
2012,Chandrapur,Government Aided,SC,244.0,633.0
2012,Chandrapur,Government Aided,ST,156.0,441.0
2012,Chandrapur,Government Aided,ORC,2.0,1.0
2012,Chandrapur,Government Aided,Others,14.0,22.0
2012,Chandrapur,Private Unaided,General,499.0,98.0
2012,Chandrapur,Private Unaided,OBC,725.0,402.0
2012,Chandrapur,Private Unaided,SC,346.0,191.0
2012,Chandrapur,Private Unaided,ST,86.0,51.0
2012,Chandrapur,Private Unaided,ORC,2.0,1.0
2012,Chandrapur,Private Unaided,Others,44.0,12.0
2012,Chandrapur,Local body,General,185.0,167.0
2012,Chandrapur,Local body,OBC,1197.0,2457.0
2012,Chandrapur,Local body,SC,435.0,919.0
2012,Chandrapur,Local body,ST,217.0,798.0
2012,Chandrapur,Local body,ORC,1.0,1.0
2012,Chandrapur,Local body,Others,37.0,38.0
2012,Chandrapur,Others,General,40.0,54.0
2012,Chandrapur,Others,OBC,175.0,543.0
2012,Chandrapur,Others,SC,105.0,185.0
2012,Chandrapur,Others,ST,39.0,112.0
2012,Chandrapur,Others,ORC,,
2012,Chandrapur,Others,Others,8.0,15.0
2012,Chhatrapati Sambhaji Nagar,Government Aided,General,2165.0,2537.0
2012,Chhatrapati Sambhaji Nagar,Government Aided,OBC,692.0,1611.0
2012,Chhatrapati Sambhaji Nagar,Government Aided,SC,340.0,576.0
2012,Chhatrapati Sambhaji Nagar,Government Aided,ST,127.0,241.0
2012,Chhatrapati Sambhaji Nagar,Government Aided,ORC,29.0,45.0
2012,Chhatrapati Sambhaji Nagar,Government Aided,Others,90.0,97.0
2012,Chhatrapati Sambhaji Nagar,Private Unaided,General,2246.0,1182.0
2012,Chhatrapati Sambhaji Nagar,Private Unaided,OBC,578.0,465.0
2012,Chhatrapati Sambhaji Nagar,Private Unaided,SC,262.0,221.0
2012,Chhatrapati Sambhaji Nagar,Private Unaided,ST,70.0,85.0
2012,Chhatrapati Sambhaji Nagar,Private Unaided,ORC,3.0,2.0
2012,Chhatrapati Sambhaji Nagar,Private Unaided,Others,143.0,36.0
2012,Chhatrapati Sambhaji Nagar,Local body,General,1562.0,2244.0
2012,Chhatrapati Sambhaji Nagar,Local body,OBC,1366.0,2395.0
2012,Chhatrapati Sambhaji Nagar,Local body,SC,456.0,728.0
2012,Chhatrapati Sambhaji Nagar,Local body,ST,155.0,504.0
2012,Chhatrapati Sambhaji Nagar,Local body,ORC,6.0,11.0
2012,Chhatrapati Sambhaji Nagar,Local body,Others,112.0,128.0
2012,Chhatrapati Sambhaji Nagar,Others,General,303.0,246.0
2012,Chhatrapati Sambhaji Nagar,Others,OBC,156.0,229.0
2012,Chhatrapati Sambhaji Nagar,Others,SC,87.0,124.0
2012,Chhatrapati Sambhaji Nagar,Others,ST,26.0,40.0
2012,Chhatrapati Sambhaji Nagar,Others,ORC,,4.0
2012,Chhatrapati Sambhaji Nagar,Others,Others,41.0,15.0
2012,Dharashiv,Government Aided,General,493.0,1989.0
2012,Dharashiv,Government Aided,OBC,192.0,966.0
2012,Dharashiv,Government Aided,SC,88.0,482.0
2012,Dharashiv,Government Aided,ST,37.0,157.0
2012,Dharashiv,Government Aided,ORC,,
2012,Dharashiv,Government Aided,Others,,
2012,Dharashiv,Private Unaided,General,204.0,268.0
2012,Dharashiv,Private Unaided,OBC,47.0,101.0
2012,Dharashiv,Private Unaided,SC,20.0,57.0
