Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,No. of Valid Votes Casted,No. of Registered Electors,Select Constituency,District,Constituency Type,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No. of Terms Held by Winner,Turncoat,No. of Turncoat Candidates,% of Candidates Turncoat,Incumbent,Recontest,No. of Recontesting Candidates,% of Candidates Recontesting,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,1,2019,4,0,4,1,Dr. Heena Vijaykumar Gavit,F,BJP,639136,ST,1281738,1871099,Nandurbar (ST),Dhule,ST,,11,68.5,49.86,no,95629,7.46,2.33,GEMH15451,National Party,1605,True,2,BJP,1605,NANDURBAR,1,1,2,False,1,9.09090909090909,True,True,2,18.1818181818182,Post Graduate,Agriculture,,Social Work,,
17,1,2019,4,0,4,1,Dr. Heena Vijaykumar Gavit,F,BJP,639136,ST,1281738,1871099,Nandurbar (ST),Nandurbar,ST,,11,68.5,49.86,no,95629,7.46,2.33,GEMH15451,National Party,1605,True,2,BJP,1605,NANDURBAR,1,1,2,False,1,9.09090909090909,True,True,2,18.1818181818182,Post Graduate,Agriculture,,Social Work,,
17,2,2019,4,0,4,1,Bhamre Subhash Ramrao,M,BJP,613533,GEN,1085038,1908173,Dhule,Dhule,GEN,,28,56.86,56.54,no,229243,21.13,2.22,AEMH92726,National Party,1605,True,2,BJP,1605,DHULE,1,1,2,False,1,3.57142857142857,True,True,3,10.7142857142857,Post Graduate,Business,Rent,Agriculture,,
17,2,2019,4,0,4,1,Bhamre Subhash Ramrao,M,BJP,613533,GEN,1085038,1908173,Dhule,Nashik,GEN,,28,56.86,56.54,no,229243,21.13,2.22,AEMH92726,National Party,1605,True,2,BJP,1605,DHULE,1,1,2,False,1,3.57142857142857,True,True,3,10.7142857142857,Post Graduate,Business,Rent,Agriculture,,
17,3,2019,4,0,4,1,Unmesh Bhaiyyasaheb Patil,M,BJP,713874,,1088277,1931400,Jalgaon,Jalgaon,GEN,,14,56.35,65.6,no,411617,37.82,1.96,GEMH114734,National Party,1605,True,1,,,,,,1,False,0,0,False,False,0,0,Graduate Professional,Business,,Agriculture,,
17,4,2019,4,0,4,1,Khadse Raksha Nikhil,F,BJP,655386,GEN,1092971,1775051,Raver,Buldhana,GEN,,12,61.57,59.96,no,335882,30.73,2.17,GEMH6815,National Party,1605,True,2,BJP,1605,RAVER,1,1,2,False,0,0,True,True,2,16.6666666666667,Graduate,Business,,Agriculture,,
17,4,2019,4,0,4,1,Khadse Raksha Nikhil,F,BJP,655386,GEN,1092971,1775051,Raver,Jalgaon,GEN,,12,61.57,59.96,no,335882,30.73,2.17,GEMH6815,National Party,1605,True,2,BJP,1605,RAVER,1,1,2,False,0,0,True,True,2,16.6666666666667,Graduate,Business,,Agriculture,,
17,5,2019,4,0,4,1,Jadhav Prataprao Ganpatrao,M,SHS,521977,GEN,1120359,1762918,Buldhana,Buldhana,GEN,,12,63.55,46.59,no,133287,11.9,2.78,AEMH102655,State-based Party,18691,True,3,SHS,18691,BULDHANA,1,1,3,False,0,0,True,True,3,25,12th Pass,Agriculture,,,,
17,6,2019,4,0,4,1,Dhotre Sanjay Shamrao,M,BJP,554444,GEN,1119440,1865169,Akola,Akola,GEN,,11,60.02,49.53,no,275596,24.62,2.78,GEMH79219,National Party,1605,True,4,BJP,1605,AKOLA,1,1,4,False,0,0,True,True,4,36.3636363636364,Graduate Professional,Business,,Salaried Work or Employed,Engineer,
17,6,2019,4,0,4,1,Dhotre Sanjay Shamrao,M,BJP,554444,GEN,1119440,1865169,Akola,Washim,GEN,,11,60.02,49.53,no,275596,24.62,2.78,GEMH79219,National Party,1605,True,4,BJP,1605,AKOLA,1,1,4,False,0,0,True,True,4,36.3636363636364,Graduate Professional,Business,,Salaried Work or Employed,Engineer,
17,7,2019,4,0,4,1,Navnit Ravi Rana,F,IND,510947,SC,1112385,1833091,Amravati (SC),Amravati,SC,,24,60.68,45.93,no,36951,3.32,2.56,GEMH15459,Independents,10809,True,2,NCP,5792,AMRAVATI,1,0,1,False,0,0,False,True,4,16.6666666666667,10th Pass,Agriculture,,Social Work,,
17,8,2019,4,0,4,1,Ramdas Chandrabhanji Tadas,M,BJP,578364,GEN,1072570,1743283,Wardha,Amravati,GEN,,14,61.53,53.92,no,187191,17.45,2.38,AEMH88923,National Party,1605,True,2,BJP,1605,WARDHA,1,1,2,False,0,0,True,True,3,21.4285714285714,10th Pass,Business,Rent,Agriculture,,
17,8,2019,4,0,4,1,Ramdas Chandrabhanji Tadas,M,BJP,578364,GEN,1072570,1743283,Wardha,Wardha,GEN,,14,61.53,53.92,no,187191,17.45,2.38,AEMH88923,National Party,1605,True,2,BJP,1605,WARDHA,1,1,2,False,0,0,True,True,3,21.4285714285714,10th Pass,Business,Rent,Agriculture,,
17,9,2019,4,0,4,1,Krupal Balaji Tumane,M,SHS,597126,SC,1196744,1922764,Ramtek (SC),Nagpur,SC,,16,62.24,49.9,no,126783,10.59,2.5,GEMH80044,State-based Party,18691,True,3,SHS,18691,RAMTEK,1,1,2,False,1,6.25,True,True,4,25,Graduate,Business,Petrol Pumps,,,
17,10,2019,4,0,4,1,NITIN JAIRAM GADKARI,M,BJP,660221,GEN,1186051,2161096,Nagpur,Nagpur,GEN,,30,54.88,55.67,no,216009,18.21,2.22,GEMH15523,National Party,1605,True,2,BJP,1605,NAGPUR,1,1,2,False,1,3.33333333333333,True,True,2,6.66666666666667,Graduate Professional,Agriculture,,,,
17,11,2019,4,0,4,1,Sunil Baburao Mendhe,M,BJP,650243,,1244931,1811556,Bhandara - Gondiya,Bhandara,GEN,,14,68.72,52.23,no,197394,15.86,2.5,GEMH114840,National Party,1605,True,1,,,,,,1,False,0,0,False,False,0,0,Others,Business,Real Estate or Builder or Developer or Construction,Former Government,Ex Civil Service,
17,11,2019,4,0,4,1,Sunil Baburao Mendhe,M,BJP,650243,,1244931,1811556,Bhandara - Gondiya,Gondia,GEN,,14,68.72,52.23,no,197394,15.86,2.5,GEMH114840,National Party,1605,True,1,,,,,,1,False,0,0,False,False,0,0,Others,Business,Real Estate or Builder or Developer or Construction,Former Government,Ex Civil Service,
17,12,2019,4,0,4,1,ASHOK MAHADEORAO NETE,M,BJP,519968,ST,1142698,1581366,Gadchiroli-Chimur (ST),Chandrapur,ST,,5,72.26,45.5,no,77526,6.78,2.7,AEMH95744,National Party,1605,True,3,BJP,1605,GADCHIROLI-CHIMUR,1,1,2,False,1,20,True,True,4,80,12th Pass,Small Business or Self-employed,,Politics,MP,
17,12,2019,4,0,4,1,ASHOK MAHADEORAO NETE,M,BJP,519968,ST,1142698,1581366,Gadchiroli-Chimur (ST),Gadchiroli,ST,,5,72.26,45.5,no,77526,6.78,2.7,AEMH95744,National Party,1605,True,3,BJP,1605,GADCHIROLI-CHIMUR,1,1,2,False,1,20,True,True,4,80,12th Pass,Small Business or Self-employed,,Politics,MP,
17,12,2019,4,0,4,1,ASHOK MAHADEORAO NETE,M,BJP,519968,ST,1142698,1581366,Gadchiroli-Chimur (ST),Gondia,ST,,5,72.26,45.5,no,77526,6.78,2.7,AEMH95744,National Party,1605,True,3,BJP,1605,GADCHIROLI-CHIMUR,1,1,2,False,1,20,True,True,4,80,12th Pass,Small Business or Self-employed,,Politics,MP,
17,13,2019,4,0,4,1,Balubhau alias Suresh Narayan Dhanorkar,M,INC,559507,,1238474,1910188,Chandrapur,Chandrapur,GEN,,13,64.84,45.18,no,44763,3.61,2.63,GEMH114853,National Party,3482,True,1,,,,,,1,False,0,0,False,False,1,7.69230769230769,12th Pass,Business,,Agriculture,,
17,13,2019,4,0,4,1,Balubhau alias Suresh Narayan Dhanorkar,M,INC,559507,,1238474,1910188,Chandrapur,Yavatmal,GEN,,13,64.84,45.18,no,44763,3.61,2.63,GEMH114853,National Party,3482,True,1,,,,,,1,False,0,0,False,False,1,7.69230769230769,12th Pass,Business,,Agriculture,,
17,14,2019,4,0,4,1,Bhavana Pundlikrao Gawali,F,SHS,542098,GEN,1174220,1916185,Yavatmal-Washim,Washim,GEN,,24,61.28,46.17,no,117939,10.04,2.86,GEMH70645,State-based Party,18691,True,5,SHS,18691,YAVATMAL-WASHIM,1,1,5,False,2,8.33333333333333,True,True,2,8.33333333333333,Graduate,Business,Agricultural Business,,,
17,14,2019,4,0,4,1,Bhavana Pundlikrao Gawali,F,SHS,542098,GEN,1174220,1916185,Yavatmal-Washim,Yavatmal,GEN,,24,61.28,46.17,no,117939,10.04,2.86,GEMH70645,State-based Party,18691,True,5,SHS,18691,YAVATMAL-WASHIM,1,1,5,False,2,8.33333333333333,True,True,2,8.33333333333333,Graduate,Business,Agricultural Business,,,
17,15,2019,4,0,4,1,Hemant Patil,M,SHS,586312,,1157516,1733729,Hingoli,Hingoli,GEN,,28,66.76,50.65,no,277856,24,2.86,GEMH114883,State-based Party,18691,True,1,,,,,,1,False,1,3.57142857142857,False,False,5,17.8571428571429,Graduate,Business,,,,
17,15,2019,4,0,4,1,Hemant Patil,M,SHS,586312,,1157516,1733729,Hingoli,Nanded,GEN,,28,66.76,50.65,no,277856,24,2.86,GEMH114883,State-based Party,18691,True,1,,,,,,1,False,1,3.57142857142857,False,False,5,17.8571428571429,Graduate,Business,,,,
17,15,2019,4,0,4,1,Hemant Patil,M,SHS,586312,,1157516,1733729,Hingoli,Yavatmal,GEN,,28,66.76,50.65,no,277856,24,2.86,GEMH114883,State-based Party,18691,True,1,,,,,,1,False,1,3.57142857142857,False,False,5,17.8571428571429,Graduate,Business,,,,
17,16,2019,4,0,4,1,Prataprao Patil Chikhalikar,M,BJP,486806,,1129350,1719322,Nanded,Nanded,GEN,,14,65.69,43.1,no,40148,3.55,2.7,GEMH114906,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,7.14285714285714,12th Pass,Agriculture,,,,
17,17,2019,4,0,4,1,JADHAV SANJAY (BANDU) HARIBHAU,M,SHS,538941,GEN,1252782,1985228,Parbhani,Jalna,GEN,,17,63.11,43.02,no,42199,3.37,2.78,AEMH93745,State-based Party,18691,True,2,SHS,18691,PARBHANI,1,1,2,False,0,0,True,True,2,11.7647058823529,10th Pass,Business,,Agriculture,,
17,17,2019,4,0,4,1,JADHAV SANJAY (BANDU) HARIBHAU,M,SHS,538941,GEN,1252782,1985228,Parbhani,Parbhani,GEN,,17,63.11,43.02,no,42199,3.37,2.78,AEMH93745,State-based Party,18691,True,2,SHS,18691,PARBHANI,1,1,2,False,0,0,True,True,2,11.7647058823529,10th Pass,Business,,Agriculture,,
17,18,2019,4,0,4,1,Danve Raosaheb Dadarao,M,BJP,698019,GEN,1208139,1867220,Jalna,Chhatrapati Sambhaji Nagar,GEN,,20,64.7,57.78,no,332815,27.55,2.38,GEMH70718,National Party,1605,True,5,BJP,1605,JALNA,1,1,5,False,0,0,True,True,4,20,Graduate,Agriculture,,Social Work,,
17,18,2019,4,0,4,1,Danve Raosaheb Dadarao,M,BJP,698019,GEN,1208139,1867220,Jalna,Jalna,GEN,,20,64.7,57.78,no,332815,27.55,2.38,GEMH70718,National Party,1605,True,5,BJP,1605,JALNA,1,1,5,False,0,0,True,True,4,20,Graduate,Agriculture,,Social Work,,
17,19,2019,4,0,4,1,Imtiaz Jaleel Syed,M,AIMIM,389042,,1198221,1886284,Aurangabad,Chhatrapati Sambhaji Nagar,GEN,,23,63.52,32.47,no,4492,0.37,3.57,GEMH114698,State-based Party (Other State),706,True,1,,,,,,1,False,1,4.34782608695652,False,False,4,17.3913043478261,Post Graduate,Politics,,,,
17,20,2019,4,0,4,1,Dr. Bharati Pravin Pawar,F,BJP,567470,ST,1137631,1732936,Dindori (ST),Nashik,ST,,8,65.65,49.88,no,198779,17.47,2.7,GEMH15559,National Party,1605,True,2,NCP,5792,DINDORI,1,0,1,True,1,12.5,False,True,1,12.5,Graduate Professional,Business,,Liberal Profession or Professional,Doctor,
