Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,1,2019,4,0,4,4,NOTA,,NOTA,21925,,1281738,1871099,Nandurbar (ST),Dhule,ST,,11,68.5,1.71,,8105,0.63,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,1,2019,4,0,4,4,NOTA,,NOTA,21925,,1281738,1871099,Nandurbar (ST),Nandurbar,ST,,11,68.5,1.71,,8105,0.63,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,2,2019,4,0,4,9,NOTA,,NOTA,2475,,1085038,1908173,Dhule,Dhule,GEN,,28,56.86,0.23,,440,0.04,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,2,2019,4,0,4,9,NOTA,,NOTA,2475,,1085038,1908173,Dhule,Nashik,GEN,,28,56.86,0.23,,440,0.04,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,3,2019,4,0,4,4,NOTA,,NOTA,10332,,1088277,1931400,Jalgaon,Jalgaon,GEN,,14,56.35,0.95,,3770,0.35,1.96,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,4,2019,4,0,4,4,NOTA,,NOTA,9216,,1092971,1775051,Raver,Buldhana,GEN,,12,61.57,0.84,,3511,0.32,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,4,2019,4,0,4,4,NOTA,,NOTA,9216,,1092971,1775051,Raver,Jalgaon,GEN,,12,61.57,0.84,,3511,0.32,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,5,2019,4,0,4,4,NOTA,,NOTA,7681,,1120359,1762918,Buldhana,Buldhana,GEN,,12,63.55,0.69,,1116,0.1,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,6,2019,4,0,4,4,NOTA,,NOTA,8866,,1119440,1865169,Akola,Akola,GEN,,11,60.02,0.79,,1086,0.1,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,6,2019,4,0,4,4,NOTA,,NOTA,8866,,1119440,1865169,Akola,Washim,GEN,,11,60.02,0.79,,1086,0.1,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
