Assembly No,Constituency No,Year,month,DelimID,Poll No,Position,Candidate,Sex,Party,Votes,Age of Winner,Average Age of Contestants,Candidate Type,No. of Valid Votes Casted,No. of Electors,Select Constituency,Constituency Type,District,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,No. of Terms Held by Winner,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,No. of Turncoat,% of Turncoats,Incumbent,Recontest,No. of Recontests,% of Recontests,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc
13,1,2019,10,4,0,4,NOTA,,NOTA,4857,,39.6666666666667,,200628,278888,Akkalkuwa (ST),ST,Nandurbar,Khandesh,6,71.94,2.42,,802,0.4,2.94,,NOTA,5897,True,,,,,,,,,0,0,,,3,0.5,,,,,
13,2,2019,10,4,0,5,NOTA,,NOTA,3449,,56.5,,210393,320555,Shahada (ST),ST,Nandurbar,Khandesh,4,65.63,1.64,,0,0,2.63,,NOTA,5897,True,,,,,,,,,1,0.25,,,2,0.5,,,,,
13,3,2019,10,4,0,4,NOTA,,NOTA,3521,,46,,188489,339098,Nandurbar (ST),ST,Nandurbar,Khandesh,6,55.59,1.87,,1474,0.78,2.04,,NOTA,5897,True,,,,,,,,,1,0.166666666666667,,,2,0.333333333333333,,,,,
13,4,2019,10,4,0,6,NOTA,,NOTA,4950,,46.1,,217663,287977,Nawapur (ST),ST,Nandurbar,Khandesh,10,75.58,2.27,,3664,1.68,3.7,,NOTA,5897,True,,,,,,,,,1,0.1,,,2,0.2,,,,,
13,5,2019,10,4,0,6,NOTA,,NOTA,4147,,52.1111111111111,,208098,342992,Sakri (ST),ST,Dhule,Khandesh,9,60.67,1.99,,404,0.19,4,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.222222222222222,,,,,
13,6,2019,10,4,0,4,NOTA,,NOTA,2248,,42,,245347,372989,Dhule Rural,GEN,Dhule,Khandesh,5,65.78,0.92,,777,0.32,2.17,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.2,,,,,
13,7,2019,10,4,0,5,NOTA,,NOTA,1371,,45.4,,161342,322026,Dhule City,GEN,Dhule,Khandesh,10,50.1,0.85,,107,0.07,4.17,,NOTA,5897,True,,,,,,,,,1,0.1,,,2,0.2,,,,,
13,8,2019,10,4,0,5,NOTA,,NOTA,1816,,46,,200568,327082,Sindkheda,GEN,Dhule,Khandesh,7,61.32,0.91,,631,0.31,2.27,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.285714285714286,,,,,
13,9,2019,10,4,0,4,NOTA,,NOTA,3828,,44.2857142857143,,212092,320802,Shirpur (ST),ST,Dhule,Khandesh,7,66.11,1.8,,294,0.14,2.33,,NOTA,5897,True,,,,,,,,,2,0.285714285714286,,,3,0.428571428571429,,,,,
13,10,2019,10,4,0,7,NOTA,,NOTA,2175,,48.875,,199418,308441,Chopda (ST),ST,Jalgaon,Khandesh,8,64.65,1.09,,646,0.32,3.7,,NOTA,5897,True,,,,,,,,,1,0.125,,,3,0.375,,,,,
13,11,2019,10,4,0,7,NOTA,,NOTA,1946,,52,,203396,293382,Raver,GEN,Jalgaon,Khandesh,10,69.33,0.96,,613,0.3,3.45,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.2,,,,,
13,12,2019,10,4,0,5,NOTA,,NOTA,3277,,39.9166666666667,,150654,307797,Bhusawal (SC),SC,Jalgaon,Khandesh,12,48.95,2.18,,1120,0.74,2.86,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0833333333333333,,,,,
13,13,2019,10,4,0,4,NOTA,,NOTA,4998,,45.3076923076923,,182127,401328,Jalgaon City,GEN,Jalgaon,Khandesh,13,45.38,2.74,,1517,0.83,2.17,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0769230769230769,,,,,
13,14,2019,10,4,0,6,NOTA,,NOTA,2382,,44.7272727272727,,198363,315672,Jalgaon Rural,GEN,Jalgaon,Khandesh,11,62.84,1.2,,1020,0.51,2.63,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0909090909090909,,,,,
13,15,2019,10,4,0,4,NOTA,,NOTA,1503,,41.4285714285714,,184906,293648,Amalner,GEN,Jalgaon,Khandesh,7,62.97,0.81,,442,0.24,2.13,,NOTA,5897,True,,,,,,,,,1,0.142857142857143,,,1,0.142857142857143,,,,,
13,16,2019,10,4,0,5,NOTA,,NOTA,1995,,51.75,,178375,280441,Erandol,GEN,Jalgaon,Khandesh,8,63.61,1.12,,1202,0.67,2.78,,NOTA,5897,True,,,,,,,,,0,0,,,3,0.375,,,,,
