District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Ahilyanagar,2012,Akole,Total,499,495,495,411,39,45,319
Ahilyanagar,2012,Akole,Rural,499,495,495,411,39,45,319
Ahilyanagar,2012,Akole,Urban,0,0,0,0,0,0,0
Ahilyanagar,2012,Jamkhed,Total,227,219,219,102,59,58,121
Ahilyanagar,2012,Jamkhed,Rural,227,219,219,102,59,58,121
Ahilyanagar,2012,Jamkhed,Urban,0,0,0,0,0,0,0
Ahilyanagar,2012,Karjat,Total,315,306,306,177,50,79,161
Ahilyanagar,2012,Karjat,Rural,315,306,306,177,50,79,161
Ahilyanagar,2012,Karjat,Urban,0,0,0,0,0,0,0
Ahilyanagar,2012,Kopargaon,Total,255,255,255,169,60,26,217
Ahilyanagar,2012,Kopargaon,Rural,220,220,220,169,27,24,184
Ahilyanagar,2012,Kopargaon,Urban,35,35,35,0,33,2,33
Ahilyanagar,2012,Nagar,Total,724,720,720,303,215,202,480
Ahilyanagar,2012,Nagar,Rural,541,537,537,255,87,195,301
Ahilyanagar,2012,Nagar,Urban,183,183,183,48,128,7,179
Ahilyanagar,2012,Nevasa,Total,386,384,384,258,69,57,274
Ahilyanagar,2012,Nevasa,Rural,386,384,384,258,69,57,274
Ahilyanagar,2012,Nevasa,Urban,0,0,0,0,0,0,0
Ahilyanagar,2012,Parner,Total,362,357,357,238,35,84,253
Ahilyanagar,2012,Parner,Rural,362,357,357,238,35,84,253
Ahilyanagar,2012,Parner,Urban,0,0,0,0,0,0,0
Ahilyanagar,2012,Pathardi,Total,269,266,266,170,33,63,218
Ahilyanagar,2012,Pathardi,Rural,266,263,263,170,31,62,215
Ahilyanagar,2012,Pathardi,Urban,3,3,3,0,2,1,3
Ahilyanagar,2012,Rahata,Total,302,297,296,220,47,30,236
Ahilyanagar,2012,Rahata,Rural,299,294,294,220,44,30,233
Ahilyanagar,2012,Rahata,Urban,3,3,2,0,3,0,3
Ahilyanagar,2012,Rahuri,Total,331,331,331,213,33,85,262
Ahilyanagar,2012,Rahuri,Rural,324,324,324,209,32,83,257
Ahilyanagar,2012,Rahuri,Urban,7,7,7,4,1,2,5
Ahilyanagar,2012,Sangamner,Total,485,484,484,388,74,22,350
Ahilyanagar,2012,Sangamner,Rural,480,479,479,388,70,21,347
Ahilyanagar,2012,Sangamner,Urban,5,5,5,0,4,1,3
Ahilyanagar,2012,Shevgaon,Total,275,270,270,103,72,95,146
Ahilyanagar,2012,Shevgaon,Rural,275,270,270,103,72,95,146
Ahilyanagar,2012,Shevgaon,Urban,0,0,0,0,0,0,0
Ahilyanagar,2012,Srigonda,Total,374,369,369,247,52,70,224
Ahilyanagar,2012,Srigonda,Rural,371,366,366,246,50,70,221
Ahilyanagar,2012,Srigonda,Urban,3,3,3,1,2,0,3
Ahilyanagar,2012,Srirampur,Total,266,266,266,193,43,30,223
Ahilyanagar,2012,Srirampur,Rural,236,236,236,172,36,28,193
Ahilyanagar,2012,Srirampur,Urban,30,30,30,21,7,2,30
Ahilyanagar,2013,Akole,Total,499,499,486,487,2,10,355
Ahilyanagar,2013,Akole,Rural,499,499,486,487,2,10,355
Ahilyanagar,2013,Akole,Urban,0,0,0,0,0,0,0
Ahilyanagar,2013,Jamkhed,Total,227,227,221,140,32,55,113
