District,Year,Sex,Select Cause,Number
Ahilyanagar,2012,Total,Winter Fever,0
Ahilyanagar,2012,Total,Typhoid Fever,0
Ahilyanagar,2012,Total,Tuberculosis,42
Ahilyanagar,2012,Total,Pneumonia/ Respiratory disorders,238
Ahilyanagar,2012,Total,Diarrhoea or Gastro,22
Ahilyanagar,2012,Total,Dengue,0
Ahilyanagar,2012,Total,Swine Flu,0
Ahilyanagar,2012,Total,AIDS,53
Ahilyanagar,2012,Total,Heart Disorder,133
Ahilyanagar,2012,Total,Cancer,9
Ahilyanagar,2012,Total,Maternal Death during Childbirth,13
Ahilyanagar,2012,Total,Paralysis,104
Ahilyanagar,2012,Total,Kidney Related,11
Ahilyanagar,2012,Total,Suicide,120
Ahilyanagar,2012,Total,Traffic,113
Ahilyanagar,2012,Total,Electric Shock,8
Ahilyanagar,2012,Total,Burns,172
Ahilyanagar,2012,Total,Other Accidents,42
Ahilyanagar,2012,Total,Other Reasons,290
Ahilyanagar,2012,Male,Winter Fever,0
Ahilyanagar,2012,Male,Typhoid Fever,0
Ahilyanagar,2012,Male,Tuberculosis,31
Ahilyanagar,2012,Male,Pneumonia/ Respiratory disorders,127
Ahilyanagar,2012,Male,Diarrhoea or Gastro,8
Ahilyanagar,2012,Male,Dengue,0
Ahilyanagar,2012,Male,Swine Flu,0
Ahilyanagar,2012,Male,AIDS,51
Ahilyanagar,2012,Male,Heart Disorder,74
Ahilyanagar,2012,Male,Cancer,6
Ahilyanagar,2012,Male,Maternal Death during Childbirth,0
Ahilyanagar,2012,Male,Paralysis,66
Ahilyanagar,2012,Male,Kidney Related,8
Ahilyanagar,2012,Male,Suicide,84
Ahilyanagar,2012,Male,Traffic,80
Ahilyanagar,2012,Male,Electric Shock,8
Ahilyanagar,2012,Male,Burns,55
Ahilyanagar,2012,Male,Other Accidents,25
Ahilyanagar,2012,Male,Other Reasons,210
Ahilyanagar,2012,Female,Winter Fever,0
Ahilyanagar,2012,Female,Typhoid Fever,0
Ahilyanagar,2012,Female,Tuberculosis,11
Ahilyanagar,2012,Female,Pneumonia/ Respiratory disorders,111
Ahilyanagar,2012,Female,Diarrhoea or Gastro,14
Ahilyanagar,2012,Female,Dengue,0
Ahilyanagar,2012,Female,Swine Flu,0
Ahilyanagar,2012,Female,AIDS,42
Ahilyanagar,2012,Female,Heart Disorder,59
Ahilyanagar,2012,Female,Cancer,3
Ahilyanagar,2012,Female,Maternal Death during Childbirth,13
Ahilyanagar,2012,Female,Paralysis,38
Ahilyanagar,2012,Female,Kidney Related,3
Ahilyanagar,2012,Female,Suicide,36
Ahilyanagar,2012,Female,Traffic,33
Ahilyanagar,2012,Female,Electric Shock,0
Ahilyanagar,2012,Female,Burns,117
Ahilyanagar,2012,Female,Other Accidents,17
Ahilyanagar,2012,Female,Other Reasons,80
Ahilyanagar,2013,Total,Winter Fever,0
Ahilyanagar,2013,Total,Typhoid Fever,0
Ahilyanagar,2013,Total,Tuberculosis,2190
Ahilyanagar,2013,Total,Pneumonia/ Respiratory disorders,4978
Ahilyanagar,2013,Total,Diarrhoea or Gastro,2204
Ahilyanagar,2013,Total,Dengue,0
Ahilyanagar,2013,Total,Swine Flu,0
Ahilyanagar,2013,Total,AIDS,3866
Ahilyanagar,2013,Total,Heart Disorder,3646
Ahilyanagar,2013,Total,Cancer,29
Ahilyanagar,2013,Total,Maternal Death during Childbirth,118
Ahilyanagar,2013,Total,Paralysis,2114
Ahilyanagar,2013,Total,Kidney Related,1825
Ahilyanagar,2013,Total,Suicide,1062
Ahilyanagar,2013,Total,Traffic,1196
Ahilyanagar,2013,Total,Electric Shock,30
Ahilyanagar,2013,Total,Burns,1583
Ahilyanagar,2013,Total,Other Accidents,249
Ahilyanagar,2013,Total,Other Reasons,2477
Ahilyanagar,2013,Male,Winter Fever,0
Ahilyanagar,2013,Male,Typhoid Fever,0
Ahilyanagar,2013,Male,Tuberculosis,1335
Ahilyanagar,2013,Male,Pneumonia/ Respiratory disorders,3122
Ahilyanagar,2013,Male,Diarrhoea or Gastro,1111
Ahilyanagar,2013,Male,Dengue,0
Ahilyanagar,2013,Male,Swine Flu,0
Ahilyanagar,2013,Male,AIDS,2134
Ahilyanagar,2013,Male,Heart Disorder,2181
Ahilyanagar,2013,Male,Cancer,15
Ahilyanagar,2013,Male,Maternal Death during Childbirth,0
Ahilyanagar,2013,Male,Paralysis,1173
Ahilyanagar,2013,Male,Kidney Related,1111
Ahilyanagar,2013,Male,Suicide,933
Ahilyanagar,2013,Male,Traffic,1055
Ahilyanagar,2013,Male,Electric Shock,17
Ahilyanagar,2013,Male,Burns,162
Ahilyanagar,2013,Male,Other Accidents,133
Ahilyanagar,2013,Male,Other Reasons,1391
Ahilyanagar,2013,Female,Winter Fever,0
Ahilyanagar,2013,Female,Typhoid Fever,0
Ahilyanagar,2013,Female,Tuberculosis,855
Ahilyanagar,2013,Female,Pneumonia/ Respiratory disorders,1856
Ahilyanagar,2013,Female,Diarrhoea or Gastro,1093
Ahilyanagar,2013,Female,Dengue,0
Ahilyanagar,2013,Female,Swine Flu,0
Ahilyanagar,2013,Female,AIDS,1732
Ahilyanagar,2013,Female,Heart Disorder,1465
Ahilyanagar,2013,Female,Cancer,14
Ahilyanagar,2013,Female,Maternal Death during Childbirth,118
Ahilyanagar,2013,Female,Paralysis,941
Ahilyanagar,2013,Female,Kidney Related,714
Ahilyanagar,2013,Female,Suicide,129
Ahilyanagar,2013,Female,Traffic,141
Ahilyanagar,2013,Female,Electric Shock,13
Ahilyanagar,2013,Female,Burns,1421
Ahilyanagar,2013,Female,Other Accidents,116
Ahilyanagar,2013,Female,Other Reasons,1086
Ahilyanagar,2014,Total,Winter Fever,0
Ahilyanagar,2014,Total,Typhoid Fever,0
Ahilyanagar,2014,Total,Tuberculosis,35
Ahilyanagar,2014,Total,Pneumonia/ Respiratory disorders,43
Ahilyanagar,2014,Total,Diarrhoea or Gastro,3
Ahilyanagar,2014,Total,Dengue,0
Ahilyanagar,2014,Total,Swine Flu,0
Ahilyanagar,2014,Total,AIDS,35
Ahilyanagar,2014,Total,Heart Disorder,41
Ahilyanagar,2014,Total,Cancer,6
Ahilyanagar,2014,Total,Maternal Death during Childbirth,4
Ahilyanagar,2014,Total,Paralysis,32
Ahilyanagar,2014,Total,Kidney Related,0
Ahilyanagar,2014,Total,Suicide,47
Ahilyanagar,2014,Total,Traffic,22
Ahilyanagar,2014,Total,Electric Shock,0
Ahilyanagar,2014,Total,Burns,102
Ahilyanagar,2014,Total,Other Accidents,66
Ahilyanagar,2014,Total,Other Reasons,350
Ahilyanagar,2014,Male,Winter Fever,0
Ahilyanagar,2014,Male,Typhoid Fever,0
Ahilyanagar,2014,Male,Tuberculosis,28
Ahilyanagar,2014,Male,Pneumonia/ Respiratory disorders,25
Ahilyanagar,2014,Male,Diarrhoea or Gastro,1
Ahilyanagar,2014,Male,Dengue,0
Ahilyanagar,2014,Male,Swine Flu,0
Ahilyanagar,2014,Male,AIDS,21
Ahilyanagar,2014,Male,Heart Disorder,25
Ahilyanagar,2014,Male,Cancer,4
Ahilyanagar,2014,Male,Maternal Death during Childbirth,0
Ahilyanagar,2014,Male,Paralysis,23
Ahilyanagar,2014,Male,Kidney Related,0
Ahilyanagar,2014,Male,Suicide,36
Ahilyanagar,2014,Male,Traffic,18
Ahilyanagar,2014,Male,Electric Shock,0
Ahilyanagar,2014,Male,Burns,32
Ahilyanagar,2014,Male,Other Accidents,47
Ahilyanagar,2014,Male,Other Reasons,227
Ahilyanagar,2014,Female,Winter Fever,0
Ahilyanagar,2014,Female,Typhoid Fever,0
Ahilyanagar,2014,Female,Tuberculosis,7
Ahilyanagar,2014,Female,Pneumonia/ Respiratory disorders,18
Ahilyanagar,2014,Female,Diarrhoea or Gastro,2
Ahilyanagar,2014,Female,Dengue,0
Ahilyanagar,2014,Female,Swine Flu,0
Ahilyanagar,2014,Female,AIDS,14
Ahilyanagar,2014,Female,Heart Disorder,16
Ahilyanagar,2014,Female,Cancer,2
Ahilyanagar,2014,Female,Maternal Death during Childbirth,4
Ahilyanagar,2014,Female,Paralysis,9
Ahilyanagar,2014,Female,Kidney Related,0
Ahilyanagar,2014,Female,Suicide,11
Ahilyanagar,2014,Female,Traffic,4
Ahilyanagar,2014,Female,Electric Shock,0
Ahilyanagar,2014,Female,Burns,70
Ahilyanagar,2014,Female,Other Accidents,19
Ahilyanagar,2014,Female,Other Reasons,123
Ahilyanagar,2015,Total,Winter Fever,0
Ahilyanagar,2015,Total,Typhoid Fever,0
Ahilyanagar,2015,Total,Tuberculosis,36
Ahilyanagar,2015,Total,Pneumonia/ Respiratory disorders,70
Ahilyanagar,2015,Total,Diarrhoea or Gastro,3
Ahilyanagar,2015,Total,Dengue,0
Ahilyanagar,2015,Total,Swine Flu,0
Ahilyanagar,2015,Total,AIDS,54
Ahilyanagar,2015,Total,Heart Disorder,62
Ahilyanagar,2015,Total,Cancer,8
Ahilyanagar,2015,Total,Maternal Death during Childbirth,6
Ahilyanagar,2015,Total,Paralysis,55
Ahilyanagar,2015,Total,Kidney Related,7
Ahilyanagar,2015,Total,Suicide,86
Ahilyanagar,2015,Total,Traffic,33
Ahilyanagar,2015,Total,Electric Shock,1
Ahilyanagar,2015,Total,Burns,111
Ahilyanagar,2015,Total,Other Accidents,67
Ahilyanagar,2015,Total,Other Reasons,456
Ahilyanagar,2015,Male,Winter Fever,0
Ahilyanagar,2015,Male,Typhoid Fever,0
Ahilyanagar,2015,Male,Tuberculosis,26
Ahilyanagar,2015,Male,Pneumonia/ Respiratory disorders,43
Ahilyanagar,2015,Male,Diarrhoea or Gastro,1
Ahilyanagar,2015,Male,Dengue,0
Ahilyanagar,2015,Male,Swine Flu,0
Ahilyanagar,2015,Male,AIDS,29
Ahilyanagar,2015,Male,Heart Disorder,39
Ahilyanagar,2015,Male,Cancer,4
Ahilyanagar,2015,Male,Maternal Death during Childbirth,0
Ahilyanagar,2015,Male,Paralysis,37
Ahilyanagar,2015,Male,Kidney Related,4
Ahilyanagar,2015,Male,Suicide,62
Ahilyanagar,2015,Male,Traffic,28
Ahilyanagar,2015,Male,Electric Shock,1
Ahilyanagar,2015,Male,Burns,36
Ahilyanagar,2015,Male,Other Accidents,55
Ahilyanagar,2015,Male,Other Reasons,295
Ahilyanagar,2015,Female,Winter Fever,0
Ahilyanagar,2015,Female,Typhoid Fever,0
Ahilyanagar,2015,Female,Tuberculosis,10
Ahilyanagar,2015,Female,Pneumonia/ Respiratory disorders,27
