District,Year,Taluka,Rural/Urban,Family Welfare Centers,Fertile Couples,Male Sterilization Numbers,Female Sterilization Numbers,IUDs Inserted,Other Family Planning Methods Used
Beed,2013,Ashti,Rural,6,26136,0,846,71800,1464
Beed,2013,Ashti,Urban,0,0,0,0,0,0
Beed,2013,Ashti,Total,6,26136,0,846,71800,1464
Beed,2013,Patoda,Rural,6,13960,0,275,56730,560
Beed,2013,Patoda,Urban,0,0,0,78,0,0
Beed,2013,Patoda,Total,6,13960,0,353,56730,560
Beed,2013,Shirur Kasar,Rural,5,8012,0,389,7463,819
Beed,2013,Shirur Kasar,Urban,0,0,0,0,0,0
Beed,2013,Shirur Kasar,Total,5,8012,0,389,7463,819
Beed,2013,Gevrai,Rural,7,34755,0,778,56890,1229
Beed,2013,Gevrai,Urban,1,0,0,55,161,9453
Beed,2013,Gevrai,Total,8,34755,0,833,57051,10682
Beed,2013,Majalgaon,Rural,7,26265,0,570,34297,677
Beed,2013,Majalgaon,Urban,1,0,15,396,8,0
Beed,2013,Majalgaon,Total,8,26265,15,966,34305,677
Beed,2013,Wadwani,Rural,3,11119,0,348,28800,460
Beed,2013,Wadwani,Urban,0,0,0,0,0,0
Beed,2013,Wadwani,Total,3,11119,0,348,28800,460
Beed,2013,Beed,Rural,11,31899,0,1220,77980,1217
Beed,2013,Beed,Urban,1,0,3,2317,4014,6798
Beed,2013,Beed,Total,12,31899,3,3537,81994,8015
Beed,2013,Cage,Rural,9,23388,1,543,12668,860
Beed,2013,Cage,Urban,1,0,17,829,13,188
Beed,2013,Cage,Total,10,23388,18,1372,12681,1048
Beed,2013,Dharur,Rural,3,9855,0,50,26278,535
Beed,2013,Dharur,Urban,1,3615,1,500,3890,450
Beed,2013,Dharur,Total,4,13470,1,550,30168,985
Beed,2013,Parli,Rural,6,17800,0,338,41869,737
Beed,2013,Parli,Urban,1,0,0,1025,2945,20896
Beed,2013,Parli,Total,7,17800,0,1363,44814,21633
Beed,2013,Ambajogai,Rural,7,22475,10,563,89185,897
Beed,2013,Ambajogai,Urban,2,9011,28,1912,2373,22489
Beed,2013,Ambajogai,Total,9,31486,38,2475,91558,23386
Beed,2014,Ashti,Rural,5,37977,0,715,7040,0
Beed,2014,Ashti,Urban,1,0,0,185,0,0
Beed,2014,Ashti,Total,6,37977,0,900,7040,0
Beed,2014,Patoda,Rural,4,20559,0,275,5020,0
Beed,2014,Patoda,Urban,1,0,0,198,0,0
Beed,2014,Patoda,Total,5,20559,0,473,5020,0
Beed,2014,Shirur Kasar,Rural,2,5289,0,266,8280,0
Beed,2014,Shirur Kasar,Urban,1,0,0,366,0,0
Beed,2014,Shirur Kasar,Total,3,5289,0,632,8280,0
Beed,2014,Gevrai,Rural,6,35889,0,778,32650,0
Beed,2014,Gevrai,Urban,1,0,0,243,0,0
Beed,2014,Gevrai,Total,7,35889,0,1021,32650,0
Beed,2014,Majalgaon,Rural,5,258828,0,556,31660,0
Beed,2014,Majalgaon,Urban,2,0,1,641,0,0
Beed,2014,Majalgaon,Total,7,258828,1,1197,31660,0
Beed,2014,Wadwani,Rural,2,6360,0,42,2400,0
Beed,2014,Wadwani,Urban,1,0,0,596,0,0
Beed,2014,Wadwani,Total,3,6360,0,638,2400,0
Beed,2014,Beed,Rural,8,40200,0,1220,77980,0
Beed,2014,Beed,Urban,1,0,6,2790,3406,0
Beed,2014,Beed,Total,9,40200,6,4010,81386,0
Beed,2014,Cage,Rural,6,39940,1,543,8684,0
Beed,2014,Cage,Urban,1,0,43,1373,0,0
Beed,2014,Cage,Total,7,39940,44,1916,8684,0
Beed,2014,Dharur,Rural,2,7160,0,207,26279,0
Beed,2014,Dharur,Urban,1,0,2,456,3740,0
Beed,2014,Dharur,Total,3,7160,2,663,30019,0
Beed,2014,Parli,Rural,5,33270,0,348,41869,0
Beed,2014,Parli,Urban,1,0,0,834,2875,0
Beed,2014,Parli,Total,6,33270,0,1182,44744,0
Beed,2014,Ambajogai,Rural,5,34700,10,563,89185,0
Beed,2014,Ambajogai,Urban,2,0,28,1736,2363,0
Beed,2014,Ambajogai,Total,7,34700,38,2299,91548,0
Beed,2015,Ashti,Rural,5,42351,0,659,8930,1377
Beed,2015,Ashti,Urban,1,0,0,964,0,153
Beed,2015,Ashti,Total,6,42351,0,1623,8930,1530
Beed,2015,Patoda,Rural,4,19542,0,573,6720,733
Beed,2015,Patoda,Urban,1,0,0,257,0,13
Beed,2015,Patoda,Total,5,19542,0,830,6720,746
Beed,2015,Shirur Kasar,Rural,2,23394,0,292,105570,587
