District,Year,Taluka,Rural/Urban,Normal Weight,Moderate Acute Malnutrition,Severe Acute Malnutrition
Ahilyanagar,2012,Akole,Rural,81.45,15.42,3.13
Ahilyanagar,2012,Akole,Urban,,,
Ahilyanagar,2012,Akole,Total,81.45,15.42,3.13
Ahilyanagar,2012,Sangamner,Rural,96.59,2.98,0.43
Ahilyanagar,2012,Sangamner,Urban,79.77,14.36,1.79
Ahilyanagar,2012,Sangamner,Total,96.33,3.15,0.45
Ahilyanagar,2012,Kopargaon,Rural,95.16,4.33,0.51
Ahilyanagar,2012,Kopargaon,Urban,83.95,14.88,1.17
Ahilyanagar,2012,Kopargaon,Total,93.73,5.68,0.59
Ahilyanagar,2012,Rahata,Rural,95.46,3.93,0.61
Ahilyanagar,2012,Rahata,Urban,73.95,23.53,2.52
Ahilyanagar,2012,Rahata,Total,95.18,4.19,0.64
Ahilyanagar,2012,Srirampur,Rural,96.09,3.49,0.42
Ahilyanagar,2012,Srirampur,Urban,89.66,12.75,0.87
Ahilyanagar,2012,Srirampur,Total,95.33,4.59,0.47
Ahilyanagar,2012,Nevasa,Rural,97,2.72,0.28
Ahilyanagar,2012,Nevasa,Urban,,,
Ahilyanagar,2012,Nevasa,Total,97,2.72,0.28
Ahilyanagar,2012,Shevgaon,Rural,95.4,4.11,0.49
Ahilyanagar,2012,Shevgaon,Urban,,,
Ahilyanagar,2012,Shevgaon,Total,95.4,4.11,0.49
Ahilyanagar,2012,Pathardi,Rural,94.98,4.4,0.62
Ahilyanagar,2012,Pathardi,Urban,96.3,3.7,0
Ahilyanagar,2012,Pathardi,Total,95,4.39,0.61
Ahilyanagar,2012,Nagar,Rural,97.77,2.07,0.17
Ahilyanagar,2012,Nagar,Urban,88.42,10.57,0.43
Ahilyanagar,2012,Nagar,Total,95.2,4.41,0.24
Ahilyanagar,2012,Rahuri,Rural,94.19,5.1,0.72
Ahilyanagar,2012,Rahuri,Urban,84.61,13.87,1.53
Ahilyanagar,2012,Rahuri,Total,93.88,5.38,0.74
Ahilyanagar,2012,Parner,Rural,95.72,3.74,0.53
Ahilyanagar,2012,Parner,Urban,,,
Ahilyanagar,2012,Parner,Total,95.72,3.74,0.53
Ahilyanagar,2012,Srigonda,Rural,94.29,5.02,0.68
Ahilyanagar,2012,Srigonda,Urban,79.49,20,0.51
Ahilyanagar,2012,Srigonda,Total,94.07,5.25,0.68
Ahilyanagar,2012,Karjat,Rural,94.31,4.99,0.71
Ahilyanagar,2012,Karjat,Urban,,,
Ahilyanagar,2012,Karjat,Total,94.31,4.99,0.71
Ahilyanagar,2012,Jamkhed,Rural,93.07,6.18,0.75
Ahilyanagar,2012,Jamkhed,Urban,,,
Ahilyanagar,2012,Jamkhed,Total,93.07,6.18,0.75
Ahilyanagar,2013,Akole,Rural,79.56,16.59,3.86
Ahilyanagar,2013,Akole,Urban,,,
Ahilyanagar,2013,Akole,Total,79.56,16.59,3.86
Ahilyanagar,2013,Sangamner,Rural,96.83,2.8,0.45
Ahilyanagar,2013,Sangamner,Urban,84.46,14.29,1.25
Ahilyanagar,2013,Sangamner,Total,96.65,2.97,0.46
Ahilyanagar,2013,Kopargaon,Rural,95.8,3.71,0.5
Ahilyanagar,2013,Kopargaon,Urban,82.36,15.78,1.86
Ahilyanagar,2013,Kopargaon,Total,94.33,5.02,0.65
Ahilyanagar,2013,Rahata,Rural,95.5,3.86,0.64
Ahilyanagar,2013,Rahata,Urban,90.74,10.8,1.54
Ahilyanagar,2013,Rahata,Total,95.44,3.94,0.65
Ahilyanagar,2013,Srirampur,Rural,96.29,4.2,0.48
Ahilyanagar,2013,Srirampur,Urban,90.53,8.5,0.97
Ahilyanagar,2013,Srirampur,Total,95.88,4.51,0.52
Ahilyanagar,2013,Nevasa,Rural,100.65,2.97,0.33
Ahilyanagar,2013,Nevasa,Urban,,,
Ahilyanagar,2013,Nevasa,Total,100.65,2.97,0.33
Ahilyanagar,2013,Shevgaon,Rural,96.13,3.48,0.38
Ahilyanagar,2013,Shevgaon,Urban,,,
Ahilyanagar,2013,Shevgaon,Total,96.13,3.48,0.38
Ahilyanagar,2013,Pathardi,Rural,96.26,3.3,0.44
Ahilyanagar,2013,Pathardi,Urban,96.07,3.93,0
Ahilyanagar,2013,Pathardi,Total,96.26,3.31,0.43
Ahilyanagar,2013,Nagar,Rural,96.61,3.06,0.33
Ahilyanagar,2013,Nagar,Urban,98.73,7.57,0.83
Ahilyanagar,2013,Nagar,Total,97.2,4.32,0.47
Ahilyanagar,2013,Rahuri,Rural,95.07,4.45,0.58
Ahilyanagar,2013,Rahuri,Urban,89.66,14.77,1.92
Ahilyanagar,2013,Rahuri,Total,94.93,4.72,0.61
Ahilyanagar,2013,Parner,Rural,95.76,3.91,0.66
Ahilyanagar,2013,Parner,Urban,,,
Ahilyanagar,2013,Parner,Total,95.76,3.91,0.66
Ahilyanagar,2013,Srigonda,Rural,96.1,4.46,0.62
Ahilyanagar,2013,Srigonda,Urban,92.28,16.4,0.96
Ahilyanagar,2013,Srigonda,Total,96.06,4.61,0.62
Ahilyanagar,2013,Karjat,Rural,93.73,5.55,1.03
Ahilyanagar,2013,Karjat,Urban,,,
Ahilyanagar,2013,Karjat,Total,93.73,5.55,1.03
Ahilyanagar,2013,Jamkhed,Rural,95.38,5.88,0.82
Ahilyanagar,2013,Jamkhed,Urban,,,
Ahilyanagar,2013,Jamkhed,Total,95.38,5.88,0.82
Ahilyanagar,2014,Akole,Rural,80.87,15.71,3.42
Ahilyanagar,2014,Akole,Urban,,,
Ahilyanagar,2014,Akole,Total,80.87,15.71,3.42
Ahilyanagar,2014,Sangamner,Rural,92.14,6.72,1.14
Ahilyanagar,2014,Sangamner,Urban,82.26,17.31,0.43
Ahilyanagar,2014,Sangamner,Total,91.99,6.88,1.13
Ahilyanagar,2014,Kopargaon,Rural,93.25,5.82,0.93
Ahilyanagar,2014,Kopargaon,Urban,81.44,16.7,1.85
Ahilyanagar,2014,Kopargaon,Total,91.58,7.36,1.06
Ahilyanagar,2014,Rahata,Rural,87.08,10.86,2.06
Ahilyanagar,2014,Rahata,Urban,88.38,10.51,0.64
Ahilyanagar,2014,Rahata,Total,87.12,10.85,2.02
Ahilyanagar,2014,Srirampur,Rural,88.06,10.03,1.91
Ahilyanagar,2014,Srirampur,Urban,82.94,16.92,0.14
Ahilyanagar,2014,Srirampur,Total,87.25,11.12,1.63
Ahilyanagar,2014,Nevasa,Rural,86.72,5.55,1.15
Ahilyanagar,2014,Nevasa,Urban,,,
Ahilyanagar,2014,Nevasa,Total,86.72,5.55,1.15
Ahilyanagar,2014,Shevgaon,Rural,86.8,11.39,1.81
Ahilyanagar,2014,Shevgaon,Urban,,,
Ahilyanagar,2014,Shevgaon,Total,86.8,11.39,1.81
Ahilyanagar,2014,Pathardi,Rural,89.34,9.24,1.43
Ahilyanagar,2014,Pathardi,Urban,97.28,2.72,0
Ahilyanagar,2014,Pathardi,Total,89.55,9.06,1.39
Ahilyanagar,2014,Nagar,Rural,89.9,8.6,1.5
Ahilyanagar,2014,Nagar,Urban,90.3,8.96,0.75
Ahilyanagar,2014,Nagar,Total,90.02,8.7,1.28
Ahilyanagar,2014,Rahuri,Rural,89.99,8.63,1.37
Ahilyanagar,2014,Rahuri,Urban,69.53,25.75,4.72
Ahilyanagar,2014,Rahuri,Total,89.77,8.82,1.41
Ahilyanagar,2014,Parner,Rural,89.35,8.86,1.79
Ahilyanagar,2014,Parner,Urban,,,
Ahilyanagar,2014,Parner,Total,89.35,8.86,1.79
Ahilyanagar,2014,Srigonda,Rural,92.43,6.77,0.8
Ahilyanagar,2014,Srigonda,Urban,87.59,11.68,0.73
Ahilyanagar,2014,Srigonda,Total,92.36,6.84,0.8
Ahilyanagar,2014,Karjat,Rural,89.47,9.13,1.4
Ahilyanagar,2014,Karjat,Urban,,,
Ahilyanagar,2014,Karjat,Total,89.47,9.13,1.4
Ahilyanagar,2014,Jamkhed,Rural,91.9,7.15,0.96
Ahilyanagar,2014,Jamkhed,Urban,,,
Ahilyanagar,2014,Jamkhed,Total,91.9,7.15,0.96
Ahilyanagar,2015,Akole,Rural,80.89,15.7,3.41
Ahilyanagar,2015,Akole,Urban,,,
Ahilyanagar,2015,Akole,Total,80.89,15.7,3.41
Ahilyanagar,2015,Sangamner,Rural,93.4,5.83,0.77
Ahilyanagar,2015,Sangamner,Urban,55.12,44.73,0.14
Ahilyanagar,2015,Sangamner,Total,92.54,6.71,0.75
Ahilyanagar,2015,Kopargaon,Rural,95.28,4.19,0.53
Ahilyanagar,2015,Kopargaon,Urban,84.4,14.62,0.99
Ahilyanagar,2015,Kopargaon,Total,93.67,5.73,0.6
Ahilyanagar,2015,Rahata,Rural,89.45,8.99,1.57
Ahilyanagar,2015,Rahata,Urban,92.74,7.26,0
Ahilyanagar,2015,Rahata,Total,89.49,8.97,1.55
Ahilyanagar,2015,Srirampur,Rural,89.19,9.22,1.58
Ahilyanagar,2015,Srirampur,Urban,95.67,3.71,0.62
Ahilyanagar,2015,Srirampur,Total,90.21,8.36,1.43
Ahilyanagar,2015,Nevasa,Rural,92.62,6.2,1.18
Ahilyanagar,2015,Nevasa,Urban,,,
Ahilyanagar,2015,Nevasa,Total,92.62,6.2,1.18
Ahilyanagar,2015,Shevgaon,Rural,91.52,7.42,1.07
Ahilyanagar,2015,Shevgaon,Urban,,,
Ahilyanagar,2015,Shevgaon,Total,91.52,7.42,1.07
Ahilyanagar,2015,Pathardi,Rural,90.62,8.24,1.14
Ahilyanagar,2015,Pathardi,Urban,80.56,19.44,0
Ahilyanagar,2015,Pathardi,Total,90.4,8.48,1.12
Ahilyanagar,2015,Nagar,Rural,91.22,7.58,1.2
Ahilyanagar,2015,Nagar,Urban,93.32,6.05,0.63
Ahilyanagar,2015,Nagar,Total,91.74,7.2,1.06
Ahilyanagar,2015,Rahuri,Rural,95.67,3.53,0.8
Ahilyanagar,2015,Rahuri,Urban,85,10,5
Ahilyanagar,2015,Rahuri,Total,95.56,3.59,0.84
Ahilyanagar,2015,Parner,Rural,91.51,7.36,1.13
Ahilyanagar,2015,Parner,Urban,,,
Ahilyanagar,2015,Parner,Total,91.51,7.36,1.13
Ahilyanagar,2015,Srigonda,Rural,92.34,6.76,0.9
Ahilyanagar,2015,Srigonda,Urban,78.5,21.5,0
Ahilyanagar,2015,Srigonda,Total,92.08,7.04,0.88
Ahilyanagar,2015,Karjat,Rural,88.88,9.54,1.58
Ahilyanagar,2015,Karjat,Urban,,,
Ahilyanagar,2015,Karjat,Total,88.88,9.54,1.58
Ahilyanagar,2015,Jamkhed,Rural,86.71,11.01,2.28
Ahilyanagar,2015,Jamkhed,Urban,,,
Ahilyanagar,2015,Jamkhed,Total,86.71,11.01,2.28
