District,Year,Taluka,Select Variable,Percentage
Ahilyanagar,2012,Akole,Infants at Normal Weight,81.45
Ahilyanagar,2012,Akole,Infants with Moderate Acute Malnutrition,15.42
Ahilyanagar,2012,Akole,Infants with Severe Acute Malnutrition,3.13
Ahilyanagar,2012,Sangamner,Infants at Normal Weight,96.33
Ahilyanagar,2012,Sangamner,Infants with Moderate Acute Malnutrition,3.15
Ahilyanagar,2012,Sangamner,Infants with Severe Acute Malnutrition,0.45
Ahilyanagar,2012,Kopargaon,Infants at Normal Weight,93.73
Ahilyanagar,2012,Kopargaon,Infants with Moderate Acute Malnutrition,5.68
Ahilyanagar,2012,Kopargaon,Infants with Severe Acute Malnutrition,0.59
Ahilyanagar,2012,Rahata,Infants at Normal Weight,95.18
Ahilyanagar,2012,Rahata,Infants with Moderate Acute Malnutrition,4.19
Ahilyanagar,2012,Rahata,Infants with Severe Acute Malnutrition,0.64
Ahilyanagar,2012,Srirampur,Infants at Normal Weight,95.33
Ahilyanagar,2012,Srirampur,Infants with Moderate Acute Malnutrition,4.59
Ahilyanagar,2012,Srirampur,Infants with Severe Acute Malnutrition,0.47
Ahilyanagar,2012,Nevasa,Infants at Normal Weight,97
Ahilyanagar,2012,Nevasa,Infants with Moderate Acute Malnutrition,2.72
Ahilyanagar,2012,Nevasa,Infants with Severe Acute Malnutrition,0.28
Ahilyanagar,2012,Shevgaon,Infants at Normal Weight,95.4
Ahilyanagar,2012,Shevgaon,Infants with Moderate Acute Malnutrition,4.11
Ahilyanagar,2012,Shevgaon,Infants with Severe Acute Malnutrition,0.49
Ahilyanagar,2012,Pathardi,Infants at Normal Weight,95
Ahilyanagar,2012,Pathardi,Infants with Moderate Acute Malnutrition,4.39
Ahilyanagar,2012,Pathardi,Infants with Severe Acute Malnutrition,0.61
Ahilyanagar,2012,Nagar,Infants at Normal Weight,95.2
Ahilyanagar,2012,Nagar,Infants with Moderate Acute Malnutrition,4.41
Ahilyanagar,2012,Nagar,Infants with Severe Acute Malnutrition,0.24
Ahilyanagar,2012,Rahuri,Infants at Normal Weight,93.88
Ahilyanagar,2012,Rahuri,Infants with Moderate Acute Malnutrition,5.38
Ahilyanagar,2012,Rahuri,Infants with Severe Acute Malnutrition,0.74
Ahilyanagar,2012,Parner,Infants at Normal Weight,95.72
Ahilyanagar,2012,Parner,Infants with Moderate Acute Malnutrition,3.74
Ahilyanagar,2012,Parner,Infants with Severe Acute Malnutrition,0.53
Ahilyanagar,2012,Srigonda,Infants at Normal Weight,94.07
Ahilyanagar,2012,Srigonda,Infants with Moderate Acute Malnutrition,5.25
Ahilyanagar,2012,Srigonda,Infants with Severe Acute Malnutrition,0.68
Ahilyanagar,2012,Karjat,Infants at Normal Weight,94.31
Ahilyanagar,2012,Karjat,Infants with Moderate Acute Malnutrition,4.99
Ahilyanagar,2012,Karjat,Infants with Severe Acute Malnutrition,0.71
Ahilyanagar,2012,Jamkhed,Infants at Normal Weight,93.07
