District,Year,Taluka,Select Facility,Number
Ahilyanagar,2012,Akole,Hospitals,18
Ahilyanagar,2012,Akole,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Akole,Clinics,42
Ahilyanagar,2012,Akole,Maternity Wards,14
Ahilyanagar,2012,Akole,Number of Beds,148
Ahilyanagar,2012,Sangamner,Hospitals,39
Ahilyanagar,2012,Sangamner,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Sangamner,Clinics,53
Ahilyanagar,2012,Sangamner,Maternity Wards,33
Ahilyanagar,2012,Sangamner,Number of Beds,328
Ahilyanagar,2012,Kopargaon,Hospitals,21
Ahilyanagar,2012,Kopargaon,"Specialty Hospitals (Cancer, TB, etc)",2
Ahilyanagar,2012,Kopargaon,Clinics,56
Ahilyanagar,2012,Kopargaon,Maternity Wards,20
Ahilyanagar,2012,Kopargaon,Number of Beds,286
Ahilyanagar,2012,Rahata,Hospitals,23
Ahilyanagar,2012,Rahata,"Specialty Hospitals (Cancer, TB, etc)",1
Ahilyanagar,2012,Rahata,Clinics,54
Ahilyanagar,2012,Rahata,Maternity Wards,24
Ahilyanagar,2012,Rahata,Number of Beds,258
Ahilyanagar,2012,Srirampur,Hospitals,29
Ahilyanagar,2012,Srirampur,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Srirampur,Clinics,121
Ahilyanagar,2012,Srirampur,Maternity Wards,23
Ahilyanagar,2012,Srirampur,Number of Beds,249
Ahilyanagar,2012,Nevasa,Hospitals,23
Ahilyanagar,2012,Nevasa,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Nevasa,Clinics,59
Ahilyanagar,2012,Nevasa,Maternity Wards,26
Ahilyanagar,2012,Nevasa,Number of Beds,270
Ahilyanagar,2012,Shevgaon,Hospitals,15
Ahilyanagar,2012,Shevgaon,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Shevgaon,Clinics,64
Ahilyanagar,2012,Shevgaon,Maternity Wards,15
Ahilyanagar,2012,Shevgaon,Number of Beds,168
Ahilyanagar,2012,Pathardi,Hospitals,8
Ahilyanagar,2012,Pathardi,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Pathardi,Clinics,46
Ahilyanagar,2012,Pathardi,Maternity Wards,10
Ahilyanagar,2012,Pathardi,Number of Beds,142
Ahilyanagar,2012,Nagar,Hospitals,90
Ahilyanagar,2012,Nagar,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Nagar,Clinics,361
Ahilyanagar,2012,Nagar,Maternity Wards,86
Ahilyanagar,2012,Nagar,Number of Beds,2644
Ahilyanagar,2012,Rahuri,Hospitals,17
Ahilyanagar,2012,Rahuri,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Rahuri,Clinics,36
Ahilyanagar,2012,Rahuri,Maternity Wards,17
Ahilyanagar,2012,Rahuri,Number of Beds,181
Ahilyanagar,2012,Parner,Hospitals,14
Ahilyanagar,2012,Parner,"Specialty Hospitals (Cancer, TB, etc)",0
Ahilyanagar,2012,Parner,Clinics,34
Ahilyanagar,2012,Parner,Maternity Wards,14
Ahilyanagar,2012,Parner,Number of Beds,165
Ahilyanagar,2012,Srigonda,Hospitals,23
Ahilyanagar,2012,Srigonda,"Specialty Hospitals (Cancer, TB, etc)",0
