District,Year,Taluka,Select Facility,Number
Ahilyanagar,2012,Akole,Hospitals,4
Ahilyanagar,2012,Akole,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Akole,Clinics,0
Ahilyanagar,2012,Akole,Maternity Wards,4
Ahilyanagar,2012,Akole,Primary Health Centres,10
Ahilyanagar,2012,Akole,Sub-Centres,70
Ahilyanagar,2012,Akole,Doctors/Vaids,51
Ahilyanagar,2012,Akole,Number of Beds,240
Ahilyanagar,2012,Akole,Beds for Women,80
Ahilyanagar,2012,Akole,Beds for Children,100
Ahilyanagar,2012,Sangamner,Hospitals,2
Ahilyanagar,2012,Sangamner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Sangamner,Clinics,2
Ahilyanagar,2012,Sangamner,Maternity Wards,3
Ahilyanagar,2012,Sangamner,Primary Health Centres,10
Ahilyanagar,2012,Sangamner,Sub-Centres,67
Ahilyanagar,2012,Sangamner,Doctors/Vaids,45
Ahilyanagar,2012,Sangamner,Number of Beds,180
Ahilyanagar,2012,Sangamner,Beds for Women,60
Ahilyanagar,2012,Sangamner,Beds for Children,60
Ahilyanagar,2012,Kopargaon,Hospitals,2
Ahilyanagar,2012,Kopargaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Kopargaon,Clinics,3
Ahilyanagar,2012,Kopargaon,Maternity Wards,1
Ahilyanagar,2012,Kopargaon,Primary Health Centres,6
Ahilyanagar,2012,Kopargaon,Sub-Centres,32
Ahilyanagar,2012,Kopargaon,Doctors/Vaids,25
Ahilyanagar,2012,Kopargaon,Number of Beds,96
Ahilyanagar,2012,Kopargaon,Beds for Women,40
Ahilyanagar,2012,Kopargaon,Beds for Children,20
Ahilyanagar,2012,Rahata,Hospitals,2
Ahilyanagar,2012,Rahata,"Specialty Hospitals (Cancer, TB etc.)",1
Ahilyanagar,2012,Rahata,Clinics,1
Ahilyanagar,2012,Rahata,Maternity Wards,3
Ahilyanagar,2012,Rahata,Primary Health Centres,6
Ahilyanagar,2012,Rahata,Sub-Centres,30
Ahilyanagar,2012,Rahata,Doctors/Vaids,32
Ahilyanagar,2012,Rahata,Number of Beds,126
Ahilyanagar,2012,Rahata,Beds for Women,50
Ahilyanagar,2012,Rahata,Beds for Children,40
Ahilyanagar,2012,Srirampur,Hospitals,1
Ahilyanagar,2012,Srirampur,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Srirampur,Clinics,2
Ahilyanagar,2012,Srirampur,Maternity Wards,1
Ahilyanagar,2012,Srirampur,Primary Health Centres,6
Ahilyanagar,2012,Srirampur,Sub-Centres,31
Ahilyanagar,2012,Srirampur,Doctors/Vaids,24
Ahilyanagar,2012,Srirampur,Number of Beds,76
Ahilyanagar,2012,Srirampur,Beds for Women,20
Ahilyanagar,2012,Srirampur,Beds for Children,20
Ahilyanagar,2012,Nevasa,Hospitals,2
Ahilyanagar,2012,Nevasa,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Nevasa,Clinics,0
Ahilyanagar,2012,Nevasa,Maternity Wards,2
Ahilyanagar,2012,Nevasa,Primary Health Centres,9
Ahilyanagar,2012,Nevasa,Sub-Centres,41
Ahilyanagar,2012,Nevasa,Doctors/Vaids,39
Ahilyanagar,2012,Nevasa,Number of Beds,134
Ahilyanagar,2012,Nevasa,Beds for Women,45
Ahilyanagar,2012,Nevasa,Beds for Children,35
Ahilyanagar,2012,Shevgaon,Hospitals,2
Ahilyanagar,2012,Shevgaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Shevgaon,Clinics,0
Ahilyanagar,2012,Shevgaon,Maternity Wards,2
Ahilyanagar,2012,Shevgaon,Primary Health Centres,6
Ahilyanagar,2012,Shevgaon,Sub-Centres,37
Ahilyanagar,2012,Shevgaon,Doctors/Vaids,27
Ahilyanagar,2012,Shevgaon,Number of Beds,116
Ahilyanagar,2012,Shevgaon,Beds for Women,40
Ahilyanagar,2012,Shevgaon,Beds for Children,40
Ahilyanagar,2012,Pathardi,Hospitals,1
Ahilyanagar,2012,Pathardi,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Pathardi,Clinics,0
Ahilyanagar,2012,Pathardi,Maternity Wards,2
Ahilyanagar,2012,Pathardi,Primary Health Centres,6
Ahilyanagar,2012,Pathardi,Sub-Centres,32
Ahilyanagar,2012,Pathardi,Doctors/Vaids,23
Ahilyanagar,2012,Pathardi,Number of Beds,111
Ahilyanagar,2012,Pathardi,Beds for Women,30
Ahilyanagar,2012,Pathardi,Beds for Children,45
Ahilyanagar,2012,Nagar,Hospitals,2
Ahilyanagar,2012,Nagar,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Nagar,Clinics,6
Ahilyanagar,2012,Nagar,Maternity Wards,3
Ahilyanagar,2012,Nagar,Primary Health Centres,9
Ahilyanagar,2012,Nagar,Sub-Centres,43
Ahilyanagar,2012,Nagar,Doctors/Vaids,37
Ahilyanagar,2012,Nagar,Number of Beds,704
Ahilyanagar,2012,Nagar,Beds for Women,400
Ahilyanagar,2012,Nagar,Beds for Children,250
Ahilyanagar,2012,Rahuri,Hospitals,3
Ahilyanagar,2012,Rahuri,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Rahuri,Clinics,1
Ahilyanagar,2012,Rahuri,Maternity Wards,3
Ahilyanagar,2012,Rahuri,Primary Health Centres,6
Ahilyanagar,2012,Rahuri,Sub-Centres,38
Ahilyanagar,2012,Rahuri,Doctors/Vaids,29
Ahilyanagar,2012,Rahuri,Number of Beds,126
Ahilyanagar,2012,Rahuri,Beds for Women,50
Ahilyanagar,2012,Rahuri,Beds for Children,40
Ahilyanagar,2012,Parner,Hospitals,2
Ahilyanagar,2012,Parner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Parner,Clinics,0
Ahilyanagar,2012,Parner,Maternity Wards,2
Ahilyanagar,2012,Parner,Primary Health Centres,7
Ahilyanagar,2012,Parner,Sub-Centres,41
Ahilyanagar,2012,Parner,Doctors/Vaids,30
Ahilyanagar,2012,Parner,Number of Beds,132
Ahilyanagar,2012,Parner,Beds for Women,50
Ahilyanagar,2012,Parner,Beds for Children,40
Ahilyanagar,2012,Srigonda,Hospitals,1
Ahilyanagar,2012,Srigonda,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Srigonda,Clinics,1
Ahilyanagar,2012,Srigonda,Maternity Wards,1
Ahilyanagar,2012,Srigonda,Primary Health Centres,7
Ahilyanagar,2012,Srigonda,Sub-Centres,39
Ahilyanagar,2012,Srigonda,Doctors/Vaids,28
Ahilyanagar,2012,Srigonda,Number of Beds,102
Ahilyanagar,2012,Srigonda,Beds for Women,30
Ahilyanagar,2012,Srigonda,Beds for Children,30
Ahilyanagar,2012,Karjat,Hospitals,1
Ahilyanagar,2012,Karjat,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Karjat,Clinics,0
Ahilyanagar,2012,Karjat,Maternity Wards,1
Ahilyanagar,2012,Karjat,Primary Health Centres,5
Ahilyanagar,2012,Karjat,Sub-Centres,34
Ahilyanagar,2012,Karjat,Doctors/Vaids,18
Ahilyanagar,2012,Karjat,Number of Beds,105
Ahilyanagar,2012,Karjat,Beds for Women,40
Ahilyanagar,2012,Karjat,Beds for Children,35
Ahilyanagar,2012,Jamkhed,Hospitals,1
Ahilyanagar,2012,Jamkhed,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Jamkhed,Clinics,1
Ahilyanagar,2012,Jamkhed,Maternity Wards,1
Ahilyanagar,2012,Jamkhed,Primary Health Centres,3
Ahilyanagar,2012,Jamkhed,Sub-Centres,22
Ahilyanagar,2012,Jamkhed,Doctors/Vaids,15
Ahilyanagar,2012,Jamkhed,Number of Beds,68
Ahilyanagar,2012,Jamkhed,Beds for Women,30
Ahilyanagar,2012,Jamkhed,Beds for Children,20
Ahilyanagar,2013,Akole,Hospitals,4
