District,Year,Taluka,Type,Male,Female,Children
Ahilyanagar,2012,Akole,Outpatient,2077600,2494100,2273900
Ahilyanagar,2012,Sangamner,Outpatient,3572900,3554700,2168700
Ahilyanagar,2012,Kopargaon,Outpatient,1947300,2689100,1794500
Ahilyanagar,2012,Rahata,Outpatient,1407900,1932000,1853500
Ahilyanagar,2012,Srirampur,Outpatient,2801300,2828300,2286200
Ahilyanagar,2012,Nevasa,Outpatient,4298000,4195800,3501400
Ahilyanagar,2012,Shevgaon,Outpatient,2764200,3307400,2075400
Ahilyanagar,2012,Pathardi,Outpatient,2190500,2473300,2298800
Ahilyanagar,2012,Nagar,Outpatient,3023100,3696000,2788700
Ahilyanagar,2012,Rahuri,Outpatient,1952200,2321000,1415000
Ahilyanagar,2012,Parner,Outpatient,1970000,2416700,2110200
Ahilyanagar,2012,Srigonda,Outpatient,3084500,3339500,2435500
Ahilyanagar,2012,Karjat,Outpatient,1333800,1247100,1229400
Ahilyanagar,2012,Jamkhed,Outpatient,1175200,1272900,1662200
Ahilyanagar,2013,Akole,Outpatient,3579400,2614300,2315000
Ahilyanagar,2013,Sangamner,Outpatient,4489400,4269600,2125800
Ahilyanagar,2013,Kopargaon,Outpatient,2910800,3031400,1076400
Ahilyanagar,2013,Rahata,Outpatient,1931200,2104200,1997600
Ahilyanagar,2013,Srirampur,Outpatient,3279600,3045000,1815000
Ahilyanagar,2013,Nevasa,Outpatient,4819600,3699600,3455400
Ahilyanagar,2013,Shevgaon,Outpatient,3329600,3629400,2166000
Ahilyanagar,2013,Pathardi,Outpatient,2709600,2327600,2464200
Ahilyanagar,2013,Nagar,Outpatient,36629800,5429400,2960000
Ahilyanagar,2013,Rahuri,Outpatient,2275800,2152400,1534200
Ahilyanagar,2013,Parner,Outpatient,2178200,1909200,1624400
Ahilyanagar,2013,Srigonda,Outpatient,4104200,3042800,2578200
Ahilyanagar,2013,Karjat,Outpatient,1527800,1388000,1033000
Ahilyanagar,2013,Jamkhed,Outpatient,1337800,1523000,1630400
Ahilyanagar,2014,Akole,Outpatient,6041900,6332400,105200
Ahilyanagar,2014,Sangamner,Outpatient,6569600,7183900,2391600
Ahilyanagar,2014,Kopargaon,Outpatient,7556100,7849300,2818900
Ahilyanagar,2014,Rahata,Outpatient,12422200,4411900,315700
Ahilyanagar,2014,Srirampur,Outpatient,5158700,5606500,3208800
Ahilyanagar,2014,Nevasa,Outpatient,9576700,9355300,4688700
Ahilyanagar,2014,Shevgaon,Outpatient,5090400,4802700,1496700
Ahilyanagar,2014,Pathardi,Outpatient,6772700,8442100,1706100
Ahilyanagar,2014,Nagar,Outpatient,12977900,11819900,1972200
Ahilyanagar,2014,Rahuri,Outpatient,3044500,3377600,1824400
Ahilyanagar,2014,Parner,Outpatient,5451900,4668900,2157900
Ahilyanagar,2014,Srigonda,Outpatient,6167800,5782600,2548400
Ahilyanagar,2014,Karjat,Outpatient,5913300,6325100,255500
Ahilyanagar,2014,Jamkhed,Outpatient,5167800,5130800,1901300
Ahilyanagar,2015,Akole,Outpatient,8777200,7192600,4731400
Ahilyanagar,2015,Sangamner,Outpatient,7745100,8147400,5039100
Ahilyanagar,2015,Kopargaon,Outpatient,6936600,7256000,1983300
Ahilyanagar,2015,Rahata,Outpatient,7422500,8315100,8706100
Ahilyanagar,2015,Srirampur,Outpatient,4039600,3990500,736500
Ahilyanagar,2015,Nevasa,Outpatient,10668800,11130600,6341300
Ahilyanagar,2015,Shevgaon,Outpatient,8385600,7698300,3137600
Ahilyanagar,2015,Pathardi,Outpatient,7610000,8827000,1668400
Ahilyanagar,2015,Nagar,Outpatient,15075900,16191200,3846500
Ahilyanagar,2015,Rahuri,Outpatient,5653400,5637500,4464000
Ahilyanagar,2015,Parner,Outpatient,7403000,6613900,3642900
Ahilyanagar,2015,Srigonda,Outpatient,6163200,6224700,2410200
Ahilyanagar,2015,Karjat,Outpatient,6051700,5687900,2250500
