District,Year,Taluka,Rural/Urban,Boys,Girls,Total
Ahilyanagar,2012,Akole,Rural,2569,2088,4657
Ahilyanagar,2012,Akole,Urban,0,0,0
Ahilyanagar,2012,Akole,Total,2569,2088,4657
Ahilyanagar,2012,Sangamner,Rural,2093,1889,3982
Ahilyanagar,2012,Sangamner,Urban,1690,1507,3197
Ahilyanagar,2012,Sangamner,Total,3783,3396,7179
Ahilyanagar,2012,Kopargaon,Rural,1324,1144,2468
Ahilyanagar,2012,Kopargaon,Urban,1712,1613,3325
Ahilyanagar,2012,Kopargaon,Total,3036,2757,5793
Ahilyanagar,2012,Rahata,Rural,3908,3466,7374
Ahilyanagar,2012,Rahata,Urban,2275,1959,4234
Ahilyanagar,2012,Rahata,Total,6183,5425,11608
Ahilyanagar,2012,Srirampur,Rural,880,751,1631
Ahilyanagar,2012,Srirampur,Urban,1652,1443,3095
Ahilyanagar,2012,Srirampur,Total,2532,2194,4726
Ahilyanagar,2012,Nevasa,Rural,3304,2910,6214
Ahilyanagar,2012,Nevasa,Urban,0,0,0
Ahilyanagar,2012,Nevasa,Total,3304,2910,6214
Ahilyanagar,2012,Shevgaon,Rural,4798,4225,9023
Ahilyanagar,2012,Shevgaon,Urban,0,0,0
Ahilyanagar,2012,Shevgaon,Total,4798,4225,9023
Ahilyanagar,2012,Pathardi,Rural,1451,1212,2663
Ahilyanagar,2012,Pathardi,Urban,2370,1907,4277
Ahilyanagar,2012,Pathardi,Total,3821,3119,6940
Ahilyanagar,2012,Nagar,Rural,985,855,1840
Ahilyanagar,2012,Nagar,Urban,9599,8738,18337
Ahilyanagar,2012,Nagar,Total,10584,9593,20177
Ahilyanagar,2012,Rahuri,Rural,1001,863,1864
Ahilyanagar,2012,Rahuri,Urban,2086,2002,4088
Ahilyanagar,2012,Rahuri,Total,3087,2865,5952
Ahilyanagar,2012,Parner,Rural,2830,2449,5279
Ahilyanagar,2012,Parner,Urban,0,0,0
Ahilyanagar,2012,Parner,Total,2830,2449,5279
Ahilyanagar,2012,Srigonda,Rural,2149,1911,4060
Ahilyanagar,2012,Srigonda,Urban,737,673,1410
Ahilyanagar,2012,Srigonda,Total,2886,2584,5470
Ahilyanagar,2012,Karjat,Rural,2460,2242,4702
Ahilyanagar,2012,Karjat,Urban,0,0,0
Ahilyanagar,2012,Karjat,Total,2460,2242,4702
Ahilyanagar,2012,Jamkhed,Rural,2402,2137,4539
Ahilyanagar,2012,Jamkhed,Urban,0,0,0
Ahilyanagar,2012,Jamkhed,Total,2402,2137,4539
Ahilyanagar,2013,Akole,Rural,2468,2007,4475
