District,Year,Taluka,Rural/Urban,Number,Children,Infants
Ahilyanagar,2012,Akole,Total,1363,207,59
Ahilyanagar,2012,Akole,Rural,1363,207,59
Ahilyanagar,2012,Akole,Urban,0,0,0
Ahilyanagar,2012,Jamkhed,Total,936,37,18
Ahilyanagar,2012,Jamkhed,Rural,936,37,18
Ahilyanagar,2012,Jamkhed,Urban,0,0,0
Ahilyanagar,2012,Karjat,Total,985,72,13
Ahilyanagar,2012,Karjat,Rural,985,72,13
Ahilyanagar,2012,Karjat,Urban,0,0,0
Ahilyanagar,2012,Kopargaon,Total,1523,104,63
Ahilyanagar,2012,Kopargaon,Rural,1086,97,54
Ahilyanagar,2012,Kopargaon,Urban,437,7,9
Ahilyanagar,2012,Nagar,Total,5499,154,63
Ahilyanagar,2012,Nagar,Rural,1662,140,58
Ahilyanagar,2012,Nagar,Urban,3837,14,5
Ahilyanagar,2012,Nevasa,Total,1637,115,50
Ahilyanagar,2012,Nevasa,Rural,1637,115,50
Ahilyanagar,2012,Nevasa,Urban,0,0,0
Ahilyanagar,2012,Parner,Total,1554,66,15
Ahilyanagar,2012,Parner,Rural,1554,66,15
Ahilyanagar,2012,Parner,Urban,0,0,0
Ahilyanagar,2012,Pathardi,Total,949,79,18
Ahilyanagar,2012,Pathardi,Rural,816,79,18
Ahilyanagar,2012,Pathardi,Urban,133,0,0
Ahilyanagar,2012,Rahata,Total,3351,106,66
Ahilyanagar,2012,Rahata,Rural,2422,97,62
Ahilyanagar,2012,Rahata,Urban,929,9,4
Ahilyanagar,2012,Rahuri,Total,1438,148,13
Ahilyanagar,2012,Rahuri,Rural,1075,131,6
Ahilyanagar,2012,Rahuri,Urban,363,17,7
Ahilyanagar,2012,Sangamner,Total,2336,158,43
Ahilyanagar,2012,Sangamner,Rural,1700,147,38
Ahilyanagar,2012,Sangamner,Urban,636,11,5
Ahilyanagar,2012,Shevgaon,Total,1332,78,21
Ahilyanagar,2012,Shevgaon,Rural,1332,78,21
Ahilyanagar,2012,Shevgaon,Urban,0,0,0
Ahilyanagar,2012,Srigonda,Total,1465,145,20
Ahilyanagar,2012,Srigonda,Rural,1275,141,17
Ahilyanagar,2012,Srigonda,Urban,190,4,3
Ahilyanagar,2012,Srirampur,Total,1409,75,25
Ahilyanagar,2012,Srirampur,Rural,888,60,17
Ahilyanagar,2012,Srirampur,Urban,521,15,8
Ahilyanagar,2013,Akole,Total,1554,206,72
Ahilyanagar,2013,Akole,Rural,1554,206,72
Ahilyanagar,2013,Akole,Urban,0,0,0
Ahilyanagar,2013,Jamkhed,Total,980,39,19
Ahilyanagar,2013,Jamkhed,Rural,980,39,19
Ahilyanagar,2013,Jamkhed,Urban,0,0,0
Ahilyanagar,2013,Karjat,Total,1012,74,13
Ahilyanagar,2013,Karjat,Rural,1012,74,13
Ahilyanagar,2013,Karjat,Urban,0,0,0
Ahilyanagar,2013,Kopargaon,Total,1505,101,67
Ahilyanagar,2013,Kopargaon,Rural,1097,93,58
Ahilyanagar,2013,Kopargaon,Urban,408,8,9
Ahilyanagar,2013,Nagar,Total,5474,154,364
Ahilyanagar,2013,Nagar,Rural,1581,141,76
Ahilyanagar,2013,Nagar,Urban,3893,13,288
Ahilyanagar,2013,Nevasa,Total,1731,105,53
Ahilyanagar,2013,Nevasa,Rural,1731,105,53
Ahilyanagar,2013,Nevasa,Urban,0,0,0
Ahilyanagar,2013,Parner,Total,1332,73,20
Ahilyanagar,2013,Parner,Rural,1332,73,20
Ahilyanagar,2013,Parner,Urban,0,0,0
Ahilyanagar,2013,Pathardi,Total,983,87,29
Ahilyanagar,2013,Pathardi,Rural,833,79,24
Ahilyanagar,2013,Pathardi,Urban,150,8,5
Ahilyanagar,2013,Rahata,Total,3351,100,102
Ahilyanagar,2013,Rahata,Rural,2416,90,97
Ahilyanagar,2013,Rahata,Urban,935,10,5
Ahilyanagar,2013,Rahuri,Total,1482,146,28
Ahilyanagar,2013,Rahuri,Rural,1060,126,8
Ahilyanagar,2013,Rahuri,Urban,422,20,20
Ahilyanagar,2013,Sangamner,Total,2311,162,45
Ahilyanagar,2013,Sangamner,Rural,1675,148,39
Ahilyanagar,2013,Sangamner,Urban,636,14,6
Ahilyanagar,2013,Shevgaon,Total,1413,70,53
Ahilyanagar,2013,Shevgaon,Rural,1413,70,53
Ahilyanagar,2013,Shevgaon,Urban,0,0,0
Ahilyanagar,2013,Srigonda,Total,1508,141,20
Ahilyanagar,2013,Srigonda,Rural,1276,134,17
Ahilyanagar,2013,Srigonda,Urban,232,7,3
Ahilyanagar,2013,Srirampur,Total,1441,70,49
Ahilyanagar,2013,Srirampur,Rural,888,55,33
Ahilyanagar,2013,Srirampur,Urban,553,15,16
Ahilyanagar,2014,Akole,Total,1636,123,86
Ahilyanagar,2014,Akole,Rural,1636,123,86
Ahilyanagar,2014,Akole,Urban,0,0,0
Ahilyanagar,2014,Jamkhed,Total,993,38,28
Ahilyanagar,2014,Jamkhed,Rural,708,38,28
Ahilyanagar,2014,Jamkhed,Urban,285,0,0
Ahilyanagar,2014,Karjat,Total,969,56,49
Ahilyanagar,2014,Karjat,Rural,969,56,49
Ahilyanagar,2014,Karjat,Urban,0,0,0
Ahilyanagar,2014,Kopargaon,Total,1615,49,3
Ahilyanagar,2014,Kopargaon,Rural,1031,45,0
Ahilyanagar,2014,Kopargaon,Urban,584,4,3
Ahilyanagar,2014,Nagar,Total,5844,256,180
Ahilyanagar,2014,Nagar,Rural,1478,117,65
Ahilyanagar,2014,Nagar,Urban,4366,139,115
Ahilyanagar,2014,Nevasa,Total,1702,126,109
Ahilyanagar,2014,Nevasa,Rural,1702,126,109
Ahilyanagar,2014,Nevasa,Urban,0,0,0
Ahilyanagar,2014,Parner,Total,1536,65,43
