District,Year,Taluka,Rural/Urban,Select Vaccine,Number,,
Pune,2011,Aambegaon,Rural,BCG,3145,,
Pune,2011,Aambegaon,Rural,D.T,3493,,
Pune,2011,Aambegaon,Rural,DPT,3318,,
Pune,2011,Aambegaon,Rural,Measles,3155,,
Pune,2011,Aambegaon,Rural,Polio,3318,,
Pune,2011,Aambegaon,Rural,Tetanus 10 years,3949,,
Pune,2011,Aambegaon,Rural,Tetanus 16 years,3973,,
Pune,2011,Aambegaon,Rural,Tetanus Pregnant Women,3687,,
Pune,2011,Aambegaon,Total,BCG,3338,,
Pune,2011,Aambegaon,Total,D.T,3493,,
Pune,2011,Aambegaon,Total,DPT,3408,,
Pune,2011,Aambegaon,Total,Measles,3237,,
Pune,2011,Aambegaon,Total,Polio,3408,,
Pune,2011,Aambegaon,Total,Tetanus 10 years,4119,,
Pune,2011,Aambegaon,Total,Tetanus 16 years,4278,,
Pune,2011,Aambegaon,Total,Tetanus Pregnant Women,5194,,
Pune,2011,Baramati,Rural,BCG,5409,,
Pune,2011,Baramati,Rural,D.T,5370,,
Pune,2011,Baramati,Rural,DPT,5631,,
Pune,2011,Baramati,Rural,Measles,5547,,
Pune,2011,Baramati,Rural,Polio,5631,,
Pune,2011,Baramati,Rural,Tetanus 10 years,6254,,
Pune,2011,Baramati,Rural,Tetanus 16 years,6216,,
Pune,2011,Baramati,Rural,Tetanus Pregnant Women,6093,,
Pune,2011,Baramati,Total,BCG,7251,,
Pune,2011,Baramati,Total,D.T,6168,,
Pune,2011,Baramati,Total,DPT,6819,,
Pune,2011,Baramati,Total,Measles,6857,,
Pune,2011,Baramati,Total,Polio,6815,,
Pune,2011,Baramati,Total,Tetanus 10 years,7738,,
Pune,2011,Baramati,Total,Tetanus 16 years,7565,,
Pune,2011,Baramati,Total,Tetanus Pregnant Women,7366,,
Pune,2011,Bhor,Rural,BCG,2492,,
Pune,2011,Bhor,Rural,D.T,3039,,
Pune,2011,Bhor,Rural,DPT,2593,,
Pune,2011,Bhor,Rural,Measles,2511,,
Pune,2011,Bhor,Rural,Polio,2593,,
Pune,2011,Bhor,Rural,Tetanus 10 years,3208,,
Pune,2011,Bhor,Rural,Tetanus 16 years,2925,,
Pune,2011,Bhor,Rural,Tetanus Pregnant Women,2811,,
Pune,2011,Bhor,Total,BCG,3573,,
Pune,2011,Bhor,Total,D.T,3039,,
Pune,2011,Bhor,Total,DPT,2743,,
Pune,2011,Bhor,Total,Measles,2718,,
Pune,2011,Bhor,Total,Polio,2743,,
Pune,2011,Bhor,Total,Tetanus 10 years,3208,,
Pune,2011,Bhor,Total,Tetanus 16 years,2925,,
Pune,2011,Bhor,Total,Tetanus Pregnant Women,3912,,
Pune,2011,Daund,Rural,BCG,5122,,
Pune,2011,Daund,Rural,D.T,5748,,
Pune,2011,Daund,Rural,DPT,5235,,
Pune,2011,Daund,Rural,Measles,5171,,
Pune,2011,Daund,Rural,Polio,5232,,
Pune,2011,Daund,Rural,Tetanus 10 years,6277,,
Pune,2011,Daund,Rural,Tetanus 16 years,6794,,
Pune,2011,Daund,Rural,Tetanus Pregnant Women,5824,,
Pune,2011,Daund,Total,BCG,5668,,
Pune,2011,Daund,Total,D.T,5753,,
Pune,2011,Daund,Total,DPT,5677,,
Pune,2011,Daund,Total,Measles,5745,,
Pune,2011,Daund,Total,Polio,5677,,
Pune,2011,Daund,Total,Tetanus 10 years,6277,,
Pune,2011,Daund,Total,Tetanus 16 years,6794,,
Pune,2011,Daund,Total,Tetanus Pregnant Women,6701,,
Dhule,2011,Dhule,Rural,BCG,8341,,
Dhule,2011,Dhule,Rural,D.T,6635,,
Dhule,2011,Dhule,Rural,DPT,8281,,
Dhule,2011,Dhule,Rural,Measles,8026,,
Dhule,2011,Dhule,Rural,Polio,8281,,
Dhule,2011,Dhule,Rural,Tetanus 10 years,8266,,
Dhule,2011,Dhule,Rural,Tetanus 16 years,8139,,
Dhule,2011,Dhule,Rural,Tetanus Pregnant Women,9320,,
Dhule,2011,Dhule,Total,BCG,17947,,
Dhule,2011,Dhule,Total,D.T,13836,,
Dhule,2011,Dhule,Total,DPT,17098,,
Dhule,2011,Dhule,Total,Measles,15784,,
Dhule,2011,Dhule,Total,Polio,16398,,
Dhule,2011,Dhule,Total,Tetanus 10 years,15333,,
Dhule,2011,Dhule,Total,Tetanus 16 years,14348,,
Dhule,2011,Dhule,Total,Tetanus Pregnant Women,19748,,
Pune,2011,Haveli,Rural,BCG,8631,,
Pune,2011,Haveli,Rural,D.T,8925,,
Pune,2011,Haveli,Rural,DPT,8814,,
Pune,2011,Haveli,Rural,Measles,8750,,
Pune,2011,Haveli,Rural,Polio,8814,,
Pune,2011,Haveli,Rural,Tetanus 10 years,9581,,
Pune,2011,Haveli,Rural,Tetanus 16 years,10475,,
Pune,2011,Haveli,Rural,Tetanus Pregnant Women,9932,,
Pune,2011,Haveli,Total,BCG,40206,,
Pune,2011,Haveli,Total,D.T,30188,,
Pune,2011,Haveli,Total,DPT,39572,,
Pune,2011,Haveli,Total,Measles,37040,,
Pune,2011,Haveli,Total,Polio,40608,,
Pune,2011,Haveli,Total,Tetanus 10 years,31682,,
Pune,2011,Haveli,Total,Tetanus 16 years,31299,,
Pune,2011,Haveli,Total,Tetanus Pregnant Women,40904,,
Pune,2011,Indapur,Rural,BCG,5369,,
Pune,2011,Indapur,Rural,D.T,5679,,
Pune,2011,Indapur,Rural,DPT,5751,,
Pune,2011,Indapur,Rural,Measles,5491,,
Pune,2011,Indapur,Rural,Polio,5751,,
Pune,2011,Indapur,Rural,Tetanus 10 years,6221,,
Pune,2011,Indapur,Rural,Tetanus 16 years,5692,,
Pune,2011,Indapur,Rural,Tetanus Pregnant Women,6273,,
Pune,2011,Indapur,Total,BCG,6159,,
Pune,2011,Indapur,Total,D.T,5679,,
Pune,2011,Indapur,Total,DPT,6436,,
