District,Year,Abortions Reported,Medical Terminations of Pregnancy,Public,Private,Public Institutions,Private Institutions,Up to 12 Weeks,More than 12 Weeks
Ahilyanagar,2019,2899,6040,1359,4681,22.5,77.5,97.2,2.8
Akola,2019,516,1015,972,43,95.8,4.2,90.7,9.3
Amravati,2019,1794,1405,774,631,55.1,44.9,96.9,3.1
Beed,2019,1054,5687,4203,1484,73.9,26.1,90.1,9.9
Bhandara,2019,644,432,392,40,90.7,9.3,89.5,10.5
Buldhana,2019,841,722,114,608,15.8,84.2,100,0
Chandrapur,2019,2768,4354,283,4071,6.5,93.5,88.3,11.7
Chh. Sambhaji Nagar,2019,2347,5218,1247,3971,23.9,76.1,84.6,15.4
Dharashiv,2019,1356,2841,321,2520,11.3,88.7,72.3,27.7
Dhule,2019,501,552,476,76,86.2,13.8,93.3,6.7
Gadchiroli,2019,1194,632,254,378,40.2,59.8,76.8,23.2
Gondia,2019,874,787,359,428,45.6,54.4,96.1,3.9
Hingoli,2019,378,504,61,443,12.1,87.9,95.1,4.9
Jalgaon,2019,1059,1523,728,795,47.8,52.2,98.9,1.1
Jalna,2019,910,943,330,613,35,65,90.9,9.1
Kolhapur,2019,810,7210,1752,5458,24.3,75.7,86.1,13.9
Latur,2019,1206,1233,217,1016,17.6,82.4,99.5,0.5
Mumbai,2019,5292,20331,3131,17200,15.4,84.6,85.6,14.4
Nagpur,2019,1329,2939,873,2066,29.7,70.3,94,6
Nanded,2019,680,281,76,205,27,73,100,0
Nandurbar,2019,776,121,115,6,95,5,100,0
Nashik,2019,2726,3253,1877,1376,57.7,42.3,94.9,5.1
Palghar,2019,1119,7905,498,7407,6.3,93.7,96.8,3.2
Parbhani,2019,182,21,21,0,100,0,100,0
Pune,2019,7128,27679,8276,19403,29.9,70.1,92.8,7.2
Raigad,2019,648,5798,661,5137,11.4,88.6,95.5,4.5
Ratnagiri,2019,567,2346,251,2095,10.7,89.3,90.4,9.6
Sangli,2019,1028,3091,782,2309,25.3,74.7,85,15
Satara,2019,1287,7338,1431,5907,19.5,80.5,93.6,6.4
Sindhudurg,2019,304,1533,601,932,39.2,60.8,94,6
Solapur,2019,1746,3687,988,2699,26.8,73.2,92.1,7.9
Thane,2019,6642,15154,1970,13184,13,87,90.5,9.5
Wardha,2019,284,393,393,0,100,0,93.6,6.4
Washim,2019,76,1000,13,987,1.3,98.7,100,0
Yavatmal,2019,323,20,20,0,100,0,95,5
Ahilyanagar,2018,3246,3115,2053,1062,65.9,34.1,98.4,1.6
Akola,2018,583,984,958,26,97.4,2.6,92.5,7.5
Amravati,2018,1367,990,605,385,61.1,38.9,90.2,9.8
Beed,2018,877,5455,4102,1353,75.2,24.8,92.9,7.1
Bhandara,2018,1009,569,479,90,84.2,15.8,96.5,3.5
Buldhana,2018,902,1015,271,744,26.7,73.3,95.2,4.8
Chandrapur,2018,905,4085,335,3750,8.2,91.8,82.7,17.3
Chh. Sambhaji Nagar,2018,2764,4048,927,3121,22.9,77.1,90.2,9.8
Dharashiv,2018,570,2449,382,2067,15.6,84.4,79.6,20.4
Dhule,2018,457,566,344,222,60.8,39.2,91,9
Gadchiroli,2018,926,497,183,314,36.8,63.2,86.9,13.1
Gondia,2018,875,614,308,306,50.2,49.8,97.7,2.3
Hingoli,2018,445,490,123,367,25.1,74.9,100,0
Jalgaon,2018,999,1184,644,540,54.4,45.6,96.3,3.7
Jalna,2018,774,888,309,579,34.8,65.2,90,10
Kolhapur,2018,453,6984,1788,5196,25.6,74.4,89.4,10.6
Latur,2018,706,1286,144,1142,11.2,88.8,97.2,2.8
Mumbai,2018,7609,23982,3981,20001,16.6,83.4,90.4,9.6
Nagpur,2018,1449,4390,1058,3332,24.1,75.9,96.5,3.5
Nanded,2018,590,372,165,207,44.4,55.6,100,0
Nandurbar,2018,559,137,137,0,100,0,100,0
Nashik,2018,2847,3342,1875,1467,56.1,43.9,95.6,4.4
Palghar,2018,1197,7652,528,7124,6.9,93.1,77.8,22.2
Parbhani,2018,111,39,39,0,100,0,97.4,2.6
Pune,2018,8423,30836,9189,21647,29.8,70.2,93.7,6.3
Raigad,2018,473,6430,643,5787,10,90,91.9,8.1
Ratnagiri,2018,560,2673,270,2403,10.1,89.9,93.3,6.7
Sangli,2018,1005,2953,762,2191,25.8,74.2,83.2,16.8
Satara,2018,1291,12344,1617,10727,13.1,86.9,94.9,5.1
Sindhudurg,2018,268,1565,521,1044,33.3,66.7,93.5,6.5
Solapur,2018,1314,4348,1274,3074,29.3,70.7,93.6,6.4
Thane,2018,8393,16607,2242,14365,13.5,86.5,90.1,9.9
Wardha,2018,263,962,280,682,29.1,70.9,89.3,10.7
Washim,2018,87,1083,13,1070,1.2,98.8,100,0
Yavatmal,2018,291,50,50,0,100,0,86,14
Ahilyanagar,2017,5128,7625,1830,5795,24,76,97.4,2.6
Akola,2017,628,1168,1000,168,85.6,14.4,94.7,5.3
