District,Year,Moderately Anaemic Women,Women with Severe Anemia Treated at Institution
Ahilyanagar,2019,78655,3723
Akola,2019,34774,2425
Amravati,2019,41234,2347
Beed,2019,43256,2436
Bhandara,2019,18537,789
Buldhana,2019,39815,2818
Chandrapur,2019,39758,805
Chh. Sambhaji Nagar,2019,65489,1550
Dharashiv,2019,30320,718
Dhule,2019,37848,2264
Gadchiroli,2019,17282,535
Gondia,2019,18222,176
Hingoli,2019,21851,1641
Jalgaon,2019,73864,2538
Jalna,2019,42480,1333
Kolhapur,2019,51001,2546
Latur,2019,43796,2243
Mumbai,2019,97385,4778
Nagpur,2019,57926,2622
Nanded,2019,48394,1918
Nandurbar,2019,37045,3877
Nashik,2019,150085,7228
Palghar,2019,48008,2362
Parbhani,2019,33126,1228
Pune,2019,146652,5445
Raigad,2019,40336,776
Ratnagiri,2019,18006,361
Sangli,2019,52539,1426
Satara,2019,38902,2666
Sindhudurg,2019,6271,85
Solapur,2019,66640,2843
Thane,2019,146597,5958
Wardha,2019,17576,580
Washim,2019,18486,1387
Yavatmal,2019,42292,2816
Ahilyanagar,2018,70450,3626
Akola,2018,33106,1279
Amravati,2018,45358,1309
Beed,2018,42735,1483
Bhandara,2018,17520,1048
Buldhana,2018,41244,1704
Chandrapur,2018,38194,1571
Chh. Sambhaji Nagar,2018,63257,2316
Dharashiv,2018,28226,575
Dhule,2018,39371,2005
Gadchiroli,2018,19205,588
Gondia,2018,18165,195
Hingoli,2018,21708,945
Jalgaon,2018,70195,2767
Jalna,2018,39272,819
Kolhapur,2018,59454,1864
Latur,2018,46170,2554
Mumbai,2018,106378,4741
Nagpur,2018,69941,2195
Nanded,2018,47484,2570
Nandurbar,2018,35084,2471
Nashik,2018,139160,6479
Palghar,2018,43050,2306
Parbhani,2018,31416,1106
Pune,2018,145334,4835
Raigad,2018,37402,613
Ratnagiri,2018,18394,336
Sangli,2018,46384,1299
Satara,2018,45609,2478
Sindhudurg,2018,7100,197
Solapur,2018,68893,2062
Thane,2018,138812,3934
Wardha,2018,18944,864
Washim,2018,19725,933
Yavatmal,2018,41648,3237
Ahilyanagar,2017,68302,1963
Akola,2017,33056,1145
Amravati,2017,43043,1030
Beed,2017,42011,1185
Bhandara,2017,18644,404
Buldhana,2017,37945,1334
Chandrapur,2017,34575,1150
Chh. Sambhaji Nagar,2017,64690,2033
Dharashiv,2017,28958,532
Dhule,2017,34765,1647
Gadchiroli,2017,20205,583
Gondia,2017,26133,277
Hingoli,2017,18967,427
Jalgaon,2017,65362,1267
Jalna,2017,40157,500
Kolhapur,2017,64877,1516
Latur,2017,44618,3370
Mumbai,2017,73752,2941
Nagpur,2017,56548,1465
Nanded,2017,54059,3623
Nandurbar,2017,37191,1039
Nashik,2017,133430,2310
Palghar,2017,53166,1682
Parbhani,2017,29866,640
Pune,2017,168274,4091
Raigad,2017,37935,386
Ratnagiri,2017,19971,361
Sangli,2017,49142,894
Satara,2017,41646,1941
Sindhudurg,2017,8941,103
Solapur,2017,60182,695
Thane,2017,144346,3429
Wardha,2017,18231,546
Washim,2017,19987,205
Yavatmal,2017,37194,2146
Ahilyanagar,2016,70321,224
Akola,2016,28044,741
Amravati,2016,38556,377
Beed,2016,35935,989
Bhandara,2016,18823,75
Buldhana,2016,36597,143
Chandrapur,2016,32744,220
Chh. Sambhaji Nagar,2016,48070,1198
Dharashiv,2016,26779,147
Dhule,2016,33119,474
Gadchiroli,2016,17855,581
Gondia,2016,21879,322
Hingoli,2016,18894,574
Jalgaon,2016,67276,449
Jalna,2016,35779,162
Kolhapur,2016,56342,112
Latur,2016,46003,1722
Mumbai,2016,65711,2014
Nagpur,2016,59089,1372
Nanded,2016,53507,3285
Nandurbar,2016,34114,236
