District,Year,Registered for Antenatal Care,Registrations within First Trimester,% of Antenatal Care Registrations Done in First Trimester
Ahilyanagar,2019,81343,73269,90.1
Akola,2019,32361,29809,92.1
Amravati,2019,45498,38537,84.7
Beed,2019,46024,41603,90.4
Bhandara,2019,16413,15352,93.5
Buldhana,2019,49066,43679,89
Chandrapur,2019,32027,28725,89.7
Chhatrapati Sambhaji Nagar,2019,76900,68985,89.7
Dharashiv,2019,29110,27363,94
Dhule,2019,43930,39062,88.9
Gadchiroli,2019,19184,17830,92.9
Gondia,2019,20021,18121,90.5
Hingoli,2019,23497,21140,90
Jalgaon,2019,84525,76097,90
Jalna,2019,41587,37386,89.9
Kolhapur,2019,62104,55244,89
Latur,2019,45755,39702,86.8
Mumbai,2019,191247,106164,55.5
Nagpur,2019,81077,72567,89.5
Nanded,2019,66572,60101,90.3
Nandurbar,2019,38218,34382,90
Nashik,2019,126723,103557,81.7
Palghar,2019,65983,56536,85.7
Parbhani,2019,37152,33505,90.2
Pune,2019,190382,166681,87.6
Raigad,2019,45078,37118,82.3
Ratnagiri,2019,16534,14133,85.5
Sangli,2019,51297,46491,90.6
Satara,2019,48156,42145,87.5
Sindhudurg,2019,7676,6694,87.2
Solapur,2019,84482,77549,91.8
Thane,2019,167344,150820,90.1
Wardha,2019,18777,16788,89.4
Washim,2019,19697,17678,89.7
Yavatmal,2019,45606,43579,95.6
Ahilyanagar,2018,81525,72855,89.4
Akola,2018,32406,27633,85.3
Amravati,2018,46202,37791,81.8
Beed,2018,47530,39453,83
Bhandara,2018,16856,15619,92.7
Buldhana,2018,50358,41713,82.8
Chandrapur,2018,31366,27475,87.6
Chhatrapati Sambhaji Nagar,2018,77675,68181,87.8
Dharashiv,2018,28601,25643,89.7
Dhule,2018,44045,36610,83.1
Gadchiroli,2018,18281,16496,90.2
Gondia,2018,19816,17312,87.4
Hingoli,2018,23580,20854,88.4
Jalgaon,2018,81322,69491,85.5
Jalna,2018,42751,35957,84.1
Kolhapur,2018,60447,52777,87.3
Latur,2018,46953,37801,80.5
Mumbai,2018,220969,97363,44.1
Nagpur,2018,85305,70311,82.4
Nanded,2018,66528,58501,87.9
Nandurbar,2018,38123,23114,60.6
Nashik,2018,137460,100573,73.2
Palghar,2018,60176,51655,85.8
Parbhani,2018,36991,29469,79.7
Pune,2018,203173,162601,80
Raigad,2018,43752,30895,70.6
Ratnagiri,2018,17962,15473,86.1
Sangli,2018,47987,41894,87.3
Satara,2018,48547,41064,84.6
Sindhudurg,2018,8014,6882,85.9
Solapur,2018,82737,67099,81.1
Thane,2018,168431,119700,71.1
Wardha,2018,19055,16565,86.9
Washim,2018,19955,17226,86.3
Yavatmal,2018,45387,41630,91.7
Ahilyanagar,2017,85789,75488,88
Akola,2017,33056,26523,80.2
Amravati,2017,46886,37298,79.6
Beed,2017,48621,39401,81
Bhandara,2017,17535,16213,92.5
Buldhana,2017,50137,40145,80.1
Chandrapur,2017,32558,27416,84.2
Chhatrapati Sambhaji Nagar,2017,84940,77308,91
Dharashiv,2017,30008,24953,83.2
Dhule,2017,47011,38794,82.5
Gadchiroli,2017,20397,17426,85.4
Gondia,2017,20451,18274,89.4
Hingoli,2017,22764,18713,82.2
Jalgaon,2017,77919,64650,83
Jalna,2017,44035,35903,81.5
Kolhapur,2017,64971,54001,83.1
Latur,2017,48697,37281,76.6
Mumbai,2017,283307,99719,35.2
Nagpur,2017,87801,55408,63.1
Nanded,2017,69250,59475,85.9
Nandurbar,2017,36075,20797,57.6
Nashik,2017,123110,82099,66.7
Palghar,2017,61127,36514,59.7
Parbhani,2017,36179,29999,82.9
Pune,2017,194257,148682,76.5
Raigad,2017,41011,27187,66.3
Ratnagiri,2017,18751,14975,79.9
Sangli,2017,51511,41372,80.3
Satara,2017,47089,37978,80.7
Sindhudurg,2017,8435,7218,85.6
Solapur,2017,87942,61086,69.5
Thane,2017,168743,112464,66.6
Wardha,2017,19045,16315,85.7
Washim,2017,20138,16919,84
Yavatmal,2017,51124,41217,80.6
Ahilyanagar,2016,79449,62638,78.8
Akola,2016,34459,27338,79.3
Amravati,2016,45681,36556,80
Beed,2016,51943,40321,77.6
Bhandara,2016,18189,16826,92.5
Buldhana,2016,49525,41401,83.6
Chandrapur,2016,32349,27579,85.3
Chhatrapati Sambhaji Nagar,2016,86558,70530,81.5
Dharashiv,2016,30077,25040,83.3
Dhule,2016,44615,38478,86.2
Gadchiroli,2016,19044,16407,86.2
Gondia,2016,20207,17539,86.8
Hingoli,2016,22089,18014,81.6
Jalgaon,2016,84494,70031,82.9
Jalna,2016,45264,36407,80.4
Kolhapur,2016,61813,50069,81
Latur,2016,51794,38713,74.7
Mumbai,2016,256077,85417,33.4
Nagpur,2016,91735,51072,55.7
Nanded,2016,75374,62709,83.2
Nandurbar,2016,37047,20713,55.9
Nashik,2016,121044,80412,66.4
Palghar,2016,73869,41292,55.9
Parbhani,2016,34445,28425,82.5
Pune,2016,188488,138598,73.5
Raigad,2016,43089,26167,60.7
Ratnagiri,2016,18044,15133,83.9
Sangli,2016,51990,41428,79.7
Satara,2016,47840,37227,77.8
Sindhudurg,2016,8641,7348,85
Solapur,2016,95706,57426,60
Thane,2016,173930,101307,58.2
Wardha,2016,19616,16745,85.4
Washim,2016,20679,17429,84.3
Yavatmal,2016,50634,39564,78.1
Ahilyanagar,2015,85186,64103,75.3
Akola,2015,35610,27583,77.5
Amravati,2015,46986,38224,81.4
Beed,2015,45668,33210,72.7
Bhandara,2015,19672,18384,93.5
Buldhana,2015,52637,44898,85.3
Chandrapur,2015,34710,29748,85.7
Chhatrapati Sambhaji Nagar,2015,94932,63128,66.5
Dharashiv,2015,29501,23705,80.4
Dhule,2015,46072,35758,77.6
Gadchiroli,2015,21038,17224,81.9
Gondia,2015,21774,18668,85.7
Hingoli,2015,22936,18525,80.8
Jalgaon,2015,85962,63864,74.3
Jalna,2015,48402,37338,77.1
Kolhapur,2015,67620,50700,75
Latur,2015,49237,39130,79.5
Mumbai,2015,210967,85916,40.7
Nagpur,2015,84216,45479,54
Nanded,2015,68222,59122,86.7
Nandurbar,2015,36162,20115,55.6
Nashik,2015,119722,74572,62.3
Palghar,2015,72145,37856,52.5
Parbhani,2015,39477,32873,83.3
Pune,2015,208539,123829,59.4
Raigad,2015,36752,22806,62.1
Ratnagiri,2015,19624,14693,74.9
Sangli,2015,51906,41168,79.3
Satara,2015,51506,37038,71.9
Sindhudurg,2015,9149,7697,84.1
Solapur,2015,99265,55952,56.4
Thane,2015,163576,94703,57.9
Wardha,2015,20335,17168,84.4
Washim,2015,20878,17796,85.2
Yavatmal,2015,51761,38422,74.2
Ahilyanagar,2014,84216,63513,75.4
Akola,2014,31466,24696,78.5
Amravati,2014,47768,38249,80.1
Beed,2014,49810,31407,63.1
Bhandara,2014,20028,17968,89.7
Buldhana,2014,52601,43254,82.2
Chandrapur,2014,34757,28775,82.8
Chhatrapati Sambhaji Nagar,2014,83354,66303,79.5
Dharashiv,2014,31425,23530,74.9
Dhule,2014,45318,23183,51.2
Gadchiroli,2014,21778,17398,79.9
Gondia,2014,21314,17865,83.8
Hingoli,2014,23098,15900,68.8
Jalgaon,2014,82250,47880,58.2
Jalna,2014,51277,38232,74.6
Kolhapur,2014,65140,47900,73.5
Latur,2014,53622,43591,81.3
Mumbai,2014,187544,34984,18.7
Nagpur,2014,100884,52726,52.3
Nanded,2014,64176,51465,80.2
Nandurbar,2014,35444,18828,53.1
Nashik,2014,118550,69227,58.4
Palghar,2014,64292,36787,57.2
Parbhani,2014,37730,32396,85.9
Pune,2014,202039,136408,67.5
Raigad,2014,36633,21816,59.6
Ratnagiri,2014,19826,13970,70.5
Sangli,2014,49780,40241,80.8
Satara,2014,47967,33985,70.9
Sindhudurg,2014,8845,7465,84.4
Solapur,2014,94347,53556,56.8
Thane,2014,158622,79621,50.2
Wardha,2014,20726,17342,83.7
Washim,2014,21953,18304,83.4
Yavatmal,2014,50896,38692,76
Ahilyanagar,2013,87947,67222,76.4
Akola,2013,33142,25152,75.9
Amravati,2013,48386,37979,78.5
Beed,2013,52586,34352,65.3
Bhandara,2013,19512,16826,86.2
Buldhana,2013,53160,41682,78.4
Chandrapur,2013,40640,31365,77.2
Chhatrapati Sambhaji Nagar,2013,91898,62380,67.9
Dharashiv,2013,32596,23942,73.5
Dhule,2013,56738,33109,58.4
Gadchiroli,2013,23522,17962,76.4
Gondia,2013,21128,17696,83.8
Hingoli,2013,23002,15657,68.1
Jalgaon,2013,87545,48683,55.6
Jalna,2013,52060,36258,69.6
Kolhapur,2013,65265,47892,73.4
Latur,2013,53522,41732,78
Mumbai,2013,209130,36714,17.6
Nagpur,2013,102632,50255,49
Nanded,2013,65825,51052,77.6
Nandurbar,2013,36237,18555,51.2
Nashik,2013,114002,63174,55.4
Palghar,2013,7010,3298,47
Parbhani,2013,35629,22823,64.1
Pune,2013,239191,132677,55.5
Raigad,2013,37883,22018,58.1
Ratnagiri,2013,20327,14007,68.9
Sangli,2013,50648,41183,81.3
Satara,2013,49513,34959,70.6
Sindhudurg,2013,8973,7669,85.5
Solapur,2013,96295,54634,56.7
Thane,2013,210575,109853,52.2
Wardha,2013,21125,17218,81.5
Washim,2013,21821,15734,72.1
Yavatmal,2013,54169,42606,78.7
Ahilyanagar,2012,88271,68555,77.7
Akola,2012,33529,25263,75.3
Amravati,2012,55488,38125,68.7
Beed,2012,51346,32616,63.5
Bhandara,2012,18748,16332,87.1
Buldhana,2012,51639,38541,74.6
Chandrapur,2012,36325,27864,76.7
Chhatrapati Sambhaji Nagar,2012,72234,46405,64.2
Dharashiv,2012,31875,23096,72.5
Dhule,2012,52556,22440,42.7
Gadchiroli,2012,22315,17025,76.3
Gondia,2012,21187,17777,83.9
Hingoli,2012,22445,15973,71.2
Jalgaon,2012,91417,47798,52.3
Jalna,2012,56439,38286,67.8
Kolhapur,2012,68294,49606,72.6
Latur,2012,50920,36033,70.8
Mumbai,2012,190316,26675,14
Nagpur,2012,99151,51480,51.9
Nanded,2012,63779,51411,80.6
Nandurbar,2012,35297,19909,56.4
Nashik,2012,124833,67732,54.3
Palghar,2012,,,
Parbhani,2012,36523,22703,62.2
Pune,2012,195720,123378,63
Raigad,2012,47309,24277,51.3
Ratnagiri,2012,23049,15290,66.3
Sangli,2012,49587,38739,78.1
Satara,2012,50322,36882,73.3
Sindhudurg,2012,9500,7993,84.1
Solapur,2012,90170,51929,57.6
Thane,2012,221219,116874,52.8
Wardha,2012,21461,17303,80.6
Washim,2012,22608,16471,72.9
Yavatmal,2012,53251,41523,78
Ahilyanagar,2011,93684,69726,74.4
Akola,2011,44087,24858,56.4
Amravati,2011,56769,39707,69.9
Beed,2011,51839,32693,63.1
Bhandara,2011,20657,17195,83.2
Buldhana,2011,53347,36259,68
Chandrapur,2011,40455,30351,75
Chhatrapati Sambhaji Nagar,2011,80186,48433,60.4
Dharashiv,2011,32192,23620,73.4
Dhule,2011,52840,24426,46.2
Gadchiroli,2011,23766,16624,69.9
Gondia,2011,22925,18635,81.3
Hingoli,2011,24702,15719,63.6
Jalgaon,2011,95541,51683,54.1
Jalna,2011,46827,32204,68.8
Kolhapur,2011,69622,50114,72
Latur,2011,58703,36623,62.4
