District,Year,Pneumonia,Asthma,Sepsis,Diphtheria,Pertussis,Tetanus Neonatorum,Tuberculosis (Tb),Acute Flaccid Paralysis (Afp),Measles,Malaria,Diarrhea
Ahilyanagar,2019,172,76,217,0,0,0,16,14,3,0,3322
Akola,2019,383,27,26,0,0,0,15,9,14,3,444
Amravati,2019,1022,230,148,0,0,0,26,1,18,0,1628
Beed,2019,763,52,58,0,0,0,8,0,24,0,4998
Bhandara,2019,129,23,39,0,0,0,3,13,6,0,822
Buldhana,2019,348,52,28,0,0,0,6,18,14,1,858
Chandrapur,2019,212,79,196,0,0,0,59,39,21,14,414
Chh. Sambhaji Nagar,2019,0,0,0,0,0,0,0,0,0,0,6458
Dharashiv,2019,94,20,30,0,0,0,6,0,15,4,3059
Dhule,2019,244,68,36,0,0,0,39,2,0,14,257
Gadchiroli,2019,426,48,460,0,1,0,34,5,14,451,1751
Gondia,2019,91,8,4,1,0,0,5,19,27,3,133
Hingoli,2019,82,14,11,0,0,0,0,1,24,0,781
Jalgaon,2019,293,40,14,0,0,0,21,8,0,22,798
Jalna,2019,107,2,18,0,0,0,2,0,10,3,458
Kolhapur,2019,481,78,27,0,0,0,28,20,1,3,1579
Latur,2019,103,39,130,0,0,0,26,3,0,6,1775
Mumbai,2019,5685,3939,1433,4,2,0,797,165,60,633,22795
Nagpur,2019,286,155,88,0,0,0,10,2,14,37,4784
Nanded,2019,124,144,73,0,0,0,16,0,15,1,1567
Nandurbar,2019,434,61,81,1,0,1,34,15,2,20,1717
Nashik,2019,805,251,212,0,0,0,90,18,9,26,3809
Palghar,2019,745,302,174,0,0,0,83,33,11,25,3163
Parbhani,2019,39,47,7,0,0,0,2,9,27,1,417
Pune,2019,1834,1071,458,1,0,0,231,40,83,239,13825
Raigad,2019,24,49,2,3,0,0,12,0,3,33,1165
Ratnagiri,2019,150,24,19,0,0,0,9,6,1,1,1378
Sangli,2019,502,22,6,0,0,0,16,8,7,0,1572
Satara,2019,265,2,50,0,0,0,28,12,19,14,1694
Sindhudurg,2019,64,10,7,0,0,0,6,5,1,1,383
Solapur,2019,561,86,109,0,0,0,58,15,20,22,1174
Thane,2019,355,54,240,0,0,0,76,47,83,292,3787
Wardha,2019,107,17,5,0,0,0,8,0,0,0,609
Washim,2019,50,9,4,0,0,0,3,0,0,0,648
Yavatmal,2019,52,12,22,0,0,0,7,2,3,2,506
Ahilyanagar,2018,564,72,89,0,0,0,32,47,21,0,5393
Akola,2018,130,10,70,0,0,0,12,0,51,6,247
Amravati,2018,1283,286,213,0,0,0,21,8,52,1,2077
Beed,2018,245,87,48,0,0,0,30,4,112,31,2954
Bhandara,2018,145,35,122,0,0,0,10,3,7,0,3007
Buldhana,2018,279,40,70,0,0,0,2,12,46,0,718
Chandrapur,2018,1033,340,138,0,0,1,19,9,37,47,750
Chh. Sambhaji Nagar,2018,0,0,0,0,0,0,0,0,0,0,3181
Dharashiv,2018,127,17,18,0,0,0,0,0,31,0,2815
Dhule,2018,335,115,70,0,0,0,31,5,5,37,464
Gadchiroli,2018,554,105,450,0,0,0,13,6,11,263,1705
Gondia,2018,37,31,22,0,0,0,8,9,5,0,209
Hingoli,2018,98,76,105,0,0,0,4,7,19,0,666
Jalgaon,2018,262,32,47,0,0,0,22,7,17,17,619
Jalna,2018,21,0,45,0,0,0,11,0,19,7,686
Kolhapur,2018,343,37,33,1,0,0,19,6,21,6,1343
Latur,2018,268,14,111,0,0,0,10,2,13,3,1652
Mumbai,2018,5185,2435,918,6,7,3,816,161,632,706,18462
Nagpur,2018,147,45,63,0,0,0,13,0,15,11,3311
Nanded,2018,264,158,26,0,0,0,41,0,14,21,3256
Nandurbar,2018,416,107,95,0,0,3,39,7,31,17,1513
Nashik,2018,665,318,148,0,0,0,65,28,39,39,3818
Palghar,2018,695,485,53,0,0,0,46,14,17,3,2689
Parbhani,2018,39,54,13,0,0,0,8,3,129,5,280
Pune,2018,1880,1100,569,4,5,0,300,25,390,217,17904
Raigad,2018,5,132,0,0,0,0,10,0,11,14,1131
Ratnagiri,2018,284,92,38,0,0,0,6,4,20,1,1395
Sangli,2018,413,6,27,0,0,0,22,7,23,1,2100
Satara,2018,216,5,48,0,0,0,10,0,28,33,2740
Sindhudurg,2018,44,9,18,0,0,0,3,0,0,1,370
Solapur,2018,328,39,24,0,0,0,23,5,66,70,1302
Thane,2018,539,86,304,0,0,0,96,68,158,1193,4161
Wardha,2018,99,10,20,0,0,0,8,12,3,0,662
Washim,2018,44,1,4,0,0,0,2,2,1,8,282
Yavatmal,2018,91,34,8,0,0,0,100,16,24,14,987
Ahilyanagar,2017,100,90,55,0,0,0,0,0,19,0,2148
Akola,2017,85,0,8,0,0,0,7,1,15,8,346
Amravati,2017,416,61,213,2,0,0,48,0,24,7,987
Beed,2017,216,20,14,0,0,0,22,4,331,0,2581
Bhandara,2017,40,47,15,0,0,0,3,2,2,0,120
Buldhana,2017,318,6,47,0,0,0,6,1,13,0,679
Chandrapur,2017,239,51,155,0,0,0,21,5,11,43,523
Chh. Sambhaji Nagar,2017,0,0,0,0,0,0,0,0,0,0,2165
Dharashiv,2017,93,54,23,0,0,0,4,0,23,4,2716
Dhule,2017,15,16,83,0,0,0,18,3,7,15,505
Gadchiroli,2017,327,62,174,0,0,0,14,7,0,213,1491
Gondia,2017,33,23,9,0,0,0,4,7,5,4,458
Hingoli,2017,211,70,43,0,0,0,5,6,58,0,664
Jalgaon,2017,186,17,9,0,0,0,21,0,27,13,570
Jalna,2017,33,2,0,0,0,0,0,0,35,7,649
Kolhapur,2017,71,6,10,0,0,0,12,4,3,3,1596
Latur,2017,433,8,125,0,0,0,17,0,33,35,2199
Mumbai,2017,4384,1836,950,5,4,5,722,124,628,1436,11253
Nagpur,2017,167,130,82,2,0,0,26,1,33,12,3819
Nanded,2017,71,40,16,0,0,0,21,3,2,3,1960
Nandurbar,2017,357,47,68,0,0,0,36,15,39,23,1094
Nashik,2017,638,280,36,0,0,0,27,10,50,27,2985
Palghar,2017,603,127,81,0,0,1,53,16,86,24,3863
Parbhani,2017,64,49,14,0,0,0,7,8,258,46,503
Pune,2017,888,636,243,13,7,0,90,34,219,292,14523
