District,Year,Select Disease,Number
Ahilyanagar,2019,Pneumonia,172
Ahilyanagar,2019,Asthma,76
Ahilyanagar,2019,Sepsis,217
Ahilyanagar,2019,Diphtheria,0
Ahilyanagar,2019,Pertussis,0
Ahilyanagar,2019,Tetanus Neonatorum,0
Ahilyanagar,2019,Tuberculosis (TB),16
Ahilyanagar,2019,Acute Flaccid Paralysis (AFP),14
Ahilyanagar,2019,Measles,3
Ahilyanagar,2019,Malaria,0
Ahilyanagar,2019,Diarrhea,3322
Akola,2019,Pneumonia,383
Akola,2019,Asthma,27
Akola,2019,Sepsis,26
Akola,2019,Diphtheria,0
Akola,2019,Pertussis,0
Akola,2019,Tetanus Neonatorum,0
Akola,2019,Tuberculosis (TB),15
Akola,2019,Acute Flaccid Paralysis (AFP),9
Akola,2019,Measles,14
Akola,2019,Malaria,3
Akola,2019,Diarrhea,444
Amravati,2019,Pneumonia,1022
Amravati,2019,Asthma,230
Amravati,2019,Sepsis,148
Amravati,2019,Diphtheria,0
Amravati,2019,Pertussis,0
Amravati,2019,Tetanus Neonatorum,0
Amravati,2019,Tuberculosis (TB),26
Amravati,2019,Acute Flaccid Paralysis (AFP),1
Amravati,2019,Measles,18
Amravati,2019,Malaria,0
Amravati,2019,Diarrhea,1628
Beed,2019,Pneumonia,763
Beed,2019,Asthma,52
Beed,2019,Sepsis,58
Beed,2019,Diphtheria,0
Beed,2019,Pertussis,0
Beed,2019,Tetanus Neonatorum,0
Beed,2019,Tuberculosis (TB),8
Beed,2019,Acute Flaccid Paralysis (AFP),0
Beed,2019,Measles,24
Beed,2019,Malaria,0
Beed,2019,Diarrhea,4998
Bhandara,2019,Pneumonia,129
Bhandara,2019,Asthma,23
Bhandara,2019,Sepsis,39
Bhandara,2019,Diphtheria,0
Bhandara,2019,Pertussis,0
Bhandara,2019,Tetanus Neonatorum,0
Bhandara,2019,Tuberculosis (TB),3
Bhandara,2019,Acute Flaccid Paralysis (AFP),13
Bhandara,2019,Measles,6
Bhandara,2019,Malaria,0
Bhandara,2019,Diarrhea,822
Buldhana,2019,Pneumonia,348
Buldhana,2019,Asthma,52
Buldhana,2019,Sepsis,28
Buldhana,2019,Diphtheria,0
Buldhana,2019,Pertussis,0
Buldhana,2019,Tetanus Neonatorum,0
Buldhana,2019,Tuberculosis (TB),6
Buldhana,2019,Acute Flaccid Paralysis (AFP),18
Buldhana,2019,Measles,14
Buldhana,2019,Malaria,1
Buldhana,2019,Diarrhea,858
Chandrapur,2019,Pneumonia,212
Chandrapur,2019,Asthma,79
Chandrapur,2019,Sepsis,196
Chandrapur,2019,Diphtheria,0
Chandrapur,2019,Pertussis,0
Chandrapur,2019,Tetanus Neonatorum,0
Chandrapur,2019,Tuberculosis (TB),59
Chandrapur,2019,Acute Flaccid Paralysis (AFP),39
Chandrapur,2019,Measles,21
Chandrapur,2019,Malaria,14
Chandrapur,2019,Diarrhea,414
Chh. Sambhaji Nagar,2019,Pneumonia,0
Chh. Sambhaji Nagar,2019,Asthma,0
Chh. Sambhaji Nagar,2019,Sepsis,0
Chh. Sambhaji Nagar,2019,Diphtheria,0
Chh. Sambhaji Nagar,2019,Pertussis,0
Chh. Sambhaji Nagar,2019,Tetanus Neonatorum,0
Chh. Sambhaji Nagar,2019,Tuberculosis (TB),0
Chh. Sambhaji Nagar,2019,Acute Flaccid Paralysis (AFP),0
Chh. Sambhaji Nagar,2019,Measles,0
Chh. Sambhaji Nagar,2019,Malaria,0
Chh. Sambhaji Nagar,2019,Diarrhea,6458
Dharashiv,2019,Pneumonia,94
Dharashiv,2019,Asthma,20
Dharashiv,2019,Sepsis,30
Dharashiv,2019,Diphtheria,0
Dharashiv,2019,Pertussis,0
Dharashiv,2019,Tetanus Neonatorum,0
Dharashiv,2019,Tuberculosis (TB),6
Dharashiv,2019,Acute Flaccid Paralysis (AFP),0
