District,Year,Select Contraceptive,Number
Ahilyanagar,2019,Oral Pills,215468
Ahilyanagar,2019,Emergency Pills,1552
Ahilyanagar,2019,Centchroman (Weekly Pills),8259
Ahilyanagar,2019,Condom Pieces,1124534
Akola,2019,Oral Pills,29935
Akola,2019,Emergency Pills,1273
Akola,2019,Centchroman (Weekly Pills),1396
Akola,2019,Condom Pieces,67347
Amravati,2019,Oral Pills,29575
Amravati,2019,Emergency Pills,941
Amravati,2019,Centchroman (Weekly Pills),1552
Amravati,2019,Condom Pieces,196577
Beed,2019,Oral Pills,82680
Beed,2019,Emergency Pills,567
Beed,2019,Centchroman (Weekly Pills),857
Beed,2019,Condom Pieces,312290
Bhandara,2019,Oral Pills,27739
Bhandara,2019,Emergency Pills,320
Bhandara,2019,Centchroman (Weekly Pills),1292
Bhandara,2019,Condom Pieces,185526
Buldhana,2019,Oral Pills,40984
Buldhana,2019,Emergency Pills,1416
Buldhana,2019,Centchroman (Weekly Pills),4598
Buldhana,2019,Condom Pieces,242237
Chandrapur,2019,Oral Pills,50243
Chandrapur,2019,Emergency Pills,361
Chandrapur,2019,Centchroman (Weekly Pills),3407
Chandrapur,2019,Condom Pieces,229986
Chh. Sambhaji Nagar,2019,Oral Pills,91820
Chh. Sambhaji Nagar,2019,Emergency Pills,763
Chh. Sambhaji Nagar,2019,Centchroman (Weekly Pills),1320
Chh. Sambhaji Nagar,2019,Condom Pieces,643756
Dharashiv,2019,Oral Pills,43742
Dharashiv,2019,Emergency Pills,562
Dharashiv,2019,Centchroman (Weekly Pills),3188
Dharashiv,2019,Condom Pieces,210598
Dhule,2019,Oral Pills,80783
Dhule,2019,Emergency Pills,619
Dhule,2019,Centchroman (Weekly Pills),6999
Dhule,2019,Condom Pieces,325512
Gadchiroli,2019,Oral Pills,18927
Gadchiroli,2019,Emergency Pills,271
Gadchiroli,2019,Centchroman (Weekly Pills),1534
Gadchiroli,2019,Condom Pieces,204420
Gondia,2019,Oral Pills,24285
Gondia,2019,Emergency Pills,768
Gondia,2019,Centchroman (Weekly Pills),372
Gondia,2019,Condom Pieces,196685
Hingoli,2019,Oral Pills,24292
Hingoli,2019,Emergency Pills,1769
Hingoli,2019,Centchroman (Weekly Pills),1054
Hingoli,2019,Condom Pieces,216404
Jalgaon,2019,Oral Pills,106022
Jalgaon,2019,Emergency Pills,640
Jalgaon,2019,Centchroman (Weekly Pills),6575
Jalgaon,2019,Condom Pieces,268803
Jalna,2019,Oral Pills,14198
Jalna,2019,Emergency Pills,707
Jalna,2019,Centchroman (Weekly Pills),1160
Jalna,2019,Condom Pieces,57709
Kolhapur,2019,Oral Pills,274410
Kolhapur,2019,Emergency Pills,2097
Kolhapur,2019,Centchroman (Weekly Pills),6290
Kolhapur,2019,Condom Pieces,524167
Latur,2019,Oral Pills,70271
Latur,2019,Emergency Pills,1755
Latur,2019,Centchroman (Weekly Pills),5087
Latur,2019,Condom Pieces,318885
Mumbai,2019,Oral Pills,374090
Mumbai,2019,Emergency Pills,1928
Mumbai,2019,Centchroman (Weekly Pills),5746
Mumbai,2019,Condom Pieces,3919138
Nagpur,2019,Oral Pills,38080
Nagpur,2019,Emergency Pills,377
Nagpur,2019,Centchroman (Weekly Pills),3390
Nagpur,2019,Condom Pieces,242510
Nanded,2019,Oral Pills,79696
Nanded,2019,Emergency Pills,881
Nanded,2019,Centchroman (Weekly Pills),9265
Nanded,2019,Condom Pieces,466749
Nandurbar,2019,Oral Pills,46378
Nandurbar,2019,Emergency Pills,362
Nandurbar,2019,Centchroman (Weekly Pills),1731
Nandurbar,2019,Condom Pieces,286119
Nashik,2019,Oral Pills,142417
