District,Year,Public,Private,C-Section Share of Institutional Deliveries,Public Facilities,Private Facilities
Ahilyanagar,2019,3795,7826,15.8,16.9,15.3
Akola,2019,10546,2805,40.8,44.2,31.7
Amravati,2019,5892,8320,35.5,23.4,56.3
Beed,2019,9336,2466,25.6,29.8,16.6
Bhandara,2019,4786,2964,47,40.1,65.1
Buldhana,2019,2543,2355,11.7,14.6,9.6
Chandrapur,2019,4075,4499,31.3,21.1,55.5
Chh. Sambhaji Nagar,2019,5683,7881,19,14.8,24
Dharashiv,2019,2702,2747,24.7,17.6,41
Dhule,2019,3650,1269,12.9,12.6,13.6
Gadchiroli,2019,3078,199,20.9,20.6,29.3
Gondia,2019,3721,2029,32.9,27.3,52.9
Hingoli,2019,1820,1085,17.8,15.3,24.7
Jalgaon,2019,3100,5185,11.3,10.4,12
Jalna,2019,770,3784,12.9,5.1,18.8
Kolhapur,2019,5167,15010,35.5,27.7,39.4
Latur,2019,4645,4571,22.1,17.8,29.2
Mumbai,2019,23136,24228,32,33.6,30.7
Nagpur,2019,14257,7246,30.6,39.4,21.2
Nanded,2019,2795,7673,17.2,6.9,37.3
Nandurbar,2019,1129,69,4.5,4.8,2.2
Nashik,2019,7386,13118,18.9,13,25.4
Palghar,2019,3417,7787,20.1,10.7,32.8
Parbhani,2019,3246,859,12.6,21.6,4.9
Pune,2019,18773,32813,30.4,26.6,33.1
Raigad,2019,2666,5616,20.6,21.8,20.1
Ratnagiri,2019,1523,4166,35.6,26.4,40.8
Sangli,2019,5819,9996,34.3,32.2,35.7
Satara,2019,3316,12633,35.7,21.3,43.4
Sindhudurg,2019,1985,873,39.1,40.6,36.2
Solapur,2019,5788,8209,19,21.3,17.7
Thane,2019,10650,20760,21,22.8,20.2
Wardha,2019,1627,4244,34.2,23.7,41.2
Washim,2019,259,1258,11.4,3.1,25.9
Yavatmal,2019,2810,3858,16.1,12,21.4
Ahilyanagar,2018,3510,9558,17.8,14.3,19.5
Akola,2018,10124,3266,40.3,42.1,35.6
Amravati,2018,5283,6995,31.8,20.7,53.2
Beed,2018,8591,2436,23.5,26.3,17
Bhandara,2018,5274,2313,45.3,40.1,64
Buldhana,2018,1840,2067,9.5,10.1,9
Chandrapur,2018,3813,5528,30.3,18.8,52.5
